fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|74356000000|23802000000|7558000000|7788000000|6813000000|7051000000|42543000000|10621000000|12236000000|31010000000|7352000000|23658000000|170000000|912000000|230000000|||34560000000|14902000000|4034000000|572000000|2154000000|2154000000|12825000000||14979000000|2154000000|12825000000|14979000000|8001000000|6601000000|39796000000|16476000000|39056000000|25020000000|1739466000|ABT
2024-06-30|USD|73017000000|23119000000|6987000000|7219000000|6814000000|6854000000|42245000000|10233000000|11828000000|31135000000|7827000000|23308000000|162000000|877000000|232000000|4254000000||33699000000|13760000000|4125000000|544000000|1615000000|1615000000|13139000000||14754000000|1615000000|13139000000|14754000000|7419000000|6558000000|39318000000|15759000000|38354000000|24858000000|1743040000|ABT
2024-03-31|USD|72467000000|22376000000|6284000000|6651000000|6827000000|6605000000|42604000000|10107000000|11948000000|31679000000|8296000000|23383000000|154000000|818000000|367000000|4416000000||33657000000|14021000000|4178000000|549000000|2010000000|2010000000|12576000000||14586000000|2010000000|12576000000|14586000000|6709000000|6827000000|38810000000|15761000000|38011000000|24726000000|1740203000|ABT
2023-12-31|USD|73214000000|22670000000|6896000000|7279000000|6570000000|6565000000|44625000000|10154000000|11779000000|32494000000|8815000000|23679000000|141000000|799000000|383000000|4343000000||34611000000|13841000000|4295000000|545000000|1080000000|1080000000|19978000000|949000000|14679000000|1080000000|13599000000|14679000000|7974000000|3466000000|38603000000|15981000000|37554000000|24869000000|1739235000|ABT
2023-09-30|USD|72090000000|22664000000|6709000000|7047000000|6650000000|6499000000|42899000000|9552000000|11559000000|32559000000|9282000000|23277000000|175000000|788000000|338000000|8967000000||34609000000|13042000000|3961000000|554000000|1051000000|1051000000|14477000000||15528000000|1051000000|14477000000|15528000000|7712000000|6877000000|37481000000|15686000000|36920000000|24727000000|1738700000|ABT
2023-06-30|USD|73354000000|23505000000|7835000000|8155000000|6871000000|6172000000|43340000000|9449000000|11477000000|33092000000|9834000000|23258000000|164000000|799000000|320000000|8479000000||36180000000|14350000000|4211000000|551000000|2284000000|2284000000|14562000000||16846000000|2284000000|14562000000|16846000000|7582000000|7038000000|37174000000|15722000000|36355000000|24612000000|1740359000|ABT
2023-03-31|USD|73794000000|24377000000|9161000000|9532000000|6673000000|6020000000|42991000000|9282000000|11323000000|32933000000|10006000000|22927000000|162000000|776000000|371000000|8881000000||36784000000|14530000000|4167000000|529000000|2285000000|2251000000|14615000000||16900000000|2285000000|14615000000|16900000000|8631000000|7417000000|37010000000|15307000000|35868000000|24488000000|1741738000|ABT
2022-12-31|USD|74438000000|25224000000|9882000000|10170000000|6173000000|6218000000|44368000000|9162000000|11050000000|33253000000|10454000000|22799000000|169000000|766000000|288000000|2663000000||37752000000|15489000000|4607000000|500000000|2251000000|2251000000|21053000000|943000000|16773000000|2251000000|14522000000|16773000000|8631000000|3804000000|36686000000|15229000000|35257000000|24709000000|1743373000|ABT
2022-09-30|USD|72801000000|24845000000|9594000000|9907000000|5734000000|6408000000|42587000000|8689000000|10617000000|33134000000|10850000000|22284000000|228000000|764000000|313000000|2796000000||37126000000|13365000000|4133000000|478000000|1117000000|1117000000|15297000000||17531000000|1117000000|15297000000|16414000000|8115000000|8255000000|35675000000|14555000000|35115000000|24560000000|1752968000|ABT
2022-06-30|USD|74202000000|24956000000|8937000000|9290000000|5899000000|7199000000|43888000000|8818000000|10640000000|34336000000|11592000000|22744000000|227000000|734000000|353000000|2568000000||37712000000|12392000000|4493000000|490000000|5000000|5000000|16755000000||16765000000|5000000|16755000000|16760000000|7894000000|8339000000|36490000000|13720000000|34487000000|24429000000|1753865000|ABT
