fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|43298000000|2257000000|17000000|17000000|792000000|1069000000|43439000000|35720000000||411000000||411000000||1333000000||153000000|1081000000|31465000000|3567000000||205000000|1839000000|1539000000|28069000000||16422000000|300000000|16422000000|1416000000|600000000|510000000|11833000000||4576000000|3000000|266900000|AEE
2024-06-30|USD|42334000000|2217000000|19000000|19000000|740000000|983000000|42403000000|34873000000||411000000||411000000||1266000000||130000000|1049000000|30795000000|3293000000||197000000|1490000000|691000000|28172000000||16280000000|799000000|16280000000|567000000|655000000|446000000|11539000000||4299000000|3000000|266800000|AEE
2024-03-31|USD|41306000000|2084000000|85000000|85000000|679000000|861000000|41442000000|34114000000||411000000||411000000||1232000000||103000000|964000000|29863000000|3505000000||190000000|2017000000|868000000|27378000000||15167000000|1149000000|15167000000|754000000|651000000|439000000|11443000000||4219000000|3000000|266600000|AEE
2023-12-31|USD|40830000000|2181000000|25000000|25000000|733000000|919000000|40791000000|33776000000|15426000000|411000000||411000000|458000000|1150000000||139000000|921000000|29481000000|3345000000||176000000|1385000000|536000000|26856000000||16107000000|849000000|15121000000|16643000000|594000000|426000000|11349000000||4136000000|3000000|266300000|AEE
2023-09-30|USD|39599000000|2084000000|8000000|8000000|760000000|1022000000|39498000000|32938000000||411000000||411000000||1042000000|1321000000|124000000|882000000|28556000000|4017000000|||2189000000|1340000000|25259000000||13829000000|849000000|13829000000|1235000000|664000000|416000000|11043000000||4144000000|3000000|262900000|AEE
2023-06-30|USD|38947000000|2019000000|7000000|7000000|711000000|923000000|38863000000|32351000000||411000000||411000000||1075000000|3502000000|119000000|859000000|28250000000|3243000000|||1679000000|1329000000|25228000000||14328000000|350000000|14328000000|1224000000|845000000|417000000|10697000000||3817000000|3000000|262700000|AEE
2023-03-31|USD|38064000000|2062000000|10000000|10000000|630000000|986000000|37862000000|31735000000||411000000||411000000||1019000000|1180000000|115000000|815000000|27457000000|2757000000|||1348000000|1248000000|24671000000||14181000000|100000000|14181000000|1145000000|745000000|370000000|10607000000||3745000000|3000000|262600000|AEE
2022-12-31|USD|37904000000|2668000000|10000000|10000000|667000000|1100000000|37011000000|31262000000|14465000000|411000000||411000000|439000000|958000000|240000000|155000000|768000000|27396000000|3366000000||115000000|1410000000|1070000000|24241000000||14147000000|340000000|13685000000|15217000000|682000000|340000000|10508000000||3646000000|3000000|262000000|AEE
2022-09-30|USD|37657000000|2518000000|7000000|7000000|695000000|1093000000|37517000000|30608000000||411000000||411000000||910000000||232000000|992000000|27456000000|3175000000|||1376000000|1221000000|24307000000||13577000000|155000000|13577000000|1122000000|584000000|361000000|10201000000||3636000000|3000000|258500000|AEE
2022-06-30|USD|37108000000|2396000000|7000000|7000000|600000000|1000000000|37036000000|30086000000||411000000||411000000|157000000|957000000|-648000000|77000000|963000000|27228000000|3588000000|||1626000000|1021000000|24116000000||12985000000|605000000|12985000000|924000000|824000000|411000000|9880000000||3336000000|3000000|258400000|AEE
