fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|161322000000|16637000000|1302000000|16509000000|||10526000000|1116000000||3743000000|370000000|3373000000|93613000000|79917000000|15207000000|-90233000000||118772000000|3005000000|||||115767000000||8922000000|||8922000000|-1522000000||42521000000|65573000000|35079000000|4766000000|606100000|AIG
2024-09-30|USD|169449000000|14319000000|1472000000|14083000000|||8746000000|||3453000000||3453000000|98084000000|79358000000|12611000000|||124376000000|11712000000|||||122856000000||162000000|||162000000|10192000000||45039000000|63744000000|34429000000|4766000000|630300000|AIG
2024-06-30|USD|167890000000|14877000000|1381000000|14710000000|-18291000000||8993000000|||3407000000|2123000000|3407000000|95485000000|76350000000|13329000000|30577000000||123415000000|29123000000|||||53632000000||9861000000|||9861000000|-1395000000||44445000000|62255000000|34225000000|4766000000|649800000|AIG
2024-03-31|USD|544121000000|22464000000|1816000000|22296000000|-230467000000||14419000000|||12111000000|12111000000||322216000000|253764000000|20480000000|39162000000||495011000000|250000000|||250000000|250000000|475693000000||2617000000|250000000||19250000000|-250000000||43385000000|60603000000|38466000000|4766000000|671000000|AIG
2023-12-31|USD|539306000000|24764000000|2155000000|24596000000|-40409000000||26068000000|1132000000||3933000000|394000000|3422000000|90244000000|5500000000|22441000000|40409000000||488005000000|250000000|||250000000|250000000|22137000000||10606000000|250000000||2200000000|-250000000||45351000000|59189000000|37516000000|4766000000|688800000|AIG
2023-09-30|USD|521521000000|20184000000|2034000000|19882000000|-212566000000||14612000000|||11999000000|11999000000||300319000000|233343000000|17888000000|37160000000||478308000000|1000000000|||1000000000|1000000000|456970000000||2717000000|1000000000||2717000000|20338000000||39984000000|58191000000|37689000000|4766000000|704600000|AIG
2023-06-30|USD|537138000000|18482000000|2352000000|18179000000|-220562000000||14103000000|||12702000000|12702000000||306758000000|309264000000|15896000000|37209000000||490647000000|1500000000|||1500000000|1500000000|469295000000||2793000000|1500000000||21352000000|19852000000|436914000000|42454000000|57408000000|35916000000|4766000000|717500000|AIG
2023-03-31|USD|536627000000|20243000000|2058000000|19938000000|-236293000000||14480000000|||13304000000|13304000000||314937000000|317388000000|18015000000|42203000000||490321000000|1500000000|||1500000000|1500000000|468221000000||3944000000|1500000000||22028000000|20600000000|433909000000|43317000000|56857000000|34690000000|4766000000|727600000|AIG
2022-12-31|USD|522228000000|19205000000|2216000000|18904000000|-179461000000||28211000000|1593000000||4631000000|704000000|3927000000|309150000000|5963000000|16861000000|-12376000000||478774000000|1500000000|||1500000000|1500000000|432717000000||5880000000|1500000000||27179000000|4655000000|426837000000|40970000000|56473000000|34893000000|4766000000|734100000|AIG
2022-09-30|USD|522932000000|24682000000|2496000000|24088000000|-172750000000||15250000000|||15822000000|15822000000||306087000000|308373000000|21794000000|-14663000000||481931000000|1502000000|||1502000000|1502000000|426999000000||5924000000|1502000000||22895000000|7756000000|421075000000|39023000000|55745000000|33009000000|4766000000|747215910|AIG
2022-06-30|USD|538938000000|19293000000|2728000000|18722000000|-37784000000||14353000000|||14838000000|14838000000||315062000000|317294000000|16344000000|37784000000||492114000000|14353000000||||51000000|477761000000||20522000000|||20522000000|2262000000|430706000000|45344000000|54480000000|30550000000|4766000000|771271516|AIG
2022-03-31|USD|573513000000|20062000000|2729000000|19532000000|||13435000000||||||337870000000|340142000000|16995000000|78722000000||515410000000|36481000000|||||515410000000||66419000000||1782000000|66419000000|66671000000|448991000000|55944000000|52791000000|27764000000|4766000000|800224090|AIG
2021-12-31|USD|596112000000|23086000000|2427000000|22572000000|||18782000000|1712000000||4356000000|300000000|4056000000|359292000000|5145000000|20374000000|76523000000||527200000000|11714000000||||17319000000|527200000000||30163000000||1871000000|21870000000|60084000000|456266000000|65956000000|51618000000|23785000000|4766000000|818687363|AIG
2021-09-30|USD|594800000000|22738000000|2834000000|22156000000|||12385000000||||||355596000000|357908000000|19457000000|77068000000||529141000000|-17614000000||||17614000000|529141000000||72438000000||1964000000|90052000000|62133000000|456703000000|64863000000|50641000000|20320000000|4766000000|835796051|AIG
2021-06-30|USD|598250000000|24407000000|3061000000|23874000000|||12628000000||||||359539000000|294184000000|21114000000|79196000000||531342000000|151665000000|||||531342000000||26161000000||1974000000|26161000000|72594000000|454212000000|66083000000|49634000000|18935000000|4766000000|854927930|AIG
2021-03-31|USD|584390000000|23899000000|3244000000|23383000000|||13690000000||||||348457000000|350766000000|20587000000|-245806000000||520830000000|22906000000|||||520830000000||26432000000||2015000000|26432000000|22906000000|445001000000|62679000000|49412000000|19121000000|4766000000|859383453|AIG
2020-12-31|USD|598841000000|48389000000|2827000000|2827000000|||538092000000|906000000||||4074000000||362939000000|289699000000|75812000000||532906000000|12624000000|||||506658000000||80594000000|||37534000000|61720000000|438688000000|65098000000|-49322000000|16437000000|4766000000|876269924|AIG
2020-09-30|USD|577230000000|30601000000|3607000000|30125000000|||16958000000|||4000000000||4000000000|356404000000|358728000000|26934000000|78573000000||512623000000|151822000000|||||512623000000||28731000000||2169000000|28731000000|72526000000|431843000000|64108000000|49327000000|15838000000|4766000000|861448575|AIG
