fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|10368785000|2578097000|517707000|2666031000||727687000|8041894000|1995071000|3158897000|3878662000|727585000|3151077000|2675122000|526798000|2148324000|46451000|151376000|5490428000|2091323000|130447000|175536000|1149116000|1408250000|3399105000|1088794000|3545811000|1149116000|2396695000|3545811000|32516000|130370000|4878357000|558488000|2972898000|1556000|150025096|AKAM
2024-09-30|USD|10190457000|2634430000|569749000|2819123000||696493000|5862336000|||3740598000|586247000|3154351000|2783893000|534519000|2249374000|238732000|149769000|5396319000|1983023000|106629000|163245000|1148471000|1400067000|3413296000|1106336000|3543910000|1148471000|2395439000|3543910000|48779000|111414000|4794138000|419519000|2832993000|1548000|150624544|AKAM
2024-06-30|USD|10087532000|2570460000|448042000|2818843000||699258000|5860027000|||3779381000|632984000|3146397000|2901711000|530910000|2370801000|180579000|132980000|5332856000|1945876000|124507000|168460000|1147826000|1390049000|3386980000|1073487000|3542013000|1147826000|2394187000|3542013000|7524000|106561000|4754676000|253258000|2775086000|1544000|151913207|AKAM
2024-03-31|USD|9935606000|2625179000|467717000|2875867000|1|716638000|6005724000|||3359089000|512554000|2846535000|3549777000|1141627000|2408150000|186088999|127531000|5301839000|808938000|134677000|163456000||465462000|4492901000|1032838000|3540120000||3540120000|3540120000|7017000|106768000|4633767000|125449000|2643398000|1536000|152411363|AKAM
2023-12-31|USD|9900037000|1804855000|489468000|1236453000|1|724302000|9504686000|1825944000|2880353000|3386613000|536143000|2850470000|3587843000|2840858000|746985000|41969000|124340000|5302882000|836038000|146927000|130550000||222944000|4466844000|997750000|3538229000||3538229000|3538229000|6442000|106181000|4597155000|0|2467980000|1512000|151232908|AKAM
2023-09-30|USD|9582088000|1867381000|459907000|1414585000||713382000|7116884000|2670041000||3308223000|465203000|2843020000|3352007000|2397329000|954678000|214737000|122395000|5257884000|810491000|144466000|151385000||205090000|4447393000|965743000|3536342000||3536342000|3536342000|7187000|102472000|4324204000|603632000|2306815000|1583000|150955849|AKAM
2023-06-30|USD|8345965000|1718472000|298612000|1282185000|1|698445000|5109497000|1746081000||3285724000|437257000|2848467000|1460869000|477296000|983573000|229468000|124756000|4056798000|860774000|194493000|165757000|20000000|237224000|3196024000|975526000|2307481000|20000000|2287481000|2307481000|21184000|104253000|4289167000|490403000|2146273000|1580000|151790861|AKAM
2023-03-31|USD|8183333000|1697711000|298800000|1204703000||705817000|5109839000|1654608000||3214092000|432233000|2781859000|1483427000|577524000|905903000|239981000|133208000|4011992000|836253000|202129000|164681000||205055000|3175739000|940863000|2286369000||2286369000|2286369000|31218000|109369000|4171341000|351772000|2017457000|1573000|152743828|AKAM
2022-12-31|USD|8303400000|1969562000|542337000|1667624000|1|679206000|6636295000|1540182000|2560625000|3205554000|441716000|2763838000|1748275000|622988000|1125287000|14999000|116522000|3943213000|818868000|145420000|127226000||196094000|3124345000|889359000|2285258000|0|2285258000|2285258000|5228000|105305000|4360187000|0|1920351000|1565000|156494816|AKAM
2022-09-30|USD|8136481000|1695573000|457816000|864148000||622027000|4891368000|1520428000||3208399000|455030000|2753369000|1300420000|488526000|406332000|209398000|105317000|3855241000|753011000|119051000|132082000||187776000|3121174000|869183000|2284147000||2284147000|2284147000|7181000|95184000|4281240000|430269000|1791589000|1622000|157876611|AKAM
