fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|90883000000|26766000000|9011000000|9011000000|7362000000|7317000000|69174000000|6156000000|10300000000|47578000000|28920000000|18658000000|8576000000|5057000000||3076000000|10383000000|83356000000|20312000000|2147000000||3544000000|3544000000|63044000000||60398000000|3544000000|56854000000|60398000000|14621000000|2199000000|7527000000||-25530000000|33393000000|537500000|AMGN
2024-06-30|USD|90907000000|27206000000|9301000000|9301000000|7995000000|6934000000|67171000000|6097000000|10100000000|48788000000|30172000000|18616000000|8812000000|3470000000||2976000000|8816000000|84982000000|21517000000|2267000000||5528000000|5528000000|63465000000||62645000000|5528000000|57117000000|62645000000|13722000000|2363000000|5925000000||-27124000000|33204000000|537200000|AMGN
2024-03-31|USD|92980000000|28029000000|9708000000|9708000000|8724000000|6776000000|68936000000|6002000000|9900000000|49942000000|31372000000|18570000000|9237000000|3985000000||2821000000|9007000000|87958000000|19714000000|1628000000||3959000000|3959000000|68244000000||64020000000|3959000000|60061000000|64020000000|14127000000|2357000000|5022000000||-27870000000|33082000000|536400000|AMGN
2023-12-31|USD|97154000000|30332000000|10944000000|15458000000|9518000000|7942000000|67473000000|5941000000|9800000000|51270000000|32641000000|18629000000|10404000000|4514000000|4514000000|2602000000|9611000000|90922000000|18392000000|1590000000||1443000000|0|73221000000||64613000000|1443000000|63170000000|64613000000|13576000000|2326000000|6232000000||-26549000000|33070000000|535400000|AMGN
2023-09-30|USD|90534000000|48477000000|34700000000|34700000000|5026000000|6145000000|46307000000|5563000000|9700000000|28659000000|13150000000|15509000000|34691000000|4250000000||2565000000|7835000000|82878000000|16954000000|1358000000||1428000000|1428000000|65924000000||60468000000|1428000000|59040000000|60468000000|14168000000|2305000000|7656000000||-24971000000|32753000000|535100000|AMGN
2023-06-30|USD|90269000000|47380000000|34248000000|38339000000|4978000000|5830000000|42889000000|5532000000|9500000000|30164000000|14633000000|15531000000|34006000000||4091000000|2324000000|7193000000|83488000000|17097000000|1212000000||2167000000|2167000000|66391000000||61500000000|2167000000|59377000000|61500000000|13718000000|2536000000|6781000000||-25540000000|32601000000|534900000|AMGN
2023-03-31|USD|88720000000|44703000000|31600000000|36434000000|5011000000|5736000000|44017000000|5460000000|9400000000|30924000000|15393000000|15531000000|31448000000||4834000000|2395000000|7633000000|83372000000|14215000000|1320000000||834000000|834000000|69157000000||61595000000|834000000|60761000000|61595000000|12061000000|2532000000|5348000000||-26919000000|32535000000|534300000|AMGN
2022-12-31|USD|65121000000|22186000000|7629000000|10120000000|4930000000|6392000000|43514000000|5427000000|9283000000|31609000000|16080000000|15529000000|4465000000|815000000|2491000000|2388000000|5899000000|61460000000|15687000000|1572000000||1591000000|0|46312000000||38900000000|1591000000|37354000000|38900000000|12524000000|2651000000|3661000000||-28622000000|32514000000|534000000|AMGN
2022-09-30|USD|63700000000|24062000000|9502000000|12245000000|4757000000|5326000000|39638000000|5188000000|9200000000|28111000000|13266000000|14845000000|11056000000||2743000000|2501000000|6339000000|60047000000|14331000000|1204000000||1543000000|1543000000|45716000000||38704000000|1543000000|37161000000|38704000000|11584000000|2875000000|3653000000||-28066000000|32371000000|533500000|AMGN
2022-06-30|USD|59294000000|19322000000|5203000000|7675000000|4554000000|5327000000|39972000000|5158000000|9000000000|28792000000|13927000000|14865000000|6413000000||2472000000|2258000000|6022000000|56875000000|12618000000|1256000000||817000000|817000000|44257000000||36522000000|817000000|35705000000|36522000000|10545000000|2949000000|2419000000||-28252000000|31343000000|534900000|AMGN
