fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|49885000000|23653000000|1103000000|1299000000|172000000|4081000000|26623000000|650000000||22401000000|6789000000|15612000000||87000000|196000000|754000000|585000000|43332000000|22098000000||344000000|0|199000000|22342000000|0|0|0|17090000000|18001000000|1914000000|1178000000|6244000000||-2682000000|2000000|217400000|AON
2024-06-30|USD|51453000000|25543000000|974000000|1156000000||4496000000|26298000000|636000000||22075000000|6794000000|15281000000||83000000|182000000|1063000000|629000000|45295000000|23498000000||425000000|4000000|4000000|22873000000|0|0|0|17610000000|4000000|2310000000|1135000000|5860000000||-2574000000|2000000|212500000|AON
2024-03-31|USD|40767000000|28624000000|995000000|6408000000||4054000000|12536000000|590000000||8519000000|217000000|8302000000||80000000|5413000000|1020000000|525000000|40795000000|21838000000||391000000|606000000|6000000|20005000000|5000000|0|600000000|15916000000|6000000|2146000000|1103000000|-133000000||-2700000000|2000000|199100000|AON
2023-12-31|USD|33959000000|21704000000|778000000|1147000000||3289000000|12621000000|638000000|1498000000|8648000000|234000000|8414000000||45000000|369000000|996000000|506000000|34701000000|21651000000||303000000|1204000000|581000000|14065000000|10000000|11199000000|600000000|9995000000|11199000000|1878000000|1074000000|-826000000||-3399000000|2000000|200200000|AON
2023-09-30|USD|33112000000|21125000000|808000000|983000000|15965000000|3339000000|12350000000|652000000||8497000000|252000000|8245000000||45000000|175000000|877000000|497000000|33598000000|20722000000||318000000|1282000000|333000000|13829000000|15000000|0|949000000|9969000000|333000000|1726000000|1004000000|-586000000||-3024000000|2000000|202900000|AON
2023-06-30|USD|36049000000|23949000000|952000000|1152000000|18193000000|3815000000|12471000000|639000000||8628000000|268000000|8360000000||45000000|200000000|840000000|501000000|35887000000|22949000000||393000000|1338000000|389000000|13881000000|19000000|0|949000000|9989000000|389000000|1793000000|995000000|65000000||-2505000000|2000000|204700000|AON
2023-03-31|USD|34253000000|22144000000|1119000000|1291000000|16629000000|3748000000|12501000000|605000000||8744000000|425000000|8319000000||63000000|172000000|511000000|507000000|34195000000|20595000000||379000000|775000000|425000000|14597000000|24000000|0|350000000|10577000000|425000000|1510000000|1063000000|-70000000||-2388000000|2000000|206100000|AON
2022-12-31|USD|32704000000|20723000000|690000000|1142000000|15900000000|3109000000|12378000000|558000000|1391000000|8739000000|447000000|8292000000||60000000|452000000|646000000|509000000|33133000000|20306000000||287000000|945000000|572000000|13782000000|28000000|10770000000|350000000|9825000000|10770000000|1347000000|1024000000|-529000000||-2772000000|2000000|207200000|AON
2022-09-30|USD|31223000000|19176000000|692000000|943000000|7824999057|2971000000|12421000000|510000000||8435000000|456000000|7979000000||62000000|251000000|563000000|475000000|31893000000|18688000000||283000000|711000000|211000000|13997000000|33000000|0|500000000|10116000000|211000000|1480000000|853000000|-783000000||-2638000000|2000000|210900000|AON
2022-06-30|USD|34720000000|22167000000|740000000|983000000|17243000000|3648000000|12941000000|505000000||8786000000|491000000|8295000000||64000000|243000000|672000000|503000000|33932000000|21077000000||360000000|739000000|239000000|13650000000|37000000|0|500000000|9666000000|239000000|1746000000|857000000|684000000||-1727000000|2000000|213300000|AON
