fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|23458000000|7826000000|1573000000|1584000000|2320000000|3557000000|15632000000|3698000000|4910000000|7164000000|2140000000|5024000000|1945000000|1433000000|11000000|671000000|2842000000|14373000000|5131000000|2870000000|248000000|1018000000|509000000|9242000000|5000000|8465000000|505000000|7843000000|8352000000|1752000000|613000000|8796000000||7002000000|2000000|235035739|APTV
2024-09-30|USD|24766000000|8688000000|1054000000|1845000000|2550000000|3936000000|16078000000|3797000000||7405000000|2235000000|5170000000|1741000000|1514000000|791000000|640000000|2874000000|15568000000|5804000000|2989000000|188000000|2514000000|1257000000|9764000000|547000000|8283000000|1257000000|8283000000|9540000000|1558000000|647000000|8882000000||6734000000|2000000|234992960|APTV
2024-06-30|USD|24751000000|8829000000|1409000000|2157000000|2370000000|3883000000|15922000000|3731000000||7341000000|2263000000|5078000000|1699000000|1522000000|748000000|710000000|2829000000|12981000000|5908000000|2915000000|200000000|2950000000|1475000000|7073000000|562000000|5504000000|1475000000|5504000000|6979000000|1518000000|725000000|11467000000||8401000000|3000000|266704200|APTV
2024-03-31|USD|23644000000|7691000000|941000000|941000000|2371000000|3920000000|15953000000|3764000000||7436000000|2326000000|5110000000|1622000000|1376000000||727000000|2860000000|12225000000|5956000000|2893000000|198000000|2974000000|1487000000|6269000000|562000000|4721000000|1487000000|4721000000|6208000000|1576000000|688000000|11120000000||7847000000|3000000|272044109|APTV
2023-12-31|USD|24427000000|8247000000|1640000000|1640000000|2365000000|3815000000|16180000000|3785000000|4616000000|7550000000|2399000000|5151000000|1604000000|1443000000|0|696000000|2862000000|12583000000|4808000000|3151000000|218000000|18000000|9000000|7775000000|9000000|6296000000|4000000|6204000000|6213000000|1648000000|701000000|11548000000||8162000000|3000000|279033365|APTV
2023-09-30|USD|23711000000|8490000000|1808000000|1808000000|2432000000|3864000000|15221000000|3579000000||7496000000|2423000000|5073000000|1630000000|1510000000|-60000000|603000000|2137000000|12638000000|4696000000|3056000000|156000000|86000000|43000000|7942000000|532000000|6419000000|43000000|6419000000|6462000000|1597000000|732000000|10778000000||7522000000|3000000|282824285|APTV
2023-06-30|USD|22098000000|8072000000|1302000000|1302000000|2380000000|3979000000|14026000000|3592000000||7627000000|2487000000|5140000000|1768000000|1593000000|-60000000|661000000|756000000|12576000000|4589000000|3028000000|156000000|74000000|37000000|7987000000|489000000|6476000000|37000000|6476000000|6513000000|1524000000|752000000|9232000000||5893000000|3000000|282824285|APTV
2023-03-31|USD|21716000000|7725000000|1100000000|1100000000|2485000000|3793000000|13991000000|3545000000||7633000000|2534000000|5099000000|1770000000|1666000000||576000000|719000000|12444000000|4508000000|2996000000|168000000|90000000|45000000|7936000000|355000000|6473000000|45000000|6473000000|6518000000|1467000000|740000000|8983000000||5690000000|3000000|270718099|APTV
2022-12-31|USD|21884000000|7784000000|1531000000|1548000000|2340000000|3648000000|14100000000|3495000000|4080000000|7691000000|2585000000|5106000000|1781000000|1723000000|17000000|480000000|740000000|12790000000|4865000000|3150000000|198000000|62000000|31000000|7925000000|12000000|6581000000|25000000|6460000000|6491000000|1684000000|750000000|8809000000||5608000000|3000000|270949579|APTV
2022-09-30|USD|19971000000|10983000000|4850000000|4850000000|2306000000|3606000000|8988000000|3157000000||3080000000|806000000|2274000000|1802000000|1787000000|80000000|457000000|573000000|11590000000|4129000000|2775000000||32000000|16000000|7461000000|421000000|6336000000|16000000|6336000000|6352000000|1338000000|401000000|8195000000||5375000000|3000000|270932774|APTV
2022-06-30|USD|19908000000|10558000000|4670000000|4670000000|2362000000|3304000000|9350000000|3211000000||3268000000|876000000|2392000000|1879000000|1884000000||498000000|594000000|11626000000|4019000000|2749000000||34000000|17000000|7607000000|430000000|6433000000|17000000|6433000000|6450000000|1253000000|419000000|8099000000||5089000000|3000000|270932774|APTV
2022-03-31|USD|20404000000|10774000000|4877000000|4877000000|2312000000|3313000000|9630000000|3288000000||3403000000|924000000|2479000000|2012000000|1987000000||531000000|606000000|11804000000|4146000000|2910000000||70000000|35000000|7658000000|399000000|6503000000|35000000|6503000000|6538000000|1201000000|415000000|8396000000||5150000000|3000000|270915292|APTV
2021-12-31|USD|18007000000|8436000000|3139000000|3205000000|2014000000|3032000000|9571000000|3294000000|3719000000|3475000000|964000000|2511000000|1838000000|1797000000|66000000|499000000|622000000|9446000000|4207000000|2953000000|83000000|16000000|8000000|5239000000|10000000|4059000000|5000000|4059000000|4067000000|1246000000|436000000|8347000000||5077000000|3000000|270514140|APTV
2021-09-30|USD|17651000000|8104000000|2741000000|2824000000|2119000000|2954000000|9547000000|3193000000||3477000000|973000000|2504000000|1881000000|1852000000|83000000|477000000|644000000|9152000000|3834000000|2544000000||16000000|8000000|5318000000|396000000|4000000000|8000000|4000000000|4008000000|1282000000|524000000|8294000000||5062000000|3000000|270507574|APTV
2021-06-30|USD|17780000000|8055000000|2978000000|2926000000|1801000000|2928000000|9725000000|3193000000||3568000000|1021000000|2547000000|1984000000|1908000000|1908000000|622000000|678000000|9255000000|3905000000|2574000000||32000000|16000000|5350000000|394000000|4031000000|16000000|4031000000|4047000000|1315000000|521000000|8322000000||4976000000|3000000|270507574|APTV
2021-03-31|USD|17476000000|7801000000|2830000000|2830000000|1525000000|3048000000|9675000000|3164000000||3536000000|1033000000|2503000000|2031000000|1962000000||596000000|654000000|9200000000|3962000000|2624000000||156000000|78000000|5238000000|374000000|3946000000|78000000|3946000000|4024000000|1260000000|512000000|8077000000||4829000000|3000000|270462749|APTV
2020-12-31|USD|17522000000|7465000000|2821000000|2821000000|1297000000|3016000000|10057000000|3301000000|3310000000|3671000000|1091000000|2580000000|2081000000|2011000000|0|503000000|694000000|9422000000|4046000000|2571000000|62000000|180000000|90000000|5376000000|14000000|4011000000|86000000|4011000000|4101000000|1385000000|540000000|7905000000||4550000000|3000000|270025375|APTV
2020-09-30|USD|16444000000|6589000000|2122000000|2122000000|1229000000|2920000000|9855000000|3223000000|12000000|3574000000|1095000000|2479000000|2065000000|2047000000|0|586000000|636000000|8890000000|3579000000|2186000000||198000000|99000000|5311000000|15000000|3935000000|95000000|3935000000|4034000000|1294000000|598000000|7363000000||4267000000|3000000|270025374|APTV
2020-06-30|USD|15280000000|5412000000|1885000000|1885000000|1212000000|2091000000|9868000000|3196000000|11000000|3505000000|1104000000|2401000000|2077000000|2073000000||449000000|717000000|8154000000|2859000000|1432000000||400000000|200000000|5295000000|16000000|3946000000|196000000|3946000000|4146000000|1227000000|588000000|6942000000||3984000000|3000000|270025374|APTV
2020-03-31|USD|16167000000|6190000000|2055000000|2055000000|1363000000|2567000000|9977000000|3249000000|10000000|3521000000|1132000000|2389000000|2090000000|2090000000||432000000|724000000|11014000000|3655000000|2243000000||520000000|260000000|7359000000|17000000|5964000000|256000000|5964000000|6224000000|1152000000|621000000|4971000000||4353000000|3000000|254853978|APTV
2019-12-31|USD|13459000000|5319000000|412000000|412000000|1286000000|2829000000|8140000000|3309000000|2608000000|3593000000|1186000000|2407000000|144000000|106000000||504000000|719000000|9448000000|4054000000|2463000000||786000000|393000000|5394000000|18000000|3971000000|389000000|3971000000|4364000000|1155000000|611000000|3819000000||2890000000|3000000|255288240|APTV
2019-09-30|USD|12939000000|5385000000|341000000|341000000|1345000000|2935000000|7554000000|3145000000|8000000|3264000000|1128000000|2136000000|123000000|105000000||497000000|629000000|9158000000|3875000000|2232000000||888000000|444000000|5283000000|19000000|3939000000|440000000|3939000000|4383000000|1167000000|593000000|3565000000||2745000000|3000000|255654873|APTV
