fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|37527449000|941982000|552146000|552146000|||891658000|39558000|||||33626897000|39873000||7701000||15128988000|13462000|||||12094465000|507127000|12244374000||12094465000|12244374000|731153000|354229000|17889042000|||1722000|172203443|ARE
2024-09-30|USD|38488128000|860268000|562606000|562606000|-153138000||1273150000|35967000||373842000|373842000||34511274000|40170000||88348000||15784678000|9355000||||454589000|12092012000|648338000|12691601000|454589000|12092012000|12691601000|813265000|443269000|18217631000|||1722000|172058000|ARE
2024-06-30|USD|37847865000|703223000|561021000|561021000|||1027666000|32775000||398033000|398033000||34208722000|40535000||54095000||15180998000|3386000||||10851000|12089561000|379223000|12424055000|199552000|12089561000|12424055000|-1752025000|451424000|18258621000|||1720000|172013000|ARE
2024-03-31|USD|37699046000|931986000|722176000|722176000|||1051514000|28380000||426670000|426670000||33875362000|40636000||90896000||14943128000|23207000||||17264000|12087113000|381578000|12217163000||12087113000|12217163000|-1544880000|415383000|18412595000|||1720000|171949000|ARE
2023-12-31|USD|36771402000|854994000|618190000|618190000|784236000||1082818000|26560000||461613000|461613000||33120809000|37780000||99413000||14148409000|4750000||||32000|11096028000|382883000|11315642000|99952000|11096028000|11315642000|1476606000|480493000|18471175000|||1719000|171910599|ARE
2023-09-30|USD|36783293000|647903000|532390000|532390000|696230000||1125712000|25673000||492685000|492685000||33182192000|37695000||-590268000||14070411000|3201000|||||11093725000|384958000|11202835000||11093725000|11202835000|921350000|471917000|18627911000|||1710000|170890000|ARE
2023-06-30|USD|36659257000|960290000|924370000|924370000|1046006000||1160061000|24102000||524456000|524456000||32711849000|37801000||-982759000||13892005000|1748736000||||30000|11091424000|386545000|11183363000||11091424000|11183363000|881397000|501676000|18797438000|||1709000|170864000|ARE
2023-03-31|USD|36912465000|1298384000|1263452000|1263452000|1363606000||1241136000|22788000||589807000|589807000||32500768000|38355000|1573018000|-1328674000||14225698000|3062929000||||374536000|11089124000|405190000|11537305000|374536000|11089124000|11537305000|-252441000|501205000|18883994000|||1709000|170784000|ARE
2022-12-31|USD|35523399000|857975000|825193000|825193000|-49099000||1269093000|23186000||615638000|615638000||31598949000|38435000|1615074000|81881000||12840152000|2034000||||350038000|10100717000|406700000|10159762000||10100717000|10159762000|-590529000|529712000|18972387000||2506617000|1707000|170748395|ARE
2022-09-30|USD|34368614000|866168000|533824000|533824000|||1293659000|23493000||638024000|638024000||30434951000|38285000|1624921000|392358000||13113235000|2019399000||||386666000|10098588000|409030000|10525848000|386666000|10098588000|10525848000|800036000|472802000|17616335000||1530450000|1626000|161554000|ARE
