fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|8451900000|3084700000|212700000|212700000|1013500000|1574700000|5367200000|1612300000|2441900000|2795900000|783200000|2012700000|||40100000|283800000|848100000|6058000000|3349000000|1343200000||1116800000|1116800000|2042100000||2042100000|1116800000||3158900000|889000000|416200000|2393900000|3212300000|5042700000|124100000|80440716|AVY
2024-03-31|USD|8255200000|2886800000|185700000|185700000|972500000|1478000000|5368400000|1598200000|2325700000|2817500000|823800000|1993700000|||38100000|250600000|837200000|6051200000|3308200000|1301500000||1170500000|1170500000|2069900000||2069900000|1170500000||3240400000|581600000|418500000|2204000000|3141200000|4809100000|124100000|80597091|AVY
2023-12-31|USD|8209800000|2796000000|215000000|215000000|920700000|1414900000|4029100000|1625800000|2344600000|2862700000|849100000|2013600000|||37800000|245400000|809600000|6081900000|2699500000|1277100000|38800000|622200000|322600000|2775700000|7000000|2615000000|293300000||2937600000|679100000|500300000|2127900000|3134400000|4691800000|124100000|80495585|AVY
2023-09-30|USD|8133100000|2814300000|209900000|209900000|936100000|1426200000|5318800000|1555200000|2281500000|2836600000|860300000|1976300000|||35900000|242100000|811800000|6069500000|2744300000|1265300000||716000000|716000000|2597600000||2597600000|716000000||3313600000|763000000|727600000|2063600000|3118600000|4608200000|124100000|80555148|AVY
2023-06-30|USD|8266300000|2851000000|217100000|217100000|990500000|1415200000|5415300000|1567000000|2262700000|2868900000|883800000|1985100000|||36300000|228200000|859700000|6251100000|2608700000|1234800000||635800000|635800000|2909700000||2909700000|635800000||3545500000|738100000|732700000|2015200000|3093900000|4526900000|124100000|80650885|AVY
2023-03-31|USD|8222300000|2989200000|351300000|351300000|1050600000||5233100000|1565600000|2256300000|2720600000|833100000|1887500000|||36300000|218200000|828600000|6179400000|2643700000|1236200000||648300000|648300000|3535700000||2910800000|648300000||3559100000|759200000|624900000|2042900000||4486400000|124100000|80833507|AVY
2022-12-31|USD|7950500000|2782000000|167200000|167200000|1009900000|1374400000|5340700000|1540200000|2207500000|2702700000|840300000|1862400000|||31300000|230500000|810500000|5918300000|2799800000|1339300000|48600000|598600000|348900000|2619200000|8200000|2495400000|244300000||2844300000|839700000|615000000|2032200000|3021800000|4414600000|124100000|80810016|AVY
2022-09-30|USD|8042300000|2961800000|128200000|128200000|1014400000||5080500000|1442600000|2116500000|2679900000|855100000|1824800000|||29800000|233600000|839900000|6035000000|2939300000|1383100000||669900000|669900000|3095700000||2462900000|669900000||3132800000|886300000|632800000|2007300000||4347000000|124100000|81120940|AVY
2022-06-30|USD|8092400000|2948800000|164800000|164800000|990100000||5143600000|1451000000|2140800000|2738600000|882600000|1856000000|||31200000|228800000|834100000|6155500000|3000500000|1410900000||738600000|738600000|3155000000||2493400000|738600000||3232000000|851000000|661600000|1936900000||4182000000|124100000|81373833|AVY
2022-03-31|USD|8138800000|2894300000|147100000|147100000|960900000||5244500000|1477500000|2172700000|2800800000|910800000|1890000000|||32100000|234900000|837400000|6206300000|2723200000|1372500000||494900000|494900000|3483100000||2773800000|494900000||3268700000|855800000|709300000|1932500000||4023200000|124100000|82014117|AVY
2021-12-31|USD|7971600000|2734600000|162700000|162700000|907200000|1424500000|5237000000|1477700000|2148500000|2792900000|911400000|1881500000|||33400000|240200000|836200000|6047200000|2547900000|1298800000|53200000|318800000|318800000|2785900000|11700000|2774200000|318800000||3093000000|905600000|713400000|1924400000|2659800000|3880700000|124100000|82605953|AVY
2021-09-30|USD|7967700000|2778500000|207200000|207200000|879100000||5189200000|1405500000|2130900000|2828200000|931500000|1896700000|||33900000|251000000|802800000|6168500000|2609400000|1268200000||398800000|398800000|3559100000||2800200000|398800000||3199000000|942400000|758900000|1799200000|-2606400000|3749700000|124100000|82833721|AVY
2021-06-30|USD|6422500000|2741600000|344800000|344800000|824800000||3680900000|1344800000|2146000000|1361700000|216700000|1145000000|||33900000|233100000|785900000|4718900000|2082500000|1226500000||33600000|33600000|2636400000||2020200000|33600000||2053800000|822400000|616200000|1703600000|-2576700000|3637300000|124100000|82951904|AVY
2021-03-31|USD|6273200000|2632400000|328000000|328000000|786700000||3640800000|1329000000|2114400000|1363500000|221900000|1141600000|||33000000|216300000|746900000|4691300000|2058500000|1178000000||116900000|116900000|2632800000||2025900000|116900000||2142800000|763600000|606900000|1581900000|-2546300000|3504400000|124100000|83056656|AVY
2020-12-31|USD|6083900000|2416200000|252300000|252300000|717200000||3682700000|1343700000|2132600000|1361300000|224900000|1136400000|||32600000|211500000|765000000|4599000000|1926000000|1050900000|20300000|64700000|59100000|2673000000|22900000|2029200000|64700000||2088300000|810400000|620900000|1484900000|-2501000000|3349300000|124100000|83151174|AVY
2020-09-30|USD|5720800000|2374500000|284700000|284700000|662600000||3346300000|1233900000|2067600000|1253400000|194100000|1059300000|||32100000|214500000|655700000|4386200000|1816000000|932800000||124100000|124100000|2570200000||2020000000|124100000||2144100000|759100000|550200000|1334600000|-2451400000|3205500000|124100000|83451316|AVY
2020-06-30|USD|5651700000|2324600000|262600000|262600000|726600000||3327100000|1228800000|2006900000|1235300000|195500000|1039800000|5900000||31000000|220800000|651900000|4437800000|1909500000|956500000||268600000|268600000|2528300000||1997600000|268600000||2266200000|684400000|530700000|1213900000|-2447200000|3100200000|124100000|83448042|AVY
2020-03-31|USD|6260900000|2913600000|742000000|742000000|723300000||3347300000|1232000000|1961400000|1225700000|197600000|1028100000|4700000||29900000|225800000|664800000|5087500000|2560100000|1030800000||832300000|832300000|2527400000||1988000000|832300000||2820300000|697000000|539400000|1173400000|-2456000000|3064800000|124100000|83321087|AVY
2019-12-31|USD|5488800000|2340600000|253700000|253700000|663000000||3148200000|1210700000|1960900000|1057300000|126500000|930800000|4600000|8800000|30200000|211700000|654800000|4284800000|2253800000|1066100000|12900000|440200000|175200000|2031000000|24000000|1475300000|260500000||1650500000|747500000|531700000|1204000000|-2425100000|2979100000|124100000|83366840|AVY
2019-09-30|USD|5338700000|2333400000|224200000|224200000|665000000||3005300000|1142100000|1940600000|1049500000|129100000|920400000|8800000|8800000|31500000|220000000|617900000|4281300000|2267900000|1041200000|11800000|514200000|470900000|2013400000|19400000|1483700000|39600000||1997900000|516700000|529700000|1057400000|-2393900000|2861700000|124100000|83584779|AVY
2019-06-30|USD|5389700000|2377200000|247300000|247300000|671000000||3012500000|1143800000|1946800000|1077100000|136300000|940800000|9800000|9800000|28900000|226900000|611400000|4327200000|2278500000|1055400000|13200000|558500000|514300000|2048700000|15900000|1503300000|40600000||2061800000|664600000|545400000|1062500000|-2311800000|2762300000|124100000|84227395|AVY
2019-03-31|USD|5353700000|2323700000|225700000|225700000|688300000||3030000000|1144900000|1938100000|1077800000|140600000|937200000|10500000|10500000|26400000|211000000|615800000|4361800000|2040500000|1033700000||350300000|350300000|2321300000|15900000|1759900000|350300000||2110200000|656500000|561400000|991900000|-2287800000|2663500000|124100000|84399377|AVY
2018-12-31|USD|5177500000|2298000000|232000000|232000000|651400000||2879500000|1137400000|1916300000|1085800000|144000000|941800000|6700000|6700000|26100000|224900000|451000000|4222400000|1994000000|1030500000|11800000|194600000|176400000|2228400000||1750900000|18200000||1927300000|768900000||955100000|-2223900000|2864900000|124100000|84723655|AVY
2018-09-30|USD|5181900000|2358800000|217600000|217600000|682500000||2823100000|1086900000|1905500000|1101700000|148600000|953100000|7200000|7200000|25400000|219400000|439400000|4134800000|2358200000|1048000000|16400000|571700000|571700000|1776600000||1295300000|||1867000000|543400000||1047100000|-2008400000|2809400000|124100000|87013446|AVY
2018-06-30|USD|5163100000|2328100000|215800000|215800000|660800000||2835000000|1084500000|1889800000|1109700000|154700000|955000000|8000000|8000000|22300000|213400000|441800000|4141200000|2109200000|1034400000|16700000|384300000|384300000|2032000000||1289700000|1674000000||1674000000|690500000||1021900000|-1939100000|2702100000|124100000|87613941|AVY
