fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|92603000000|29780000000|10346000000|11148000000|2557000000|10747000000|66900000000|7136000000|4949000000|45026000000|23307000000|21719000000|2181000000|918000000|802000000|5617000000|6105000000|76215000000|23774000000|3602000000|230000000|2046000000|2046000000|56654000000|1551000000|49431000000|1828000000|47603000000|51477000000|18126000000|4469000000|16335000000|43655000000|14912000000|292000000|2030000000|BMY
2024-09-30|USD|93670000000|28075000000|7890000000|8782000000|3332000000|11026000000|69268000000|6903000000|4836000000|48715000000|26964000000|21751000000|1377000000|902000000|892000000|5623000000|6044000000|76470000000|22638000000|3469000000|247000000|1078000000|1078000000|58312000000|1648000000|49547000000|873000000|48674000000|50625000000|18091000000|4728000000|17142000000|43675000000|16097000000|292000000|2028000000|BMY
2024-06-30|USD|94646000000|26890000000|6293000000|7246000000|3077000000|11423000000|71576000000|6845000000|5087000000|51160000000|29428000000|21732000000|1795000000|979000000|953000000|5737000000|6071000000|77577000000|23265000000|3751000000|263000000|3531000000|3531000000|59057000000|1615000000|51950000000|3092000000|48858000000|55481000000|15983000000|4993000000|17015000000|43690000000|16103000000|292000000|2027000000|BMY
2024-03-31|USD|99031000000|28669000000|9330000000|10232000000|2985000000|10447000000|74284000000|6750000000|4943000000|54498000000|32760000000|21738000000|1626000000|951000000|902000000|5567000000|6024000000|82483000000|25822000000|3539000000|282000000|6190000000|6190000000|63145000000|1732000000|52360000000|2873000000|49487000000|58550000000|16093000000|6732000000|16490000000|43697000000|15640000000|292000000|2023000000|BMY
2023-12-31|USD|95159000000|31770000000|11464000000|12739000000|2662000000|10921000000|66947000000|6646000000|4803000000|48241000000|27072000000|21169000000|1941000000|906000000|1275000000|5907000000|5370000000|65674000000|22262000000|3259000000|300000000|3119000000|3119000000|49833000000|1692000000|39526000000|2873000000|36653000000|42645000000|15884000000|6421000000|29430000000|43766000000|28766000000|292000000|2027000000|BMY
2023-09-30|USD|91263000000|27632000000|7514000000|8031000000|2436000000|10304000000|66805000000|6481000000|4651000000|50097000000|28950000000|21147000000|1845000000|557000000|517000000|7207000000|5214000000|62201000000|23462000000|2813000000|316000000|5467000000|5467000000|44942000000|1663000000|37010000000|4873000000|32137000000|42477000000|15182000000|6203000000|28998000000|43075000000|28218000000|292000000|2057000000|BMY
2023-06-30|USD|93489000000|28074000000|8372000000|9578000000|2364000000|10112000000|68227000000|6355000000|4477000000|52466000000|31303000000|21163000000|1593000000|520000000|1206000000|6868000000|5022000000|61459000000|20150000000|3069000000|305000000|3020000000|3020000000|47211000000|1510000000|37070000000|2414000000|34656000000|40090000000|14061000000|5902000000|31973000000|39680000000|27449000000|292000000|2093000000|BMY
2023-03-31|USD|94281000000|27086000000|8995000000|10176000000|2605000000|10054000000|69867000000|6279000000|4242000000|54731000000|33569000000|21162000000|1327000000|524000000|1181000000|5158000000|4868000000|62395000000|19085000000|3194000000|308000000|2752000000|2752000000|49974000000|1541000000|37332000000|2254000000|35078000000|40084000000|13139000000|6664000000|31824000000|38808000000|26568000000|292000000|2099000000|BMY
2022-12-31|USD|96820000000|27273000000|9123000000|10357000000|2339000000|9886000000|72136000000|6255000000|4164000000|57008000000|35859000000|21149000000|1111000000|546000000|1234000000|5795000000|4940000000|65702000000|21890000000|3040000000|283000000|4264000000|4264000000|50402000000|1397000000|38953000000|3897000000|35056000000|43217000000|14586000000|6590000000|31061000000|38618000000|25503000000|292000000|2109000000|BMY
2022-09-30|USD|98196000000|26796000000|7734000000|9946000000|2074000000|9613000000|73777000000|6035000000|4139000000|59291000000|38179000000|21112000000|4179000000|535000000|2212000000|6082000000|4745000000|65462000000|18930000000|2595000000|296000000|2132000000|2132000000|53217000000|1012000000|38869000000|1903000000|36966000000|41001000000|14203000000|6685000000|32671000000|36411000000|24675000000|292000000|2133000000|BMY
2022-06-30|USD|100357000000|30186000000|10750000000|14281000000|2142000000|9054000000|72613000000|5970000000|4025000000|58136000000|37690000000|20446000000|6134000000|569000000|3531000000|5762000000|4728000000|67696000000|20915000000|2882000000|307000000|4953000000|4953000000|53421000000|982000000|41753000000|4646000000|37107000000|46706000000|13080000000|6640000000|32600000000|35292000000|24217000000|292000000|2133000000|BMY
2022-03-31|USD|103034000000|30121000000|12369000000|16422000000|2104000000|8511000000|75655000000|6047000000|4168000000|60603000000|40103000000|20500000000|6115000000|629000000|4053000000|4538000000|4845000000|71389000000|22821000000|2944000000|319000000|7522000000|7522000000|55877000000|1023000000|44747000000|7297000000|37450000000|52269000000|12355000000|7309000000|31580000000|35187000000|23948000000|292000000|2146000000|BMY
