fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|8230600000|1508400000|289900000|290600000||-12700000|8076700000|159200000||4840900000|1346000000|3494900000|248800000|284800000|700000|178200000|858300000|6002300000|1114300000|198300000|1345400000|||5308500000|211400000|3655600000||3655600000|3655600000|876100000|539500000|2228300000|2483000000|3451400000|1600000|117000000|BR
2024-09-30|USD|8017100000|1350200000|292800000|293500000||-10300000|8019200000|160300000||4777100000|1265400000|3511700000|221000000|285100000|700000|162200000|847400000|5810700000|972400000|168000000|1317000000||39500000|5260100000|216900000|3585900000||3585900000|3585900000|528100000|538500000|2206400000|2484900000|3412000000|1600000|116900000|BR
2024-06-30|USD|8242400000|1540900000|304400000|305200000|30500000|-9700000|8263400000|162200000||4776600000|1307200000|3469400000|231300000|271100000|800000|170900000|870600000|6074200000|1421800000|314000000|1393200000||-301900000|5133400000|221800000|3355100000|0|3355100000|3355100000|729900000|550900000|2168200000|2489200000|3435100000|1600000|116700000|BR
2024-03-31|USD|8215400000|1565100000|235600000|236400000||-7900000|8017200000|155000000||4769100000|1317200000|3451900000|209900000|262400000|800000|164300000|821000000|5948200000|1122400000|158100000|1425700000||-238100000|5210900000|212300000|3513900000|0|3513900000|3513900000|653000000|498400000|2267200000|2171100000|3205300000|1600000|118000000|BR
2023-12-31|USD|7999800000|1363600000|277000000|277700000|1|-6600000|7989800000|143200000||4776900000|1347600000|3429300000|193900000|256400000|700000|194400000|785500000|5932200000|971200000|136500000|1350300000||39100000|5345900000|222100000|3652900000|0|3652900000|3652900000|769700000|479400000|2067600000|2176600000|3085900000|1600000|117700000|BR
2023-09-30|USD|8071200000|1326900000|234000000|234700000||-6600000|8126300000|144000000||4848200000|1403700000|3444500000|217800000|243400000|700000|176700000|817500000|5958400000|924000000|143200000|1335400000||40100000|5415700000|231900000|3682000000|0|3682000000|3682000000|560400000|469900000|2112700000|2178600000|3109800000|1600000|117600000|BR
2023-06-30|USD|8233200000|1392500000|252300000|253000000|34100000|-7200000|8414100000|145700000||4928800000|1467200000|3461600000|208700000|241900000|700000|166200000|829200000|5992600000|2397800000|157300000|1385200000|1178500000|1178500000|4045200000|239400000|3413300000|1178500000|2234700000|3413300000|862200000|476000000|2240600000|2026100000|3113000000|1600000|118100000|BR
2023-03-31|USD|8432300000|1568200000|331600000|332300000|1|-6900000|8847200000|138100000||4340100000|892900000|3447200000|228600000|233800000|700000|140400000|866400000|6433400000|1163000000|183800000|1036300000||38900000|5665800000|249900000|4076600000||4076600000|4076600000|736100000|483300000|1998900000|2017000000|2874500000|1600000|117700000|BR
2022-12-31|USD|8051300000|1282700000|280000000|280600000|1|-5900000|8669000000|143300000||4319400000|931200000|3388200000|225300000|228600000|600000|142500000|867900000|6264700000|1018900000|169800000|911700000||39200000|5640900000|256300000|4105400000||4105400000|4105400000|615200000|474800000|1786600000|2017200000|2761300000|1600000|117700000|BR
2022-09-30|USD|8090600000|1222000000|227100000|227700000|1|-6100000|8747800000|145100000||4437300000|1003300000|3434000000|277900000|222500000|600000|154900000|926500000|6186900000|991700000|167100000|778200000||42100000|5588600000|263800000|4064200000||4064200000|4064200000|546900000|470300000|1903700000|2017700000|2789100000|1600000|117700000|BR
2022-06-30|USD|8168800000|1328400000|224700000|225300000|29300000|-6800000|8673200000|150900000||4562000000|1077100000|3484900000|220000000|221600000|600000|156800000|895300000|6249800000|1313400000|244900000|828600000||45400000|5389200000|273200000|3793000000|0|3793000000|3793000000|824600000|481500000|1919100000|2024800000|2824000000|1600000|117300000|BR
2022-03-31|USD|8349500000|1495100000|277200000|277800000||-5200000|8337700000|164700000||4748900000|1170500000|3578400000|155600000|208200000|600000|229900000|818400000|6528400000|1176800000|197500000|862000000||40000000|5789000000|285900000|4167000000||4167000000|4167000000|661500000|536400000|1821000000|2015300000|2650900000|1600000|116900000|BR
2021-12-31|USD|8115900000|1266600000|281200000|281900000||-5800000|7204400000|169700000||4916800000|1253000000|3663800000|133600000|215000000|700000|205900000|768100000|6367900000|1087800000|192200000|818600000||40500000|5723600000|289300000|4156600000||4156600000|4156600000|581800000|524200000|1748100000|2018400000|2549100000|1600000|116800000|BR
2021-09-30|USD|8028400000|1211100000|316700000|317300000||-6400000|7154500000|167200000||5023500000|1346200000|3677300000|128200000|203300000|600000|164400000|755700000|6274500000|966800000|156900000|753200000||40400000|5755900000|300400000|4165900000||4165900000|4165900000|543800000|549200000|1753800000|2027000000|2576600000|1600000|116300000|BR
2021-06-30|USD|8119800000|1261300000|274500000|275200000|23200000|-9300000|8226700000|177200000||5145100000|1425000000|3720100000|121300000|194000000|700000|166400000|762500000|6310600000|1288000000|248900000|765000000||40200000|5511200000|303300000|3887600000|0|3887600000|3887600000|813600000|537200000|1809100000|2030900000|2583800000|1600000|116100000|BR
2021-03-31|USD|5186800000|1378600000|355800000|356800000||-8200000|4116500000|167200000||2270100000|546800000|1723300000|122800000|173500000|1000000|151800000|1370900000|3597400000|1002600000|182300000|628500000||35900000|3014200000|292400000|1737700000|0|1737700000|1737700000|595700000|511900000|1589300000|2019600000|2390200000|1600000|115900000|BR
2020-12-31|USD|4858300000|1148500000|365600000|366200000||-7100000|4024600000|167100000||2248600000|543000000|1705600000|115100000|173400000|600000|157900000|1294100000|3424300000|837900000|131600000|589800000||40200000|3012000000|298100000|1770600000|0|1770600000|1770600000|484100000|499100000|1434000000|2021800000|2291800000|1600000|115800000|BR
2020-09-30|USD|4749700000|1120000000|356600000|357000000||-7500000|3918400000|161700000||2261900000|560500000|1701400000|108900000|159400000|400000|144400000|1206100000|3335900000|743900000|120000000|568200000||40700000|3026700000|309400000|1776100000|0|1776100000|1776100000|435000000|508600000|1413800000|2025500000|2302100000|1600000|115600000|BR
