fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|42575442000|2353332000|2353332000|2353332000|||6195730000|516857000|461216000|2064467000|174265000|1890202000|28322715000|357900000||-7997764000||23110501000|2620530000||||44892000|1091779000||10885746000|||10885746000|2620530000||7007657000||760471000|7000|730699964|BX
2024-06-30|USD|40585029000|2381436000|2381436000|2381436000|||6229539000|521935000|442651000|2073448000|183246000|1890202000|26426289000|348700000|-26373172000|-7716436000||21910734000|5703156000||||84739000|16207578000||10824342000|||10824342000|-84739000||6833573000||607564000|7000|722540712|BX
2024-03-31|USD|39706302000|2504471000|2504471000|2504471000|||6013251000|534674000|417903000|2082429000|192227000|1890202000|25922290000|333900000||-7566708000||21228868000|5378212000||||124596000|15850656000||10878081000|||10878081000|-2023359000||6955068000||796201000|7000|722263433|BX
2023-12-31|USD|40287530000|2955866000|2955866000|2955866000|||6149962000|542753000|394602000|2101208000|201208000|1890202000|26146622000|333300000||-7931949000||22212316000|2440261000||||163003000|22212316000||11605882000|||11605882000|-2440261000||6816798000||660734000|7000|719358114|BX
2023-09-30|USD|41663823000|2971614000|2971614000|2971614000|8201914000||6066628000|536445000|372231000|2100412000|210210000|1890202000|27339857000|380200000||-8201914000||22853102000|1588748000||||0|13092993000||12340132000|||12340132000|-1588748000||7132823000||1114009000|7000|718442863|BX
2023-06-30|USD|41582784000|3280204000|3280204000|3280204000|8454113000||6048237000|495141000|355673000|2109423000|219221000|1890202000|27048621000|378500000||-8454113000||22492305000|18262000|||18262000|18262000|13331930000||12473329000|||12491591000|-1377838000||7219447000||1160278000|7000|713551859|BX
2023-03-31|USD|41086439000|2830971000|2830971000|2830971000|3538758000||6051093000|458329000|338777000|2120497000|230295000|1890202000|26985951000|371500000|30068474000|-8045992000||22372614000|19563000|||19563000|19563000|20049923000||12462792000|||12482355000|-522810000|1040252000|7090837000||1156109000|7000|712794968|BX
2022-12-31|USD|42524227000|4252003000|4252003000|4252003000|9103326000||5854405000|411713000|336621000|2107489000|217287000|1890202000|27553251000|375500000|30068474000|-9103326000||22843160000|89944000|||89944000|89944000|1158071000||12491000000|||12580944000|-1158071000|1115223000|7655911000||1748106000|7000|710276923|BX
2022-09-30|USD|40259321000|3480003000|3480003000|3480003000|8439380000||5527765000|387066000||2122298000|232096000|1890202000|26256148000|362700000|26256148000|-8439380000||20523936000|313138000|||313138000|313138000|1141905000||9391027000|||9704165000|-1141905000|1325553000|7585676000||1869463000|7000|709040610|BX
2022-06-30|USD|41631308000|4183380000|4183380000|4183380000|8978751000||7486890000|316389000||2137190000|246988000|1890202000|27323758000|2500000000|27323758000|-8978751000||20297210000|152529000|||152529000|152529000|991620000||9496800000|||9649329000|-991620000|1173433000|8631167000||2803100000|7000|706476877|BX
2022-03-31|USD|43344078000|3868567000|3868567000|3868567000|30722541000||7138394000|286615000||2155888000|265686000|1890202000|30068474000|2500000000|25104195000|-8501039000||21103051000|77289000|||77289000|77289000|17288566000||9060050000|||9137339000|-359432000|1090640000|9659967000||3805918000|7000|707180830|BX
2021-12-31|USD|41196408000|2119738000|2119738000|2119738000|7493215000||7299620000|244608000|278844000|2184384000|284384000|1890202000|28665043000|2500000000|22163322000|-7493215000||19490362000|57980000|||57980000|57980000|937169000||7855601000|||7913581000|-178080000|993862000|9422893000||3647785000|7000|704339774|BX
2021-09-30|USD|39038092000|5011433000|5011433000|5011433000|9339548000||4506299000|239117000||2193284000|303082000|1890202000|25104195000|211400000||-9339548000||18160227000|36545000|||36545000|36545000|871661000||7637100000|||7673645000|-281229000|935222000|9054043000||3031765000|7000|693612698|BX
2021-06-30|USD|33297192000|2467444000|2467444000|2467444000|6319491000||4612837000|242072000||2211982000|321780000|1890202000|22163322000|113100000||-6319491000||14750178000|57247000|||57247000|57247000|1205182000||5678799000|||5736046000|-116730000|934182000|8406156000||2133794000|7000|691093463|BX
