fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|47002000000|35756000000|3810000000|3810000000|16904000000|12369000000|11246000000|2558000000||7436000000|1948000000|5488000000||||2623000000|1252000000|49993000000|35223000000|31298000000||544000000|544000000|7062000000||7648000000|544000000||7648000000|3381000000|7638000000|-2991000000|6026000000|283000000|2932000000|242000000|CAH
2024-09-30|USD|43059000000|32905000000|2867000000|2867000000|15619000000|11781000000|10154000000|2535000000||6388000000|1663000000|4725000000||||2591000000|1231000000|46336000000|34678000000|30365000000||940000000|940000000|4224000000||4224000000|940000000||5200000000|3373000000|7433000000|-3277000000|5963000000|14000000|2827000000|243000000|CAH
2024-06-30|USD|45121000000|34884000000|5133000000|5333000000|14957000000|12084000000|10814000000|2529000000|4166000000|6450000000|1725000000|4725000000|||200000000|2663000000|1258000000|48334000000|35640000000|31759000000||495000000|61000000|5058000000|75000000|5039000000|401000000||5100000000|3447000000|8035000000|-3213000000|5677000000|-286000000|2917000000|245000000|CAH
2024-03-31|USD|45880000000|35734000000|3718000000|3718000000|17277000000|11566000000|10146000000|2470000000||6507000000|1719000000|4788000000||||3161000000|1169000000|49145000000|36306000000|32089000000||1187000000|1187000000|4667000000||5844000000|1187000000||5844000000|3030000000|8169000000|-3265000000|5703000000|-289000000|2887000000|243000000|CAH
2023-12-31|USD|46573000000|37658000000|4591000000|4591000000|18451000000|11788000000|8915000000|2446000000||5371000000|1347000000|4024000000||||2816000000|1098000000|50022000000|38286000000|34259000000||1188000000|1188000000|3535000000||3535000000|1188000000||4700000000|2839000000|8199000000|-3449000000|5724000000|-425000000|2855000000|245000000|CAH
2023-09-30|USD|43710000000|34688000000|3854000000|3854000000|16987000000|11265000000|9022000000|2441000000||5432000000|1407000000|4025000000||||2582000000|1149000000|47201000000|35065000000|31540000000||788000000|788000000|3890000000||3890000000|788000000||4700000000|2737000000|8245000000|-3491000000|5400000000|-654000000|2728000000|249000000|CAH
2023-06-30|USD|43349000000|33737000000|4076000000|4043000000|16119000000|11108000000|10101000000|2461000000|3849000000|6085000000|1472000000|4613000000||||2294000000|1066000000|46269000000|33740000000|29934000000||836000000|44000000|4284000000|59000000|4656000000|765000000||4700000000|42000000|8653000000|-2958000000|4911000000|-534000000|2746000000|255000000|CAH
2023-03-31|USD|43377000000|33497000000|3990000000|3990000000|16620000000|10992000000|9880000000|2362000000||6567000000|1567000000|5000000000||||1895000000|951000000|45597000000|32503000000|29601000000||26000000|26000000|4708000000||4708000000|26000000||4734000000|2876000000|8384000000|-2220000000|4554000000|-342000000|2818000000|256000000|CAH
2022-12-31|USD|44482000000|34596000000|3654000000|3654000000|17263000000|11421000000|9886000000|2341000000||6618000000|1632000000|4986000000||||2258000000|927000000|46695000000|33212000000|30083000000||577000000|577000000|4685000000||4685000000|577000000||5262000000|-6245000000|8797000000|-2213000000|4254000000|-560000000|2747000000|261000000|CAH
2022-09-30|USD|43387000000|32696000000|3492000000|3492000000|15891000000|11039000000|10691000000|2339000000||7367000000|1692000000|5675000000||||2274000000|985000000|45168000000|31559000000|28362000000||578000000|578000000|4689000000||4689000000|578000000||5300000000|-6300000000|4689000000|-1781000000|3880000000|-301000000|2576000000|271000000|CAH
2022-06-30|USD|43878000000|32935000000|4717000000|4717000000|15636000000|10561000000|11468000000|2361000000|3522000000|7629000000|1774000000|5855000000||||2021000000|953000000|44587000000|30550000000|27128000000||580000000|580000000|5123000000|49000000|5343000000|557000000||5300000000|2842000000||-709000000|3128000000|-280000000|2813000000|273000000|CAH
2022-03-31|USD|42111000000|30884000000|2356000000|2356000000|15493000000|10250000000|11227000000|2298000000||8022000000|1855000000|6167000000||||2785000000|907000000|42808000000|28715000000|24821000000||861000000|861000000|4751000000||4751000000|861000000||5612000000|3033000000||-697000000|3100000000|-281000000|2761000000|275000000|CAH
2021-12-31|USD|43680000000|31847000000|3161000000|3161000000|14941000000|9406000000|11833000000|2321000000||8599000000|1943000000|6656000000||||4339000000|913000000|42682000000|27729000000|24759000000||301000000|301000000|5342000000||5342000000|301000000||5643000000|2669000000||998000000|2883000000|1245000000|2721000000|279000000|CAH
2021-09-30|USD|42993000000|29731000000|2463000000|2463000000|14720000000|9305000000|13262000000|2336000000||10005000000|2026000000|7979000000||||3243000000|921000000|41600000000|26499000000|23408000000||301000000|301000000|5353000000||5353000000|301000000||5700000000|3033000000||1393000000|2547000000|1335000000|2666000000|287000000|CAH
2021-06-30|USD|44453000000|31048000000|3407000000|3407000000|14594000000|9103000000|13405000000|2360000000|3228000000|10094000000|2105000000|7989000000||||2843000000|951000000|42662000000|27624000000|23700000000||871000000|871000000|5365000000|45000000|6207000000|852000000||6200000000|96000000||1791000000|2186000000|1205000000|2806000000|289000000|CAH
2021-03-31|USD|43874000000|30362000000|3499000000|3499000000|14329000000|8727000000|13512000000|2315000000||10179000000|2193000000|7986000000||||2715000000|1018000000|42084000000|25323000000|22641000000||16000000|16000000|6715000000||6715000000|16000000||6731000000|93000000||1790000000|2202000000|1233000000|2807000000|292000000|CAH
2020-12-31|USD|44719000000|30113000000|3737000000|3737000000|14443000000|8728000000|14606000000|2386000000||11102000000|2703000000|8399000000||||3205000000|1118000000|42748000000|25750000000|23235000000||13000000|13000000|6720000000||6720000000|13000000||6733000000|2502000000||1971000000|2009000000|1255000000|2778000000|294000000|CAH
2020-09-30|USD|41727000000|27030000000|2746000000|2746000000|13439000000|8637000000|14697000000|2369000000||11186000000|2811000000|8375000000||||2208000000|1142000000|40305000000|24016000000|21688000000||12000000|12000000|6728000000||6728000000|12000000||6700000000|2666000000||1422000000|2022000000|771000000|2760000000|293000000|CAH
2020-06-30|USD|40766000000|25940000000|2771000000|2771000000|13198000000|8264000000|15285000000|2366000000|2965000000|11275000000|2918000000|8357000000||||1707000000|1185000000|38977000000|23615000000|21374000000||10000000|10000000|7106000000|25000000|6823000000|1000000||6800000000|2231000000||1789000000|2066000000|1170000000|2789000000|293000000|CAH
2020-03-31|USD|41148000000|25848000000|2329000000|2329000000|12808000000|9019000000|15782000000|2299000000||11378000000|3039000000|8339000000||||1692000000|1623000000|39945000000|24671000000|21984000000||508000000|508000000|7135000000|10000000|6754000000|504000000||7262000000|2194000000||1203000000|2086000000|656000000|2774000000|292000000|CAH
2019-12-31|USD|41042000000|25736000000|1659000000|1659000000|13799000000|8280000000|15724000000|2301000000||11523000000|3167000000|8356000000||||1998000000|1482000000|40043000000|24890000000|21459000000||1192000000|1192000000|6742000000|11000000|6742000000|1188000000||7934000000|2239000000||999000000|2099000000|449000000|2752000000|292000000|CAH
2019-09-30|USD|39179000000|23715000000|1212000000|1212000000|12458000000|8190000000|15876000000|2324000000||11658000000|3298000000|8360000000||||1855000000|1482000000|38279000000|22549000000|19724000000||631000000|631000000|7360000000|12000000|7360000000|626000000||7991000000|2179000000||900000000|2039000000|371000000|2669000000|296000000|CAH
2019-06-30|USD|40963000000|25747000000|2531000000|2531000000|12822000000|8448000000|15216000000|2356000000|2812000000|11808000000|3430000000|8378000000||46000000||1946000000|1052000000|34635000000|24109000000|21535000000||452000000|452000000|7579000000||8031000000|452000000||8031000000|2122000000||6328000000|1790000000|5434000000|2763000000|297000000|CAH
