fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|14376700000|7661600000|946700000|1158400000|682500000|5414100000|7354500000|193100000||5684200000|1259700000|4424500000|||211700000|406600000|708600000|12027400000|5458600000|3179900000|979700000|423200000|423200000|6568800000|158700000|6030700000|423200000|5607500000|6030700000|1315900000|657500000|2349300000||-1350900000|1300000|133200000|CDW
2024-06-30|USD|13638700000|7043600000|665300000|665300000|724800000|5264100000|7083800000|186900000||5704300000|1295000000|4409300000||||1229500000|573000000|11463800000|6208100000|3118600000|936100000|1203500000|1607700000|5255700000|161700000|5628300000|1203500000|4424800000|5628300000|949700000|517500000|2174900000||-1481300000|1300000|133600000|CDW
2024-03-31|USD|13192800000|6633800000|803800000|803800000|670800000|4792600000|6964100000|190200000||5741000000|1331200000|4409800000||||753300000|492700000|11054100000|5261000000|2741100000|977100000|604700000|989500000|5793100000|167500000|5632300000|604700000|5027600000|5632300000|950800000|436300000|2138700000||-1474200000|1300000|134400000|CDW
2023-12-31|USD|13284600000|6705000000|588700000|588700000|668100000|5038000000|6917100000|195500000||5783100000|1369700000|4413400000|||0|1179100000|472200000|11242100000|5442000000|2881000000|1014800000|613100000|647100000|5800100000|164000000|11318200000|613100000|5031800000|5673300000|1374100000|432900000|2042500000||-1525500000|1300000|134100000|CDW
2023-09-30|USD|12875300000|6458400000|440700000|440700000|706400000|4908200000|6550500000|194900000||5802300000|1384900000|4417400000||||403100000|286600000|11065300000|4782100000|2616700000|929300000|40000000|40000000|6283200000|168800000|5701500000|40000000|5661500000|5701500000|1686500000|281100000|1810000000||-1686800000|1300000|134000000|CDW
2023-06-30|USD|12985900000|6488000000|203900000|203900000|789800000|5015200000|6647500000|194400000||5852800000|1424600000|4428200000||||997400000|313500000|11372700000|4997300000|2866800000|931400000|42200000|42200000|6375400000|173600000|5763200000|42200000|5721000000|5763200000|1646200000|300600000|1613200000||-1862800000|1300000|134000000|CDW
2023-03-31|USD|12768100000|6279900000|279400000|279400000|781100000|4731700000|6642700000|187400000||5820500000|1455000000|4365500000||||487700000|334600000|11199200000|4777900000|2644000000|1036300000|45700000|45700000|6421300000|171000000|5795600000|45700000|5749900000|5795600000|1592500000|307400000|1568900000||-1847000000|1400000|135000000|CDW
2022-12-31|USD|13131500000|6564000000|315200000|315200000|800200000|4950400000|6770500000|188800000||5833400000|1490700000|4342700000||||498200000|396100000|11528200000|4947100000|2821300000|1010800000|56300000|56300000|6581100000|175200000|11881700000|56300000|5866400000|5959000000|483200000|336100000|1603300000||-1763800000|1400000|135500000|CDW
2022-09-30|USD|13475600000|6895200000|384600000|384600000|914500000|5035800000|6780000000|188000000||5853000000|1525500000|4327500000|3000000|||560300000|385600000|12149600000|5358800000|3251100000|898200000|57800000|492400000|6790800000|180000000|6157800000|57800000|6100000000|6157800000|1177600000|302500000|1326000000||-1969300000|1400000|135300000|CDW
2022-06-30|USD|13653100000|7039800000|541600000|541600000|1020100000|4938500000|6792300000|194700000||5926200000|1556600000|4369600000|2000000|||539600000|337900000|12546900000|5415600000|3315600000|883500000|105500000|105500000|7131300000|179300000|6586900000|105500000|6481400000|6586900000|1563200000|255700000|1106200000||-2197700000|1400000|135200000|CDW
