fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|16046000000|5317000000|1096000000|1256000000|1987000000|1521000000|11460000000|4422000000|5705000000|5028000000|1756000000|3272000000|274000000|81000000|160000000|713000000|1084000000|15502000000|5759000000|1805000000||1312000000|660000000|11534000000|563000000|7005000000|652000000|7289000000|7665000000|2622000000|2111000000|212000000|27358000000|26145000000|1466000000|812574698|CL
2024-09-30|USD|16774000000|5806000000|1234000000|1234000000|2041000000|1712000000|11085000000|4421000000|5817000000|5223000000|1834000000|3389000000|31000000||6942000000|819000000|1105000000|15938000000|5565000000|1625000000||527000000|507000000|10373000000||7929000000|20000000|7909000000|8436000000|3066000000|2144000000|435000000|26913000000|25814000000|1466000000|817700000|CL
2024-06-30|USD|16480000000|5646000000|1110000000|1110000000|1922000000|1825000000|10966000000|4392000000|5775000000|5134000000|1814000000|3320000000|48000000||225000000|789000000|1094000000|15998000000|5350000000|1557000000||530000000|509000000|10648000000||8167000000|21000000|8146000000|8676000000|2864000000|2147000000|123000000|26736000000|25486000000|1466000000|819700000|CL
2024-03-31|USD|16571000000|5640000000|1079000000|1079000000|1914000000|1813000000|11075000000|4497000000|5764000000|5178000000|1837000000|3341000000|24000000||231000000|834000000|1034000000|15954000000|5314000000|1646000000||538000000|518000000|10640000000||8171000000|20000000|8151000000|8689000000|2720000000|2097000000|230000000|26343000000|25164000000|1466000000|822800000|CL
2023-12-31|USD|16393000000|5279000000|966000000|966000000|1934000000|1586000000|11817000000|4582000000|5704000000|5297000000|1887000000|3410000000|102000000|83000000|179000000|793000000|1021000000|15436000000|4741000000|1698000000||330000000|310000000|12505000000|515000000|8239000000|20000000|8219000000|8549000000|2282000000|2115000000|609000000|26017000000|25289000000|1466000000|821412769|CL
2023-09-30|USD|16043000000|5357000000|951000000|951000000|1931000000|1577000000|10789000000|4409000000|5570000000|5188000000|1861000000|3327000000|47000000||247000000|898000000|887000000|15637000000|4602000000|1482000000||34000000|18000000|11035000000||8706000000|16000000|8690000000|8724000000|2732000000|1915000000|-9000000|25834000000|24571000000|1466000000|825600000|CL
2023-06-30|USD|16227000000|5437000000|819000000|819000000|2039000000|1656000000|10911000000|4431000000|5557000000|5274000000|1901000000|3373000000|39000000||267000000|923000000|899000000|15912000000|4632000000|1544000000||35000000|19000000|11280000000||8970000000|16000000|8954000000|8989000000|2600000000|1963000000|-64000000|25541000000|24258000000|1466000000|829400000|CL
2023-03-31|USD|16173000000|5466000000|867000000|867000000|2110000000|1590000000|10841000000|4363000000|5452000000|5293000000|1918000000|3375000000|19000000||7764000000|899000000|872000000|15748000000|4441000000|1609000000||37000000|22000000|11307000000||8885000000|15000000|8870000000|8907000000|2758000000|2016000000|-6000000|25245000000|24153000000|1466000000|831400000|CL
2022-12-31|USD|15731000000|5113000000|775000000|775000000|2074000000|1504000000|11314000000|4307000000|5276000000|5272000000|1920000000|3352000000|93000000|70000000|175000000|760000000|904000000|14925000000|4004000000|1551000000||25000000|11000000|12447000000|505000000|8755000000|14000000|8741000000|8766000000|2295000000|1797000000|401000000|25128000000|24573000000|1466000000|830212606|CL
2022-09-30|USD|16288000000|5278000000|938000000|938000000|2073000000|1425000000|11111000000|4123000000|5195000000|5757000000|2219000000|3538000000|64000000||208000000|842000000|948000000|15235000000|4492000000|1541000000||29000000|16000000|10743000000||8232000000|13000000|8219000000|8248000000|2711000000|1973000000|622000000|24749000000|24566000000|1466000000|835700000|CL
