fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|35920000000|2790000000|103000000|103000000|769000000|561000000|33273000000|27461000000|9569000000||||69000000|69000000||103000000|384000000|27690000000|3521000000|||1198000000|2000000|23651000000|112000000|17578000000|1192000000|15194000000|22119000000|209000000|407000000|8230000000||2035000000|3000000|298800000|CMS
2024-09-30|USD|34817000000|2703000000|412000000|412000000|884000000|369000000|32114000000|26671000000|9312000000||||74000000|74000000||92000000|198000000|26706000000|2191000000|||504000000|1000000|23985000000|112000000|16554000000|503000000|15548000000|1000000|213000000|427000000|8111000000||1928000000|3000000|298800000|CMS
2024-06-30|USD|34355000000|2985000000|699000000|699000000|779000000|423000000|31370000000|25877000000|9160000000||||73000000|73000000||100000000|263000000|26352000000|2528000000|||768000000|1000000|23286000000|79000000|16451000000|767000000|14917000000|1000000|186000000|429000000|8003000000||1830000000|3000000|298700000|CMS
2024-03-31|USD|33901000000|3091000000|802000000|802000000|677000000|449000000|30810000000|25280000000|9006000000||||73000000|73000000||110000000|318000000|25955000000|2295000000|||768000000|1000000|23100000000|61000000|16507000000|767000000|14973000000|1000000|148000000|413000000|7946000000||1789000000|3000000|298600000|CMS
2023-12-31|USD|33517000000|2839000000|227000000|227000000|938000000|473000000|30775000000|25072000000|9007000000||||76000000|76000000||80000000|357000000|25973000000|2895000000|||980000000|3527000000|22497000000|62000000|16458000000|975000000|14508000000|19985000000|149000000|415000000|7544000000||1658000000|3000000|294400000|CMS
2023-09-30|USD|32513000000|2449000000|157000000|157000000|1060000000|295000000|30064000000|24694000000|8929000000||||74000000|74000000||91000000|166000000|25327000000|2719000000|||1038000000|1000000|22036000000|63000000|16188000000|1037000000|14114000000|248000000|163000000|429000000|7186000000||1495000000|3000000|291800000|CMS
2023-06-30|USD|32265000000|2603000000|389000000|389000000|887000000|312000000|29662000000|24264000000|8736000000||||72000000|72000000||125000000|221000000|25120000000|2737000000|||1127000000|1000000|21822000000|65000000|16177000000|1126000000|13925000000|1000000|187000000|415000000|7145000000||1463000000|3000000|291700000|CMS
2023-03-31|USD|31386000000|2989000000|571000000|571000000|726000000|1469000000|28397000000|23003000000|9126000000||||72000000|72000000||130000000|254000000|24306000000|2942000000|679000000||1426000000|1000000|20792000000|66000000|15835000000|1425000000|12985000000|1000000|154000000|407000000|7080000000||1410000000|3000000|291700000|CMS
2022-12-31|USD|31353000000|3433000000|164000000|164000000|1117000000|2243000000|28033000000|22713000000|8960000000||||71000000|71000000||113000000|310000000|24338000000|2985000000|928000000||1101000000|2000000|20773000000|68000000|15302000000|1090000000|13122000000|18313000000|166000000|397000000|7015000000||1350000000|3000000|291300000|CMS
2022-09-30|USD|30372000000|3026000000|168000000|168000000|1304000000|1544000000|27346000000|22340000000|8863000000||||70000000|70000000||103000000|1481000000|23459000000|2488000000|949000000||991000000|1000000|20380000000|70000000|14665000000|990000000|12685000000|1000000|170000000|383000000|6913000000||1315000000|3000000|290300000|CMS
