fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|42893000000|4270000000|112000000|643000000|733000000|1208000000|39093000000|31438000000|10453000000|3943000000||3943000000|532000000||531000000|1686000000|235000000|32358000000|3836000000|1684000000|101000000|51000000|0|28522000000||19466000000|51000000|19729000000|19466000000|461000000|786000000|10535000000||1468000000|6000000|651721174|CNP
2024-03-31|USD|40199000000|4286000000|161000000|619000000|663000000|1251000000|36427000000|29379000000|10252000000|3943000000||3943000000|461000000||458000000|1735000000|163000000|30201000000|3430000000|753000000|100000000|850000000|0|26771000000||18647000000|850000000|18117000000|18647000000|394000000|725000000|9998000000||1442000000|6000000|633166053|CNP
2023-12-31|USD|39715000000|3027000000|90000000|631000000|770000000|1320000000|37227000000|29853000000|10543000000|4160000000||4160000000|541000000||541000000|287000000|162000000|30048000000|3864000000|917000000|113000000|1059000000|4000000|26184000000||17559000000|1055000000|17559000000|17563000000|510000000|763000000|9667000000||1092000000|6000000|631225829|CNP
2023-09-30|USD|39001000000|3022000000|120000000|686000000|810000000|1174000000|36545000000|29171000000|10447000000|4161000000|1000000|4160000000|567000000||566000000|351000000|167000000|29416000000|3893000000|763000000|115000000|1259000000|4000000|25523000000||17685000000|1255000000|16838000000|17689000000|407000000|829000000|9585000000||1027000000|6000000|631209962|CNP
2023-06-30|USD|38097000000|2802000000|214000000|731000000|729000000|945000000|35886000000|28454000000|10320000000|4161000000|1000000|4160000000|518000000||517000000|396000000|186000000|27731000000|3184000000|832000000|115000000|758000000|2000000|24547000000||16380000000|756000000|16032000000|16382000000|347000000|833000000|10366000000||1032000000|6000000|631073571|CNP
2023-03-31|USD|37752000000|3139000000|114000000|662000000|781000000|1279000000|35266000000|27598000000|10253000000|4331000000|37000000|4294000000|549000000||548000000|416000000|222000000|27396000000|3150000000|934000000|165000000|557000000|500000000|24246000000||15679000000|57000000|15783000000|16179000000|344000000|793000000|10356000000||1034000000|6000000|631018976|CNP
2022-12-31|USD|38546000000|4699000000|74000000|584000000|876000000|1673000000|34525000000|27143000000|10585000000|4332000000|38000000|4294000000|522000000|2000000|510000000|1556000000|215000000|28504000000|5113000000|1352000000|155000000|2020000000|511000000|23388000000||14836000000|1509000000|14836000000|15347000000|452000000|774000000|10042000000||709000000|6000000|629535631|CNP
2022-09-30|USD|36719000000|4083000000|114000000|566000000|882000000|1088000000|33058000000|25910000000|10568000000|4334000000|40000000|4294000000|487000000|6000000|452000000|1377000000|214000000|26730000000|4611000000|1028000000|160000000|1992000000|514000000|22117000000||14673000000|1478000000|13435000000|15187000000|295000000|835000000|9989000000||719000000|6000000|629532024|CNP
2022-06-30|USD|36216000000|4443000000|555000000|1213000000|636000000|1102000000|32161000000|25015000000|10421000000|4335000000|41000000|4294000000|690000000|6000000|658000000|1350000000|229000000|26193000000|4318000000|1033000000|149000000|1586000000|7000000|21873000000||14576000000|1579000000|13237000000|14583000000|271000000|839000000|10023000000||768000000|6000000|629490422|CNP
2022-03-31|USD|35202000000|4188000000|125000000|845000000|512000000|1375000000|31417000000|24213000000|10282000000|4337000000|43000000|4294000000|759000000|6000000|720000000|1323000000|231000000|25251000000|4605000000|1036000000|137000000|1582000000|0|20645000000||13371000000|1582000000|12106000000|13371000000|283000000|834000000|9951000000||685000000|6000000|629432406|CNP
