fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|17638411000|8780948000|1303464000|1303464000||5267473000|8857463000|378424000||8080437000|2152599000|5927838000|64606000|64606000||4838011000|333996000|14551128000|8349672000|1825725000|3248012000|2491148000|1177148000|6174601000||15543017000|2491148000|5289125000|15543017000|385582000|440587000|3087283000|7932768000|8950450000|130000|69676923|CPAY
2024-06-30|USD|16196535000|7975697000|1357567000|1357567000|1|5230011000|8220838000|357759000||7502821000|1956855000|5545966000|64039000|64039000||2797118999|296219000|13445830000|7842547000|1902909000|2805354000|2515744000|2515744000|5578395000||14669623000|2515744000|4820501000|14669623000|283083000|315554000|2750705000|7843005000|8674053000|130000|69408935|CPAY
2024-03-31|USD|15830131000|7437366000|1311949000|1311949000|-34299999|5218003000|8392765000|351831000||7706838000|2033106000|5673732000|68299000|68299000|34300000|437687000|265797000|12575710000|6950928000|1849958000|2576749000|1901433000|1901433000|5596933000||13529447000|1901433000|4863960000|13529447000|256527000|261062000|3254421000|7209291000|8422428000|130000|71463894|CPAY
2023-12-31|USD|15476252000|7084265000|1389648000|1389648000|3058887000|4775586000|8479966000|343154000|514943000|7730621000|2085663000|5644958000|69521000|69521000|23500000|2226031000|248691000|12193893000|6825753000|1624995000|2442979000|2126749000|2150225000|5368140000||6722905000|2126749000|4596904000|6722905000|320612000|301752000|3282359000|6887515000|8192659000|129000|71715804|CPAY
2023-09-30|USD|15668554000|7264345000|1094234000|1094234000|2617279000|5447275000|8404209000|329992000||7718545000|2164999000|5553546000|67964000|67964000|45500000|493470000|685664000|12205016000|7142306000|1818606000|42600000|2345803000|2345803000|5466797000||13967909000|2345803000|4639092000|13967909000|3059628000|829586000|3059451000|6743022000|7936802000|129000|72203006|CPAY
2023-06-30|USD|15441083000|7185999000|1254243000|1254243000|2704992000|4956650000|8255084000|329146000||7580684000|2107081000|5473603000|69721000|69721000|28200000|503684000|674400000|11915217000|6698320000|1669852000|50800000|2071231000|2071231000|5479327000||13501318000|2071231000|4680598000|13501318000|2742952000|801069000|3263436000|6221297000|7665306000|128000|73950978|CPAY
2023-03-31|USD|15136543000|6907592000|1272456000|1272456000|2280945000|4937235000|8228951000|310390000||7577637000|2197587000|5380050000|67587000|67587000|8300000|436336000|651314000|11706063000|6752165000|1906461000|54200000|2097066000|2097066000|5502518000||13598498000|2097066000|4703816000|13598498000|2814700000|801968000|2881860000|6218921000|7425604000|128000|73819827|CPAY
2022-12-31|USD|14089260000|6106152000|1435163000|1435163000|-11999999|4638745000|8079060000|294692000|391429000|7332409000|2130974000|5201435000|74281000|74281000|12000000|440327000|281726000|11547767000|6043455000|1568942000|1562704000|2314056000|2336717000|5504312000||7036894000|2314056000|4725788000|7036894000|303517000|254009000|2541493000|6209324000|7210769000|128000|73356709|CPAY
2022-09-30|USD|14486024000|6586068000|1317544000|1317544000|-11300000|5148629000|7899956000|272589000||7238186000|2169232000|5068954000|74349000|74349000|11300000|618559000|314832000|12258972000|6638165000|1693988000|56100000|2476088000|2476088000|5620807000||14442420000|2476088000|4745122000|14442420000|478283000|304237000|2227052000|6099768000|6985450000|128000|73727244|CPAY
2022-06-30|USD|14710215000|6823469000|1423060000|1423060000|-3699999|5648585000|7886746000|260588000||7296610000|2220246000|5076364000|67067000|67067000|3700000|418451000|262481000|12022546000|6431895000|2014962000|60200000|2108108000|2108108000|5590651000||13751306000|2108108000|4767545000|13751306000|275263000|256672000|2687669000|5599426000|6736565000|128000|75934303|CPAY
2022-03-31|USD|14221413000|6176246000|1298226000|1298226000||5176643000|8045167000|254432000||7495170000|2314338000|5180832000|71062000|71062000||346165000|224503000|11316997000|6091928000|1957054000|67000000|1926983000|1926983000|5225069000||12686678000|1926983000|4416356000|12686678000|244542000|220049000|2904416000|5226860000|6474394000|127000|77339047|CPAY
2021-12-31|USD|13404653000|5488048000|1520027000|1520027000|1|4029274000|8003316000|236294000|328847000|7414363000|2335385000|5078978000|52016000|52016000||304179000|213932000|10538073000|5290351000|1406350000|1862405000|1517628000|11955333000|5247722000||5977667000|1517628000|4460039000|17933000000|208614000|221392000|2866580000|4804124000|6256442000|127000|78879551|CPAY
2021-09-30|USD|13454383000|5524291000|1271000000|1271000000||4267523000|7930092000|220643000||7471720000|2369457000|5102263000|11857000|11857000||345831000|225872000|10279398000|5666270000|1726705000|59600000|1901397000|1901397000|4613128000||11404449000|1901397000|3811674000|11404449000|177752000|258702000|3174985000|4270679000|6031438000|127000|81197846|CPAY
2021-06-30|USD|13026883000|5254143000|1301207000|1301207000|1|3787155000|7772740000|216681000||7323748000|2265574000|5058174000|11857000|11857000||407685000|220454000|9538036000|4980418000|1578266000|66300000|1346080000|1346080000|4557618000||10182442000|1346080000|3757581000|10182442000|195762000|259061000|3488847000|3864987000|5797431000|127000|82595087|CPAY
2021-03-31|USD|11427474000|4285373000|958322000|958322000||3420624000|7142101000|200161000||6744388000|2050919000|4693469000|11857000|11857000||821426999|185695000|8130975000|4313978000|1348983000|66700000|1364165000|1409365000|3816997000||8917352000|1364165000|3107067000|8917352000|203202000|233740000|3296499000|3618784000|5601184000|127000|83336476|CPAY
2020-12-31|USD|11194579000|3956318000|934900000|934900000||2766775000|7319912000|202509000|266177000|6835063000|2115882000|4719181000|7480000|7480000||954643000|193209000|7839168000|3968311000|1054478000|1248322000|1205697000|1254997000|3870857000||13027425000|1205697000|3156482000|13027425000|250133000|275123000|3355411000|3448402000|5416945000|126000|83666163|CPAY
2020-09-30|USD|11093999000|3971016000|788854000|788854000||2928695000|7122983000|189953000||6728786000|2115189000|4613597000|7480000|7480000||941467000|196764000|8156249000|4195807000|1297236000|53700000|1333769000|1333769000|3960442000||9006081000|1333769000|3179733000|9006081000|141432000|295530000|2937750000|3399356000|5207094000|126000|83396765|CPAY
2020-06-30|USD|10626717000|3464069000|765789000|820082000|1|2587343000|7162648000|185599000||6703554000|2121304000|4582250000|116066000|61773000|54293000|764936999|211722000|7660283000|3626968000|1096303000|944401000|1245178000|1245178000|4033315000||8919349000|1245178000|3226530000|8919349000|153818000|329621000|2966434000|3160960000|5018277000|126000|84049888|CPAY
2020-03-31|USD|11310150000|4129012000|1070681000|1091264000||2976056000|7263238000|183229000||6753623000|2169742000|4583881000|48651000|28068000|20583000|901274999|216218000|8513921000|4460076000|1058713000|970965000|1929770000|1913470000|4053845000||10346766000|1913470000|3273585000|10346766000|331596000|321053000|2796229000|3128730000|4859789000|125000|83770697|CPAY
2019-12-31|USD|12248541000|4618571000|1271494000|1271494000||3510907000|7716925000|199825000|213980000|7174929000|2341882000|4833047000|102540000|30440000|22955000|807143000|224776000|8536925000|4463068000|1249586000|1079431000|1763738000|1746838000|4073857000||14181409000|1746838000|3331974000|14181409000|183502000|263930000|3711616000|2523493000|4712729000|124000|85342156|CPAY
2019-09-30|USD|11914194000|4440007000|1058762000|1058762000|1|3687998000|7555387000|185522000||7023028000|2315645000|4707383000|26250000|26250000||685246999|239387000|8013884000|3978937000|1375929000|1027967000|1180614000|1165214000|4034947000||8963921000|1165214000|3326013000|8963921000|189170000|270293000|3900310000|1965944000|4477219000|123000|86770906|CPAY
2019-06-30|USD|11975592000|4386358000|1170339000|1170339000||3675183000|7663734000|190215000||7137659000|2417188000|4720471000|26635000|26635000||514836000|234725000|8132220000|4749210000|1523862000|942617000|1947594000|1932394000|3383010000||9248050000|1932394000|2706888000|9248050000|152824000|254523000|3843372000|1907608000|4251414000|123000|86535000|CPAY
2019-03-31|USD|11514915000|4172059000|1057465000|1057465000|1|3539459000|7342856000|186251000||6904738000|2355639000|4549099000|26506000|26506000||517135000|225361000|7983948000|4562098000|1518827000||1807318000|1807318000|3421850000||9061222000|1807318000|2738335000|9061222000|156254000|219574000|3530967000|1906906000|3989763000|123000|86189402|CPAY
2018-12-31|USD|11202477000|3875986000|1031145000|1031145000|1|3197815000|7326491000|186201000|165482000|6949984000|2407910000|4542074000|111474000|42674000||533025999|147632000|7862297000|4495213000|1117649000|957285000|2070616000|2070616000|3367084000||13609043000|2070616000|2786333000|13609043000|118669000|126707000|3340180000|1870584000|3817656000|123000|85845344|CPAY
2018-09-30|USD|11450890000|4132991000|924442000|924442000||3673339000|7317899000|184979000||6955975000|2438627000|4517348000|61332000|33032000||466210000|143913000|7888643000|4484468000|1616949000||1699548000|1699548000|3404174000||8985449000|1699548000|2812975000|8985449000|90531000|124486000|3562247000|1325539000|3515657000|123000|88648486|CPAY
2018-06-30|USD|11485133000|4049207000|919662000|919662000||3594937000|7435926000|179096000||7071438000|2515232000|4556206000|82859000|39859000||473608000|145533000|8046048000|4601514000|1532741000||1915685000|1915685000|3444534000||9537648000|1915685000|2873962000|9537648000|85789000|113300000|3439085000|1325539000|3357962000|123000|88376611|CPAY
2018-03-31|USD|11692465000|3907065000|979573000|979573000||3349762000|7785400000|184031000||7426808000|2682516000|4744292000|70659000|32859000||406730000|141702000|7804413000|4307676000|1609240000||1621913000|1621913000|3496737000||9021899000|1621913000|2910541000|9021899000|68882000|124055000|3888052000|1033180000|3181110000|123000|89637705|CPAY
2017-12-31|USD|11318359000|3549701000|913595000|913595000|1|3042011000|7768658000|180057000|130509000|7440780000|2724957000|4715823000|71859000|32859000||405094999|114962000|7641837000|4095502000|1437314000||1616512000|1616512000|3546335000||12772284000|1616512000|2945840000|12772284000|71033000|125319000|3676522000|944888000|2958921000|122000|89803982|CPAY
2017-09-30|USD|11330294000|3521501000|834756000|834756000||3044255000|7808793000|168065000||7520999000|2876440000|4644559000|184226000|33526000||436490000|86203000|7899876000|4172898000|1435585000||1602507000|1602507000|3726978000||9114737000|1602507000|2975747000|9114737000|117464000|50504000|3430418000|944887000|2676224000|122000|89558913|CPAY
2017-06-30|USD|10101711000|3045358000|564578000|564578000||2911563000|7056353000|154278000||6774849000|2562326000|4212523000|40845000|40845000||310217000|86381000|6696211000|3619026000|1240766000||1443444000|1443444000|3077185000||7692694000|1443444000|2411185000|7692694000|40169000|45402000|3405500000|594887000|2473401000|122000|91878784|CPAY
2017-03-31|USD|10009954000|2882091000|546560000|546560000|1|2712833000|7127863000|149037000|122497000|6861123000|2633651000|4227472000|40763000|40763000||298697999|76940000|6668142000|3500665000|1246182000||1407708000|1407707999|3167477000||7753843000|1407708000|2477798000|7753843000|43389000|40276000|3341812000|542495000|2342414000|122000|92257881|CPAY
2016-12-31|USD|9626732000|2527693000|475018000|475018000||2384009000|7099039000|142504000|110857000|6848383000|2653233000|4195150000|36200000|36200000||259666000|71952000|6542694000|3296318000|1151432000||1336506000|1336505999|3246376000||10983533000|1336506000|2534661000|10983533000|38781000|56069000|3084038000|542495000|2218721000|121000|91836938|CPAY
2016-09-30|USD|9916054000|2685156000|405435000|405435000||2646686000|7230898000|144486000|106908000|6942858000|2758877000|4183981000|79717000|79717000||289035000|63837000|6737533000|3454973000|1230339000||1383763000|1383763000|3282560000||7883169000|1383763000|2563286000|7883169000|39080000|37982000|3178521000|390309000|2123297000|121000|92765739|CPAY
2016-06-30|USD|8268708000|2350945000|493085000|493085000||2334385000|5917763000|90423000|99242000|5669684000|2112238000|3557446000|90803000|90803000||236475000|66853000|5186003000|2432290000|904151000||824158000|824158000|2753713000||5666388000|824158000|2010154000|5666388000|40303000|40665000|3082705000|380854000|1990492000|121000|92556276|CPAY
2016-03-31|USD|8011830000|2054581000|399318000|399318000||1982808000|5957249000|85605000|91562000|5719368000|2155157000|3564211000|82626000|82626000||223455000|69650000|5024061000|2238014000|796803000||742128000|742128000|2786047000||5551988000|742128000|2034827000|5551988000|42469000|39738000|2987769000|354659000|1876308000|121000|92551029|CPAY
2015-12-31|USD|7889806000|1944624000|447152000|447152000||1866954000|5946696000|80760000|82809000|5729629000|2183595000|3546034000|76568000|76568000||244518000|58225000|5059759000|2247474000|669528000||875647000|875100000|2812285000||8200810000|875100000|2065039000|8200810000|44936000|38957000|2830047000|354516000|1766336000|121000|92376334|CPAY
2015-09-30|USD|8285133000|2033543000|422390000|422390000|1|2061957000|6251590000|75860000|79127000|5982850000|2270524000|3712326000|125176000|125176000||214195999|67704000|5322562000|2441259000|760413000||1001624000|1001624000|2881303000||6180029000|1001624000|2090117000|6180029000|38290000|34768000|2962571000|353707000|1713506000|120000|92161210|CPAY
2015-06-30|USD|8574671000|2201006000|384175000|384175000|1|2339477000|6373665000|73162000|73816000|6105219000|2338148000|3767071000|121807000|121807000||241353999|73477000|5667667000|2721600000|815544000||1246342000|1246342000|2946067000||6720793000|1246342000|2115864000|6720793000|42038000|39687000|2907004000|346397000|1596736000|120000|91947247|CPAY
2015-03-31|USD|8504724000|2109265000|379393000|379393000||2131474000|6395459000|72066000|65542000|6131300000|2369922000|3761378000|124086000|124086000||277397999|68007000|5724550000|2756279000|775929000||1336108000|1336108000|2968271000||6957295000|1336108000|2145375000|6957295000|40680000|34186000|2780174000|346397000|1498058000|120000|91791859|CPAY
2014-12-31|USD|8524701000|2137350000|477069000|477069000|1|2023797000|6537156000|73563000|61499000|6099424000|2386242000|3713182000|141933000|141933000||311483999|72431000|5906139000|2896618000|716676000||1424764000|1424764000|3009521000||10106151000|1424764000|2168953000|10106151000|84546000|40629000|2618562000|346397000|1403905000|120000|91662043|CPAY
2014-09-30|USD|4224440000|1504675000|304109000|304109000||1502862000|2719765000|56184000|71156000|2422127000|865116000|1557011000|147512000|147512000||91304000|93942000|2665633000|1928690000|612691000||919945000|919945000|736943000||2709530000|919945000|434820000|2709530000|106665000|68428000|1558807000|375663000|1294365000|120000|83810345|CPAY
2014-06-30|USD|4253365000|1523054000|297642000|343795000||1537327000|2730311000|56500000|68695000|2421565000|848635000|1572930000|162383000|162383000|46153000|112485000|89863000|2777845000|2027988000|573482000||1021149000|1021149000|749857000||1046956000|1021149000|450207000|1471356000|115726000|53666000|1475520000|375663000|1198856000|118000|83050599|CPAY
2014-03-31|USD|4036717000|1471409000|283374000|330214000||1469753000|2565308000|54891000|63567000|2422428000|860898000|1561530000|||46840000|111782000|87989000|2670537000|1910093000|578507000||926368000|926368000|760444000||992784000|926368000|459916000|1386284000|119260000|52462000|1366180000|375663000|1110307000|118000|82936578|CPAY
2013-12-31|USD|3932235000|1353512000|338105000|386349000|1|1271351000|2578723000|53956000|57144000|2406935000|871263000|1535672000|||48244000|93055999|100779000|2708733000|1908898000|467202000||1011439000|1835378000|779444000||1137378000|1011439000|474939000|2972756000|132846000|55001000|1223502000|375663000|1035198000|117000|82471770|CPAY
2013-09-30|USD|3475105000|1490524000|345689000|395697000|1|1449901000|1992081000|48797000|59491000|1885907000|643938000|1241969000|||50008000|88933999|49877000|2301203000|1596960000|567420000||654890000|654890000|704243000||3401916000|654890000|479082000|3401916000|128085000||1173902000|375663000|967078000|117000|82164447|CPAY
2013-06-30|USD|3013089000|1405818000|292905000|341379000||1431675000|1615371000|46654000|54719000|1510350000|515702000|994648000|||48474000|83238000|50267000|1963075000|1300576000|528161000||548091000|548091000|662499000||3102264000|548091000|485997000|3102264000|224324001||1050014000|375663000|888458000|117000|81709804|CPAY
2013-03-31|USD|2890384000|1318066000|224613000|273960000|1|1396464000|1581118000|45892000|51212000|1475438000|502103000|973335000|||49347000|81988999|50988000|1907371000|1239829000|501036000||507375000|507375000|667542000||2998089000|507375000|491988000|2998089000|231418000||983013000|375663000|815359000|116000|81346505|CPAY
2012-12-31|USD|2721870000|1195354000|283649000|337323000||823441000|1526516000|45196000|48706000|1390473000|463864000|926609000|||53674000||90847000|1808048000|1142222000|418609000||460174000||665826000||3583564000|439875000|485217000|3583564000|20299000||913822000|375663000|750697000|116000|81037832|CPAY
2012-09-30|USD|2842121000|1317969000|300061000|352247000||1288818000|1524152000|46542000|70466000|1389500000|465785000|923715000|||52186000||88110000|1807053000|1355401000|533113000||583639000||451652000||2792506000|583639000|278863000|2792506000|||1035068000|175663000|690626000|116000|84384736|CPAY
2012-06-30|USD|2504689000|1198317000|255579000|305706000||1195796000|1306372000|35677000|66198000|1184480000|408731000|775749000|||50127000||86215000|1562769000|1135207000|474837000||454873000||427562000||2307469000|454873000|285950000|2307469000|||941920000|175663000|630978000|115000|83508817|CPAY
2012-03-31|USD|2560916000|1306780000|287119000|344328000||940810000|1254136000|34227000|65252000|1136899000|373412000|763487000|||57209000||83010000|1677875000|1269682000|534111000||520359000||408193000||2660609000|520359000|274883000|2660609000|||883041000|175663000|576577000|114000|82920231|CPAY
2011-12-31|USD|2349169000|1124268000|285159000|340921000||761791000|1211961000|32724000|60656000|1146343000|385607000|760736000|||55762000||45834000|1537733000|1126552000|478882000||420354000||411181000||2793246000|425836000|278429000|2793246000|||811436000|175663000|534498000|114000|81860213|CPAY
