fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|9138700000|5195100000|4937600000|4937600000||178800000|3029400000|921200000||2721300000|324700000|2396600000||||73000000||1647600000|539400000|84400000|227400000|4900000|77800000|1103800000|11800000|1000000000||991500000|1000000000|403900000||7491100000||2283200000|4099999|406800000|CSGP
2024-06-30|USD|9067300000|5207200000|4919500000|4919500000|1|203800000|3030800000|836900000||2726100000|342500000|2383600000||||156400000||1671600000|561700000|101000000|246200000|4500000|82400000|1105800000|11700000|1000000000||991200000|1000000000|400400000||7395700000||2230200000|4099999|406000000|CSGP
2024-03-31|USD|9034500000|5216200000|4951600000|4951600000|1|197400000|3043500000|774800000||2748700000|365000000|2383700000||||122800000||1691900000|573800000|113600000|234400000|4200000|88000000|1113600000|12300000|1000000000||990800000|1000000000|393700000||7342600000||2211000000|4099999|405600000|CSGP
2023-12-31|USD|8919700000|5476100000|5200000000|5200000000||190000000|3454400000|472200000|105500000|2699900000|313700000|2386200000||||111400000||1581100000|455800000|23100000|208600000|3100000|80000000|1121400000|9900000|1000000000||990500000|1000000000|363800000||7338600000||2204300000|4100000|408100000|CSGP
2023-09-30|USD|8771655000|5498724000|5229880000|5229880000||192831000|3272931000|403195000||2590408000|275095000|2315313000||||76013000||1561493000|413063000|25866000|195558000||40187000|1144294000|117687000|1000000000||990185000|1000000000|249427000||7210200000||2107844000|4082000|405649000|CSGP
2023-06-30|USD|8691674000|5444884000|5205295000|5205295000|1|181213000|3246790000|359455000||2616227000|295022000|2321205000||2005000||58376000||1590602000|442775000|61546000|226916000||40329000|1144868000|112040000|1000000000||989858000|1000000000|227669000|16978000|7101100000||2017270000|4081000|405429000|CSGP
2023-03-31|USD|8516912000|5297636000|5055646000|5055646000||181758000|3219276000|330836000||2630553000|312420000|2318133000||2005000||60232000||1551303000|401021000|31664000|236024000||36050000|1146984000|108145000|1000000000||989533000|1000000000|215502000|15295000|6965600000||1916750000|4076000|404490000|CSGP
2022-12-31|USD|8402500000|5185900000|5000000000|5000000000|1|153945000|3216603000|321300000|85500000|2644065000|329300000|2314800000||2005000||63952000||1532500000|372700000|28600000|207582000||36049000|1155620000|0|1000000000||989200000|1000000000|204539000|14001000|6870100000||1829600000|4100000|406671000|CSGP
2022-09-30|USD|8205863000|5006587000|4774465000|4774465000||157048000|3199276000|306319000||2644971000|343232000|2301739000||2005000||75074000||1498951000|325906000|31435000|200497000||34063000|1169173000|123004000|1000000000||988890000|1000000000|160355000|14603000|6706912000||1705247000|4065000|394712000|CSGP
2022-06-30|USD|7420748000|4180761000|3964116000|3964116000||161451000|3239987000|298361000||2699421000|385245000|2314176000||2005000||55194000||1536395000|349950000|32132000|210688000||35426000|1182430000|131530000|1000000000||988572000|1000000000|177554000|96104000|5884353000||1632957000|3957000|393342000|CSGP
2022-03-31|USD|7357442000|4100258000|3929097000|3929097000|1|134978000|3257184000|283718000||2729111000|409326000|2319785000||11283000||36183000||1560144000|370195000|19191000|217431000||32620000|1185362000|130048000|1000000000||988257000|1000000000|210635000|97428000|5797298000||1549484000|3956000|392895000|CSGP
2021-12-31|USD|7256871000|3988125000|3800000000|3827126000|1|124817000|3268746000|271431000|85862000|2756677000|435662000|2321015000||11283000|27126000|36182000||1545199000|338689000|22244000|193395000||26268000|1199666000|133682000|1000000000||987944000|1000000000|194706000|12496000|5711672000||1460166000|3946000|394936000|CSGP
2021-09-30|USD|7131316000|3914837000|3761587000|3761587000||115651000|3216479000|238866000||2741414000|447900000|2293514000||14986000||37599000||1527893000|321517000|17487000|187649000||29878000|1198878000|139034000|1000000000||987633000|1000000000|181521000|109156000|5603423000||1367266000|3947000|392419000|CSGP
2021-06-30|USD|7075614000|3817931000|3674909000|3674909000|1|108269000|3257683000|239125000||2770631000|476179000|2294452000||14986000||34753000||1548387000|328678000|16376000|189439000||28779000|1206230000|158704000|1000000000||987325000|1000000000|190825000|129925000|5527227000||1302962000|3948000|392306000|CSGP
2021-03-31|USD|6941971000|3822327000|3686947000|3686947000|-3349000|109798000|3119644000|239480000||2661317000|450341000|2210976000||14986000||25582000||1495046000|290135000|16870000|184125000||27932000|1188659000|134357000|1000000000||987018000|1000000000|155637000|106425000|5446925000||1241814000|395000|39158000|CSGP
2020-12-31|USD|6915420000|3888512000|3693813000|3693813000|-62099000|103949000|3026908000|126325000|166153000|2662744000|426745000|2235999000||0||90750000||1540061000|330850000|15732000|154714000||32648000|2179532000|156871000|1000000000||986715000|1000000000|207619000|25282000|5375359000||1167602000|3943000|39414000|CSGP
