fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|41908000000|15649000000|2421000000|2493000000|5674000000|6651000000|26332000000|4210000000|5025000000|19713000000|9084000000|10629000000|338000000|128000000|72000000|831000000|1644000000|17171000000|10424000000|3753000000|429000000|3741000000|3240000000|6505000000|0|2937000000|500000000|2437000000|6177000000|2188000000|1561000000|24737000000||98000000|7000000|689170000|CTVA
2024-06-30|USD|41464000000|15359000000|1839000000|1959000000|4893000000|7615000000|26176000000|4155000000|4933000000|19728000000|9238000000|10490000000|369000000|113000000|120000000|892000000|1571000000|16285000000|8953000000|3300000000|413000000|2253000000|2252000000|7090000000|0|2362000000|0|2362000000|4614000000|3048000000|1560000000|25179000000||992000000|7000000|693617000|CTVA
2024-03-31|USD|43625000000|17163000000|1505000000|1658000000|6183000000|7906000000|26529000000|4206000000|4807000000|19999000000|9446000000|10553000000|374000000|123000000|153000000|1416000000|1583000000|18858000000|11332000000|3606000000|2694000000|2148000000|2147000000|7285000000|1000000|2403000000|0|2403000000|4550000000|2573000000|1587000000|24767000000||302000000|7000000|697800000|CTVA
2023-12-31|USD|42996000000|16260000000|2644000000|2742000000|6899000000|5488000000|27216000000|4287000000|4669000000|20231000000|9626000000|10605000000|170000000|115000000|98000000|1131000000|1519000000|17959000000|10409000000|4280000000|3406000000|198000000|1000000|7308000000|1000000|2630000000|196000000|2434000000|2631000000|2554000000|1651000000|25037000000||-41000000|7000000|701260000|CTVA
2023-09-30|USD|43110000000|16333000000|2254000000|2362000000|6320000000|6581000000|26844000000|4320000000|4572000000|20236000000|9795000000|10441000000|120000000|106000000|108000000|1070000000|1561000000|17884000000|10348000000|3678000000|552000000|3609000000|3420000000|7295000000|1000000|2508000000|188000000|2320000000|5928000000|2509000000|1707000000|25226000000||325000000|7000000|704880000|CTVA
2023-06-30|USD|44189000000|17207000000|2563000000|2616000000|5628000000|7955000000|27048000000|4306000000|4491000000|20524000000|9985000000|10539000000|88000000|83000000|53000000|1008000000|1545000000|17969000000|10346000000|3379000000|656000000|3023000000|2827000000|7382000000|2000000|2563000000|195000000|2368000000|5390000000|3288000000|1722000000|26220000000||1013000000|7000000|709516000|CTVA
2023-03-31|USD|45500000000|18329000000|1646000000|1731000000|6585000000|8678000000|27234000000|4271000000|4362000000|20645000000|10137000000|10508000000|95000000|87000000|85000000|1335000000|1660000000|19901000000|13231000000|3957000000|2712000000|3787000000|3737000000|6430000000|3000000|1247000000|49000000|1198000000|4984000000|2775000000|1692000000|25599000000||487000000|7000000|710678000|CTVA
2022-12-31|USD|42618000000|16795000000|3191000000|3315000000|6811000000|5701000000|26347000000|4254000000|4297000000|19301000000|9339000000|9962000000|158000000|102000000|124000000|968000000|1687000000|17316000000|10744000000|4895000000|3388000000|24000000|24000000|6333000000|2000000|1172000000|0|1172000000|1196000000|2437000000|1676000000|25302000000||250000000|7000000|713419000|CTVA
2022-09-30|USD|40651000000|15045000000|2199000000|2318000000|5415000000|6273000000|25668000000|4185000000|4259000000|19252000000|9461000000|9791000000|359000000|91000000|119000000|1039000000|1671000000|15807000000|8918000000|4140000000|860000000|1576000000|1575000000|6649000000|2000000|1154000000|0|1154000000|2729000000|2342000000|1621000000|24844000000||614000000|7000000|716225000|CTVA
2022-06-30|USD|40906000000|14764000000|2401000000|2655000000|4184000000|6947000000|26203000000|4300000000|4232000000|19660000000|9673000000|9987000000|213000000|93000000|254000000|978000000|1640000000|15075000000|7856000000|3567000000|740000000|712000000|711000000|6979000000|2000000|1188000000|0|1188000000|1899000000|2837000000|1693000000|25831000000||1252000000|7000000|719320000|CTVA
2022-03-31|USD|42633000000|15878000000|2031000000|2321000000|4986000000|7275000000|26813000000|4333000000|4150000000|19974000000|9865000000|10109000000|221000000|91000000|290000000|1296000000|1886000000|16937000000|9653000000|3685000000|2435000000|1018000000|1017000000|7044000000|3000000|1107000000|0|1107000000|2124000000|2515000000|1704000000|25696000000||750000000|7000000|725320000|CTVA
2021-12-31|USD|42344000000|15546000000|4459000000|4545000000|5180000000|4811000000|27314000000|4329000000|4035000000|20151000000|10044000000|10107000000|127000000|76000000|86000000|1010000000|1804000000|16960000000|9558000000|4126000000|3201000000|17000000|16000000|7163000000|3000000|1121000000|1000000|1120000000|1137000000|2214000000|1719000000|25384000000||524000000|7000000|726527000|CTVA
2021-09-30|USD|41122000000|14146000000|2779000000|2882000000|4417000000|5818000000|27036000000|4310000000|3960000000|20355000000|10225000000|10130000000|101000000|67000000|103000000|1029000000|1796000000|16382000000|7805000000|3512000000|692000000|1372000000|1370000000|8338000000|3000000|1135000000|1000000|1134000000|2505000000|2229000000|1724000000|24740000000||666000000|7000000|730267000|CTVA
2021-06-30|USD|41496000000|14285000000|2861000000|2900000000|3541000000|6792000000|27267000000|4341000000|4002000000|20620000000|10413000000|10207000000|85000000|68000000|39000000|1052000000|1740000000|16111000000|7252000000|3070000000|748000000|677000000|675000000|8619000000|3000000|1140000000|1000000|1139000000|1815000000|2757000000|1816000000|25385000000||941000000|7000000|734421000|CTVA
2021-03-31|USD|42549000000|15036000000|2404000000|2518000000|4321000000|6792000000|27566000000|4299000000|3874000000|20730000000|10584000000|10146000000|187000000|64000000|114000000|1405000000|1987000000|18011000000|8999000000|3098000000|2247000000|1250000000|1248000000|8772000000|4000000|1122000000|1000000|1121000000|2370000000|2404000000|1814000000|24538000000||268000000|7000000|738321000|CTVA
2020-12-31|USD|42649000000|14768000000|3526000000|3795000000|4882000000|4926000000|28456000000|4396000000|3857000000|21016000000|10747000000|10269000000|81000000|66000000|269000000|1165000000|1939000000|17825000000|8548000000|3615000000|2662000000|3000000|2000000|9038000000|4000000|1167000000|1000000|1166000000|1169000000|4466000000|1867000000|24824000000||0|7000000|743458000|CTVA
2020-09-30|USD|41690000000|14088000000|2768000000|2920000000|4374000000|5627000000|27654000000|4273000000|3712000000|21024000000|10914000000|10110000000|113000000|62000000|152000000|1167000000|1954000000|17584000000|7734000000|2994000000|402000000|2142000000|2140000000|9610000000|4000000|1165000000|1000000|1164000000|3305000000|2309000000|1864000000|24106000000||0|7000000|747492000|CTVA
2020-06-30|USD|42180000000|14422000000|2809000000|2869000000|3589000000|6772000000|27809000000|4293000000|3565000000|21139000000|11070000000|10069000000|125000000|62000000|60000000|1192000000|1974000000|17619000000|7529000000|2891000000|431000000|1529000000|1526000000|9850000000|5000000|1142000000|1000000|1141000000|2668000000|2740000000|1957000000|24561000000||508000000|7000000|748485000|CTVA
2020-03-31|USD|42978000000|14679000000|1963000000|1973000000|4401000000|6775000000|28348000000|4358000000|3406000000|21268000000|11241000000|10027000000|220000000|64000000|10000000|1530000000|2336000000|19153000000|9199000000|3021000000|1996000000|1996000000|1993000000|9700000000|2000000|613000000|1000000|612000000|2606000000|4039000000|1989000000|23825000000||-155000000|7000000|748369000|CTVA
2019-12-31|USD|42397000000|13519000000|1764000000|1769000000|5032000000|5528000000|29482000000|4546000000|3326000000|21653000000|11424000000|10229000000|73000000|66000000|5000000|1190000000|2326000000|18088000000|8238000000|3702000000||7000000|7000000|9604000000|5000000|115000000|1000000|114000000|122000000|1945000000|2192000000|24309000000||-425000000|7000000|748577000|CTVA
2019-09-30|USD|43235000000|14117000000|1980000000|2097000000|4403000000|6574000000|29710000000|4503000000|3186000000|21835000000|11667000000|10168000000|138000000|70000000|117000000|1043000000|2440000000|18220000000|8993000000|3014000000||3604000000|3447000000|8981000000|6000000|127000000|4000000|123000000|3574000000|2249000000|2132000000|25015000000||-397000000|7000000|748390000|CTVA
