fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|253215000000|68645000000|8586000000|10993000000|18107000000|44435000000|169609000000|11853000000||118595000000|27323000000|91272000000|31341000000|28934000000|2407000000|3076000000|4793000000|177485000000|84609000000|15892000000|144000000|5743000000|2119000000|84663000000|1295000000|126706000000|3559000000||128825000000|61223000000|5431000000|75560000000|36818000000|62837000000|18000000|1260000000|CVS
2024-09-30|USD|252427000000|67343000000|6875000000|9680000000|17649000000|42911000000|169222000000|12728000000||119089000000|27817000000|91272000000|31744000000|28939000000|2805000000|3835000000|4763000000|177321000000|84627000000|15713000000|174000000|5710000000|800000000|84198000000|17170000000|174000000|4910000000||974000000|61292000000|5484000000|74944000000|36813000000|62038000000|18000000|1258000000|CVS
2024-06-30|USD|252481000000|69952000000|12507000000|16262000000|16068000000|37019000000|166569000000|13032000000||119583000000|28311000000|91272000000|28783000000|25028000000|3755000000|5237000000|4798000000|177370000000|81386000000|14416000000|128000000|3731000000|0|87758000000|17448000000|178000000|3731000000||178000000|61328000000|5526000000|74930000000|36919000000|62797000000|18000000|1256000000|CVS
2024-03-31|USD|249743000000|67473000000|9801000000|13089000000|16346000000|35747000000|166217000000|13037000000||120042000000|28770000000|91272000000|27362000000|24074000000|3288000000|5821000000|4801000000|175593000000|83319000000|13717000000|117000000|6450000000|2719000000|83825000000|17648000000|57694000000|3731000000||2719000000|61246000000|6205000000|73968000000|36773000000|61873000000|18000000|1252000000|CVS
2023-12-31|USD|249728000000|67858000000|8196000000|11455000000|18025000000|39121000000|166905000000|11954000000||120506000000|29234000000|91272000000|26278000000|23019000000|3259000000|3151000000|4660000000|173092000000|79189000000|14897000000|149000000|2972000000|200000000|85194000000|1325000000|121324000000|2706000000||121524000000|59579000000|6211000000|76461000000|33838000000|61604000000|18000000|1288000000|CVS
2023-09-30|USD|251306000000|70143000000|13043000000|16188000000|17954000000|35530000000|178199000000|13022000000||120885000000|29624000000|91261000000|24812000000|21667000000|3145000000|3074000000|4825000000|176796000000|81553000000|14874000000|167000000|2132000000|3873000000|86710000000|18182000000|190000000|2132000000||190000000|6188000000|6237000000|74337000000|33831000000|60343000000|18000000|1287000000|CVS
2023-06-30|USD|250071000000|67756000000|13807000000|16887000000|17291000000|32153000000|179281000000|13001000000||121378000000|30118000000|91260000000|25194000000|22114000000|3080000000|3412000000|4852000000|177069000000|79206000000|13367000000|161000000|2402000000|1000000000|88937000000|18315000000|194000000|1402000000||1194000000|6485000000|6321000000|72726000000|33933000000|58868000000|18000000|1282000000|CVS
2023-03-31|USD|239330000000|68706000000|14618000000|17720000000|18263000000|30651000000|167623000000|12872000000||110425000000|26368000000|84057000000|24714000000|21612000000|3102000000|3767000000|4824000000|167750000000|75054000000|12527000000|136000000|1778000000|3457000000|83787000000|18250000000|198000000|1778000000||198000000|58934000000|6671000000|71382000000|33802000000|57753000000|18000000|1279000000|CVS
2022-12-31|USD|228275000000|65633000000|12945000000|15723000000|19090000000|30725000000|159581000000|12873000000|21483000000|102953000000|24803000000|78150000000|23891000000|21096000000|2778000000|2636000000|4620000000|156506000000|69421000000|14838000000|71000000|1778000000|0|77888000000|1406000000|102776000000|1719000000||102776000000|47562000000|6730000000|71469000000|31858000000|56398000000|18000000|1300000000|CVS
2022-09-30|USD|231212000000|68341000000|17197000000|19989000000|18058000000|28964000000|159768000000|12626000000||103243000000|25157000000|78086000000|23375000000|20565000000|2792000000|2479000000|4849000000|160201000000|72409000000|13925000000|74000000|1363000000|3050000000|78299000000|18861000000|204000000|1363000000||204000000|51926000000|6769000000|70683000000|30326000000|54571000000|18000000|1315000000|CVS
2022-06-30|USD|230279000000|62142000000|12116000000|14993000000|17375000000|29741000000|164213000000|12764000000||106695000000|28135000000|78560000000|24001000000|21124000000|2877000000|2541000000|4852000000|154773000000|68457000000|13238000000|80000000|4019000000|5873000000|75889000000|19356000000|210000000|4019000000||210000000|43896000000|2140000000|75184000000|30412000000|58710000000|18000000|1312000000|CVS
2022-03-31|USD|232873000000|61483000000|8442000000|11342000000|18160000000|28981000000|166976000000|12844000000||107603000000|28543000000|79060000000|25568000000|22595000000|2900000000|5530000000|4877000000|158733000000|69780000000|12738000000|80000000|4217000000|6066000000|77920000000|19635000000|52063000000|4217000000||75915000000|50896000000|2242000000|73830000000|30145000000|56488000000|17000000|1306000000|CVS
2021-12-31|USD|232999000000|60008000000|9408000000|12525000000|17760000000|27820000000|168122000000|12896000000|20654000000|108147000000|29026000000|79121000000|26142000000|23025000000|3117000000|5292000000|4714000000|157618000000|67807000000|12544000000|87000000|4205000000|5851000000|78322000000|1250000000|111105000000|4155000000||111105000000|43142000000|1904000000|75075000000|28173000000|54906000000|17000000|1322000000|CVS
2021-09-30|USD|234891000000|60842000000|9826000000|12841000000|17399000000|28050000000|169181000000|12771000000||108666000000|29545000000|79121000000|25385000000|22370000000|3015000000|5319000000|4694000000|160273000000|64709000000|12696000000|78000000|1561000000|3370000000|83927000000|20265000000|224000000|1561000000||224000000|5731000000|2310000000|74308000000|28166000000|54264000000|17000000|1321000000|CVS
2021-06-30|USD|231164000000|56559000000|7119000000|10125000000|16979000000|26410000000|169943000000|12664000000||109632000000|30080000000|79552000000|25142000000|22136000000|3006000000|5291000000|4817000000|157599000000|59311000000|11052000000|79000000|60000000|1851000000|86674000000|20300000000|59294000000|60000000||79654000000|5942000000|2314000000|73244000000|28252000000|53331000000|17000000|1318000000|CVS
2021-03-31|USD|229606000000|55719000000|5598000000|8788000000|17618000000|26305000000|169508000000|12611000000||110191000000|30639000000|79552000000|24215000000|21025000000|3190000000|5458000000|4826000000|158442000000|60104000000|10804000000|80000000|2674000000|252000000|86776000000|20373000000|59270000000|2422000000||252000000|5974000000|2309000000|70850000000|28102000000|51203000000|17000000|1313000000|CVS
