fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|99820000000|7991000000|1776000000|1776000000|1717000000|2347000000|99846000000|65422000000|25742000000|4143000000||4143000000|3303000000|8499000000|7665000000|550000000|5413000000|72289000000|10832000000|937000000||5924000000|4104000000|61457000000||36375000000|1820000000|34555000000|9912000000|1796000000|1296000000|27531000000||3983000000|23854000000|840000000|D
2024-06-30|USD|100417000000|10752000000|139000000|140000000|1758000000|2494000000|97273000000|63363000000|25342000000|4143000000||4143000000|2646000000|8084000000|1000000|1284000000|5726000000|73344000000|11506000000|917000000||4962000000|3162000000|61838000000||36111000000|1800000000|34311000000|8710000000|2101000000|1774000000|27073000000||3603000000|23809000000|839000000|D
2024-03-31|USD|102005000000|16189000000|265000000|306000000|1719000000|2389000000|93234000000|60556000000|24941000000|4143000000||4143000000|2410000000|7894000000|41000000|1018000000|5364000000|74584000000|15418000000|721000000||5970000000|3626000000|59166000000||38873000000|2344000000|36529000000|8127000000|2093000000|7549000000|27421000000||3619000000|23763000000|838000000|D
2023-12-31|USD|109032000000|25387000000|184000000|217000000|1698000000|3509000000|91381000000|58780000000|24637000000|5088000000|945000000|4143000000|3970000000|7538000000|33000000|459000000|4828000000|81503000000|24476000000|921000000||10545000000|3956000000|57654000000|203000000|40206000000|6529000000|42526000000|44162000000|1732000000|1755000000|27529000000||3524000000|23728000000|838000000|D
2023-09-30|USD|105943000000|24679000000|137000000|176000000|1633000000|2560000000|89024000000|56161000000|24491000000|4143000000||4143000000|4070000000|6972000000|39000000|437000000|5722000000|77915000000|21633000000|756000000||7932000000|3785000000|56891000000||44001000000|4147000000|39854000000|8959000000|1655000000|7655000000|28028000000||4090000000|23720000000|837000000|D
2023-06-30|USD|106064000000|7977000000|137000000|137000000|1826000000|2895000000|105635000000|66543000000|28545000000|7295000000||7295000000|6544000000|9952000000|131000000|628000000|5434000000|77636000000|13986000000|997000000||8924000000|4575000000|64112000000||46236000000|4349000000|41887000000|10824000000|1702000000|7105000000|28428000000||4507000000|23704000000|837000000|D
2023-03-31|USD|105325000000|9605000000|1792000000|1792000000|1746000000|2835000000|102915000000|64625000000|28123000000|7295000000||7295000000|6485000000|9664000000|106000000|619000000|5185000000|76969000000|12762000000|1125000000||7898000000|3546000000|64725000000||46272000000|4352000000|41920000000|9237000000|1680000000|7049000000|28356000000||4486000000|23652000000|836000000|D
2022-12-31|USD|104800000000|9850000000|119000000|153000000|1528000000|4457000000|100909000000|52312000000|23396000000|5011000000|813000000|4143000000|7438000000|6577000000|33000000|210000000|1487000000|77136000000|13450000000|1163000000||6760000000|3423000000|63726000000|104000000|41872000000|3291000000|39680000000|45295000000|1695000000|1275000000|27659000000||3843000000|23605000000|835000000|D
2022-09-30|USD|103535000000|8699000000|163000000|163000000|1766000000|2445000000|100426000000|62894000000|27891000000|7295000000||7295000000|7609000000|8914000000|54000000|640000000|4973000000|74962000000|12172000000|1105000000||5832000000|2943000000|62790000000||41376000000|2889000000|38487000000|8071000000|1851000000|6391000000|28573000000||4684000000|23480000000|833000000|D
2022-06-30|USD|103678000000|11388000000|272000000|273000000|1584000000|2522000000|98162000000|61264000000|27431000000|7297000000||7297000000|7323000000|9201000000|1000000|573000000|4644000000|75381000000|13166000000|1130000000||5625000000|3080000000|62881000000||40631000000|2545000000|38086000000|8465000000|1651000000|7012000000|28297000000||4483000000|23427000000|832000000|D
