fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|75372000000|9844000000|3069000000|3069000000|1428000000|3224000000|65528000000|36770000000||15728000000|5975000000|9753000000||2846000000|0|2123000000|2715000000|60079000000|26670000000|4650000000||3275000000|1100000000|33409000000|473000000|15347000000|1801000000|13546000000|16447000000|15531000000|3744000000|15293000000|251000000|8783000000|0|644000000|DAL
2024-09-30|USD|75368000000|11062000000|3969000000|3977000000|1467000000|3550000000|64306000000|36862000000||15730000000|5977000000|9753000000||3272000000|8000000|2068000000|1756000000|61722000000|28118000000|4545000000||4424000000|1100000000|33604000000|6691000000|16581000000|2700000000|13881000000|17681000000|15355000000|3603000000|13646000000|289000000|7940000000|0|641000000|DAL
2024-06-30|USD|75197000000|11588000000|4110000000|4234000000|1486000000|3812000000|63609000000|36339000000||15732000000|5979000000|9753000000||3022000000|124000000|3998000000|1708000000|62811000000|28759000000|4876000000||4050000000|1100000000|34052000000|6828000000|16783000000|2699000000|14084000000|17883000000|15345000000|3507000000|12386000000|286000000|6765000000|0|641000000|DAL
2024-03-31|USD|74969000000|11579000000|3877000000|4466000000|1452000000|3748000000|63390000000|35915000000||15734000000|5981000000|9753000000||3247000000|589000000|3700000000|1709000000|63818000000|28478000000|4541000000||3909000000|1100000000|35340000000|6945000000|18127000000|2551000000|15576000000|19227000000|15626000000|3541000000|11151000000|366000000|5622000000|0|640000000|DAL
2023-12-31|USD|73644000000|10269000000|2741000000|3868000000|1314000000|3130000000|63375000000|34148000000||15736000000|5983000000|9753000000||3457000000|1127000000|1957000000|1692000000|62539000000|26418000000|4446000000||4083000000|1100000000|36121000000|1086000000|18610000000|2625000000|15985000000|19710000000|13563000000|3561000000|11105000000|341000000|5650000000|0|639000000|DAL
2023-09-30|USD|73247000000|12255000000|2835000000|5005000000|1507000000|3214000000|60992000000|34593000000||15738000000|5985000000|9753000000|2100000000|2291000000|2170000000|2529000000|1408000000|64021000000|27556000000|5320000000||3081000000|1100000000|36465000000|7286000000|18028000000|1681000000|16347000000|19128000000|15610000000|4301000000|9226000000|340000000|3613000000|0|639000000|DAL
2023-06-30|USD|73497000000|13080000000|2668000000|6068000000|1438000000|3122000000|60417000000|34092000000||15741000000|5988000000|9753000000|3100000000|2389000000|3400000000|2484000000|1361000000|65397000000|28482000000|5114000000||3165000000|1100000000|36915000000|7345000000|18636000000|1766000000|16870000000|19736000000|16780000000|4017000000|8100000000|338000000|2569000000|0|639000000|DAL
2023-03-31|USD|73134000000|13401000000|3215000000|6611000000|1379000000|3224000000|59733000000|33249000000||15743000000|5990000000|9753000000|3000000000|2249000000|3396000000|2187000000|993000000|66874000000|28417000000|4754000000||3236000000|1100000000|38457000000|7601000000|20320000000|1830000000|18490000000|21420000000|17118000000|3614000000|6260000000|337000000|807000000|0|639000000|DAL
2022-12-31|USD|72288000000|13011000000|3266000000|6534000000|1424000000|3176000000|59277000000|31622000000||15745000000|5992000000|9753000000|2800000000|2128000000|3268000000|1877000000|1259000000|65706000000|25940000000|5106000000||3459000000|1100000000|39766000000|1345000000|21381000000|2055000000|19326000000|22481000000|14328000000|4050000000|6582000000|313000000|1170000000|0|638000000|DAL
2022-09-30|USD|72596000000|14799000000|7023000000|8368000000|1473000000|3097000000|57797000000|31512000000||15747000000|5994000000|9753000000|711000000|1585000000|1345000000|1861000000|1057000000|68006000000|25870000000|4958000000|7860000000|3131000000|1100000000|42136000000|7603000000|21523000000|1723000000|19800000000|22623000000|14665000000|4067000000|4590000000|313000000|342000000|0|638000000|DAL
2022-06-30|USD|74805000000|17313000000|9221000000|10770000000|1734000000|3093000000|57492000000|30519000000||15750000000|5997000000|9753000000|821000000|1771000000|1549000000|1716000000|1044000000|70994000000|26324000000|5353000000|7757000000|3036000000|1100000000|44670000000|7732000000|23065000000|1621000000|21444000000|24165000000|15315000000|4094000000|3811000000|313000000|-353000000|0|638000000|DAL
2022-03-31|USD|73748000000|15720000000|7705000000|9955000000|1292000000|3039000000|58028000000|30042000000||15752000000|5999000000|9753000000|1600000000|1999000000|2250000000|1434000000|1299000000|70757000000|24060000000|4810000000|7644000000|2216000000|1100000000|46697000000|7943000000|23770000000|831000000|22939000000|24870000000|14352000000|4289000000|2991000000|312000000|-1088000000|0|637000000|DAL
2021-12-31|USD|72459000000|15940000000|7933000000|11319000000|694000000|2404000000|56519000000|27153000000||15754000000|6001000000|9753000000|2800000000|1712000000|3386000000|1119000000|1773000000|68572000000|20966000000|4240000000||2882000000|1100000000|47606000000|1556000000|25084000000|1502000000|23582000000|26184000000|11531000000|4398000000|3887000000|282000000|-148000000|0|636000000|DAL
2021-09-30|USD|72783000000|17471000000|8785000000|13202000000|641000000|2183000000|55312000000|27816000000||15757000000|6004000000|9753000000|3700000000|1919000000|4417000000|1074000000|1467000000|70177000000|20924000000|4017000000|7456000000|3396000000|1100000000|49253000000|6378000000|26101000000|2024000000|24077000000|26101000000|11356000000|4613000000|2606000000|281000000|259000000|0|637000000|DAL
2021-06-30|USD|75309000000|19666000000|10357000000|15230000000|641000000|2258000000|55643000000|27508000000||15759000000|6006000000|9753000000|4200000000|2143000000|4873000000|1173000000|1493000000|74028000000|23573000000|3930000000|7401000000|3119000000|1100000000|50455000000|6271000000|27265000000|2019000000|25246000000|27265000000|13876000000|4715000000|1281000000|280000000|-953000000|0|637000000|DAL
2021-03-31|USD|73083000000|17853000000|8460000000|14035000000|457000000|1837000000|55230000000|26862000000||15762000000|6009000000|9753000000|4700000000|1929000000|5575000000|1153000000|1571000000|72601000000|20688000000|3432000000|7285000000|3771000000|1100000000|51913000000|6221000000|27473000000|2671000000|24802000000|27473000000|11181000000|4792000000|482000000|279000000|-1605000000|0|636000000|DAL
2020-12-31|USD|71996000000|17404000000|8307000000|14096000000|377000000|1396000000|54592000000|25527000000||15764000000|6011000000|9753000000|6317000000|1665000000|5789000000|1180000000|1357000000|70462000000|15927000000|2840000000||2832000000|1100000000|54535000000|894000000|27974000000|1443000000|26531000000|27974000000|8900000000|4862000000|1534000000|259000000|-428000000|0|636000000|DAL
2020-09-30|USD|79076000000|25030000000|16477000000|21525000000|353000000|1503000000|54046000000|26600000000||15767000000|6014000000|9753000000|5710000000|1562000000|5048000000|1256000000|1249000000|75719000000|19725000000|2403000000||1100000000|1100000000|55994000000|6570000000|32548000000|5045000000|28910000000|33648000000|10279000000|4997000000|3357000000|272000000|327000000|0|635000000|DAL
2020-06-30|USD|72261000000|18915000000|11366000000|15668000000|353000000|1375000000|53346000000|28500000000||15770000000|6017000000|9753000000|1384000000|1633000000|4302000000|1025000000|1481000000|63571000000|20150000000|2332000000||839000000|839000000|43421000000|6103000000|22654000000|5230000000|18539000000|23493000000|10661000000|3930000000|8690000000|271000000|5706000000|0|635000000|DAL
2020-03-31|USD|68738000000|10275000000|5967000000|7334000000|439000000|2280000000|58463000000|31600000000||15772000000|6019000000|9753000000|1367000000|3684000000|1367000000|1054000000|1420000000|54429000000|19392000000|3337000000||1868000000|1100000000|35037000000|5972000000|155000000000|768000000|11750000000|15840000000|9851000000|1666000000|14309000000|270000000|11423000000|0|637000000|DAL
2019-12-31|USD|64532000000|8249000000|2882000000|2882000000|730000000|2854000000|56283000000|30248000000||14944000000|5163000000|9781000000|1099000000|1152000000|0|1262000000|1078000000|49174000000|20204000000|3266000000||3023000000|736000000|28970000000|821000000|10106000000|2054000000|8052000000|10106000000|10631000000|1386000000|15358000000|236000000|12454000000|0|642000000|DAL
2019-09-30|USD|63219000000|6944000000|1899000000|1899000000|568000000|2836000000|56275000000|30796000000|17213000000|14602000000|4821000000|9781000000||1289000000|7000000|1137000000|4309000000|48151000000|20211000000|3470000000||2635000000|439000000|27940000000|6285000000|9025000000|1953000000|7072000000|9464000000|10501000000|1378000000|15068000000|236000000|11772000000|0|646000000|DAL
2019-06-30|USD|62518000000|7134000000|2009000000|2009000000|590000000|2844000000|55384000000|30165000000|17005000000|14605000000|4824000000|9781000000||1244000000|8000000|1198000000|3815000000|48560000000|21164000000|3359000000||3348000000|1067000000|27396000000|6380000000|9296000000|2087000000|7209000000|10363000000|11635000000|2025000000|13958000000|235000000|10686000000|0|650000000|DAL
2019-03-31|USD|61841000000|7196000000|1910000000|1910000000|601000000|3154000000|54645000000|29139000000|16401000000|14608000000|4827000000|9781000000||1202000000|1000000|1061000000|3844000000|48930000000|21323000000|3214000000||4121000000|1066000000|27607000000|6746000000|10389000000|2954000000|7435000000|11455000000|11100000000|1395000000|12911000000|233000000|9656000000|0|665000000|DAL
2018-12-31|USD|60266000000|6340000000|1565000000|1768000000|592000000|2314000000|53926000000|28335000000|15823000000|14611000000|4830000000|9781000000|203000000|1092000000|203000000|1250000000|3850000000|46579000000|18578000000|2976000000||2593000000|1075000000|28001000000|294000000|9368000000|1409000000|7959000000|10443000000|10152000000|969000000|13687000000|198000000|10039000000|0|679000000|DAL
2018-09-30|USD|59923000000|6726000000|1380000000|1858000000|715000000|2517000000|47845000000|28565000000|15552000000|14629000000|4835000000|9794000000|478000000|809000000|478000000|1181000000|3437000000|41512000000|18158000000|3265000000||2242000000|1066000000|23141000000||8881000000|1080000000|7801000000|9947000000|10782000000|2517000000|13491000000|197000000|9696000000|0|686000000|DAL
2018-06-30|USD|60665000000|7641000000|1886000000|2406000000|1149000000|2427000000|47351000000|28124000000|15097000000|14633000000|4839000000|9794000000|520000000|739000000|520000000|1219000000|3268000000|43162000000|19269000000|3749000000||2404000000|1062000000|23671000000||9514000000|1256000000|8258000000|10576000000|11379000000|2365000000|12634000000|196000000|8851000000|0|695000000|DAL
2018-03-31|USD|58968000000|7724000000|1447000000|1970000000|723000000|2568000000|45179000000|27096000000|14585000000|14637000000|4843000000|9794000000|523000000|1001000000|523000000|2040000000|3446000000|41756000000|20012000000|3351000000||3351000000|1062000000|21509000000||8234000000|2289000000||8234000000|11614000000|2320000000|12322000000|194000000|8465000000|0|704000000|DAL
2017-12-31|USD|53671000000|7804000000|1814000000|2639000000|916000000|2377000000|45867000000|26563000000|14097000000|14641000000|4847000000|9794000000|825000000|513000000|825000000|1499000000|3309000000|41141000000|18959000000|3634000000||3309000000|1067000000|22182000000||8440000000|2145000000|6295000000|8440000000|10835000000|2221000000|12530000000|158000000|8256000000|0|708000000|DAL
2017-09-30|USD|52575000000|7083000000|1478000000|2438000000|720000000|2399000000|44845000000|25900000000|13766000000|14645000000|4851000000|9794000000|960000000|399000000|960000000|1110000000|2878000000|37927000000|16496000000|3059000000||1224000000|1224000000|21431000000||8376000000|1224000000||8376000000|10454000000|2001000000|14001000000|158000000|9502000000|0|716000000|DAL
2017-06-30|USD|52451000000|7177000000|2241000000|2988000000|537000000|2164000000|44638000000|25367000000|13336000000|14649000000|4855000000|9794000000|747000000|134000000|747000000|1087000000|2545000000|38336000000|16631000000|2726000000||1098000000|1098000000|21705000000||8570000000|1098000000||8570000000|11081000000|1885000000|13479000000|156000000|8905000000|0|728000000|DAL
2017-03-31|USD|52073000000|6880000000|1907000000|2650000000|487000000|2307000000|44579000000|24817000000|12932000000|14649000000|4855000000|9794000000|743000000||743000000|1068000000|2363000000|38514000000|15953000000|2353000000||1040000000|1040000000|22561000000||8770000000|1040000000||8770000000|10864000000|1822000000|12945000000|153000000|8226000000|0|728000000|DAL
2016-12-31|USD|51850000000|7451000000|2762000000|3249000000|519000000|2064000000|43810000000|24375000000|12456000000|14638000000|4844000000|9794000000|880000000|139000000|487000000|836000000|1733000000|39982000000|15239000000|2572000000||1131000000|431000000|23735000000||7008000000|1009000000|5999000000|7008000000|9870000000|1878000000|11279000000|274000000|7903000000|0|730000000|DAL
2016-09-30|USD|50948000000|7329000000|1638000000|3152000000|424000000|1996000000|43619000000|24105000000|12106000000|14642000000|4848000000|9794000000|2010000000||1514000000|910000000|1722000000|38438000000|15147000000|2567000000||1092000000|1092000000|23291000000||7292000000|1092000000||7292000000|9860000000|1956000000|12510000000|274000000|11109000000|0|740000000|DAL
2016-06-30|USD|51634000000|7638000000|1662000000|2951000000|455000000|2102000000|43996000000|23975000000|11711000000|14646000000|4852000000|9794000000|2062000000||1289000000|1017000000|1578000000|39824000000|16250000000|2956000000||1115000000|1115000000|23574000000||7492000000|1115000000||7492000000|10590000000|2015000000|11810000000|272000000|10000000000|0|758000000|DAL
2016-03-31|USD|53342000000|9306000000|1708000000|2914000000|367000000|2179000000|44036000000|23422000000|11314000000|14650000000|4856000000|9794000000|3385000000||1206000000|887000000|1475000000|42090000000|18108000000|2732000000||1531000000|1531000000|23982000000||8110000000|1531000000||8110000000|12240000000|2091000000|11252000000|270000000|8462000000|0|774000000|DAL
2015-12-31|USD|53134000000|9056000000|1972000000|3437000000|379000000|2020000000|44078000000|23039000000|10871000000|14655000000|4861000000|9794000000|3452000000|155000000|1465000000|796000000|1428000000|42284000000|17526000000|2743000000||1563000000|1563000000|24758000000||7946000000|1415000000|6531000000|7946000000|11585000000|1891000000|10850000000|373000000|5562000000|0|779000000|DAL
2015-09-30|USD|53545000000|11973000000|2369000000|3811000000|381000000|1974000000|41673000000|22608000000|10563000000|14383000000|4589000000|9794000000|3028000000||1442000000|816000000|1848000000|43301000000|17608000000|2688000000||1705000000|1705000000|25693000000||8417000000|1705000000||8417000000|11594000000|2465000000|10345000000|372000000|6748000000|0|788000000|DAL
2015-06-30|USD|52681000000|11441000000|2293000000|3787000000|553000000|1966000000|41340000000|22480000000|10140000000|14388000000|4594000000|9794000000|2460000000||1494000000|815000000|1098000000|43218000000|17082000000|2803000000||1659000000|1659000000|26136000000||8887000000|1659000000||8887000000|11059000000|2322000000|9563000000|370000000|5540000000|0|803000000|DAL
