fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|3964353000|3274112000|2240923000|2240923000|576669000|330273000|690241000|323413000|391945000|29788000|15798000|13990000||||79242000|52787000|1333434000|1032882000|586371000||||300552000|257029000||||211015000|347392000|52038000|2630919000||2424898000|1518000|151770000|DECK
2024-09-30|USD|3398136000|2701294000|1225681000|1225681000|777891000|570958000|696842000|319580000|378588000|29896000|15906000|13990000||||80216000|56643000|1174897000|875640000|536581000|||48662000|299257000|258623000||||258623000|214477000|51634000|2223239000||2013265000|1520000|152008000|DECK
2024-06-30|USD|3306219000|2612830000|1438397000|1438397000|753282000|332607000|693389000|305585000|362180000|40691000|26701000|13990000||||43323000|54293000|1231737000|912470000|642595000|||46362000|319267000|262368000||||262368000|141183000|50300000|2074482000||1875275000|254000|25426000|DECK
2024-03-31|USD|3135579000|2443483000|1502051000|1502051000|474311000|340124000|692096000|302122000|349138000|41073000|27083000|13990000||||92713000|50648000|1028111000|719993000|378503000|||53581000|308118000|266879000||||266879000|205405000|42350000|2107468000||1913615000|1536000|25593000|DECK
2023-12-31|USD|3347459000|2648854000|1650802000|1650802000|538963000|347046000|698605000|300815000|348875000|49788000|35798000|13990000||||75905000|46873000|1243269000|927442000|507161000|||51124000|315827000|273991000||||273991000|310931000|40375000|2104190000||1890314000|256000|25650000|DECK
2023-09-30|USD|2848533000|2179881000|823051000|823051000|726332000|500949000|668652000|295212000|333711000|50340000|36350000|13990000||||83455000|42684000|1053403000|759390000|476868000|||49496000|294013000|251068000||||251068000|147953000|38190000|1795130000||1600923000|258000|25822000|DECK
2023-06-30|USD|2847902000|2175159000|1046889000|1046889000|740553000|289516000|672743000|288760000|324572000|50894000|36904000|13990000||||58173000|43304000|1045781000|735804000|523014000|||51234000|309977000|260601000||||260601000|128595000|38130000|1802121000||1609535000|261000|26136000|DECK
2023-03-31|USD|2556203000|1910253000|981795000|981795000|532852000|306295000|645950000|266679000|317508000|51447000|37457000|13990000||||55523000|41930000|790470000|497380000|265605000|||50765000|293090000|246488000||||246488000|109096000|35335000|1765733000||1571574000|262000|26176000|DECK
2022-12-31|USD|2809289000|2243749000|1057843000|1057843000|723364000|330872000|565540000|242594000|312662000|51997000|38007000|13990000||||97838000|41106000|1040117000|815306000|487354000|||49298000|224811000|200405000||||200405000|247065000|27463000|1769172000||1582864000|264000|26358000|DECK
2022-09-30|USD|2466349000|1913285000|419259000|419259000|925043000|459051000|553064000|221308000|298831000|52542000|38552000|13990000||||73781000|54010000|950510000|728624000|482928000|||46886000|221886000|197145000||||197145000|198810000|25826000|1515839000||1348823000|265000|26481000|DECK
