fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|6353800000|4262800000|621200000|2271200000|586300000|1033700000|818500000|1318800000||130000000|106200000|23800000|1871100000|46300000|1650000000|47600000|88200000|4374800000|1734500000|326600000|19100000||44600000|2703700000|58200000|2439600000||2439600000|2439600000|1305100000|129600000|1979000000|1581200000|1445900000|400000|390600000|DXCM
2024-06-30|USD|6799200000|4848400000|939200000|2969200000|570300000|998700000|811300000|1183100000||137800000|114500000|23300000|2181500000|43600000|2030000000|48400000|82900000|4364900000|1722200000|307000000|19900000||43200000|2706000000|58100000|2437800000||2437800000|2437800000|1356300000|128100000|2434300000|831700000|1311300000|400000|400700000|DXCM
2024-03-31|USD|6482200000|4620700000|851200000|2621200000|589100000|984800000|792700000|1108600000||146500000|123300000|23200000|2045800000|39800000|1770000000|40400000|77700000|4235400000|1594200000|269700000|23800000||20700000|2706200000|57600000|2436000000||2436000000|2436000000|1232500000|129400000|2246800000|1394700000|1167800000|400000|396100000|DXCM
2023-12-31|USD|6264500000|4425900000|566300000|2726300000|559600000|987500000|764000000|1113100000||159700000|134500000|25200000|2157800000|38500000|2160000000|49300000|75000000|4195900000|1556000000|276400000|25800000|4700000|21100000|2705900000|58600000|2434200000||2434200000|2434200000|1190000000|125600000|2068600000|2451100000|1021400000|400000|385400000|DXCM
2023-09-30|USD|6596200000|4698400000|643700000|3243700000|498600000|788500000|857400000|1078900000||169800000|144500000|25300000|2596600000|38500000|2600000000|40600000|74400000|4328300000|1678600000|242400000|30300000|124200000|145200000|2733500000|57900000|2556600000|124200000|2432400000|2556600000|151300000|133900000|2267900000|2080000000|765100000|400000|386400000|DXCM
2023-06-30|USD|6820700000|5002900000|1194900000|3634900000|421100000|755600000|775200000|1077600000||180000000|154200000|25800000|2441300000|35000000|2440000000|57900000|66900000|4720300000|2069700000|269100000|30400000|773800000|795600000|2735300000|58500000|3204400000|773800000|2430600000|3204400000|108600000|133100000|2100400000|784100000|644400000|400000|386100000|DXCM
2023-03-31|USD|5515900000|3767400000|623200000|2563200000|366000000|652500000|1748500000|1075500000|394500000|189300000|163600000|25700000|1943800000||1940000000|43200000|56600000|3282900000|1865000000|266200000|30300000|773200000|795400000|1502600000|59200000|1971700000|773200000|1198500000|1971700000|793800000|129700000|2233000000|595000000|528500000|400000|387600000|DXCM
2022-12-31|USD|5391700000|3668800000|642300000|2452300000|306700000|752200000|667300000|1055600000|363200000|199000000|173300000|25700000|1813900000|19000000|1810000000|26800000|47100000|3259900000|1839300000|237900000|29100000|776800000|793100000|1504100000|59600000|1970300000|772600000|1197700000|1970300000|134300000|128300000|2131800000|595000000|479900000|400000|386300000|DXCM
2022-09-30|USD|4899200000|3398500000|698100000|2368100000|311000000|597100000|1500700000|1002500000|338500000|49100000|24400000|24700000|1673800000||1670000000|28000000|33700000|3074700000|900500000|198100000|26300000||20900000|2263500000|60400000|1968800000||1968800000|1968800000|678800000|123300000|1824500000|595000000|388100000|400000|386200000|DXCM
2022-06-30|USD|5217400000|3808700000|735400000|2754800000|339500000|612000000|1408700000|942900000|303800000|53600000|28000000|25600000|2019400000||2019400000|34700000|24800000|2961500000|807000000|219600000|24000000||21200000|2242700000|61300000|1967300000||1967300000|1967300000|563500000|99500000|2255900000|37300000|286900000|400000|392600000|DXCM
2022-03-31|USD|5057000000|3746600000|716000000|2589000000|342200000|544500000|1409600000|856500000|264900000|58000000|31400000|26600000|1972200000|99200000|1873000000|171700000|22800000|2867700000|711400000|150100000|21000000||20900000|2242300000|61600000|1965900000||1965900000|1965900000|537700000|97100000|2189300000|37300000|236000000|100000|98100000|DXCM
2021-12-31|USD|4933300000|3684400000|1052600000|2412600000|357300000|514300000|1499900000|801800000|231500000|58000000|31500000|26500000|1678600000|320700000|1360000000|27400000|10500000|2891200000|720800000|196000000|18200000|3300000|20500000|1970300000|57000000|1702700000||1702700000|1702700000|125200000|90000000|2042100000|206200000|138700000|100000|97000000|DXCM
2021-09-30|USD|4775900000|3656200000|1444300000|2528000000|351300000|529100000|1243600000|742200000|203000000|23900000|46000000|23900000|1253600000|169900000|1083700000|77900000||2639800000|734900000|210000000|16100000||19300000|1976500000|57800000|1703500000||1703500000|1703500000|503300000|98500000|1912000000|159500000|-28000000|100000|96900000|DXCM
2021-06-30|USD|4503800000|3474200000|1158800000|1158800000|319300000|483500000|1029600000|676000000|186800000|19100000||19100000|1426100000||1426100000|86500000|23300000|2506200000|600700000|165900000|13400000||18800000|1974500000|57400000|1710700000||1710700000|1710700000|414200000|87700000|1754700000|100000000|-98900000|100000|96700000|DXCM
2021-03-31|USD|4389800000|3445100000|733800000|733800000|289700000|443400000|944700000|589900000|172000000|18900000|18900000|18900000|1898800000||1898800000|79400000|20400000|2486600000|604100000|152200000|11400000||18200000|1946200000|54200000|1688800000||1688800000|1688800000|431800000|82400000|1644800000|100000000|-161800000|100000|96700000|DXCM
