fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|84749000000|7444000000|200000000|200000000|533000000|3982000000|75768000000|58298000000|122000000||||50000000|4474000000|67000000|319000000|2394000000|66642000000|8507000000|2185000000||3116000000|568000000|58135000000|1180000000|34851000000|2548000000|32303000000|35419000000|1717000000|3510000000|15663000000||7486000000|6538000000|387148995|EIX
2024-06-30|USD|84818000000|8512000000|465000000|465000000|534000000|3027000000|74653000000|57349000000|119000000||||71000000|4363000000||335000000|2291000000|66950000000|8274000000|1892000000||3203000000|1505000000|58676000000|1201000000|34797000000|1698000000|33099000000|36302000000|1387000000|3445000000|15424000000||7326000000|6461000000|386099652|EIX
2024-03-31|USD|83599000000|7878000000|992000000|992000000|519000000|2667000000|73967000000|56688000000|116000000||||62000000|4350000000|-4288000000|329000000|2190000000|65984000000|7907000000|1904000000||2871000000|774000000|58077000000|1206000000|34673000000|2097000000|32576000000|35447000000|1425000000|3195000000|15172000000||7166000000|6361000000|384735109|EIX
2023-12-31|USD|81758000000|6811000000|345000000|345000000|527000000|2758000000|68975000000|56084000000|114000000||||54000000|4227000000||341000000|2066000000|63814000000|8598000000|1983000000||3774000000|1077000000|55216000000|1221000000|33013000000|2697000000|30316000000|34090000000|1538000000|3258000000|15501000000||7499000000|6338000000|383924912|EIX
2023-09-30|USD|80164000000|7235000000|446000000|446000000|505000000|3292000000|66984000000|55054000000|112000000||||81000000|81000000||278000000|1234000000|62593000000|9027000000|2108000000||3944000000|1005000000|53566000000|1292000000|32471000000|2939000000|29532000000|33476000000|1754000000|3164000000|15670000000||7399000000|6301000000|383567856|EIX
2023-06-30|USD|79551000000|7416000000|195000000|195000000|511000000|2473000000|65956000000|54326000000|111000000||||72000000|72000000||289000000|1248000000|61857000000|8827000000|1790000000||4050000000|1161000000|53030000000|1231000000|32319000000|2889000000|29430000000|33480000000|1631000000|3093000000|15793000000||7553000000|6270000000|383248837|EIX
2023-03-31|USD|78854000000|7210000000|836000000|836000000|500000000|2217000000|65447000000|54170000000|108000000||||64000000|64000000||325000000|1258000000|61305000000|8366000000|1795000000||3859000000|1645000000|52939000000|1346000000|31656000000|2214000000|29442000000|33301000000|1620000000|2990000000|15648000000||7456000000|6223000000|382659081|EIX
2022-12-31|USD|78041000000|7070000000|914000000|914000000|474000000|2336000000|65046000000|53486000000|106000000||||55000000|55000000||397000000|1239000000|60519000000|10347000000|2359000000||4629000000|2015000000|50172000000|1442000000|29639000000|2614000000|27025000000|31654000000|1601000000|2988000000|15621000000||7454000000|6200000000|382208498|EIX
2022-09-30|USD|76709000000|6441000000|232000000|232000000|439000000|3557000000|64239000000|52599000000|109000000||||77000000|77000000||234000000|1522000000|59416000000|10820000000|2348000000||5186000000|3011000000|46634000000|1530000000|27320000000|2175000000|25145000000|30331000000|1707000000|2931000000|15392000000||7295000000|6167000000|381873341|EIX
2022-06-30|USD|75045000000|5653000000|122000000|122000000|438000000|2643000000|63095000000|51695000000|106000000||||58000000|58000000||166000000|1502000000|57370000000|9262000000|2080000000||4160000000|1985000000|46939000000|1751000000|27318000000|2175000000|25143000000|29303000000|1641000000|3079000000|15774000000||7716000000|6129000000|381397456|EIX
