fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|42610000000|9194000000|2834000000|2834000000|2200000000|3242000000|35265000000|2743000000|3324000000|27931000000|10025000000|17906000000||||1466000000|2742000000|22120000000|5958000000|1260000000|2154000000|1066000000|1066000000|11207000000||6557000000|1066000000|6557000000|7623000000|3632000000|3716000000|20490000000|19872000000|41112000000|477000000|563900000|EMR
2024-09-30|USD|44246000000|10192000000|3588000000|3588000000|2180000000|3446000000|35940000000|2807000000|3378000000|28503000000|10436000000|18067000000||||1497000000|2744000000|22610000000|5742000000|1335000000|2158000000|532000000|0|11972000000|511000000|7687000000|532000000|7155000000|7687000000|3875000000|3840000000|21636000000|18972000000|40830000000|477000000|570200000|EMR
2024-06-30|USD|45585000000|8820000000|2298000000|2298000000|2303000000|3276000000|35612000000|2688000000|3306000000|28563000000|10627000000|17936000000||2908000000||1458000000|2606000000|24786000000|7592000000|1251000000|2246000000|2991000000|3144000000|12259000000|664000000|7111000000|2991000000|7111000000|10766000000|1878000000|4194000000|20799000000|18716000000|40135000000|477000000|572700000|EMR
2024-03-31|USD|46440000000|9009000000|2318000000|2318000000|2357000000|3405000000|35979000000|2689000000|3287000000|28940000000|10976000000|17964000000||3191000000||1457000000|2611000000|25540000000|7664000000|1271000000|2287000000|3155000000|3310000000|12953000000|666000000|7614000000|3155000000|7614000000|11435000000|1763000000|4381000000|20900000000|18746000000|40108000000|477000000|572100000|EMR
2023-12-31|USD|46513000000|8666000000|2076000000|2076000000|2432000000|3365000000|36253000000|2701000000|3252000000|29253000000|11270000000|17983000000||3253000000||1399000000|2640000000|25839000000|7765000000|1234000000|2358000000|3227000000|3384000000|13107000000|622000000|7632000000|3227000000|7632000000|11481000000|1740000000|4561000000|20674000000|18763000000|39910000000|477000000|571700000|EMR
2023-09-30|USD|42746000000|13819000000|8051000000|8051000000|2006000000|3077000000|26222000000|2363000000|3161000000|20743000000|6263000000|14480000000||3255000000||1244000000|2566000000|22057000000|5032000000|1275000000|897000000|547000000|1000000|11520000000|404000000|8156000000|546000000|7610000000|8157000000|1452000000|3506000000|20689000000|18667000000|40070000000|477000000|572000000|EMR
2023-06-30|USD|44173000000|15760000000|9957000000|9957000000|2085000000|3027000000|26560000000|2268000000|3218000000|20278000000|6147000000|14131000000||3359000000|128000000|1227000000|2508000000|23709000000|6614000000|1218000000|1931000000|667000000|667000000|11958000000|506000000|7642000000|667000000|7642000000|8309000000|3783000000|3504000000|20464000000|18677000000|39624000000|477000000|571500000|EMR
2023-03-31|USD|36147000000|8985000000|2046000000|2046000000|2034000000|2801000000|28531000000|2263000000|3182000000|20396000000|6299000000|14097000000|||117000000|1228000000|2265000000|24787000000|7549000000|1207000000|1915000000|1959000000|1959000000|11996000000|437000000|8174000000|1959000000|8174000000|10133000000|3443000000|2928000000|11360000000|18678000000|30571000000|477000000|571500000|EMR
2022-12-31|USD|36241000000|9000000000|2271000000|2271000000|1999000000|2747000000|28587000000|2263000000|3110000000|20547000000|6460000000|14087000000||||1290000000|2268000000|25514000000|8160000000|1219000000|1839000000|1792000000|1792000000|12114000000|437000000|8159000000|1792000000|8159000000|9951000000|4248000000|3057000000|10727000000|18683000000|30076000000|477000000|571400000|EMR
2022-09-30|USD|35672000000|8506000000|1804000000|1804000000|1742000000|3436000000|27655000000|2239000000|3151000000|20518000000|6572000000|13946000000||||1301000000|2151000000|25308000000|7777000000|1276000000|879000000|2115000000|1599000000|11579000000|348000000|8775000000|516000000|8259000000|12868000000|2781000000|3153000000|10364000000|16738000000|28053000000|477000000|591400000|EMR
2022-06-30|USD|37042000000|9375000000|2529000000|2529000000|2319000000|3432000000|29281000000|3359000000|5465000000|21678000000|6930000000|14748000000||||1570000000|2630000000|26727000000|8812000000|2040000000|1803000000|3227000000|3381000000|11943000000|538000000|8367000000|3227000000|8367000000|12132000000|2505000000|3576000000|10315000000|16670000000|27618000000|477000000|592200000|EMR
2022-03-31|USD|29497000000|13539000000|6929000000|6929000000|2399000000|2958000000|17557000000|3567000000|5631000000|10330000000|2699000000|7631000000||||1253000000|2061000000|18922000000|8072000000|2049000000|868000000|2762000000|2913000000|10811000000|533000000|8203000000|2762000000|8203000000|11498000000|2242000000|2608000000|10575000000|16527000000|27003000000|477000000|593900000|EMR
2021-12-31|USD|26959000000|10860000000|4726000000|4726000000|2335000000|2745000000|17677000000|3685000000|5757000000|10486000000|2791000000|7695000000||||1054000000|1928000000|16710000000|5331000000|2100000000|851000000|37000000|189000000|11340000000|547000000|8722000000|37000000|8722000000|9306000000|2191000000|2618000000|10249000000|16506000000|26636000000|477000000|594000000|EMR
2021-09-30|USD|24715000000|8432000000|2354000000|2354000000|2050000000|2971000000|16283000000|3738000000|5689000000|9844000000|2877000000|6967000000||||1057000000|1945000000|14832000000|6246000000|2108000000|730000000|872000000|334000000|8546000000|413000000|7338000000|538000000|5793000000|8836000000|2536000000|2753000000|9883000000|16291000000|26047000000|477000000|595800000|EMR
2021-06-30|USD|24484000000|8766000000|2860000000|2860000000|2114000000|2754000000|16636000000|3664000000|5654000000|10770000000|2993000000|7777000000||||1038000000|1284000000|15193000000|6670000000|1966000000|774000000|1478000000|1478000000|8475000000|517000000|5835000000|1478000000|5835000000|7313000000|2452000000|671000000|9291000000|16075000000|25678000000|477000000|597800000|EMR
