fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|20834176000|62302000|62302000|62302000|||9852336000|8447222000||563138000|563138000||429231000|386531000||97864000||9249829000|544500000|||544500000|544500000|8269133000|304897000|8193052000|543679000||8737552000|337670000|386170000|11044560000||1407570000|3795000|379475383|EQR
2024-09-30|USD|20925821000|28610000|28610000|28610000|||9422843000|8497853000||565180000|565180000||401410000|359810000||97949000||9520502000|1000000000|||1000000000|1000000000|8254096000|306119000|7579084000|786561000||8579084000|314058000|368893000|10853975000||1244953000|3794000|379354738|EQR
2024-06-30|USD|19779568000|38298000|38298000|38298000|||9097105000|8238461000||516773000|516773000||382371000|341871000|16284000|100123000||8272303000|1000000000|||1000000000|1000000000|7657753000|309182000|6986299000|170884000||7986299000|329253000|362272000|10975887000||1357922000|3791000|379086882|EQR
2024-03-31|USD|19894797000|44535000|44535000|44535000|1||9006367000|8199552000||517543000|517543000||329272000|289272000||152025000||8322765000|1000000000|||1000000000|1000000000|7637967000|310422000|6983808000|225921000||7983808000|312805000|343737000|11067672000||1436671000|3789000|378939751|EQR
2023-12-31|USD|20034564000|50743000|50743000|50743000|||9450185000|8191476000||519394000|519394000||320849000|282049000||89252000||8456188000|410000000|||410000000|410000000|7617680000|311640000|7464657000|409131000||7874657000|-176622000|324721000|11085828000||1437185000|3793000|379291417|EQR
2023-09-30|USD|20108975000|39250000|39250000|39250000|1||8992547000|8158979000||520343000|520343000||351125000|313225000||-53386000||8565306000|1000000000|||1000000000|1000000000|7595552000|312781000|6981621000|497636000||7981621000|307143000|301150000|11061865000||1426632000|3797000|379723838|EQR
2023-06-30|USD|20145729000|35701000|35701000|35701000|||8879164000|8059156000||515298000|515298000||341610000|304710000||-47262000||8563867000|1000000000|||1000000000|1000000000|7935998000|313866000|7258442000|184474000||8258442000|325079000|363690000|11023866000||1506460000|3790000|379032722|EQR
2023-03-31|USD|20102526000|133460000|133460000|133460000|-14455000||8751100000|7948020000||510801000|510801000||19181530000|292279000|292279000|-143195000||8432522000|1000000000|||1000000000|1000000000|7979094000|314854000|7312094000|||8312094000|-1974329000|352146000|11137288000||1619131000|3789000|378898221|EQR
2022-12-31|USD|20218262000|53869000|53869000|53869000|||9185724000|7932928000||510816000|510816000||19339928000|279024000|279024000|-62550000||8517310000|130000000|||130000000|130000000|7980396000|308748000|7494250000|129955000||7624250000|310931000|375881000|11173439000||1658837000|3784000|378429708|EQR
2022-09-30|USD|20265405000|44788000|44788000|44788000|-23412999||8643392000|7876265000||510816000|510816000||19573794000|256311000|256311000|76679000||8633131000|1000000000|||1000000000|1000000000|7975384000|309548000|7308634000|189557000||8308634000|292347000|357202000|11044727000||1737107000|3762000|376169253|EQR
