fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|39236000000|12152000000|473000000|1994000000|4178000000|4886000000|27084000000|3711000000|5395000000|19853000000|4809000000|15044000000|||1521000000|1094000000|2154000000|20119000000|7941000000|3609000000|1229000000|717000000|3000000|12132000000|681000000|9392000000|714000000||9395000000|2928000000|1503000000|19117000000||10366000000|4000000|395200000|ETN
2024-06-30|USD|39381000000|12652000000|540000000|2781000000|3963000000|4861000000|26730000000|3604000000|5248000000|19732000000|4883000000|14849000000|||2241000000|1417000000|2110000000|20162000000|8120000000|3497000000|1292000000|1282000000|4000000|12008000000|656000000|9833000000|1278000000||9837000000|2812000000|1484000000|19219000000||10622000000|4000000|398100000|ETN
2024-03-31|USD|38535000000|11853000000|473000000|2442000000|3868000000|4674000000|26683000000|3558000000|5234000000|19852000000|4975000000|14877000000|||1969000000|1106000000|2070000000|19243000000|7613000000|3400000000|1317000000|995000000|1000000|11597000000|601000000|9186000000|994000000||9187000000|2726000000|1478000000|19292000000||10605000000|4000000|399800000|ETN
2023-12-31|USD|38432000000|11675000000|488000000|2609000000|3739000000|4475000000|27655000000|3530000000|5208000000|20068000000|5091000000|14977000000|860000000|860000000|2121000000|1095000000|2052000000|19396000000|7747000000|3365000000|1236000000|1025000000|8000000|11616000000|22000000|9261000000|1004000000||9269000000|2680000000|1489000000|19036000000||10305000000|4000000|399400000|ETN
2023-09-30|USD|37289000000|10983000000|348000000|1906000000|3713000000|4460000000|26305000000|3341000000|5062000000|19939000000|5158000000|14781000000|||1558000000|904000000|2076000000|18906000000|7563000000|3255000000|1240000000|999000000|24000000|11306000000|486000000|9125000000|975000000||9149000000|2716000000|1429000000|18383000000||9703000000|4000000|399300000|ETN
2023-06-30|USD|36772000000|10303000000|353000000|1330000000|3670000000|4399000000|26470000000|3267000000|5071000000|20199000000|5285000000|14914000000|||977000000|904000000|2056000000|18819000000|6725000000|3192000000|1224000000|496000000|94000000|12060000000|482000000|9206000000|402000000||9300000000|2571000000|1428000000|17953000000||9156000000|4000000|399000000|ETN
2023-03-31|USD|35517000000|9138000000|235000000|524000000|3604000000|4239000000|26380000000|3206000000|4989000000|20280000000|5386000000|14894000000|||289000000|771000000|1975000000|18068000000|6087000000|3118000000|1191000000|95000000|87000000|11946000000|466000000|8709000000|8000000||8796000000|2524000000|1417000000|17449000000||8757000000|4000000|398600000|ETN
2022-12-31|USD|35014000000|8746000000|294000000|555000000|3430000000|4076000000|27081000000|3146000000|4867000000|20281000000|5485000000|14796000000|788000000|788000000|261000000|700000000|1940000000|17976000000|6360000000|3072000000|997000000|334000000|324000000|11580000000|18000000|8331000000|334000000||8655000000|2488000000|1444000000|17038000000||8468000000|4000000|397800000|ETN
2022-09-30|USD|34364000000|8540000000|231000000|518000000|3428000000|3816000000|25825000000|2967000000|4702000000|19971000000|5492000000|14479000000|||287000000|778000000|1946000000|18296000000|6653000000|2937000000|836000000|926000000|903000000|11608000000|447000000|8105000000|23000000||9008000000|2358000000|1489000000|16068000000||8070000000|4000000|397700000|ETN
2022-06-30|USD|35153000000|8687000000|364000000|623000000|3445000000|3837000000|26466000000|3043000000|4768000000|20494000000|5689000000|14805000000|||259000000|1000000|2033000000|18773000000|8974000000|3013000000|865000000|3422000000|1392000000|9762000000|386000000|8307000000|2030000000||9699000000|2176000000|1446000000|16380000000||7886000000|4000000|398300000|ETN
