fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|50756000000|3068000000|439000000|439000000|536000000|1510000000|47688000000|40119000000|14361000000|5618000000||5618000000||688000000||286000000|778000000|37064000000|5473000000|1520000000|228000000|2102000000|75000000|31591000000||23744000000|2027000000||23819000000|221000000|1929000000|12427000000||27000000|58000000|576317004|FE
2024-03-31|USD|51299000000|4063000000|888000000|888000000|538000000|1815000000|47236000000|38804000000|13991000000|5618000000||5618000000||688000000||491000000|1043000000|37686000000|6273000000|1383000000|228000000|2863000000|250000000|31413000000||24381000000|2613000000||24631000000|227000000|1846000000|12397000000||0|57000000|575516472|FE
2023-12-31|USD|48767000000|2568000000|137000000|137000000|512000000|1318000000|46439000000|38412000000|13811000000|5618000000||5618000000||663000000||293000000|1137000000|37851000000|5386000000|1362000000|227000000|2025000000|775000000|32465000000|11000000|24254000000|1250000000||25029000000|241000000|2173000000|10437000000||-97000000|57000000|574335396|FE
2023-09-30|USD|47471000000|2520000000|118000000|118000000|481000000|1302000000|44951000000|37678000000|13854000000|5618000000||5618000000||626000000||322000000|676000000|36526000000|4796000000|1262000000|225000000|1572000000|270000000|31730000000||24254000000|1302000000||24524000000|290000000|1571000000|10474000000||-272000000|57000000|573814823|FE
2023-06-30|USD|47065000000|2485000000|171000000|171000000|449000000|1186000000|44580000000|37149000000|13671000000|5618000000||5618000000||638000000||361000000|864000000|36094000000|4149000000|1200000000|223000000|1352000000|350000000|31945000000||23726000000|1002000000||24076000000|230000000|1862000000|10510000000||-672000000|57000000|573362380|FE
2023-03-31|USD|46479000000|2507000000|177000000|177000000|457000000|1259000000|43972000000|36630000000|13457000000|5618000000||5618000000||632000000||328000000|1050000000|35748000000|3700000000|1238000000|222000000|602000000|550000000|32048000000||22270000000|52000000||22820000000|229000000|1599000000|10253000000||-907000000|57000000|572836882|FE
2022-12-31|USD|46108000000|2415000000|160000000|160000000|421000000|1318000000|44000000000|36285000000|13258000000|5618000000||5618000000||622000000||217000000|1135000000|35465000000|3958000000|1503000000|223000000|451000000|100000000|31507000000|17000000|21641000000|351000000||21741000000|364000000|1920000000|10166000000||-1199000000|57000000|572130932|FE
2022-09-30|USD|44851000000|2312000000|251000000|251000000|361000000|1182000000|42539000000|35572000000|13075000000|5618000000||5618000000||621000000||228000000|714000000|34077000000|3493000000|1125000000||353000000|353000000|9215000000||21343000000|353000000||21343000000|639000000|1309000000|10774000000||-796000000|57000000|571753195|FE
2022-06-30|USD|45120000000|2539000000|478000000|478000000|304000000||42581000000|35367000000|13035000000|5618000000||5618000000||626000000||315000000|871000000|34262000000|3370000000|1182000000||353000000|353000000|9673000000||21201000000|353000000||21201000000|673000000|1569000000|10858000000||-1130000000|57000000|571395285|FE
2022-03-31|USD|44617000000|2250000000|283000000|283000000|273000000||42367000000|34996000000|12834000000|5618000000||5618000000||646000000||295000000|1037000000|35862000000|4360000000|1090000000||1405000000|350000000|9748000000||22900000000|1055000000||23250000000|427000000|1559000000|8755000000||-1317000000|57000000|570932260|FE
2021-12-31|USD|45432000000|3237000000|1462000000|1462000000|260000000|1033000000|42522000000|34744000000|12672000000|5618000000||5618000000||655000000||187000000|1107000000|36757000000|4416000000|943000000|214000000|1606000000|0|10093000000|23000000|23946000000|1606000000||23946000000|188000000|1863000000|8675000000||-1605000000|57000000|570261104|FE
2021-09-30|USD|43854000000|2532000000|577000000|577000000|245000000||41322000000|34305000000|12460000000|5618000000||5618000000||632000000||239000000|677000000|36375000000|4094000000|876000000||1230000000|0|9778000000||23819000000|1230000000||23819000000|687000000|1273000000|7479000000||-2032000000|54000000|544419619|FE
2021-06-30|USD|44363000000|3196000000|1254000000|1254000000|274000000||41167000000|34017000000|12328000000|5618000000||5618000000||622000000||292000000|813000000|36933000000|3871000000|1184000000||1233000000|500000000|10037000000||23844000000|733000000||24344000000|337000000|1497000000|7430000000||-2495000000|54000000|544193637|FE
2021-03-31|USD|44117000000|3188000000|1281000000|1281000000|303000000||40929000000|33640000000|12143000000|5618000000|5618000000|5618000000||606000000||281000000|974000000|36757000000|4624000000|870000000||1989000000|1450000000|9929000000||22848000000|539000000||24298000000|555000000|1493000000|7360000000||-2553000000|54000000|543900432|FE
2020-12-31|USD|44464000000|3714000000|1734000000|1734000000|317000000|1203000000|41100000000|33294000000|11938000000|5691000000|73000000|5618000000|322000000|605000000||157000000|1106000000|37227000000|5004000000|827000000||2346000000|2200000000|10092000000|31000000|22377000000|146000000||24577000000|348000000|1826000000|7237000000||-2888000000|54000000|543117533|FE
2020-09-30|USD|42938000000|2162000000|260000000|260000000|308000000||40732000000|32857000000|11971000000|5618000000||5618000000|301000000|1463000000|881000000|218000000|713000000|35750000000|3077000000|891000000||377000000|300000000|10470000000||22389000000|77000000||22689000000|586000000|1117000000|7188000000||-3130000000|54000000|542590202|FE
2020-06-30|USD|42403000000|1986000000|116000000|116000000|303000000||40373000000|32408000000|11818000000|5618000000||5618000000|297000000|1457000000||286000000|812000000|35260000000|2544000000|882000000||196000000|115000000|10736000000||22168000000|81000000||22283000000|367000000|1321000000|7143000000||-3584000000|54000000|542110386|FE
2020-03-31|USD|42090000000|2003000000|152000000|152000000|285000000||40087000000|32005000000|11635000000|5618000000||5618000000|288000000|1438000000||279000000|935000000|35276000000|3697000000|898000000||1131000000|750000000|10758000000||21297000000|381000000||22047000000|572000000|1357000000|6814000000||-3893000000|54000000|541753695|FE
2019-12-31|USD|42301000000|2444000000|627000000|627000000|281000000||6756000000|31650000000|11427000000|5698000000|80000000|5618000000|700000000|1451000000|0|157000000|1039000000|35326000000|4862000000|918000000||1380000000|1000000000|10846000000|45000000|20066000000|380000000||21066000000|1425000000|1667000000|6975000000||-3967000000|54000000|540652222|FE
