fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|79792000000|25125000000|1228000000|1228000000|-1858000000|3827000000|53684000000|2377000000||47455000000|10322000000|37133000000|1585000000|1585000000|611000000|2286000000|2265000000|51389000000|23565000000|483000000|2050000000|1200000000|1309000000|27824000000|1100000000|23426000000|1200000000||-160000000|20399000000|958000000|27751000000|16941000000|22637000000|8000000|573700000|FI
2024-06-30|USD|93417000000|38327000000|1195000000|1195000000||4493000000|54153000000|2285000000||47419000000|10552000000|36867000000|2210000000|2210000000||2727000000|2238000000|64639000000|36201000000|522000000|2086000000|1108000000|1218000000|28438000000|1082000000|23743000000|1108000000||-152000000|34224000000|913000000|28154000000|15744000000|22073000000|8000000|582700000|FI
2024-03-31|USD|92698000000|37094000000|1214000000|1214000000|543000000|4142000000|54665000000|2226000000||47964000000|10926000000|37038000000|2220000000|2220000000||2052000000|2253000000|63115000000|35118000000|540000000|2052000000|671000000|785000000|27997000000|1054000000|23105000000|671000000||-152000000|33588000000|948000000|28801000000|14253000000|21179000000|8000000|590900000|FI
2023-12-31|USD|90890000000|34811000000|1204000000|1204000000||4116000000|56445000000|2161000000||48415000000|11210000000|37205000000|2262000000|2262000000||1921000000|2273000000|60221000000|33552000000|449000000|2022000000|755000000|873000000|27334000000|430000000|23118000000|568000000||23118000000|32027000000|978000000|29857000000|12915000000|20444000000|8000000|598200000|FI
2023-09-30|USD|84154000000|28581000000|1349000000|1349000000||3461000000|54655000000|2122000000||48275000000|11439000000|36836000000|2259000000|2259000000||1527000000|1996000000|53768000000|26629000000|441000000|1704000000|649000000|649000000|27139000000|1090000000|22657000000|649000000||-151000000|21785000000|971000000|29573000000|11899000000|19574000000|8000000|606200000|FI
2023-06-30|USD|77599000000|21444000000|1082000000|1082000000|155341000|3465000000|55241000000|2023000000||48888000000|11779000000|37109000000|2316000000|2316000000||1570000000|2008000000|46722000000|19462000000|412000000|1836000000|608000000|608000000|27260000000|940000000|22595000000|608000000||-129000000|14821000000|1021000000|29991000000|10727000000|18622000000|8000000|615400000|FI
2023-03-31|USD|76548000000|20289000000|1046000000|1046000000||3340000000|55354000000|2002000000||49011000000|11994000000|37017000000|2362000000|2362000000||1255000000|1972000000|45594000000|18863000000|425000000|1930000000|461000000|461000000|26731000000|883000000|21943000000|461000000||-123000000|17285000000|995000000|30077000000|9762000000|17939000000|8000000|626900000|FI
2022-12-31|USD|83869000000|27544000000|902000000|902000000||3749000000|54652000000|1958000000||49226000000|12415000000|36811000000|2403000000|2403000000||1144000000|1833000000|52181000000|26458000000|652000000|1720000000|468000000|468000000|26351000000|366000000|21418000000|312000000||21418000000|24713000000|936000000|30828000000|8378000000|17376000000|8000000|633600000|FI
2022-09-30|USD|75640000000|19875000000|3368000000|893000000||3303000000|54886000000|1924000000||48697000000|12456000000|36241000000|2390000000|2390000000||15679000000|1868000000|44497000000|18724000000|469000000|1522000000|528000000|528000000|25773000000|836000000|20847000000|528000000||-116000000|17182000000|944000000|30326000000|7696000000|16594000000|8000000|639600000|FI
2022-06-30|USD|77212000000|20281000000|3055000000|883000000||3194000000|56090000000|1804000000||49845000000|13016000000|36829000000|2517000000|2517000000||16204000000|1916000000|45242000000|19351000000|545000000|1632000000|600000000|600000000|25891000000|758000000|20915000000|600000000||-115000000|17606000000|963000000|31109000000|7017000000|16113000000|8000000|645200000|FI
2022-03-31|USD|75470000000|18443000000|2824000000|863000000||2911000000|56196000000|1729000000||49980000000|13442000000|36538000000|2579000000|2579000000||14669000000|1899000000|43328000000|17730000000|439000000|1682000000|552000000|552000000|25598000000|756000000|20518000000|552000000||-119000000|16128000000|867000000|31272000000|6561000000|15515000000|8000000|650800000|FI
