fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|33784000000|5186000000|834000000|834000000||125000000|26891000000|646000000|1437000000|18578000000|1318000000|17260000000|3978000000|3858000000||2316000000|1749000000|18084000000|6094000000|214000000|1019000000|1604000000|636000000|13068000000|251000000|10654000000|968000000|9686000000|11290000000|2821000000|1441000000|15698000000|8816000000|-22257000000|6000000|536000000|FIS
2024-09-30|USD|34347000000|6070000000|1323000000|1323000000||-43000000|26048000000|620000000|1480000000|18450000000|1400000000|17050000000|4133000000|4133000000|197000000|2759000000|1644000000|17776000000|5142000000|220000000|839000000|429000000|112000000|12634000000|81000000|10808000000|317000000|10491000000|10920000000|3191000000|1426000000|16569000000|7787000000|-22343000000|6000000|545000000|FIS
2024-06-30|USD|34598000000|6451000000|2131000000|2131000000||-41000000|25969000000|645000000|1441000000|18487000000|1508000000|16979000000|4086000000|4086000000||2645000000|1591000000|17557000000|4786000000|101000000|864000000|578000000|0|12771000000|81000000|11162000000|578000000|10584000000|11162000000|2959000000|1354000000|17037000000|7276000000|-22304000000|6000000|554000000|FIS
2024-03-31|USD|35871000000|7638000000|3329000000|3329000000||-39000000|26100000000|668000000|1427000000|18656000000|1682000000|16974000000|4131000000|4131000000||2624000000|1521000000|17846000000|5030000000|130000000|906000000|587000000|0|12816000000|84000000|11194000000|587000000|10607000000|11194000000|3014000000|1332000000|18021000000|6174000000|-22347000000|6000000|576000000|FIS
2023-12-31|USD|54973000000|13656000000|440000000|440000000||1730000000|39828000000|695000000|1379000000|18794000000|1823000000|16971000000|172000000|195000000||11391000000|1528000000|35917000000|18229000000|733000000|981000000|6108000000|4760000000|18804000000|263000000|14318000000|1348000000|12970000000|19078000000|10174000000|1446000000|19050000000|4724000000|-22864000000|6000000|589000000|FIS
2023-09-30|USD|53174000000|12153000000|466000000|466000000|8502000000|1719000000|38939000000|682000000|1343000000|18758000000|1947000000|16811000000||||1151000000|1616000000|33690000000|16081000000||739000000|5915000000|4595000000|17609000000||14061000000|1320000000|12741000000|18656000000|7954000000|1478000000|19477000000|4208000000|-22808000000|6000000|592000000|FIS
2023-06-30|USD|53574000000|10650000000|1982000000|1982000000||3402000000|39656000000|829000000|1607000000|35765000000|8084000000|27681000000||||4773000000|1938000000|33301000000|14443000000||818000000|5929000000|5144000000|18858000000||14374000000|785000000|13589000000|19518000000|5050000000|1893000000|20266000000|4207000000|-22048000000|6000000|592000000|FIS
2023-03-31|USD|61078000000|10966000000|1871000000|1871000000||3476000000|46890000000|838000000|1556000000|42955000000|8531000000|34424000000||||5133000000|1988000000|33974000000|14728000000||825000000|6107000000|3968000000|19246000000||16044000000|2139000000|13905000000|20012000000|5331000000|1847000000|27097000000|4206000000|-15141000000|6000000|592000000|FIS
2022-12-31|USD|63278000000|12818000000|456000000|2188000000||3699000000|47865000000|709000000|1264000000|19284000000|2468000000|16816000000|330000000|393000000|1732000000|6438000000|1675000000|35872000000|16224000000|1620000000|953000000|5885000000|3755000000|20748000000|414000000|16336000000|2130000000|14206000000|20091000000|6752000000|1382000000|27218000000|4192000000|-14971000000|6000000|592000000|FIS
2022-09-30|USD|78317000000|10593000000|1932000000|1932000000|636000000|3373000000|64593000000|839000000|1472000000|60214000000|9200000000|51014000000||||4359000000|2549000000|32802000000|13671000000||712000000|5407000000|2422000000|19131000000||16494000000|2985000000|13509000000|18916000000|5076000000|1931000000|45328000000|3685000000|2673000000|6000000|605000000|FIS
