fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|12218700000|5315500000|416700000|416700000|1392100000|2890500000|7049600000|869400000|746900000|3939500000|2421700000|1517800000|25300000|25300000||616200000|447900000|7610900000|3588400000|802900000|800000|1043200000|957200000|4113700000||3112800000|86000000|3026800000|4070000000|1658700000|386400000|4607800000|2724700000|6726400000|18600000|125026000|FMC
2024-06-30|USD|12130700000|5210200000|471500000|471500000|1435000000|2702400000|7064300000|861100000|707400000|3922400000|2413200000|1509200000|22800000|22800000||601300000|450100000|7571300000|3523100000|697300000|1600000|1153300000|1068900000|4142800000||3110200000|84400000|3025800000|4179100000|1551400000|401400000|4559400000|2724700000|6734200000|18600000|125009000|FMC
2024-03-31|USD|11978400000|5198000000|417800000|417800000|1587100000|2817900000|6920400000|875600000|692200000|4020800000|2432900000|1587900000|20100000|20100000|2700000|375200000|488800000|7666900000|3552900000|589300000|177400000|1311100000|1217400000|4213500000||3118300000|93700000|3024600000|4335700000|1447600000|414200000|4311500000|2724700000|6511800000|18600000|124945000|FMC
2023-12-31|USD|11926200000|5129100000|302400000|302400000|1724600000|2703200000|7012600000|892500000|667300000|4058700000|2465100000|1593600000|19800000|19800000||80500000|489500000|7515300000|3384600000|602400000|482100000|934000000|837500000|4324900000|147600000|3120100000|96500000|3023600000|3957600000|1217300000|407400000|4410900000|2723900000|6587100000|18600000|124900000|FMC
2023-09-30|USD|10956400000|5322300000|323800000|323800000|1998600000|2564500000|5780100000|872500000|638800000|4037800000|2453100000|1584700000|19300000|19300000||435400000|495200000|7665500000|3446500000|662500000|3400000|1092800000|599700000|4319500000||3516000000|493100000|3022900000|4115700000|1689500000|405800000|3290900000|2723800000|5561100000|18600000|124887000|FMC
2023-06-30|USD|11951700000|6266800000|941500000|941500000|2072300000|2782800000|5830100000|867900000|613900000|4080900000|2488600000|1592300000|17800000|17800000||470200000|499800000|8598700000|4352700000|1032700000|6800000|1660500000|1164300000|4348000000||3518200000|496200000|3022000000|4682500000|1656100000|415100000|3353000000|2724100000|5637200000|18600000|125085000|FMC
2023-03-31|USD|11732100000|6021800000|494400000|494400000|1910900000|3202100000|5862300000|862700000|585500000|4092100000|2500100000|1592000000|17700000|17700000|6700000|414400000|519000000|8261400000|4668300000|1182800000|28000000|1878600000|1387700000|3699700000||2824900000|490900000|2334000000|4212600000|1592900000|455500000|3470700000|2674700000|5679200000|18600000|125341000|FMC
2022-12-31|USD|11171300000|5438600000|572000000|572000000|1651600000|2871400000|5983400000|849600000|565900000|4097400000|2508100000|1589300000|14500000|14500000|12400000|105400000|560500000|7793400000|3799600000|1252200000|1361000000|540800000|452300000|4187700000|150600000|2821700000|88500000|2733200000|3274000000|1326100000|445400000|3377900000|2646200000|5555900000|18600000|125600000|FMC
2022-09-30|USD|10764700000|5110600000|363800000|363800000|1731500000|2599900000|5868100000|789600000|572000000|4046800000|2472700000|1574100000|10300000|10300000|28600000|415400000|623300000|7576500000|3632200000|1045700000|6600000|826300000|740400000|4056400000||2818400000|85900000|2732500000|3558800000|1756900000|449400000|3188200000|2546500000|5354800000|18600000|126224000|FMC
2022-06-30|USD|11044200000|5517400000|591500000|591500000|1590400000|2885100000|5750700000|797400000|556400000|3902200000|2446400000|1455800000|10100000|10100000|17700000|450400000|602200000|7935700000|3985700000|1122200000|3600000|1155100000|1065900000|4063800000||2820900000|89200000|2731700000|3886800000|1706600000|452600000|3108500000|2546300000|5199100000|18600000|126204000|FMC
2022-03-31|USD|10904800000|5298400000|365100000|365100000|1590700000|2868600000|5837800000|804100000|537300000|3954600000|2491500000|1463100000|10200000|10200000|10000000|474000000|614100000|7845700000|3829300000|1057400000|80000000|1040400000|941800000|4132400000||2831000000|98600000|2732400000|3772800000|1691500000|487900000|3059100000|2546600000|5131800000|18600000|126064000|FMC
