fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|12124361000|5089033000|1621376000|1792959000|1084384000|1686608000|7109597000|5413683000|2091207000|82989000|54654000|28335000|185035000||171583000|546882000|697770000|4146784000|2077442000|482190000|2039825000|236424000|145228000|2106183000|29532000|464550000|236424000|373354000|609778000|60884000|233769000|7977577000||5263110000|107000|107060281|FSLR
2024-09-30|USD|11436638000|3818103000|1005130000|1269821000|1250629000|790597000|7686250000|5326121000|1976214000|86230000|56645000|29585000|266919000||264691000|528856000|615766000|3842990000|1782165000|265320000|1965381000|208261000|117032000|2101415000|29783000|464550000|208261000|373321000|581582000|44253000|228138000|7593648000||4869994000|107000|107057732|FSLR
2024-03-31|USD|10760582000|4241393000|1682081000|1990097000|970871000|876306000|6528919000|4915686000|1775946000|90624000|61889000|28735000|311506000||308016000|425919000|535751000|3858068000|1758717000|239237000|2068082000|200907000|119602000|2088083000|17063000|500000000|200907000|418695000|619602000|45778000|170999000|6902514000||4207682000|107000|107041246|FSLR
2023-12-31|USD|10365132000|4634809000|1946994000|2102489000|819899000|1342321000|5735839000|4397285000|1694116000|94198000|64511000|29687000|157273000||155495000|391900000|478604000|3677663000|1306158000|207178000|2005183000|96238000|60306000|2363449000|17063000|500000000|96238000|464068000|560306000|42200000|180710000|6687469000||3971066000|107000|106847475|FSLR
2023-09-30|USD|9582645000|3824002000|1492958000|1822474000|882787000|775320000|5758738000|4072857000|1684451000|94852000|66379000|28473000|331352000||329516000|331618000|430266000|3280269000|1199105000|110795000|1721769000|35409000|45056000|2062387000|43869000|500000000|35409000|464040000|499449000|46730000|137391000|6302376000||3621827000|107000|106844040|FSLR
2023-06-30|USD|8997166000|3660730000|829913000|1883957000|756173000|682635000|5308772000|4020178000|1605434000|99081000|70435000|28646000|1055190000||1054044000|352181000|414003000|2957528000|1090614000|245834000|1547421000||9693000|1848585000|45887000|438000000||437410000|438000000|122160000|140253000|6039638000||3353429000|107000|106830548|FSLR
2023-03-31|USD|8564596000|3619864000|906634000|2271241000|751407000|298620000|4900344000|3858604000|1528791000|42939000|28477000|14462000|1367297000||1364607000|272702000|386720000|2695868000|1174173000|285760000|1348381000||9363000|1485489000|47836000|321000000||320378000|321000000|20631000|121372000|5868728000||3182850000|107000|106825067|FSLR
2022-12-31|USD|8251228000|3791421000|1481269000|2577981000|621376000|324337000|4402083000|3536902000|1462772000|45568000|31106000|14462000|1098730000||1096712000|267727000|356192000|2415173000|1038048000|341409000|1207940000|0|9193000|1341656000|49782000|185000000|0|184349000|184349000|21245000|119937000|5836055000||3140289000|107000|106609094|FSLR
2022-09-30|USD|7492817000|3338750000|1150982000|1927195000|810660000|325421000|3953686000|3124079000|1396504000|51093000|36631000|14462000|787460000||776213000|240325000|311200000|1664480000|816268000|188280000|584233000|5435000|5435000|1170392000|53562000|266169000|5435000|254224000|259659000|28349000|473815000|5828337000||3147837000|107000|106605913|FSLR
2022-06-30|USD|7419369000|3383417000|1701217000|1845161000|810461000|454431000|3814554000|2988979000|1341413000|53190000|38728000|14462000|152479000||143944000|237926000|306956000|1523542000|803554000|160963000|505642000|5150000|5150000|970405000|57189000|181186000|5150000|170017000|175167000|36329000|415825000|5895827000||3197005000|107000|106594255|FSLR
