fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|15363000000|1320000000|883000000|883000000||253000000|15355000000|61000000|379000000|12507000000|2336000000|10171000000||110000000||262000000|1475000000|13212000000|3764000000|102000000|1849000000|1396000000|1408000000|10875000000|55000000|8476000000|1396000000|7080000000|8476000000|396000000|688000000|2151000000||171000000|2026000000|616000000|GEN
2024-09-30|USD|15471000000|1222000000|737000000|737000000|127000000|291000000|15567000000|60000000|521000000|12677000000|2442000000|10235000000||140000000||297000000|1512000000|13373000000|3822000000|99000000|1827000000|1391000000|1404000000|10993000000|60000000|8528000000|1391000000|7137000000|8528000000|509000000|692000000|2098000000||89000000|1995000000|616000000|GEN
2024-06-30|USD|15428000000|1111000000|644000000|644000000||281000000|15614000000|69000000|517000000|12742000000|2537000000|10205000000||136000000||300000000|1506000000|13458000000|3752000000|83000000|1819000000|1332000000|1345000000|11111000000|54000000|8522000000|1332000000|7190000000|8522000000|535000000|685000000|1970000000||5000000|1959000000|615000000|GEN
2024-03-31|USD|15793000000|1358000000|846000000|846000000||337000000|15685000000|72000000|512000000|12848000000|2638000000|10210000000||136000000|-397000000|334000000|1515000000|13653000000|2726000000|66000000|1806000000|175000000|188000000|12311000000|51000000|8604000000|175000000|8429000000|8604000000|599000000|671000000|2140000000||-41000000|2227000000|623000000|GEN
2023-12-31|USD|16282000000|1720000000|490000000|490000000|146000000|1017000000|15779000000|76000000|523000000|12976000000|2745000000|10231000000||176000000||1055000000|1476000000|13864000000|2563000000|62000000|1744000000|175000000|207000000|12370000000|44000000|9256000000|175000000|9081000000|9256000000|580000000|639000000|2364000000||-103000000|2502000000|637000000|GEN
2023-09-30|USD|16411000000|1076000000|629000000|629000000|22000000|243000000|17228000000|75000000|521000000|13058000000|2859000000|10199000000||176000000||278000000|2163000000|13997000000|2460000000|66000000|1672000000|175000000|194000000|12610000000|50000000|9508000000|175000000|9333000000|9508000000|540000000|631000000|2362000000||-247000000|2655000000|641000000|GEN
2023-06-30|USD|15787000000|1087000000|623000000|623000000|22000000|231000000|15792000000|73000000|515000000|13223000000|2982000000|10241000000||176000000||297000000|1366000000|13450000000|2748000000|65000000|1709000000|233000000|257000000|11232000000|51000000|9560000000|233000000|9327000000|9560000000|735000000|44000000|2287000000||-396000000|2697000000|639000000|GEN
2023-03-31|USD|15947000000|1233000000|750000000|750000000|31000000|291000000|15736000000|76000000|509000000|13314000000|3097000000|10217000000||176000000|0|284000000|1324000000|13747000000|2849000000|77000000|1788000000|233000000|259000000|11407000000|57000000|9762000000|233000000|9529000000|9762000000|729000000|74000000|2152000000||-585000000|2800000000|640000000|GEN
2022-12-31|USD|15503000000|1376000000|812000000|812000000|30000000|374000000|14496000000|104000000|538000000|13336000000|3212000000|10124000000||182000000|0|366000000|638000000|14193000000|2878000000|75000000|1729000000|233000000|259000000|11929000000|64000000|10064000000|233000000|9831000000|10064000000|795000000|46000000|1310000000||-1500000000|2838000000|639000000|GEN
2022-09-30|USD|15882000000|1622000000|1095000000|1095000000|30000000|318000000|14627000000|108000000|527000000|13458000000|3332000000|10126000000||182000000|0|345000000|644000000|14184000000|2825000000|66000000|1684000000|175000000|199000000|11954000000|65000000|10058000000|175000000|9883000000|10058000000|852000000|43000000|1698000000||-1665000000|3378000000|661000000|GEN
