fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|27735000000|7992000000|1768000000|1768000000|2724000000|2053000000|21293000000|13359000000|14492000000|3115000000|752000000|2363000000|1373000000|394000000||1447000000|2139000000|16665000000|4919000000|1472000000|3043000000|326000000|421000000|16271000000|880000000|6726000000|326000000|6400000000|7299000000|3026000000|4525000000|10686000000|20882000000|15926000000|921000000|853000000|GLW
2024-09-30|USD|28322000000|7676000000|1613000000|1613000000|2793000000|1986000000|20906000000|14059000000|15140000000|3204000000|814000000|2390000000|706000000|||1284000000|2172000000|16855000000|4637000000|1565000000|3271000000|335000000|428000000|17006000000|933000000|7073000000|335000000|7000000000|8341000000|2359000000|4788000000|11103000000|20845000000|15859000000|920000000|854000000|GLW
2024-06-30|USD|27179000000|7121000000|1419000000|1419000000|2682000000|1721000000|20145000000|13742000000|14562000000|3201000000|836000000|2365000000|607000000|||1299000000|1981000000|16252000000|4526000000|1466000000|3154000000|376000000|468000000|16184000000|913000000|6908000000|376000000|6500000000|8197000000|2332000000|4458000000|10585000000|20799000000|15976000000|919000000|853000000|GLW
2024-03-31|USD|27618000000|6971000000|1365000000|1365000000|2713000000|1621000000|20751000000|14199000000|14439000000|3241000000|871000000|2370000000|625000000|||1272000000|2075000000|16059000000|4175000000|1476000000|3067000000|318000000|421000000|16319000000|923000000|7050000000|318000000|6700000000|8291000000|1974000000|4435000000|11226000000|20672000000|16358000000|917000000|852000000|GLW
2023-12-31|USD|28500000000|7212000000|1779000000|1779000000|2666000000|1572000000|22715000000|14630000000|14553000000|3285000000|905000000|2380000000|1045000000|414000000||1195000000|2220000000|16632000000|4319000000|1466000000|3291000000|320000000|432000000|17022000000|958000000|7320000000|320000000|7000000000|8484000000|2171000000|4709000000|11551000000|20637000000|16391000000|916000000|848000000|GLW
2023-09-30|USD|28278000000|7298000000|1639000000|1639000000|2655000000|1725000000|20980000000|14407000000|14257000000|3310000000|938000000|2372000000||||1279000000|2226000000|16534000000|4285000000|1459000000|2060000000|297000000|297000000|16882000000|950000000|7210000000|297000000|6500000000|7507000000|2182000000|4633000000|11430000000|20633000000|16673000000|915000000|850000000|GLW
2023-06-30|USD|28645000000|7293000000|1538000000|1538000000|2757000000|1674000000|21352000000|14681000000|14171000000|3354000000|972000000|2382000000||||1324000000|2234000000|16935000000|4411000000|1519000000|1191000000|187000000|187000000|16539000000|930000000|7437000000|187000000|7100000000|7624000000|2379000000|4680000000|11412000000|20630000000|16509000000|915000000|848000000|GLW
2023-03-31|USD|28822000000|6877000000|1146000000|1146000000|2863000000|1688000000|21945000000|15137000000|14239000000|3396000000|1002000000|2394000000||||1180000000|2306000000|16615000000|4773000000|1662000000|1203000000|197000000|197000000|15932000000|946000000|6654000000|197000000|6400000000|6851000000|2579000000|4783000000|11925000000|20548000000|16713000000|911000000|844000000|GLW
2022-12-31|USD|29499000000|7453000000|1671000000|1671000000|2904000000|1721000000|23472000000|15371000000|14147000000|3423000000|1029000000|2394000000|1038000000|360000000||1157000000|2179000000|17224000000|5175000000|1804000000|2569000000|224000000|335000000|16262000000|906000000|6324000000|224000000|6100000000|7817000000|2760000000|4955000000|12008000000|20532000000|16778000000|910000000|843000000|GLW
2022-09-30|USD|28735000000|7804000000|1630000000|1630000000|2951000000|1620000000|20931000000|14645000000|13348000000|3417000000|1049000000|2368000000||||1603000000|1871000000|17187000000|5167000000|1808000000|2168000000|208000000|208000000|16165000000|745000000|6525000000|208000000|5900000000|6733000000|2815000000|4910000000|11284000000|20528000000|17044000000|910000000|843000000|GLW
2022-06-30|USD|29718000000|7883000000|1629000000|1629000000|2835000000|1786000000|21835000000|15350000000|13499000000|3477000000|1088000000|2389000000||||1633000000|2026000000|17736000000|5530000000|1934000000|2085000000|121000000|121000000|16349000000|774000000|6677000000|121000000|6400000000|6798000000|3173000000|4941000000|11734000000|20509000000|16837000000|910000000|843000000|GLW
2022-03-31|USD|30257000000|7861000000|2016000000|2016000000|2618000000|1910000000|22396000000|15780000000|14010000000|3526000000|1118000000|2408000000||||1317000000|2060000000|17628000000|5061000000|1849000000|2436000000|120000000|145000000|16382000000|769000000|6839000000|145000000|7300000000|6984000000|2720000000|5108000000|12395000000|20419000000|16737000000|908000000|843000000|GLW
2021-12-31|USD|30154000000|7659000000|2148000000|2148000000|2481000000|2004000000|23728000000|15804000000|13969000000|3569000000|1148000000|2421000000|882000000|328000000||1026000000|2056000000|17609000000|4806000000|1612000000|2623000000|55000000|55000000|16660000000|968000000|8355000000|55000000|8300000000|7044000000|2768000000|5192000000|12333000000|20263000000|16389000000|907000000|849000000|GLW
2021-09-30|USD|29706000000|7679000000|2212000000|2212000000|2463000000|2114000000|22027000000|15383000000|13857000000|3617000000|1192000000|2425000000||||890000000|1965000000|17351000000|4337000000|1396000000|2624000000|50000000|50000000|16885000000|722000000|7019000000|50000000|8400000000|7069000000|2527000000|5266000000|12145000000|20011000000|16110000000|907000000|852000000|GLW
2021-06-30|USD|29806000000|7648000000|2320000000|2320000000|2387000000|2057000000|22517000000|15455000000|13657000000|3661000000|1228000000|2433000000||||884000000|1991000000|17664000000|4624000000|1312000000|2628000000|353000000|353000000|16826000000|712000000|7025000000|353000000|8500000000|7378000000|2572000000|5292000000|11960000000|19986000000|15739000000|907000000|844000000|GLW
2021-03-31|USD|30143000000|8103000000|2868000000|2868000000|2361000000|1900000000|22398000000|15364000000|13514000000|3688000000|1259000000|2429000000||||974000000|1996000000|16585000000|3513000000|1272000000|2617000000|154000000|154000000|16809000000|700000000|7650000000|154000000|8700000000|7804000000|1713000000|4689000000|13369000000|19934000000|16509000000|864000000|766000000|GLW
2020-12-31|USD|30775000000|8004000000|2672000000|2672000000|2481000000|2133000000|23711000000|15742000000|13663000000|3768000000|1308000000|2460000000|706000000|435000000||761000000|2140000000|17327000000|3767000000|1174000000|1359000000|156000000|75000000|18127000000|163000000|9471000000|71000000|9400000000|75000000|2072000000|5192000000|13257000000|19928000000|16120000000|863000000|764000000|GLW
2020-09-30|USD|30267000000|8058000000|2514000000|2514000000|2581000000|2099000000|22209000000|15449000000|13874000000|3759000000|1332000000|2427000000|354000000|354000000|354000000|864000000|1474000000|17410000000|3849000000|1176000000|2634000000|256000000|256000000|17441000000|695000000|7822000000|256000000|9200000000|8078000000|2104000000|5072000000|12660000000|19926000000|16065000000|861000000|760000000|GLW
2020-06-30|USD|27546000000|6846000000|2158000000|2158000000|2235000000|1712000000|20700000000|14691000000|13476000000|2997000000|1072000000|1925000000|329000000|329000000||741000000|1417000000|15413000000|3020000000|1109000000|2168000000|12000000|12000000|16005000000|690000000|7797000000|12000000|8900000000|7809000000|1707000000|3928000000|12049000000|19924000000|15847000000|860000000|759000000|GLW
