fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|1728080000000|168688000000|154689000000|168688000000|||160200000000|8504000000|14330000000|6834000000|925000000|5909000000|183660000000|139740000000|13999000000|1170074000000||1606880000000|176039000000||115000000|113922000000|75371000000|260324000000|2175000000|250250000000|38551000000|96223000000|325621000000|-2667000000||121200000000|106475000000|150454000000|9000000|314190854|GS
2024-06-30|USD|1653313000000|220383000000|206326000000|220383000000|-364389000000||158175000000|9729000000|14020000000|6885000000|992000000|5893000000|160924000000|136440000000|14057000000|1075312000000||1533850000000|184971000000||98000000|121036000000|76769000000|245265000000|2122000000|234632000000|44267000000|88360000000|311401000000|585675000000||119463000000|105459000000|148652000000|9000000|316162882|GS
2024-03-31|USD|1698440000000|223068000000|209385000000|223068000000|-385544000000||159683000000|10514000000|13890000000|6918000000|1021000000|5897000000|154900000000|136890000000|13683000000|1122232000000||1579894000000|188740000000||100000000|122479000000|78603000000|243085000000|2160000000|233919000000|43876000000|87142000000|312522000000|651093000000||118546000000|101917000000|146690000000|9000000|324014481|GS
2023-12-31|USD|1641594000000|255324000000|241577000000|255324000000|-390577000000||155388000000|11244000000|13640000000|7093000000|1177000000|5916000000|146839000000|133750000000|13747000000|1041802000000||1524689000000|185789000000||76000000|125306000000|75945000000|247867000000|2232000000|241877000000|49361000000|86410000000|317822000000|875887000000||116905000000|100445000000|143688000000|9000000|323376354|GS
2023-09-30|USD|1577153000000|253621000000|239879000000|253621000000|-984778000000||157577000000|13138000000|13820000000|7254000000|1341000000|5913000000|145530000000|133600000000|13742000000|984778000000||1459876000000|331581000000||112000000|276655000000|229279000000|230070000000|2222000000|289341000000|47376000000|73916000000|294033000000|-323000000000||117277000000|99429000000|142743000000|9000000|326604718|GS
2023-06-30|USD|1571386000000|284689000000|270931000000|284689000000|-955100000000||129655000000|-13650000000|13650000000|7863000000|1921000000|5942000000|137571000000|133310000000|13758000000|955100000000||1454893000000|319536000000||128000000|271533000000|225770000000|236915000000|2113000000|295484000000|45763000000|74312000000|300869000000|-328000000000|569453000000|116493000000|97917000000|141798000000|9000000|330811807|GS
2023-03-31|USD|1538349000000|243926000000|229327000000|243926000000|-1392755000000||133002000000|-12880000000|12880000000|8404000000|1965000000|6439000000|131790000000|135330000000|14599000000|965755000000||1420840000000|286645000000||130000000|240326000000|203257000000|247826000000|2129000000|298205000000|37069000000|74888000000|305397000000|-331000000000|545553000000|117509000000|97159000000|141591000000|9000000|332884318|GS
2022-12-31|USD|1441799000000|256717000000|241825000000|256717000000|-1190082000000||132955000000|17074000000|12190000000|8383000000|2009000000|6374000000|130629000000|134590000000|14892000000|859095000000||1324610000000|183654000000||113000000|152927000000|60961000000|254245000000|2154000000|247138000000|38635000000|73147000000|308099000000|6845000000|454810000000|117189000000|94631000000|139372000000|9000000|334918639|GS
2022-09-30|USD|1555994000000|299610000000|284251000000|299610000000|-1229158000000||130438000000|-11870000000|11870000000|8251000000|1963000000|6288000000|126963000000|131990000000|15359000000|939668000000||1436704000000|239040000000||145000000|195218000000|166912000000|247641000000|2057000000|288744000000|28306000000|65358000000|291815000000|7226000000|510876000000|119290000000|93127000000|139067000000|9000000|339103013|GS
2022-06-30|USD|1601224000000|303755000000|288606000000|303755000000|-1332434000000||126708000000|-11550000000|11550000000|8210000000|2014000000|6196000000|114775000000|127880000000|15149000000|993792000000||1483353000000|249848000000|||211594000000|185302000000|258966000000|2160000000|299274000000|26292000000|62238000000|308059000000|-332102000000|530866000000|117871000000|92123000000|136998000000|9000000|341963005|GS
2022-03-31|USD|1589441000000|291449000000|274164000000|291449000000|||121493000000|-11200000000|11200000000|6481000000|1209000000|5272000000|92084000000|123940000000|17285000000|-174836000000||1474202000000|244051000000|||200276000000|176268000000|267265000000|2261000000|306612000000|24008000000|58348000000|316468000000|9706000000|533488000000|115239000000|91623000000|134931000000|9000000|343396311|GS
2021-12-31|USD|1463988000000|279973000000|261036000000|279973000000|||115085000000|-10810000000|10810000000|4703000000|418000000|4285000000|88719000000|118900000000|18937000000|-160964000000||1354062000000|239270000000||0|192765000000|174647000000|263466000000|2288000000|298476000000|18118000000|52390000000|301047000000|9056000000|489270000000|109926000000|91136000000|131811000000|9000000|333573254|GS
2021-09-30|USD|1443230000000|231169000000|211830000000|231169000000|||111311000000|-10730000000|10730000000|4823000000|497000000|4326000000|86708000000|114930000000|19339000000|614940000000||1336933000000|236239000000|||194705000000|174074000000|252365000000|2283000000|291463000000|20631000000|47880000000|291770000000|-311210000000|495627000000|106297000000|90634000000|128631000000|9000000|334792980|GS
2021-06-30|USD|1387922000000|261334000000|240289000000|261334000000|||107675000000|-10580000000|10580000000|4855000000|523000000|4332000000|90727000000|111100000000|21045000000|546740000000||1286032000000|228739000000|||190582000000|164505000000|251115000000|2291000000|295910000000|26077000000|44396000000|300670000000|-315885000000|476077000000|101890000000|89633000000|124051000000|9000000|337276277|GS
2021-03-31|USD|1301548000000|210597000000|191155000000|210597000000|||102997000000|-10300000000|10300000000|4907000000|575000000|4332000000|88016000000|106060000000|19442000000|514604000000||1203884000000|201823000000|||167478000000|140722000000|231498000000|2319000000|276327000000|26756000000|39902000000|277507000000|-297945000000|436002000000|97664000000|88632000000|119210000000|9000000|340018220|GS
2020-12-31|USD|1163028000000|175623000000|155842000000|175623000000|||100922000000|-10120000000|10120000000|4962000000|630000000|4332000000|88445000000|103800000000|19781000000|-128913000000||1067096000000|182239000000|||160618000000|134704000000|245977000000|2283000000|271891000000|25914000000|40911000000|266351000000|-256746000000|392550000000|95932000000|85940000000|112947000000|9000000|344088725|GS
2020-09-30|USD|1132059000000|172303000000|153201000000|172303000000|||96713000000|-10040000000|10040000000|4965000000|632000000|4333000000|80792000000|99520000000|19102000000|34794000000||1039409000000|148530000000|||131242000000|104409000000|247653000000|2268000000|274486000000|26833000000|47880000000|261964000000|-247113000000|359829000000|92650000000|85930000000|109033000000|9000000|344070790|GS
2020-06-30|USD|1141523000000|152449000000|132599000000|152449000000|||95627000000|-9620000000|9620000000|4792000000|596000000|4196000000|76621000000|98140000000|19850000000|142806000000||1051494000000|130832000000|||114272000000|90283000000|256961000000|2325000000|280950000000|23989000000|44400000000|266891000000|-255775000000|355566000000|90029000000|85930000000|106248000000|9000000|343935256|GS
2020-03-31|USD|1089756000000|149855000000|105489000000|149855000000|||93454000000|-9230000000|9230000000|4810000000|614000000|4196000000|68694000000|95590000000|44366000000|121670000000||997377000000|134246000000|||120377000000|97845000000|259274000000|2289000000|281806000000|22532000000|43313000000|262624000000|-274422000000|364484000000|92379000000|85929000000|106501000000|9000000|343856654|GS
2019-12-31|USD|992968000000|172279000000|133546000000|172279000000|||92927000000|-9950000000|9950000000|4837000000|641000000|4196000000|63937000000|95680000000|38733000000|136071000000||902703000000|165214000000|||150229000000|119593000000|237337000000|2385000000|267973000000|30636000000|43661000000|255363000000|-230428000000|362511000000|90265000000|84006000000|106465000000|9000000|347343184|GS
2019-09-30|USD|1007320000000|94094000000|94094000000|94094000000|||91669000000|-9940000000|9940000000|4886000000|690000000|4196000000|395564000000|94360000000|653785000000|140369000000||915308000000|158969000000|||145712000000|111472000000|228723000000|2383000000|282276000000|34240000000|228723000000|393748000000|-245371000000|485374000000|92012000000|81841000000|105194000000|9000000|357509026|GS
2019-06-30|USD|944903000000|91092000000|91092000000|91092000000|||87794000000|-9650000000|9650000000|4114000000|342000000|3772000000|288087000000|93330000000|602920000000|138458000000||854011000000|119161000000|||105638000000|73378000000|231723000000|2382000000|282432000000|32260000000|231723000000|355810000000|-242423000000|434897000000|90892000000|81167000000|103867000000|9000000|360539618|GS
2019-03-31|USD|925349000000|87884000000|87884000000|87884000000|||85932000000|-9400000000|9400000000|4092000000|332000000|3760000000|295197000000|91240000000|601803000000|147950000000||835076000000|114971000000|||102372000000|72757000000|237275000000|2413000000|284429000000|29615000000|237275000000|357186000000|-233376000000|414119000000|90273000000|79915000000|101988000000|9000000|366771581|GS
2018-12-31|USD|931796000000|130547000000|130547000000|130547000000|336000000000||85222000000|-9080000000|9080000000|4082000000|324000000|3758000000|47224000000|90220000000|33547000000|135285000000||841611000000|120125000000|||108317000000|80841000000|236027000000||280631000000|27476000000|236027000000|264651000000|-230292000000|425964000000|90185000000|78670000000|100100000000|9000000|367741973|GS
2018-09-30|USD|957190000000|118871000000|118871000000|118871000000|351028000000||93381000000|-8910000000|8910000000|4101000000|347000000|3754000000|312349000000|98190000000|603688000000|154891000000||870428000000|128609000000|||112408000000|90082000000|242132000000||281245000000|22326000000|242132000000|371327000000|-245442000000|256870000000|86762000000|77422000000|98083000000|9000000|372739352|GS
2018-06-30|USD|968610000000|131417000000|131417000000|131417000000|347959000000||91586000000|-8730000000|8730000000|4106000000|349000000|3757000000|320191000000|96210000000|598476000000|162825000000||882011000000|139195000000|||122895000000|96946000000|239387000000||282387000000|25949000000|239387000000|379333000000|-251353000000|265920000000|86599000000|76177000000|95941000000|9000000|377879137|GS
2018-03-31|USD|973535000000|120503000000|120503000000|120503000000|336879000000||356705000000|-8610000000|8610000000|4049000000|342000000|3707000000|238852000000|279000000|-121000000|177567000000||889956000000|142929000000|||126446000000|98312000000|236673000000||282360000000|28134000000|236673000000|380672000000|-254734000000|278886000000|83579000000|76177000000|93907000000|9000000|377706096|GS
2017-12-31|USD|916776000000|110051000000|110051000000|110051000000|315988000000||89638000000|-8280000000|8280000000|4038000000|373000000|3665000000|248536000000|275000000|120822000000|190848000000||834533000000|133460000000|||118667000000|88577000000|227579000000||276982000000|30090000000|227579000000|365559000000|-239987000000|260492000000|82243000000|75392000000|91519000000|9000000|374808805|GS
2017-09-30|USD|930132000000|116610000000|116610000000|116610000000|333474000000||352337000000|-8460000000|8460000000|4058000000|393000000|3665000000|241355000000|242000000|112532000000|188394000000||843840000000|130677000000|||117517000000|90256000000|223707000000||270748000000|27261000000|223707000000|361004000000|-259227000000|260342000000|86292000000|73811000000|93958000000|9000000|379098583|GS
2017-06-30|USD|906518000000|110888000000|110888000000|110888000000|327740000000||346040000000|-8210000000|8210000000|4080000000|412000000|3668000000|227994000000|242000000|115553000000|178301000000||819843000000|125688000000|||113683000000|87672000000|215993000000||261664000000|26011000000|215993000000|349336000000|-252615000000|256652000000|86675000000|71642000000|92225000000|9000000|388213152|GS
2017-03-31|USD|894069000000|123035000000|123035000000|123035000000|308871000000||326531000000|-7920000000|7920000000|4067000000|403000000|3664000000|232861000000|221000000|117278000000|187446000000||807152000000|122484000000|||112786000000|92382000000|210497000000||251795000000|20404000000|210497000000|344177000000|-243379000000|251521000000|86917000000|70169000000|90904000000|9000000|394791563|GS
2016-12-31|USD|860165000000|121711000000|121711000000|121711000000|295952000000||312336000000|-7680000000|7680000000|4095000000|429000000|3666000000|238491000000|219000000|116925000000|184600000000||773272000000|106905000000|||99381000000|75853000000|197491000000||242241000000|23528000000|197491000000|318094000000|-240838000000|242586000000|86893000000|68694000000|89039000000|9000000|392632230|GS
2016-09-30|USD|879987000000|99535000000|118003000000|99535000000|292420000000||308084000000|-8160000000|8160000000|4104000000|435000000|3669000000|240425000000|213000000|54526000000|185468000000||792877000000|89557000000|||84301000000|58013000000|197876000000||246076000000|26288000000|197876000000|304089000000|-262500000000|245520000000|87110000000|67195000000|87160000000|9000000|399211902|GS
2016-06-30|USD|896843000000|103293000000|122516000000|103293000000|279992000000||295112000000|-7980000000|7980000000|4145000000|476000000|3669000000|253785000000|224000000|64620000000|190615000000||810329000000|88528000000|||84556000000|59519000000|192596000000||239465000000|25037000000|192596000000|298984000000|-277455000000|255452000000|86514000000|65921000000|85339000000|9000000|406591645|GS
2016-03-31|USD|878036000000|79169000000|97951000000|79169000000|286902000000||301887000000|-7950000000|7950000000|4136000000|477000000|3659000000|241511000000|237000000|58287000000|180603000000||791199000000|94945000000|||90518000000|61840000000|191185000000||242526000000|28678000000|191185000000|304366000000|-272778000000|264634000000|86837000000|64178000000|83990000000|9000000|417572204|GS
2015-12-31|USD|861395000000|75110000000|93439000000|75110000000|293940000000||308302000000|-7770000000|7770000000|4148000000|491000000|3657000000|172357000000|258000000|177743000000|172099000000||774667000000|86007000000|||82393000000|57020000000|185942000000||60311000000|25373000000|185942000000|117331000000|-267382000000|262997000000|86728000000|62640000000|83386000000|9000000|419480736|GS
2015-09-30|USD|880559000000|65575000000|65575000000|65575000000|290487000000||306602000000|-8300000000|8300000000|4168000000|516000000|3652000000|232082000000|276000000|58168000000|173315000000||792856000000|83686000000|||80167000000|55511000000|186859000000||234137000000|24656000000|186859000000|289648000000|-278289000000|274062000000|87703000000|60992000000|83105000000|9000000|427904332|GS
2015-06-30|USD|859454000000|60845000000|60845000000|60845000000|303463000000||319516000000|-8230000000|8230000000|4166000000|521000000|3645000000|178265000000|287000000|35340000000|177978000000||772225000000|93640000000|||86378000000|58625000000|181964000000||232240000000|27753000000|181964000000|290865000000|-264737000000|275576000000|87654000000|59940000000|82072000000|9000000|432768039|GS
2015-03-31|USD|865045000000|63129000000|63129000000|63129000000|325938000000||340674000000|-8600000000|8600000000|4186000000|541000000|3645000000|167023000000|350000000|42323000000|166673000000||780331000000|122568000000|||115832000000|90221000000|173441000000||219834000000|25611000000|173441000000|310055000000|-281988000000|276462000000|85127000000|59698000000|81455000000|9000000|432093034|GS
