fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|8728700000|3493600000|1782100000|2020200000|707100000|631400000|5243300000|537200000|735000000|4216200000|793300000|3422900000|238500000|47900000|190600000|182400000|433800000|3955400000|1002400000|236700000|199900000|50100000|53400000|2953000000|11100000|2526000000|46800000|2479200000|2526000000|524800000|396600000|4773300000|4373200000|3046800000|3000000|230284000|HOLX
2024-09-30|USD|9156000000|3823300000|2160200000|2428400000|679800000|600400000|5558700000|537800000|728700000|4287700000|844600000|3443100000|269800000|96400000|173400000|209500000|410800000|4026000000|1037200000|203800000|226700000|40800000|12900000|3384500000|12200000|2534600000|37500000|2497100000|2547500000|486300000|406300000|5130000000|3851500000|2845800000|3000000|223244000|HOLX
2024-03-31|USD|8714400000|3788700000|2179900000|2179900000|649200000|647100000|4934200000|524800000|734100000|4044300000|751900000|3292400000|397900000||7900000|312400000|356600000|3870000000|954600000|202500000|222800000|40600000|43800000|2915400000|13800000|2551500000|37400000|2514100000|2551500000|350200000|354300000|4844400000|3691900000|2472700000|3000000|235890000|HOLX
2023-12-31|USD|8469500000|3494200000|1932100000|1932100000|633600000|670900000|4983800000|527000000|730400000|4138600000|832700000|3305900000|||22000000|257600000|309700000|3815700000|899000000|183800000|204800000|40600000|43800000|2916700000|14700000|2560100000|37400000|2522700000|2560100000|375800000|345300000|4653800000|3591900000|2302800000|3000000|238627000|HOLX
2023-09-30|USD|9139300000|4184500000|2722500000|2722500000|617600000|625600000|5079700000|517000000|714000000|4169900000|888600000|3281300000|0|0|0|206900000|267900000|4122400000|1207300000|175200000|213000000|290100000|16800000|3236500000|15300000|2818200000|287000000|2531200000|2835000000|8200000|334600000|5016900000|3036000000|2056300000|3000000|245131000|HOLX
2023-06-30|USD|9337900000|4339300000|2765000000|2765000000|680100000|686800000|5007100000|493300000|753500000|4238300000|940100000|3298200000|||24000000|207400000|267000000|4155900000|981300000|180600000|246600000|34700000|31800000|3174600000|16200000|2821100000|31800000|2789300000|2821100000|536000000|336000000|5182000000|2795600000|1965700000|3000000|246908000|HOLX
2023-03-31|USD|9448700000|4211400000|2582200000|2582200000|687600000|-39400000|5237300000|497900000|738500000|4499100000|1202200000|3296900000|||27100000|227600000|240300000|4147900000|955000000|187400000|||26200000|3192900000|17000000|2823900000|26200000|2797700000|2823900000|510900000|332000000|5300800000|2681500000|2006200000|3000000|247730000|HOLX
2022-12-31|USD|9290300000|4021200000|2441300000|2441300000|677700000|694300000|5277400000|494300000|728200000|4545000000|1255400000|3289600000|||35100000|228400000|229800000|4197800000|956200000|201800000|202500000|23800000|20600000|3241600000|17700000|2826800000|20600000|2806200000|2826800000|542200000|335100000|5092500000|2631500000|1787700000|3000000|247319000|HOLX
2022-09-30|USD|9071200000|3862000000|2339500000|2339500000|623700000|638100000|5300300000|481600000|705600000|4517100000|1280600000|3236500000||5500000|31900000|281200000|210500000|4195000000|937700000|197700000|195900000|18200000|26600000|3569500000|18000000|2823400000|15000000|2808400000|2850000000|538500000|330700000|4876200000|2531500000|1600300000|3000000|250279000|HOLX
2022-06-30|USD|9357400000|3909000000|2375300000|2375300000|581200000|723400000|5456600000|490100000|731100000|4722400000|1436500000|3285900000|||19000000|213300000|235900000|4359500000|1000900000|216600000|210500000|11000000|11000000|3358600000|18900000|2822100000|7500000|2814600000|2822100000|1147400000|305900000|4997900000|2356400000|1481600000|3000000|250756000|HOLX
2022-03-31|USD|9514500000|3881400000|2290800000|2290800000|526100000|849700000|5641600000|506900000|720800000|4869200000|1552600000|3316600000|||5500000|251500000|257000000|4721800000|1305100000|224800000|223100000|259700000|259700000|3416700000|20000000|3069600000|256200000|2813400000|3069600000|615600000|333100000|4792700000|2356400000|1253200000|3000000|251574000|HOLX
2021-12-31|USD|9285100000|3506200000|1420800000|1420800000|518300000|1057000000|5787700000|554300000|712000000|4979900000|1650500000|3329400000||||561200000|244700000|4766000000|1278700000|202200000|212300000|252000000|252000000|3487300000|21300000|3068300000|248700000|2819600000|3068300000|632400000|383300000|4519100000|2156400000|797500000|3000000|253499000|HOLX
2021-09-30|USD|8919900000|3168700000|1170300000|1170300000|501200000|942700000|5856700000|564700000|695900000|4940800000|1659200000|3281600000||9500000||554500000|245700000|4701300000|1326800000|215900000|218300000|316700000|25300000|3668200000|22800000|3025200000|313000000|2712200000|3050500000|599900000|368700000|4218600000|1989400000|298300000|3000000|254877000|HOLX
2021-06-30|USD|8590600000|2418200000|827600000|827600000|502900000|943200000|6180900000|551100000|739100000|5065000000|1800800000|3264200000||||81500000|556300000|4713500000|1464600000|208400000|228100000|460600000|463700000|3226000000|26000000|3115300000|460600000|2654700000|3115300000|579400000|271500000|3877100000|1989400000|-30500000|3000000|256230000|HOLX
2021-03-31|USD|8044000000|2662400000|816400000|816400000|456200000|1212300000|5390000000|533600000|721800000|4304800000|1447600000|2857200000||||92100000|543200000|4249600000|1036400000|225100000|211900000|74900000|77900000|3189000000|23600000|2747000000|74900000|2672100000|2747000000|534900000|273700000|3794400000|1801000000|-298900000|3000000|258473000|HOLX
2020-12-31|USD|7550700000|2596300000|868700000|868700000|420200000|1216100000|4954400000|514500000|723200000|3908100000|1244800000|2663300000||||61400000|531800000|4282800000|1056000000|184300000|195400000|74900000|76900000|3208900000|16800000|2764400000|74900000|2689500000|2764400000|611900000|317500000|3267900000|1680900000|-918800000|3000000|258605000|HOLX
2020-09-30|USD|7195800000|2222300000|701000000|701000000|395100000|1028900000|5069700000|491500000|694400000|3965400000|1307500000|2657900000||11400000||97300000|516600000|4490600000|1239300000|178800000|199000000|348400000|23700000|3435200000|17400000|3038800000|324900000|2713900000|3062500000|549500000|303200000|2705200000|1579600000|-1573200000|2900000|259907000|HOLX
2020-06-30|USD|6803100000|1982800000|744200000|744200000|413600000|728000000|4820300000|456200000|692400000|3845400000|1252500000|2592900000||||51500000|518700000|4548000000|1345700000|127300000|187700000|565500000|567300000|3180900000|17900000|3296800000|565500000|2731300000|3296800000|476000000|222900000|2255100000|1479500000|-2068100000|2900000|259870000|HOLX
2020-03-31|USD|6821800000|1936600000|799800000|799800000|401300000|597200000|4885200000|445300000|677000000|3920800000|1328800000|2592000000||||75700000|519100000|4735700000|1480900000|134400000|187600000|806100000|807900000|3231300000|18400000|3555400000|806100000|2749300000|3555400000|366000000|231100000|2086100000|1479500000|-2206000000|2900000|263238000|HOLX
2019-12-31|USD|6311900000|1637600000|381500000|381500000|380800000|581800000|4674300000|452000000|651000000|3961200000|1367000000|2594200000||10400000||62700000|261100000|4061100000|1043300000|123700000|171500000|302200000|304000000|2986400000|18800000|3071600000|302200000|2769400000|3071600000|459400000|201700000|2250800000|1170900000|-2302300000|2900000|267893000|HOLX
2019-09-30|USD|6442100000|1793100000|601800000|601800000|444900000|648700000|4649000000|470900000|658000000|4023500000|1459800000|2563700000||54100000|100000|97200000|154600000|4326400000|1070100000|186500000|195300000|273200000|29000000|3115900000|19200000|3055000000|271400000|2783600000|3084000000|432700000|162400000|2115700000|926000000|-2688700000|2900000|268894000|HOLX
2019-06-30|USD|6522400000|1591800000|427900000|427900000|467900000|586800000|4930600000|469800000|674000000|4354300000|1787900000|2566400000||100000|300000|66000000|106500000|4305900000|1015200000|161500000||263800000|263800000|3274800000|19600000|3053600000|262000000|2791600000|3053600000|419300000|150900000|2216500000|926000000|-2565200000|2900000|268932000|HOLX
2019-03-31|USD|6525300000|1511000000|401000000|401000000|443400000|557500000|5014300000|469700000|657500000|4439400000|1874900000|2564500000||1100000|1800000|69100000|105200000|4365500000|1045200000|165200000||312400000|312400000|3303300000|20100000|3110400000|310700000|2799700000|3110400000|394100000|148100000|2159800000|876000000|-2659100000|2900000|269235000|HOLX
2018-12-31|USD|6931500000|1401900000|311100000|311100000|418600000|578600000|5529600000|472600000|638600000|4965100000|2402200000|2562900000|||3300000|63900000|91900000|4537100000|1077700000|176300000||321100000|321100000|3441300000|20500000|3127300000|319400000|2807900000|3127300000|413200000|156400000|2394400000|876000000|-2386500000|2900000|270590000|HOLX
2018-09-30|USD|7230900000|1723200000|666700000|666700000|384100000|579200000|5507700000|478200000|616100000|4931800000|2398600000|2533200000||10500000|6000000|93200000|97700000|4802100000|1402600000|192200000|191100000|601400000|33200000|3039300000|20900000|3304300000|599700000|2704600000|3337500000|437800000|157600000|2428800000|725900000|-2494000000|2900000|272720000|HOLX
2018-06-30|USD|7091400000|1595400000|575400000|575400000|370500000|551700000|5496000000|461500000|609600000|4942400000|2449000000|2493400000||3000000|6400000|53600000|92100000|4641900000|1235200000|167300000|195000000|526900000|526900000|3406700000|21400000|3247100000|525200000|2721900000|3247100000|364900000|149600000|2449500000|637400000|-2544500000|2900000|273729000|HOLX
2018-03-31|USD|7234400000|1635200000|614200000|614200000|361900000|544200000|5599200000|468600000|599400000|5042200000|2544000000|2498200000|||6200000|62800000|88400000|4788700000|1299600000|158200000|191600000|613200000|613200000|3489200000|21800000|3350700000|611500000|2739200000|3350700000|355700000|165600000|2445700000|556600000|-2657400000|2900000|277114000|HOLX
2017-12-31|USD|8048300000|1638400000|664400000|664400000|358200000|548000000|6409900000|467100000|576800000|5858000000|2681300000|3176700000|||5300000|53500000|84800000|4854300000|1309900000|160300000|182000000|573700000|573700000|3544400000|22300000|3329800000|572100000|2757700000|3353700000|412700000|159200000|3194000000|450100000|-1976000000|2900000|276856000|HOLX
2017-09-30|USD|7979600000|1478600000|540600000|540600000|331600000|533500000|6501000000|472800000|553500000|5943500000|2772300000|3171200000||4200000|3600000|72900000|84700000|5194900000|1865500000|166600000|192000000|1152400000|32300000|2488200000|22700000|3322900000|1150800000|2172100000|3355200000|376900000|140200000|2784700000|450100000|-2382700000|2900000|279541000|HOLX
2017-06-30|USD|8118000000|1536000000|588400000|588400000|357000000||6582000000|485500000|582000000|6000800000|2835800000|3165000000|||2600000|52200000|95700000|5252400000|1812800000|148700000|||1014900000|3439600000|23200000|3220900000|1013300000|2207600000|3245700000|467000000|156800000|2865600000|250000000|-2465400000|2900000|280824000|HOLX
2017-03-31|USD|8706600000|2051800000|1134600000|1134600000|384000000||6654800000|482700000|567000000|6079200000|2923900000|3155300000|||5200000|58000000|92900000|5909500000|2375400000|177100000|||1051000000|3534100000|23600000|3283200000|1049400000|2233800000|3308400000|989200000|153400000|2797100000|250000000|-2524900000|2900000|280215000|HOLX
2016-12-31|USD|7337800000|2338100000|646000000|646000000|258300000|419900000|5003100000|432600000|561600000|4480200000|2005700000|2474500000|3400000|3400000|2500000|85400000|86900000|5109200000|1290700000|138700000||707300000|707300000|3818500000||3322900000|707300000|2615600000|3322900000|298900000|228800000|2228600000|250000000|-3051700000|2900000|278663000|HOLX
2016-09-30|USD|7317000000|1326600000|548400000|548400000|274700000|447000000|5993900000|472800000|578300000|5446500000|2643400000|2803100000|3500000|3500000|0|56500000|83700000|5174300000|901900000|156900000||296000000|63600000|4486000000||3345400000|296000000|3049400000|3409000000|287600000|224500000|2142700000|250000000|-3138200000|2900000|277549000|HOLX
2016-06-30|USD|7306700000|1220000000|441500000|441500000|280500000|426200000|6090200000|451500000|571500000|5541900000|2737200000|2804700000|3500000|3500000|400000|52100000|93300000|5264000000|910800000|131200000||333400000|333400000|4353200000||3422200000|333400000|3088800000|3422200000|287700000|216500000|2042700000|250000000|-3230300000|2800000|277853000|HOLX
2016-03-31|USD|7286300000|1092600000|441500000|316300000|285100000|622600000|6197200000|454100000|554400000|5643900000|2837500000|2806400000|3500000|3500000|900000|50400000|95700000|5241900000|841000000|118500000||307700000|307700000|4400900000||3405700000|307700000|3098000000|3405700000|263900000|212600000|2044400000|-148800000|-3315200000|2800000|282474000|HOLX
2015-12-31|USD|7679500000|1387700000|650300000|650300000|286400000|410500000|6296000000|454500000|537600000|5733600000|2926700000|2806900000|4200000|4200000|1100000|40500000|103700000|5513200000|915400000|112000000||393300000|393300000|4597800000||3632400000|393300000|3239100000|3632400000|253200000|206800000|2166300000||-3384100000|2800000|282976000|HOLX
2015-09-30|USD|7642500000|1265800000|491300000|491300000|283100000|416100000|6434900000|457100000|524500000|5831400000|3023200000|2808200000|4200000|4200000|700000|55500000|88200000|5563300000|943400000|117000000||391800000|104600000|4836100000||3612200000|391200000|3221000000|3716800000|272100000|200900000|2079200000|0|-3469000000|2800000|282072000|HOLX
2015-06-30|USD|8130500000|1628800000|885000000|885000000|295000000|382800000|6506100000|449900000|506800000|5934400000|3125400000|2809000000|4400000|4400000|800000|62200000|117400000|5893400000|1189200000|89900000||671500000|89100000|4704200000||3942300000|671500000|3270800000|4031400000|275600000|206100000|2237100000||-3494100000|2800000|281184000|HOLX
2015-03-31|USD|8031800000|1416300000|670500000|670500000|298200000|381000000|6619900000|451000000|494000000|6034900000|3225800000|2809100000|4400000|4400000|400000|62000000|129600000|5863200000|1044200000|73700000||581700000|581700000|4819000000||3939800000|581700000|3358100000|3939800000|232300000|199800000|2168600000||-3523500000|2800000|280338000|HOLX
2014-12-31|USD|8078100000|1336600000|544000000|544000000|310300000|400500000|6746700000|458200000|482900000|6142000000|3332100000|2809900000|5200000|5200000|5100000|37700000|141300000|5975700000|607800000|67000000||139400000|139400000|5367900000||3954800000|139400000|3815400000|3954800000|253000000|187000000|2102400000||-3571300000|2800000|278671000|HOLX
2014-09-30|USD|8368700000|1565800000|736100000|736100000|330600000|396000000|6899000000|461900000|473800000|6244400000|3433600000|2810800000|5200000|5200000|5500000|58200000|142600000|6351700000|619600000|92100000||114500000|121800000|5908400000||4267700000|114500000|4153200000|4389500000|262100000|183400000|2063000000|0|-3600600000|2800000|277857000|HOLX
2014-06-30|USD|8412000000|1432400000|632500000|638400000|329800000|381700000|6984800000|467400000|467200000|6369800000|3558700000|2811100000|56900000|5200000|5900000|48100000|142400000|6380700000|597900000|82300000||102000000|102000000|5782800000||4270500000|102000000|4168500000|4270500000|266500000|181700000|2031300000|0|-3628700000|2800000|276843000|HOLX
2014-03-31|USD|8362395000|1264560000|484500000|490379000|310980000|387633000|7106535000|472154000|449499000|6477411000|3667597000|2809814000|60362000|8700000|5879000|41170000|148270000|6382292000|550683000|68197000||89497000|89497000|5831609000||4273455000|89497000|4183958000|4273455000|248287000|174851000|1980103000||-3640024000|2762000|274589000|HOLX
2013-12-31|USD|8484308000|1226939000|442500000|448637000|301709000|394471000|7269069000|479735000|433086000|6616328000|3802421000|2813907000|63359000|11700000|6137000|82122000|161306000|6533777000|628257000|90966000||77033000|77033000|5905520000||4301765000|77033000|4224732000|4301765000|324130000|171067000|1950531000||-3623259000|2734000|272708000|HOLX
2013-09-30|USD|9000800000|1624200000|822500000|829404000|289400000|409273000|7449900000|491500000|416500000|6721200000|3906700000|2814500000|64233000|12600000|6904000|48361000|163900000|7059300000|1088400000|80500000||563812000|563812000|6129484000||4805900000|563800000|4242100000|4839404000|311741000|168000000|1941500000|1500000|-3616392000|2700000|270867000|HOLX
2013-06-30|USD|10333203000|1751345000|958400000|964385000|306019000|400428000|8594458000|501861000|397978000|7926329000|3987157000|3939172000|64162000|12600000|5985000|80513000|153668000|7336569000|1258923000|74115000||657370000|657370000|6077646000||4347300000|657370000|4347300000|5004670000|400829000|154212000|2996634000|1518000|-2502490000|2702000|269430000|HOLX
2013-03-31|USD|10309206000|1607248000|744996000|752175000|319998000|401301000|8702558000|502639000|373840000|8034425000|4093116000|3941309000|51531000||7179000|133774000|164894000|7318642000|1010306000|75609000||453677000|453677000|6308336000||6561918000|453677000|4551019000|5004696000|355354000|152072000|2990564000|1518000|-2491540000|2693000|268175000|HOLX
