fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|18743200000|7111000000|2027400000|4013300000|1487200000|1225400000|11017700000|4646600000|1881300000|370500000|23000000|347500000|13641900000|4819100000|1985900000|253700000||2213600000|1745300000|193400000|1045800000|||468300000||||||547500000|175200000|16433700000||6803300000|400000|356600000|ISRG
2024-09-30|USD|17743400000|7215600000|2413300000|4231700000|1481700000|1153000000|9883400000|4433000000|1811500000|373600000|25300000|348300000|11933500000|4079800000|1818400000|212200000||2065900000|1676800000|218700000|971200000||654600000|389100000||||||654600000|126700000|15583300000||6129800000|400000|356200000|ISRG
2024-06-30|USD|16649900000|7654300000|3036700000|4757200000|1383900000|1109100000|8366300000|4116800000||376700000|28700000|348000000|9310500000|2925900000|1720500000|270000000||1853400000|1487500000|194400000|954800000||85900000|365900000||||||537900000|127000000|14708300000||5581700000|400000|355300000|ISRG
2024-03-31|USD|15828000000|7632700000|2839500000|4800100000|1299300000|1127900000|7622000000|3799600000||382000000|33800000|348200000|9043100000|2522600000|1960600000|272900000||1781600000|1375100000|194400000|975400000||437500000|406500000||||||504800000|105800000|13962600000||5067900000|400000|354700000|ISRG
2023-12-31|USD|15441500000|7888000000|2750100000|5223200000|1220600000|1130200000|7035200000|3537600000|1562000000|387800000|39100000|348700000|9186200000|2120000000|2473100000|176700000||2044200000|1658700000|188700000|983400000||25300000|385500000|||||89800000|587500000|106100000|13307600000||4743000000|400000|352300000|ISRG
2023-09-30|USD|14712700000|8902900000|3602000000|6475700000|1147500000|962700000|5213200000|3077000000|1468200000|389900000|41800000|348100000|7997100000|1044900000|2873700000|182600000||2089200000|1676400000|196200000|874600000|||412800000||||||710600000|106200000|12539000000||4209200000|400000|352000000|ISRG
2023-06-30|USD|13903300000|8031800000|3435400000|5799200000|1005200000|904200000|5225600000|2830800000||395800000|47200000|348600000|7392600000|1332500000|2363800000|323200000||1943600000|1538400000|199700000|901200000||199700000|405200000||||||586900000|405200000|11879100000||3807700000|400000|351300000|ISRG
2023-03-31|USD|13053200000|6877000000|2143000000|4692200000|946600000|925300000|5504700000|2580200000||393400000|44800000|348600000|8871200000|1886400000|2549200000|312900000||1759000000|1307400000|164100000|925000000|||451600000||||||464600000|451600000|11217700000||3397400000|400000|350400000|ISRG
2022-12-31|USD|12974000000|6253000000|1581200000|4122200000|893200000|942100000|6142900000|2374200000|1237900000|398300000|49800000|348500000|10320600000|2623600000|2541000000|164300000||1861400000|1422100000|147000000|876600000||24200000|439300000|||||93800000|476200000|439300000|11041900000||3500100000|400000|350000000|ISRG
2022-09-30|USD|13260800000|6293100000|1538000000|4319000000|837100000|849600000|6314500000|2243700000||405300000|57100000|348200000|11708000000|3078100000|2781000000|165900000||1686800000|1233400000|164200000|791200000|||453400000||||||402100000|453400000|11515400000||4017800000|400000|353300000|ISRG
2022-06-30|USD|13705200000|6292500000|1536100000|4446000000|724000000|838500000|6778500000|2109300000||415300000|66200000|349100000|13278600000|3738000000|2909900000|167500000||1622800000|1175000000|149700000|827400000|||447800000||||||370400000|447800000|12023000000||4682800000|400000|357100000|ISRG
