fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|8534671000|4196531000|1933147000|1933147000||1696225000|4756895000|242968000|405871000|3339894000|409689000|2930205000||||567159000|497859000|7175502000|3969016000|55793000|5580632000||100312000|3317396000|440091000|2479400000|0|2459915000|2459915000|946793000|406792000|1359169000|7042717000|5993007000|82000|77500000|IT
2024-09-30|USD|7845450000|3551529000|1768292000|1768292000||1305754000|4293921000|254101000||3377927000|440147000|2937780000||||477483000|335682000|6780768000|3471960000||5173074000||92763000|3333206000|452311000|2479400000|0|2458889000|2458889000|210000|397608000|1064682000|6934865000|5594434000|82000|77484000|IT
2024-03-31|USD|7709810000|3326271000|1235801000|1235801000|-7060000|1565960000|4383539000|256536000||3412099000|477701000|2934398000|||7060000|279764000|362504000|6991636000|3640290000||5641078000||98558000|3375869000|491182000|2479400000|0|2456877000|2456877000|180000|403287000|718174000|6522860000|4949837000|82000|78339000|IT
2023-12-31|USD|7835919000|3427886000|1318999000|1318999000|-5961999|1601228000|4677045000|262718000|354174000|3439218000|501958000|2937260000|||5962000|381259000|339288000|7155285000|3777719000|63139000|5348010000|9600000|108093000|3532975000|611899000|2479400000|9600000|2448696000|2458296000|1399880000|415464000|680634000|6302698000|4739292000|82000|78356000|IT
2023-09-30|USD|7244404000|2837556000|1249355000|1249355000|-8117000|1140563000|4406848000|259890000||3452381000|519115000|2933266000|||8117000|414884000|315465000|6677766000|3312714000||4842626000|9600000|9600000|3391809000|531048000|2481800000|9600000|2449913000|2459513000|98871000|384091000|566638000|6160560000|4530661000|82000|78923000|IT
2023-06-30|USD|7355933000|2899178000|1172828000|1172828000|-7847999|1271792000|4456755000|258601000||3479615000|547794000|2931821000|||7848000|421359999|320289000|6769427000|3337252000||5060616000|9000000|9000000|3463104000|555085000|2483600000|9000000|2451137000|2460137000|105288000|425953000|586506000|5938158000|4350652000|82000|79285000|IT
2023-03-31|USD|7378932000|2903319000|893512000|893512000|-5909000|1523441000|4476213000|256863000||3494079000|564138000|2929941000|||5909000|462016000|309597000|6906074000|3454256000||5278688000|8400000|8400000|3484090000|575963000|2485400000|8400000|2452369000|2460769000|99674000|423486000|472858000|5806434000|4152609000|82000|79452000|IT
2022-12-31|USD|7299736000|2786107000|697999000|697999000|412115000|1556786000|4752074000|264581000|304330000|3514925000|584714000|2930211000|||6346000|119207000|297531000|7071938000|3597600000|83225000|4965754000|7800000|107517000|3680497000|696984000|2487200000|7800000|2453607000|2461407000|963096000|423464000|227798000|5707104000|3856826000|82000|79164000|IT
2022-09-30|USD|6525954000|1980255000|528687000|528687000|-4351000|1047140000|4545699000|256176000||3539973000|603833000|2936140000|||4351000|404428000|288640000|6590880000|3085893000||4521394000|7335000|7335000|3536036000|614442000|2489135000|7335000|2454853000|2462188000|614701000|435692000|-64926000|5696412000|3600012000|82000|79259000|IT
2022-06-30|USD|6590594000|1981282000|360473000|360473000|1|1171996000|4609312000|250315000||3588625000|645368000|2943257000||||448813000|288821000|6733461000|3178382000||4863598000|6868000|6868000|3590735000|646677000|2490468000|6868000|2455506000|2462374000|91689000|452896000|-142867000|5601584000|3426467000|82000|80271000|IT
