fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|53430000000|3997000000|510000000|510000000|1299000000|1723000000|50426000000|2964000000|2252000000|43687000000|23634000000|20053000000|1629000000|1632000000||686000000|1200000000|29187000000|8087000000|2985000000||2642000000|1491000000|23763000000|677000000|12912000000|1026000000|12912000000|17274000000|835000000|2753000000|24243000000||4793000000|14000000|1356664609|KDP
2024-09-30|USD|52718000000|4102000000|552000000|552000000|1351000000|1616000000|49540000000|2794000000||43150000000|23072000000|20078000000|1532000000|1568000000|-76000000|583000000|1139000000|27749000000|7699000000|3133000000||2472000000|1831000000|21869000000|655000000|12413000000|529000000|12413000000|16531000000|736000000|1901000000|24969000000||5249000000|14000000|1356443009|KDP
2024-06-30|USD|52344000000|3819000000|438000000|438000000|1252000000|1524000000|49460000000|2680000000||43189000000|23108000000|20081000000|1512000000|1543000000||485000000|1144000000|27626000000|7509000000|3099000000||2399000000|1764000000|22000000000|615000000|12406000000|529000000|12406000000|16507000000|618000000|1965000000|24718000000||4944000000|14000000|1355763506|KDP
2024-03-31|USD|52286000000|3567000000|317000000|317000000|1204000000|1449000000|49650000000|2695000000||43414000000|23251000000|20163000000|1462000000|1508000000||482000000|1128000000|27633000000|7004000000|3187000000||1908000000|1804000000|22481000000|617000000|12929000000|0|12929000000|14837000000|629000000|1916000000|24653000000||4721000000|14000000|1355571438|KDP
2023-12-31|USD|52130000000|3375000000|267000000|267000000|1142000000|1519000000|49703000000|2699000000|1964000000|43489000000|23287000000|20202000000|1405000000|1456000000||447000000|1149000000|26454000000|8916000000|3597000000||3246000000|1990000000|19304000000|620000000|9945000000|1150000000|9945000000|14824000000|714000000|1833000000|25676000000||4559000000|14000000|1390446043|KDP
2023-09-30|USD|51763000000|3406000000|260000000|260000000|1348000000|1409000000|49305000000|2527000000||43345000000|23223000000|20122000000|1381000000|1403000000|-67000000|253000000|1117000000|26399000000|8814000000|4090000000||2798000000|1049000000|19439000000|614000000|9940000000|1649000000|9940000000|14353000000|681000000|1931000000|25364000000||4165000000|14000000|1398322033|KDP
2023-06-30|USD|51801000000|3570000000|278000000|278000000|1384000000|1447000000|49218000000|2489000000||43538000000|23344000000|20194000000|1087000000|1090000000||597000000|1153000000|26534000000|9056000000|4601000000||2635000000|892000000|19208000000|605000000|9934000000|1647000000|9934000000|12569000000|664000000|1808000000|25268000000||3948000000|14000000|1396909564|KDP
2023-03-31|USD|51660000000|3586000000|204000000|204000000|1391000000|1606000000|49064000000|2480000000||43390000000|23273000000|20117000000|1077000000|1068000000||540000000|1160000000|26558000000|9127000000|4947000000||2310000000|569000000|19118000000|611000000|9929000000|1646000000|9929000000|12239000000|687000000|1763000000|25103000000||3724000000|14000000|1403720858|KDP
2022-12-31|USD|51837000000|3804000000|535000000|535000000|1314000000|1668000000|49102000000|2491000000|1651000000|43255000000|23183000000|20072000000|1175000000|1048000000|49000000|471000000|1252000000|26712000000|8076000000|5206000000||895000000|304000000|20388000000|618000000|11568000000|496000000|11072000000|11872000000|685000000|1825000000|25126000000||3539000000|14000000|1408394293|KDP
2022-09-30|USD|51440000000|4325000000|925000000|925000000|1438000000|1631000000|48120000000|2483000000||43323000000|23299000000|20024000000|254000000|121000000||223000000|1196000000|26339000000|7233000000|5284000000||0|192000000|20833000000|624000000|11561000000|0|11561000000|13131000000|675000000|1800000000|25102000000||3367000000|14000000|1416251307|KDP
