fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|18379000000|4806500000|1518700000|1518700000|493200000|1936500000|14456800000|3045400000|3071000000|9858600000|3488900000|6369700000|16300000|16300000||697600000|652200000|10312500000|3330200000|875800000|784400000|1000300000|994200000|6848100000|74300000|1000700000|1000300000|5331200000|1000700000|527800000|517400000|8052200000||8303400000|7600000|83400000|LH
2024-09-30|USD|18612500000|4909900000|1517300000|1517300000|483100000|2056900000|13736900000|3050000000||10023100000|3540700000|6482400000|16900000|16900000||684700000|612600000|10427100000|3412000000|660900000|806200000|6700000|1590500000|6656800000|75200000|700000|400000|5352100000|700000|757500000|528200000|8170200000||8275800000|7600000|83700000|LH
2024-06-30|USD|16712300000|3571300000|265100000|265100000|441800000|2087100000|13172000000|2932500000||9552200000|3332000000|6220200000|17500000|17500000||618000000|638800000|8691500000|4064700000|760600000|776600000|27200000|2397100000|4250700000|76900000|20900000|20500000|3047300000|20900000|518700000|483900000|8005800000||8177600000|7700000|83800000|LH
2024-03-31|USD|16531000000|3456500000|99300000|99300000|475000000|2076300000|13102800000|2897800000||9613000000|3394100000|6218900000|17700000|17700000||678100000|546000000|8556200000|3941500000|695500000|755000000|49600000|2396900000|4217500000|77100000|43800000|43200000|3047600000|43800000|293900000|468200000|7959600000||8055300000|7700000|84300000|LH
2023-12-31|USD|16725100000|3765400000|536800000|536800000|474600000|1905800000|13787400000|2911800000|2905100000|9484500000|3342000000|6142500000|26900000|26900000||655300002|536500000|8834600000|3225200000|827500000|843400000|999800000|993400000|5415900000|78600000|1001700000|1100000|4054700000|1001700000|504300000|409300000|7875000000||7888200000|7700000|84700000|LH
2023-09-30|USD|16886000000|3954200000|727900000|727900000|461100000|1948100000|12924100000|2820500000||9607500000|3275600000|6331900000|39500000|39500000||700200000|456600000|8993500000|2900800000|690600000|721600000|98200000|1159700000|5593200000|80200000|92800000|91800000|4427600000|92800000|689700000|423000000|7873100000||8069500000|7700000|84900000|LH
2023-06-30|USD|17718700000|5120900000|1930600000|1930600000|487800000|1893900000|12591400000|2762100000||9336300000|3154100000|6182200000|67200000|67200000||659900000|425800000|8913900000|2183300000|713100000|699400000|8100000|462700000|6166100000|81700000|3200000|1600000|5042400000|3200000|657800000|418500000|8785000000||8836200000|8100000|88700000|LH
2023-03-31|USD|20200000000|4695000000|393900000|393900000|481400000|2334000000|15497300000|2944100000||12028300000|3912300000|8116000000|65800000|65800000||769800000|459100000|9839200000|2885600000|880700000|1173400000|7800000|488700000|6216200000|82000000|3700000|1700000|5052300000|3700000|929500000|413600000|8785000000||10729900000|8100000|88600000|LH
2022-12-31|USD|20155100000|4625000000|320600000|430000000|470600000|2211500000|16378600000|2794100000|2584400000|9247300000|3123600000|6123700000|65700000|65700000|109400000|707000000|378400000|10039600000|3078500000|852200000|1164200000|301300000|295300000|6434500000|83600000|303600000|1700000|5038800000|303600000|1068800000|401100000|10096600000||10581700000|8100000|88200000|LH
2022-09-30|USD|19826000000|4371800000|409900000|409900000|467700000|2153300000|15424800000|2884700000||12025400000|3807800000|8217600000|63700000|63700000||511500000|451000000|9714900000|2522300000|765500000|1061800000|7000000|185100000|6519900000|85800000|4400000|1700000|5334300000|4400000|1040800000|433900000|10092200000||10845000000|8200000|89600000|LH
2022-06-30|USD|20403100000|5030800000|1068800000|1068800000|436300000|2205000000|15343600000|2870200000||11978900000|3864900000|8114000000|57700000|57700000||481900000|436800000|9982400000|2642900000|754700000|1088400000|12100000|204200000|6596100000|81900000|4900000|1600000|5360300000|4900000|1139800000|484500000|10400700000||10897900000|8300000|91000000|LH
2022-03-31|USD|20728400000|5229500000|1233500000|1239400000|440700000|2226400000|15470700000|2807600000||12138300000|3972500000|8165800000|62200000|62200000|5900000|515700000|462600000|9986700000|2641500000|623600000|1112000000|12000000|201500000|6580000000|83200000|5600000|1600000|5383300000|5600000|1260400000|489800000|10721100000||10948400000|8500000|95800000|LH
2021-12-31|USD|20385400000|5330500000|1472700000|1483600000|401400000|2247500000|15882900000|2815400000|2413200000|11694400000|3735500000|7958900000|60900000|60900000|10900000|478100000|462600000|10091400000|2782900000|621300000|1117000000|1500000|199000000|6788100000|84600000|6100000|1500000|5416500000|6100000|1404100000|402000000|10273400000||10456800000|8500000|97500000|LH
2021-09-30|USD|20866500000|6020500000|2036500000|2055000000|410700000|2335400000|14822200000|2692200000||11661900000|3755100000|7906800000|62100000|62100000|18500000|518300000|406000000|10321400000|2888400000|669400000|1168200000|12200000|201300000|6629800000|86000000|5200000|1600000|5417200000|5200000|1423800000|494000000|10601400000||10786600000|8800000|95800000|LH
2021-06-30|USD|20417100000|5693500000|1963200000|1963200000|421300000|2210100000|14699900000|2701800000||11498300000|3753800000|7744500000|82100000|82100000|800000|461900000|417700000|10151000000|2667100000|599900000|1076300000|12600000|202600000|6660400000|87200000|5500000|1800000|5422600000|5500000|1317900000|502900000|10322000000||10417400000|8900000|96700000|LH
