fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|15466000000|5145000000|353000000|353000000|3132000000|1341000000|10338000000|1574000000||6857000000|1228000000|5629000000|159000000|159000000||319000000|350000000|9232000000|2990000000|1814000000|||291000000|1934000000|1435000000|4292000000|44000000||-35000000|135000000|320000000|6234000000|2706000000|7584000000|3000000|261200000|LKQ
2024-06-30|USD|15211000000|5085000000|276000000|276000000|3064000000|1360000000|10151000000|1509000000||6763000000|1233000000|5530000000|157000000|157000000|1000000|385000000|333000000|9082000000|2904000000|1764000000|||520000000|1910000000|1417000000|4253000000|44000000||-37000000|172000000|306000000|6129000000|2580000000|7472000000|3000000|264200000|LKQ
2024-03-31|USD|15270000000|5202000000|344000000|344000000|3123000000|1392000000|10068000000|1493000000||6797000000|1271000000|5526000000|163000000|163000000|1000000|343000000|301000000|9111000000|3059000000|1840000000|||540000000|1877000000|1364000000|4161000000|88000000||-38000000|172000000|313000000|6159000000|2454000000|7367000000|3000000|267000000|LKQ
2023-12-31|USD|15079000000|4868000000|299000000|299000000|3121000000|1165000000|10295000000|1516000000|1173000000|6913000000|1313000000|5600000000|159000000|159000000||283000000|287000000|8912000000|3318000000|1648000000||26000000|1044000000|2065000000|57000000|4251000000|596000000||4251000000|149000000|314000000|6167000000|2424000000|7290000000|3000000|267200000|LKQ
2023-09-30|USD|15168000000|5286000000|401000000|401000000|2998000000|1301000000|9882000000|1427000000||6724000000|1176000000|5548000000|158000000|158000000||275000000|265000000|9210000000|3559000000|1723000000|||784000000|1849000000|1354000000|3763000000|574000000||-32000000|148000000|289000000|5958000000|2394000000|7194000000|3000000|267900000|LKQ
2023-06-30|USD|14155000000|6156000000|1904000000|1904000000|2681000000|1257000000|7999000000|1298000000||5048000000|648000000|4400000000|155000000|155000000||314000000|221000000|8202000000|3028000000|1475000000|||778000000|1714000000|1330000000|3421000000|579000000||-30000000|112000000|283000000|5953000000|2394000000|7059000000|3000000|267700000|LKQ
2023-03-31|USD|12508000000|4623000000|342000000|342000000|2733000000|1257000000|7885000000|1265000000||5017000000|651000000|4366000000|156000000|156000000||291000000|198000000|6817000000|2412000000|1371000000||1600000000|1600000000|1683000000|1301000000|2684000000|44000000||1588000000|150000000|289000000|5691000000|2394000000|6852000000|3000000|267600000|LKQ
2022-12-31|USD|12038000000|4258000000|278000000|278000000|2752000000|998000000|7835000000|1236000000|1049000000|4972000000|653000000|4319000000|141000000|141000000||230000000|204000000|6585000000|2271000000|1339000000||17000000|222000000|1774000000|31000000|2650000000|34000000||2650000000|89000000|283000000|5453000000|2389000000|6656000000|3000000|267300000|LKQ
2022-09-30|USD|11666000000|4202000000|269000000|269000000|2635000000|1051000000|7464000000|1169000000||4758000000|626000000|4132000000|146000000|146000000||247000000|198000000|6404000000|2351000000|1356000000|||231000000|1624000000|1247000000|2390000000|50000000||-7000000|123000000|312000000|5262000000|2237000000|6536000000|3000000|270100000|LKQ
2022-06-30|USD|12134000000|4331000000|265000000|265000000|2650000000|1161000000|7803000000|1217000000||4959000000|669000000|4290000000|154000000|154000000||255000000|205000000|6544000000|2485000000|1457000000|||242000000|1707000000|1322000000|2313000000|47000000||-9000000|138000000|324000000|5590000000|1894000000|6344000000|3000000|276600000|LKQ
