fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|19747070000|9775154000|5489919000|5489919000||2693998000|10486816000|2375868000|1937471000|4098453000|1428445000|2670008000|514900000|514900000||133956000|1278068000|19459104000|9680578000|294765000|3034514000|582088000|749123000|8112842000|1933932000|11994672000|582088000||6254892000|66959000|673141000|287966000|6865000|-1747806000|2310000|230374307|LYV
2024-03-31|USD|20030189000|10427780000|6501709000|6501709000|1481935000|2279906000|10115509000|2116632000|1843153000|4240157000|1540677000|2699480000|513100000|513100000||164230000|1059624000|20145021000|11328410000|248196000|5025357000|1137262000|1296634000|7249042000|1801749000|11359002000|1137262000||6219473000|113517000|524454000|-114832000|6865000|-2454682000|2302000|229471184|LYV
2023-12-31|USD|19029640000|9533349000|6231866000|6231866000|45141000|2112900000|10119918000|2101463000|1794191000|4230436000|1538970000|2691466000|447494000|447494000||122163000|934849000|19091193000|9984434000|267493000|3458583000|1134386000|1451228000|8018529000|1844512000|13656226000|1134386000||6593412000|128430000|488159000|-52305000|6865000|-2407949000|2298000|233303152|LYV
2023-09-30|USD|19140573000|10006678000|5948511000|5948511000|1431412000|2503135000|9561795000|1955906000|1757584000|4153641000|1500115000|2653526000|427900000|427900000||123620000|919622000|18918822000|8751521000|276982000|3083668000|50609000|200913000|8688315000|1824054000|11723534000|50609000||6596670000|132471000|468504000|221751000|6865000|-2197221000|2293000|228787263|LYV
2023-06-30|USD|19925090000|10776948000|7128873000|7128873000|1636347000|1889652000|9558642000|1904020000|1788323000|4115703000|1496347000|2619356000|410500000|410500000||122076000|890608000|20112467000|10023531000|293865000|5025871000|51489000|198420000|8776611000|1806829000|11741790000|51489000||6606186000|56143000|562016000|-187377000|6865000|-2680716000|2291000|228536179|LYV
2023-03-31|USD|18869591000|10097121000|6991987000|6991987000|1328664000|1657210000|9133970000|1887070000|1727333000|4000626000|1423309000|2577317000|361500000|361500000||119260000|709299000|19330437000|9374087000|172649000|5103432000|63870000|206821000|8706008000|1789575000|11752734000|63870000||6611781000|72845000|511473000|-460846000|6865000|-2974398000|2289000|228162831|LYV
2022-12-31|USD|16460841000|8159522000|5606457000|5606457000|38725000|1499611000|8802738000|1487663000|1851955000|3948714000|1419334000|2529380000|408789000|408789000||131939000|724989000|16828410000|8303315000|180076000|3156953000|620032000|760264000|7756440000|1794757000|11910686000|620032000||5903499000|68716000|455971000|-367569000|6865000|-2971229000|2285000|231263623|LYV
2022-09-30|USD|15787014000|7927389000|4951161000|4951161000|913925000|1989508000|8215225000|1097931000|1771558000|3874881000|1326429000|2548452000|355600000|355600000||72795000|675174000|15861574000|7634487000|195327000|2269216000|619500000|761044000|7154990000|1831008000|5120197000|619500000||7570705000|64772000|345329000|-74560000|6865000|-2768195000|2271000|225761777|LYV
2022-06-30|USD|16421028000|8550782000|5860435000|5860435000|1159243000|1456198000|8197746000|1089421000|1747534000|3942225000|1379106000|2563119000|327500000|327500000||74906000|630190000|16831192000|8632043000|219744000|3766387000|607190000|760213000|7188963000|1803075000|5140155000|607190000||7550420000|77029000|398756000|-410164000|6865000|-3129597000|2256000|224674447|LYV
2022-03-31|USD|16006602000|8110435000|5871905000|5871905000|966341000|1210007000|8214267000|1086307000|1723149000|3978200000|1373389000|2604811000|318100000|318100000||62182000|605077000|16524419000|8278487000|67008000|4049866000|611319000|750369000|7292080000|1847660000|5146681000|611319000||7605660000|95450000|436789000|-517817000|6865000|-3317397000|2235000|221890625|LYV
2021-12-31|USD|14402318000|6684093000|4884729000|4884729000|33826000|1085779000|8081241000|1091929000|1728198000|3986235000|1395366000|2590869000|293645000|293645000||74834000|548453000|14984969000|6855722000|110623000|2800000000|585254000|708969000|7536378000|1729779000|11660550000|585254000||5730738000|83087000|431581000|-582651000|6865000|-3327737000|2220000|224674579|LYV
2021-09-30|USD|13330744000|6555291000|4628880000|4628880000|695403000|1182242000|7021753000|1041854000|1724597000|3211011000|1101292000|2109719000|246300000|246300000||48766000|480144000|13735588000|5558104000|111142000|2452773000|46214000|157304000|7701469000|1559360000|7887321000|46214000||5733119000|41314000|242811000|-404844000|6865000|-3132813000|2218000|216888355|LYV
2021-06-30|USD|12245656000|5423251000|4042619000|4042619000|683393000|646705000|7030505000|1046478000|1695364000|3269306000|1146602000|2122704000|208100000|208100000||50534000|463530000|13158418000|5165300000|90360000|3090640000|46481000|160057000|7851292000|1542879000|7110176000|46481000||5341688000|45377000|510711000|-912762000|6865000|-3179691000|2164000|215702508|LYV
2021-03-31|USD|10919642000|4096098000|3009487000|3009487000|575939000|467792000|6986044000|1064171000|1647682000|3296584000|1182890000|2113694000|162500000|162500000||42880000|408528000|11650202000|3815747000|72913000|2111428000|37275000|148527000|7527725000|1519665000|7103483000|37275000||5327166000|69203000|364699000|-730560000|6865000|-2984026000|2160000|214531958|LYV
2020-12-31|USD|10589303000|3649768000|2537787000|2537787000|22000000|501290000|7198918000|1101414000|1602112000|3353861000|1224658000|2129203000|170494000|170494000||39465000|391281000|11061075000|3796569000|86356000|1927923000|53415000|160562000|6742637000|1552821000|10076702000|53415000||4908511000|72083000|353267000|-471772000|6865000|-2676833000|2145000|218015037|LYV
2020-09-30|USD|10885431000|3859857000|2600000000|2600000000|613576000|564873000|7025574000|1106688000|1583637000|3315873000|1263970000|2051903000||||56326000|410673000|10984861000|3582877000|88869000|1795815000|50789000|166525000|6932643000|1582841000|6660345000|50789000||4900063000|49652000|274271000|-99430000|6865000|-2233501000|2138000|212593719|LYV
2020-06-30|USD|11622300000|4433194000|3290052000|3290052000|456375000|618580000|7189106000|1121665000|1521642000|3318240000|1305599000|2012641000||||68187000|450972000|11280375000|3492296000|124806000|1748811000|63885000|183358000|7703746000|1531663000|6648700000|63885000||4894973000|102687000|691219000|341925000|6865000|-1704599000|2125000|211693923|LYV
2020-03-31|USD|11861444000|4851025000|3269863000|3269863000|748217000|759432000|7010419000|1128169000|1457733000|3274656000|1274677000|1999979000||||73513000|452974000|11002090000|4730056000|87840000|2273494000|36036000|158019000|4076758000|1502175000|7596191000|36036000||3687055000|73827000|247204000|859354000|6865000|-1137082000|2118000|211048295|LYV
