fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|11812369000|43018000|43018000|43018000|||2649344000|2567194000|||||11448065000|41650000||21507000||5664705000|856739000||||250000000|4807966000|26091000|10611914000|250000000||10611914000|277330000|27565000|5942131000||-1469557000|23396000|116883421|MAA
2024-09-30|USD|11756252000|50232000|50232000|50232000|||2667776000|2585083000|||||11373026000|41693000||29150000||5602140000|1216172000||||490000000|4385968000||9751936000|490000000||9751936000|726172000||5948674000||-1458816000|23684000|116880291|MAA
2024-06-30|USD|11562867000|62831000|62831000|62831000|||2525179000|2442126000|||||11195970000|41753000|63500000|13669000||5356848000|971984000||||317463000|4384864000||9401728000|316000000||9401728000|654521000||6003665000||-1398993000|20953000|116858044|MAA
2024-03-31|USD|11470732000|54601000|54601000|54601000|||2495270000|2411493000|||||11095719000|41877000||13475000||5194253000|804790000||||634864000|4389463000||9883926000|235000000||9883926000|545067000||6072449000||-1326654000|20257000|116728052|MAA
2023-12-31|USD|11484503000|41314000|41314000|41314000|||2501285000|2416808000|||||11139488000|41977000||13777000||5185381000|566275000||||894659000|4619106000|27344000|9975450000|495000000||9975450000|-86886000|27138000|6094071000||-1298263000|20335000|116694124|MAA
2023-09-30|USD|11382322000|161897000|161897000|161897000|73861000||2432577000|2347387000|||||10947199000|42290000||-175337000||5060700000|666437000||||349986000|4394263000||9538526000|||9538526000|316451000||6116614000||-1285428000|19201000|116686730|MAA
2023-06-30|USD|11391170000|150155000|150155000|150155000|73861000||2489168000|2403321000|||||10982567000|42347000||-163725000||5020107000|623714000||||349846000|4396393000||9544786000|||9544786000|273868000||6162117000||-1235118000|22159000|116676966|MAA
2023-03-31|USD|11352311000|142411000|142411000|142411000|73861000||2486295000|2399962000|||||10963456000|42333000||-156017000||4961725000|566075000||||349677000|4395650000||9143300000|||9143300000|216398000||6183367000||-1216325000|20757000|116600756|MAA
2022-12-31|USD|11241165000|38659000|38659000|38659000|64312000||2427289000|2340399000|||||10954025000|42290000||22412000||5030746000|615843000||||20000000|4414903000|28671000|8829806000|20000000||8829806000|428724000|26533000|6005089000||-1188854000|21823000|115480336|MAA
2022-09-30|USD|11338227000|105510000|38996000|38996000|64312000||2376630000|2288888000|||||10957820000|42442000||81072000||5166327000|647176000||||125000000|4519151000||9038302000|125000000||9038302000|522176000||5967745000||-1219599000|21297000|115447252|MAA
2022-06-30|USD|11280401000|60568000|60568000|60568000|41298000||2327727000|2239351000|||||10827231000|42476000|44600000|185634000||5089882000|571568000||||124921000|4518314000||9036628000|||9036628000|446647000||5983274000||-1199216000|23555000|115438832|MAA
2022-03-31|USD|11199075000|60371000|60371000|60371000|29279000||2282948000|2193716000|||||10862858000|42732000||12253000||5068856000|531351000||||20000000|4537505000||9075010000|20000000||9075010000|511351000||5919947000||-1268827000|1151000|115337466|MAA
2021-12-31|USD|11285182000|54302000|54302000|54302000|24015000||2315610000|2225783000||900000|900000||10867274000|42827000|42827000|76296000||5101090000|584400000||||4516690000|4516690000||13550070000|||13550070000|-3932290000||5965177000||-1255807000|1151000|115336876|MAA
2021-09-30|USD|11254132000|72252000|29811000|29811000|29115000||2304694000|2214152000|||||10902694000|42842000||54151000||5139479000|598592000||||25000000|4540887000||9081774000|25000000||9081774000|573592000||5897148000||-1309511000|1149000|115138323|MAA
2021-06-30|USD|11242120000|31881000|31881000|31881000|35050000||2374290000|2283057000|||||10950339000|42933000||11123000||5099761000|546524000||||280000000|4553237000||9106474000|280000000||9106474000|266524000||5918715000||-1272694000|1147000|114919922|MAA
2021-03-31|USD|11192378000|32620000|32620000|32620000|34548000||2343671000|2251560000|||||10935178000|43211000||10755000||5155017000|497432000||||385000000|4657585000||9315170000|385000000||9315170000|112432000||5804716000||-1367347000|1142000|114408949|MAA
2020-12-31|USD|11194791000|25198000|25198000|25198000|60993000||2305383000|2212658000||1300000|1300000||10896274000|43325000||10417000||5090986000|19000000||||172000000|4562712000||13688136000|172000000||13688136000|356274000||5871633000||-1294182000|1141000|114373727|MAA
2020-09-30|USD|11128704000|18407000|18407000|18407000|34548000||2223595000|2130028000|||||10908016000|43467000||9182000||4995608000|570014000|||||4425594000||8851188000|||8851188000|570014000||5904072000||-1258072000|1140000|114369812|MAA
2020-06-30|USD|11131313000|19667000|19667000|19667000|34548000||2201669000|2107479000|||||10920305000|43590000||15927000||4946403000|473795000||||90000000|4472608000||8945216000|90000000||8945216000|383795000||5954834000||-1202536000|1140000|114365203|MAA
2020-03-31|USD|11155977000|34508000|34508000|34508000|34548000||2166616000|2069530000|||||10947788000|43686000||14539000||4929145000|445452000||||100000000|4483693000||8967386000|||8967386000|345452000||5997419000||-1160944000|1140000|114279662|MAA
2019-12-31|USD|11230450000|20476000|20476000|20476000|34548000||2120155000|2022181000||2600000|2600000||10946333000|43674000||50065000||4926860000|19000||||70000000|4454598000||13363794000|137805000||13363794000|402262000||6068565000||-1085479000|1140000|114246393|MAA
2019-09-30|USD|11247754000|25826000|25826000|25826000|63669000||2096794000|1999978000|||||10956440000|43816000||39376000||4997488000|521374000||||200000000|4476114000||8952228000|30497000||8952228000|321374000||6016452000||-1119714000|1138000|114065859|MAA
2019-06-30|USD|11274830000|40972000|40972000|40972000|58257000||2025483000|1981486000|||||11003937000|43997000||16712000||4990201000|450212000||||367000000|4539989000||9079978000|38055000||9079978000|83212000||6051466000||-1086665000|1138000|114043089|MAA
2019-03-31|USD|59387000|44623000|44623000|44623000|58257000||11244375000|11055859000||||||44138000||14764000||4967418000|419320000||||75000000|4548098000||4548098000|333178000||4548098000|344320000||6113167000||-1037268000|1137000|113916208|MAA
2018-12-31|USD|11323781000|34259000|34259000|34259000|58257000||796000|796000||3900000|3900000||11091138000|44181000|17414000|17414000||4942178000|19000||||540000000|4528328000||9058328000|338332000||9058328000|-126150000||6149840000||-989263000|1136000|113844267|MAA
2018-09-30|USD|79400000|46139000|46139000|46139000|||11330287000|11151422000||||||53919000|33261000|42561000||4977826000|473803000||||370000000|4504023000||4504023000|80000000||4504023000|103803000||6217014000||-940773000|1136000|113838139|MAA
2018-06-30|USD|60803000|32610000|32610000|32610000|||11385576000|11218243000||||||45520000|28193000|28943000||4958239000|409604000||||110000000|4548635000||4548635000|380543000||4548635000|299604000||6261771000||-887672000|1136000|113808292|MAA
2017-12-31|USD|7488000|10750000|10750000|10750000|62606000||7488000|1488000||6000000|6000000|||50277000|78117000|83438000||4907617000|815560000||||410000000|4092057000||9002057000|418919000||9002057000|405560000||6350320000||-784500000|1134000|113643166|MAA
2016-12-31|USD|82888000|121800000|121800000|33536000|71464000||11482691000|11225905000||33600000|33600000|1239000||44493000|88264000|88264000||4952317000|426214000||||490000000|4526103000||8999424000|4499712000||8999424000|414244000||6413892000||-707479000|1133000|113518212|MAA
2014-03-31|USD|6785663000|193912000|121901000|121901000|||6591751000|||4106000|4106000|4106000|||37876000|72011000||3463059000|213171000|||||3490518000||3463059000|||3463059000|197997000||2691000||-694150000|749000|75009303000|MAA
2013-12-31|USD|6841925000|172455000|89333000|89333000|63850000||6669470000|166048000||36300000|36300000|4106000|||44361000|83122000||6945436000|221257000|||||3502081000||6945436000|||6945436000|206190000||108000||-653593000|747000|74830726|MAA
2013-09-30|USD|3028257000|181105000|181105000|181105000|||2788573000|2712907000||4106000|4106000|4106000|2710694000|3237000|58579000|58579000||1993197000|116245000||||350000000|1876952000||3720202000|||3720202000|109282000||990377000||-567662000|427000|42744978000|MAA
2013-06-30|USD|2834217000|8792000|8792000|8792000|||2806555000|||4106000|4106000|4106000|2733567000|3178000|12989000|18870000||1816899000|106369000||||125000000|1710530000||3383082000|||3383082000|96284000||980297000||-582884000|427000|42736134|MAA
2013-03-31|USD|2775008000|8224000|8224000|8224000|||2766135000|||4106000|4106000|4106000|2707190000|749000|649000|649000||1807504000|92108000||||117000000|1715396000||3382506000|||3382506000|86436000||932184000||-612128000|426000|42683322|MAA
2012-12-31|USD|2751068000|9075000|9075000|9075000|1205000||2741185000|2681169000||4106000|1600000|4106000|2684801000|4837000|808000|808000||1801245000|122305000||||23000000|1678940000||5021544000|||5021544000|94719000||914052000||-603315000|422000|42316398|MAA
2012-09-30|USD|2775835000|13422000|13422000|13422000|||2761114000|||4106000|4106000|4106000|2689072000|5160000|1299000|1299000||1845830000|106712000|||||1743751000||3412516000|||3412516000|101075000||894175000||-596027000|419000|41925288|MAA
2012-06-30|USD|2599088000|22341000|22341000|22341000|||2575709000|||4106000|4106000|4106000|2510535000|6202000|1038000|1038000||1728428000|95523000|||||1637602000||3428842000|||3428842000|89941000||839387000||-624304000|410000|41101427|MAA
2012-03-31|USD|2527410000|41826000|41826000|41826000|||2462844000|||4106000|4106000|4106000|2407945000|16567000|22740000|22740000||1659246000|83438000|||||1580254000||3080112000|||3080112000|79437000||834526000||-625266000|409000|40940360|MAA
2011-12-31|USD|2530468000|57317000|57317000|57317000|1306000||2471789000|||4106000|4106000|4106000|2414377000|17006000|1362000|1362000||1782969000|93809000|||||1693197000||4949265000|||4949265000|91718000||718331000|-743462000|-621833000|389000|38959338|MAA
2011-09-30|USD|2412027000|24254000|24254000|24254000|||2374827000|2304314000||4106000|4106000|4106000|2320198000|17190000|12946000|12946000||1729940000|96467000||||6428000|1637261000||3175778000|||3175778000|93379000||654501000|-678299000|-614762000|378000|37823972|MAA
2011-06-30|USD|2313521000|12838000|12838000|12838000|||2299056000|2227591000||4106000|4106000|4106000|2249753000|17613000|1627000|1627000||1669079000|85277000||||6604000|1587944000||1535934000|||1535934000|82451000||617640000|-640300000|-605316000|371000|37142477|MAA
2011-03-31|USD|2201747000|47222000|47222000|47222000|||2153148000|2082538000||4106000|4106000|4106000|2099485000|18253000|1377000|1377000||1574725000|74947000||||6553000|1503532000||1451782000|||1499778000|72332000||600005000||-589191000|365000|36545130|MAA
2010-12-31|USD|2176048000|45942000|45942000|45942000|1306000||2128592000|2059994000||4106000|4106000|4106000|2076193000|17505000|1514000|1514000||1631656000|75814000||||6693000|1559606000||1500193000|||1500193000|73999000||518503000||-575021000|348000|29095251|MAA
2010-09-30|USD|2189851000|118884000|100091000|100091000|||2087334000|||4106000|4106000|4106000|2018118000|15571000|2426000|2426000||1701000000|82129000|||||1622239000||1551203000|||1551203000|80030000||465450000||-559610000|338000|33898029|MAA
2010-06-30|USD|1998044000|25245000|25245000|25245000|||1972069000|||4106000|4106000|4106000|1926881000|12385000|730000|730000||1497240000|69091000|||||1431049000||1363195000|||1363195000|67608000||475939000||-541725000|322000|32299493|MAA
