fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|704976000000|26374000000|21765000000|26374000000|||11624000000|||9155000000||9155000000|455283000000|322609000000|4609000000|73204000000||673812000000|404000000||4713000000|404000000|404000000|956000000||3692000000|404000000|15271000000|4096000000|77000000||30885000000|27418000000|41765000000|12000000|693651782|MET
2024-06-30|USD|675745000000|24590000000|20786000000|24590000000|-334494000000||11631000000|||8950000000|19568000000|8950000000|436829000000|306688000000|3804000000|71899000000||648205000000|390000000||4614000000|390000000|390000000|216000000||3718000000|390000000|14790000000|4108000000|-738000000||27252000000|26637000000|40873000000|12000000|703760956|MET
2024-03-31|USD|677576000000|24724000000|19840000000|24724000000|-333119000000||11788000000|||9037000000|19842000000|9037000000|440004000000|308657000000|4884000000|68844000000||648780000000|137000000||4612000000|127000000|127000000|835000000||3752000000|127000000|15946000000|3879000000|-137000000||28535000000|25774000000|40350000000|12000000|715661353|MET
2023-12-31|USD|687584000000|26684000000|20639000000|26684000000|-69111000000||38903000000|||10030000000|794000000|9236000000|446137000000|25200000000|6045000000|69111000000||657331000000|119000000||4537000000|119000000|119000000|927000000|32000000|19270000000|119000000|15516000000|19389000000|-309000000||30015000000|24591000000|40146000000|12000000|730821111|MET
2023-09-30|USD|652120000000|21409000000|14912000000|21409000000|-79135000000||13015000000|||9109000000|19737000000|9109000000|435662000000|302819000000|6497000000|53636000000||626225000000|220000000||4561000000|161000000|161000000|128000000||3811000000|161000000|15436000000|3972000000|59000000||25658000000|23724000000|39958000000|12000000|744366475|MET
2023-06-30|USD|677279000000|22338000000|15417000000|22338000000|-53223000000||12363000000|||9261000000|19850000000|9261000000|450948000000|316473000000|6921000000|53223000000||646787000000|200000000||4439000000|200000000|200000000|752000000||3835000000|200000000|14494000000|4035000000|-200000000|642000000000|30261000000|22923000000|39928000000|12000000|757210115|MET
2023-03-31|USD|674266000000|22640000000|18456000000|22640000000|-53060000000||12361000000|||9379000000|19976000000|9379000000|441302000000|444856000000|4184000000|53060000000||641843000000|722000000||4250000000|168000000|168000000|1111000000||3863000000|168000000|14571000000|4031000000|-168000000|636147000000|32194000000|22245000000|39957000000|12000000|769179074|MET
2022-12-31|USD|663072000000|25130000000|20195000000|25130000000|||41295000000|900000000|1600000000|10173000000|876000000|9297000000|433293000000|25700000000|4935000000|-22438000000||632947000000|175000000||4106000000|175000000|175000000|325000000|56000000|18377000000|175000000|14591000000|18552000000|-2788000000|634950000000|29881000000|21458000000|40332000000|12000000|779098414|MET
2022-09-30|USD|650104000000|27466000000|22200000000|27466000000|-79153000000||12500000000|||9005000000|21523000000|9005000000|426396000000|429751000000|5266000000|56027000000||624774000000|183000000||3891000000|183000000|183000000|172000000||3887000000|183000000|14457000000|4070000000|-2506000000|620532000000|25076000000|20862000000|41032000000|12000000|787340553|MET
2022-06-30|USD|662893000000|23591000000|20548000000|23591000000|-52216000000||9939000000|||9151000000|20248000000|9151000000|436025000000|439179000000|3043000000|52216000000||625526000000|196000000||3837000000|196000000|196000000|1301000000||3898000000|196000000|13609000000|4094000000|-1301000000|620131000000|37101000000|20188000000|41101000000|12000000|797580831|MET
