fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|8053301000|3897758000|1625339000|1625339000|770338000|1285397000|4216541000|1006788000|305995000|2860367000|1442426000|1417941000||0|0|216684000|104958000|2273901000|1245144000|549028000|463562000|2676000|92028000|1074180000|43000|748842000|0|748842000|748842000|642848000|64884000|5779400000|6372416000|7178073000|5628000|972450000|MNST
2024-06-30|USD|8060904000|3954297000|1564734000|1564734000|834404000|1362398000|4170060000|960962000|286489000|2851267000|1433326000|1417941000|0|0|0|192761000|107109000|2194581000|1160523000|511137000|473431000|2167000|13272000|1079930000|10000|748740000||748740000|748740000|580747000|64068000|5866323000|5832445000|6807154000|5627000|983380000|MNST
2024-03-31|USD|10098066000|6035514000|2576524000|3560725000|939630000|1370239000|4129064000|923290000|277328000|2848703000|1430762000|1417941000|992363000|8162000|984201000|164920000|107126000|1520277000|1228828000|533729000|485035000|4297000|15419000|337937000|14000||||61907000|576212000|92690000|8577789000|2686628000|6381785000|5624000|1041698000|MNST
2023-12-31|USD|9686522000|5588996000|2297675000|3253280000|971406000|1193964000|4167518000|890796000|261235000|2845080000|1427139000|1417941000|1032036000|76431000|955605000|170346000|110216000|1457778000|1161689000|564379000|492365000|6449000|17537000|344567000|19000|0|0|0|0|540441000|91838000|8228744000|2566383000|5939736000|5613000|1041571000|MNST
2023-09-30|USD|9314338000|5311515000|1773849000|3010601000|883582000|1231188000|4059807000|731208000|269846000|2877388000|1459447000|1417941000|1289388000|52636000|1236752000|162676000|164867000|1441189000|1178802000|539892000|498563000|7232000|16351000|300522000|24000||||54486000|582432000|53251000|7873149000|2400456000|5572757000|5592000|1040420000|MNST
2023-06-30|USD|9263338000|5654113000|1869774000|3287013000|846812000|1333004000|3651671000|576645000|259752000|2642041000|1224100000|1417941000|1479487000|62248000|1417239000|148750000|151252000|1421874000|1162580000|568613000|515604000|4205000|38534000|288152000|29000||||43598000|512668000|44255000|7841464000|1998256000|5120063000|5591000|1047485000|MNST
2023-03-31|USD|8844362000|5294609000|1672660000|3055688000|906723000|1190351000|3589656000|545922000|246700000|2640539000|1222598000|1417941000|1424180000|41152000|1383028000|110958000|145101000|1449002000|1187511000|491249000|528404000||11135000|261491000|||||39126000|640687000|41727000|7395360000|1997809000|4706192000|5587000|1046616000|MNST
2022-12-31|USD|8293105000|4764897000|1307141000|2669455000|935631000|1016203000|3567818000|516897000|233158000|2638351000|1220410000|1417941000|1423757000|61443000|1362314000|109823000|134478000|1268064000|1001978000|444265000|534211000|757000|16303999|266086000|41000||||45931000|498098001|42286000|7025041000|6600281000|9001173000|3209000|522300000|MNST
2022-09-30|USD|8204805000|4696691000|1303048000|2649829000|862977000|1051642000|3546952000|485550000|243318000|2638767000|1225826000|1412941000|1419154000|72373000|1346781000|132243000|115913000|1389045000|1121717000|520198000|537802000||14245000|267328000|||||43558000|544666000|41034000|6815760000|6398631000|8699499000|3206000|523965000|MNST
2022-06-30|USD|8175012000|4696620000|1132039000|2469831000|885948000|1175587000|3518040000|464541000|237162000|2636055000|1223114000|1412941000|1401911000|64119000|1337792000|165254000|110390000|1365834000|1093608000|492858000|553014000||19992000|272226000|||||49649000|536414000|40056000|6809178000|6125751000|8377112000|3205000|526772000|MNST
