fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|34167000000|3499000000|1897000000|1897000000|1101000000|87000000|22538000000|1618000000|2900000000|19955000000|13010000000|6945000000|8153000000|8153000000||210000000|942000000|37585000000|7996000000|510000000|218000000|1585000000|0|29589000000||25155000000|1585000000|23570000000|25155000000|5901000000|1596000000|-3468000000|41882000000|34206000000|935000000|1703000000|MO
2024-06-30|USD|34387000000|3540000000|1799000000|1799000000|1174000000|72000000|22540000000|1620000000|2887000000|19993000000|13048000000|6945000000|8335000000|8335000000||179000000|899000000|37353000000|7782000000|556000000|310000000|1553000000|0|29571000000||25023000000|1553000000|23470000000|25023000000|5673000000|1607000000|-3016000000|41195000000|33651000000|935000000|1718000000|MO
2024-03-31|USD|36475000000|5198000000|3608000000|3608000000|1241000000|77000000|22911000000|1624000000|2891000000|20384000000|13439000000|6945000000|8396000000|8396000000||99000000|873000000|41539000000|10935000000|504000000|234000000|0|0|30604000000||25000000000|0|25042000000|25000000000|10431000000|1656000000|-5114000000|40839000000|31535000000|935000000|1758000000|MO
2023-12-31|USD|38570000000|5585000000|3686000000|3686000000|1215000000|71000000|23004000000|1652000000|2930000000|20477000000|13686000000|6791000000|10011000000|10011000000||117000000|845000000|42060000000|11319000000|582000000|258000000|1121000000|0|30741000000||26233000000|1121000000|25112000000|26233000000|6916000000|1621000000|-3540000000|38802000000|31094000000|935000000|1763461775|MO
2023-09-30|USD|36469000000|3390000000|1537000000|1537000000|1174000000|57000000|23206000000|1629000000|2897000000|20518000000|13727000000|6791000000|9907000000|9907000000||622000000|1025000000|39826000000|10381000000|490000000|284000000|1121000000|0|29445000000||25098000000|1121000000|23977000000|25098000000|6070000000|1718000000|-3407000000|38533000000|30767000000|935000000|1773000000|MO
2023-06-30|USD|37151000000|4338000000|874000000|874000000|1191000000|63000000|23204000000|1626000000|2861000000|20539000000|13749000000|6790000000|9643000000|9643000000||438000000|1005000000|40928000000|11664000000|454000000|359000000|3121000000|2000000000|29264000000||25200000000|1121000000|24074000000|27200000000|16632000000|1324000000|-3827000000|38273000000|30340000000|935000000|1782000000|MO
2023-03-31|USD|36826000000|7152000000|3913000000|3913000000|1252000000|58000000|20146000000|1593000000|2820000000|17543000000|12366000000|5177000000|9559000000|9559000000||183000000|979000000|40652000000|9146000000|412000000|268000000|1339000000|0|28806000000||25387000000|1339000000|24048000000|25387000000|7395000000|809000000|-3876000000|37796000000|29898000000|935000000|1786000000|MO
2022-12-31|USD|36954000000|7220000000|4030000000|4030000000|1180000000|48000000|20180000000|1608000000|2819000000|17561000000|12384000000|5177000000|9600000000|9600000000||138000000|965000000|40877000000|8616000000|552000000|252000000|1556000000|0|29561000000||26680000000|1556000000|25124000000|26680000000|3808000000|324000000|-3973000000|37816000000|29792000000|935000000|1785534122|MO
2022-09-30|USD|33953000000|4020000000|2483000000|2483000000|1106000000|52000000|20161000000|1587000000|2822000000|17530000000|12353000000|5177000000|9814000000|9814000000||379000000|1002000000|38185000000|8097000000|417000000|310000000|1443000000|0|30088000000||26300000000|1443000000|24848000000|26300000000|6237000000|278000000|-4232000000|37442000000|28785000000|935000000|1799000000|MO
2022-06-30|USD|36746000000|4086000000|2567000000|2567000000|1144000000|43000000|20111000000|1557000000|2788000000|17549000000|12372000000|5177000000|12590000000|12590000000||332000000|964000000|39149000000|8311000000|396000000|303000000|2634000000|0|30838000000||27680000000|2634000000|25046000000|27680000000|5281000000|260000000|-2403000000|37074000000|30252000000|935000000|1809000000|MO
2022-03-31|USD|40235000000|6762000000|5353000000|5353000000|1214000000|46000000|20044000000|1547000000|2753000000|17466000000|12289000000|5177000000|13479000000|13479000000||149000000|981000000|41995000000|10928000000|379000000|247000000|2517000000|0|31067000000||27922000000|2517000000|25405000000|27922000000|8032000000|259000000|-1760000000|36569000000|30988000000|935000000|1818000000|MO
2021-12-31|USD|39523000000|6083000000|4544000000|4544000000|1194000000|47000000|20009000000|1553000000|2879000000|17483000000|12306000000|5177000000|13481000000|13481000000|13481000000|298000000|923000000|41129000000|8579000000|449000000|287000000|1105000000|0|32550000000||28044000000|1105000000|26939000000|28044000000|4125000000|283000000|-1606000000|36006000000|30664000000|935000000|1823175618|MO
