fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|5445439000|1344021000|409351000|409351000||-5284000|4101418000|70885000|179905000|3822780000|907613000|2915167000||||113961000|47692000|6385436000|1585654000|14517000|1155623000|||4888482000|121153000|4510816000|0|4510816000|4510816000|1585654000|120190000|-939997000|7334291000|4780300000|1341000|77744588|MSCI
2024-09-30|USD|5408949000|1285796000|500979000|500979000|1000000|-4363000|4123153000|62317000|179660000|3847530000|931428000|2916102000||||140010000|49819000|6159947000|1377915000|8748000|942840000||25465000|4782032000|123939000|4484772000|0|4484773000|4484772000|323369000|112039000|-750998000|6960512000|4600360000|1341000|78371202|MSCI
2024-06-30|USD|5456833000|1315052000|451401000|451401000|1|-4476000|4141781000|63974000|183950000|3858581000|949166000|2909415000||||113989000|49471000|6191316000|1376442000|12922000|1017997000||25191000|4814874000|130559000|4508730000|0|4508730000|4508730000|295413000|105901000|-734483000|6759019000|4445645000|1341000|78749685|MSCI
2024-03-31|USD|5478589000|1364917000|519315000|519315000|2|-4326000|4113672000|55802000|188568000|3838998000|948479000|2890519000||||98990999|47716000|6129106000|1368952000|12048000|1053961000||23746000|4760154000|135043000|4507686000|0|4507686000|4507686000|234464000|99688000|-650517000|6517130000|4306191000|1341000|79224049|MSCI
2023-12-31|USD|5518219000|1418153000|461693000|461693000|62880000|-3968000|4100066000|55920000|211736000|3843926000|956234000|2887692000||||120783000|43903000|6257983000|1517025000|9812000|1083864000|10900000|33331000|4772858000|120134000|4507728000|10902000|4496826000|4507728000|365309000|96970000|-739764000|6447101000|4179681000|1338000|79091212|MSCI
2023-09-30|USD|4865494000|1639329000|928552000|928552000|-103711000|-3030000|3226165000|58036000|209599000|2766518000|536129000|2230389000|210657000|210657000||107511000|38631000|5914590000|1204643000|10224000|837479000|8719000|8719000|4709947000|121941000|4508781000|8719000|4500063000|4508781000|-10224000|83723000|-1049096000|6447042000|3886188000|1338000|79091098|MSCI
2023-06-30|USD|4762828000|1524185000|792329000|792329000||-2934000|3238643000|60966000|208348000|2778884000|546425000|2232459000|210496000|210496000||118971000|37453000|5956496000|1218125000|7277000|909623000|8717000|8717000|4738371000|127225000|4509837000|8717000|4501119000|4509837000|292508000|92366000|-1193668000|6428102000|3736376000|1338000|79126903|MSCI
2023-03-31|USD|5058700000|1810567000|1080608000|1080608000|37387000|-2781000|3248133000|58839000|203400000|2782049000|551012000|2231037000|211924000|211924000||54888000|40868000|5960064000|1208590000|10746000|920255000|8715000|8715000|4751474000|130571000|4510891000|8715000|4502176000|4510891000|268874000|91294000|-901364000|5982106000|3599934000|1338000|80063044|MSCI
2022-12-31|USD|4997535000|1747974000|993564000|993564000|36654000|663236000|3249561000|53853000|198348000|2788187000|558517000|2229670000|214389000|214389000||54520000|37341000|6005460000|1250527000|15039000|912286000|8713000|8713000|4804433000|131575000|4511947000|8713000|4503233000|4511947000|343889000|91027000|-1007925000|5938116000|3473192000|1336000|79959989|MSCI
2022-09-30|USD|4777527000|1526908000|867112000|867112000|82678000|-2623000|3250619000|54341000|193921000|2791723000|565582000|2226141000|215370000|215370000||51758000|29474000|5854918000|1067252000|5303000|735710000|8711000|8711000|4787666000|137265000|4513002000|8711000|4504291000|4513002000|317528000|98968000|-1077391000|5867881000|3358892000|1336000|80121138|MSCI
