fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|3239999000|1193906000|59362000|3700000|342274000|687112000|2337094000|770280000|696910000|926057000|257143000|668914000||||105158000|315170000|3366889000|1168193000|215843000|204166000|182623000|182623000|2390991000||1831265000|182623000|1831265000|2013888000|372233000|263478000|-126890000|9049925000|8371420000|448000|20949461|MTD
2024-09-30|USD|3319828000|1198232000|71574000|71574000|375813000|637202000|2125254000|790447000||934923000|262519000|672404000||||113643000|364497000|3474181000|1184968000|202859000|210650000|185824000|185824000|2289213000||1891661000|185824000|1891661000|2077485000|364578000|289810000|-154353000|8838306000|8121425000|448000|21683802|MTD
2024-06-30|USD|3249164000|1178307000|70800000|70800000|366395000|634710000|2074638000|768664000||933513000|268154000|665359000||||106392000|338126000|3401926000|1281182000|199462000|214205000|311246000|311246000|2120744000||1746638000|311246000|1746638000|2057884000|338297000|272365000|-152762000|8634576000|7909919000|448000|21683802|MTD
2024-03-31|USD|3283117000|1211114000|70191000|5200000|373670000|650333000|2075899000|773495000||940191000|274375000|665816000|13200000|||116920000|326839000|3441834000|1131932000|189449000|216659000||723910000|2309902000||1362837000|183173000|1903574000|2086747000|319549000|306213000|-158717000|8425613000|7688105000|448000|21357370|MTD
2023-12-31|USD|3355555000|1230203000|69807000|69807000|385865000|663893000|2445882000|803374000|703834000|955537000|285429000|670108000|8300000|||110638000|335242000|3505493000|1181082000|210411000|202022000|192219000|192219000|2538105000||1888620000|192219000|1888620000|2080839000|356446000|327112000|-149938000|8212437000|7510756000|448000|21526172|MTD
2023-09-30|USD|3288730000|1196912000|69675000|69675000|375959000|634967000|2095960000|763209000||947835000|287197000|660638000||||116311000|353087000|3394602000|1070423000|173970000|190784000|179083000|179083000|2324179000||1929401000|179083000|1929401000|2108484000|526586000|282569000|-105872000|8037091000|7328292000|448000|21864818|MTD
2023-06-30|USD|3370395000|1246506000|83574000|83574000|394959000|648002000|2128163000|780723000||959694000|294594000|665100000||||119971000|355636000|3460100000|1008003000|170230000|190784000|107365000|107365000|2452097000||2045462000|107365000|2045462000|2152827000|525859000|290626000|-89705000|7811028000|7126687000|448000|21864818|MTD
2023-03-31|USD|3409907000|1286767000|89085000|22600000|427549000|640050000|2127546000|780013000||961876000|300134000|661742000|11600000|||130083000|353135000|3434376000|1004249000|176733000|204549000||709927000|2430127000||1412983000|107131000|2015779000|2122910000|509083000|300951000|-24469000|7564841000|6912767000|448000|22680305|MTD
2022-12-31|USD|3492395000|1375089000|95966000|95966000|441694000|709321000|2438516000|778600000|656279000|966224000|306054000|660170000|11500000|||128108000|345402000|3467602000|1147731000|252538000|192759000|106054000|106054000|2520477000||1908480000|106054000|1908480000|2014534000|596380000|300031000|24793000|7325656000|6726866000|448000|22139009|MTD
2022-09-30|USD|3294460000|1315902000|122136000|122136000|451320000|611399000|1982477000|728602000||933524000|297435000|636089000||||131047000|281446000|3377269000|1164937000|226681000|198179000|153639000|153639000|2212332000||1825253000|153639000|1825253000|1978892000|586438000|310547000|-82809000|7064513000|6463349000|448000|22294189|MTD
