fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-11-30|USD|37959000000|24980000000|7979000000|7979000000|7981000000|5302000000|8092000000|4857000000||499000000|259000000|240000000|1782000000||1782000000|1936000000||23922000000|11246000000|3255000000||1049000000|49000000|10535000000|3043000000|8856000000|1000000000|7973000000|8905000000|5694000000|2141000000|14037000000||54000000|3000000|1486800000|NKE
2024-08-31|USD|37867000000|25040000000|8485000000|8485000000|8253000000|4764000000|8239000000|4948000000||499000000|259000000|240000000|1809000000||1809000000|1729000000||23923000000|10628000000|3357000000||1012000000|12000000|10623000000|3116000000|8932000000|1000000000|7998000000|8944000000|5075000000|2672000000|13944000000||411000000|3000000|1497700000|NKE
2024-05-31|USD|38110000000|25382000000|9860000000|9860000000|7519000000|4427000000|9254000000|5000000000|5914000000|499000000|259000000|240000000|1722000000||1722000000|1854000000||23680000000|10593000000|2851000000||1006000000|6000000|11532000000|3043000000|8903000000|1000000000|7903000000|8909000000|5248000000|2618000000|14430000000||965000000|3000000|1508000000|NKE
2024-02-29|USD|37356000000|24753000000|8960000000|8960000000|7726000000|4526000000|8437000000|5082000000||499000000|259000000|240000000|1613000000||1613000000|1928000000||23130000000|9029000000|2340000000||6000000|6000000|11621000000|3165000000|7764000000|0|8930000000|7770000000|5344000000|2480000000|14226000000||970000000|3000000|1513200000|NKE
2023-11-30|USD|37203000000|24631000000|7919000000|7919000000|7979000000|4782000000|8646000000|5153000000||550000000|269000000|281000000|2008000000||2008000000|1943000000||23057000000|8999000000|2709000000||6000000|6000000|11715000000|3241000000|7744000000|0|8930000000|7750000000|4515000000|2343000000|14146000000||1151000000|3000000|1520800000|NKE
2023-08-31|USD|36786000000|24250000000|6178000000|6178000000|8698000000|4749000000|8601000000|5109000000||553000000|272000000|281000000|2612000000||2612000000|2013000000||22815000000|8461000000|2738000000||6000000|6000000|11736000000|3242000000|7768000000|0|8929000000|7774000000|4987000000|2618000000|13971000000||1242000000|3000000|1528400000|NKE
2023-05-31|USD|37531000000|25202000000|7441000000|7441000000|8454000000|4131000000|9434000000|5081000000|5634000000|555000000|274000000|281000000|3234000000||3234000000|1942000000||23527000000|9256000000|2862000000||6000000|6000000|12610000000|3211000000|8927000000|0|8927000000|8933000000|5963000000|2558000000|14004000000||1358000000|3000000|1536300000|NKE
2023-02-28|USD|38294000000|26035000000|6955000000|6955000000|8905000000|4513000000|8331000000|4939000000||558000000|277000000|281000000|3847000000||3847000000|1815000000||23763000000|9548000000|2675000000||514000000|14000000|11617000000|3127000000|8741000000|500000000|8925000000|8755000000|1996000000|2598000000|14531000000||2152000000|3000000|1543800000|NKE
2022-11-30|USD|39647000000|27447000000|6490000000|6490000000|9326000000|5437000000|8224000000|4854000000||561000000|280000000|281000000|4131000000||4131000000|2063000000||24375000000|10199000000|2810000000||507000000|7000000|11592000000|3094000000|8910000000|500000000|8924000000|8917000000|2480000000|2584000000|15272000000||2859000000|3000000|1559000000|NKE
2022-08-31|USD|41088000000|28877000000|7226000000|7226000000|9662000000|4960000000|8223000000|4778000000||565000000|283000000|282000000|4650000000||4650000000|2379000000||25266000000|10919000000|3371000000||509000000|9000000|11658000000|3160000000|9100000000|500000000|8922000000|9109000000|2627000000|2689000000|15822000000||3535000000|3000000|1567100000|NKE
2022-05-31|USD|40321000000|28213000000|8574000000|8574000000|8420000000|4667000000|9163000000|4791000000|5306000000|570000000|286000000|284000000|||4423000000|2129000000||25040000000|10730000000|3358000000||510000000|10000000|12587000000|3197000000|9420000000|500000000|8920000000|9430000000|6442000000|2613000000|15281000000||3476000000|3000000|1571900000|NKE
2022-02-28|USD|38577000000|26962000000|8704000000|13467000000|7700000000|3827000000|8340000000|4806000000||575000000|291000000|284000000|4763000000||4763000000|1968000000||23768000000|8818000000|2770000000||0|0|12202000000|3239000000|9719000000|0|9418000000|9719000000|5593000000|2748000000|14809000000||3521000000|3000000|1579000000|NKE
2021-11-30|USD|38917000000|27177000000|10751000000|15103000000|6506000000|3746000000|8336000000|4812000000||507000000|265000000|242000000|4352000000||4352000000|1822000000||23993000000|8857000000|2795000000||9000000|9000000|12252000000|3297000000|10438000000|0|9417000000|10447000000|5591000000||14924000000||3786000000|3000000|1582400000|NKE
2021-08-31|USD|37917000000|26390000000|10720000000|13695000000|6699000000|4341000000|8456000000|4869000000||509000000|267000000|242000000|2975000000||2975000000|1655000000||23574000000|8269000000|2135000000||15000000|15000000|12313000000|3360000000|10575000000|0|9415000000|10590000000|5657000000||14343000000||3886000000|3000000|1581900000|NKE
2021-05-31|USD|37740000000|26291000000|9889000000|13476000000|6854000000|4463000000|8528000000|4904000000|5157000000|511000000|269000000|242000000|3587000000||3587000000|1498000000||24973000000|9674000000|2836000000||2000000|2000000|12344000000|3398000000|9413000000|0|9413000000|9415000000|6369000000||12767000000||3179000000|3000000|1579300000|NKE
2021-02-28|USD|36185000000|24700000000|8516000000|12528000000|6693000000|3669000000|8620000000|4958000000||513000000|271000000|242000000|4012000000||4012000000|1810000000||24254000000|8894000000|2257000000||4000000|4000000|12376000000|3434000000|10320000000|0|9412000000|10324000000|463000000|11931000000|11931000000||2729000000|3000000|1578000000|NKE
2020-11-30|USD|34836000000|23607000000|8635000000|11812000000|6090000000|3713000000|8538000000|4959000000||493000000|270000000|223000000|3177000000||3177000000|1992000000||24196000000|8871000000|2154000000||499000000|41000000|12306000000|3354000000|11044000000|0|9410000000|11085000000|485000000||10640000000||1730000000|3000000|1573000000|NKE
2020-08-31|USD|33258000000|21937000000|8148000000|9480000000|6705000000|3813000000|8622000000|4969000000||495000000|272000000|223000000|1332000000||1332000000|1939000000||24034000000|8619000000|1983000000||597000000|137000000|12369000000|3420000000|10732000000|1000000|9408000000|10869000000|512000000||9224000000||927000000|3000000|1561800000|NKE
2020-05-31|USD|31342000000|20556000000|8348000000|8787000000|7367000000|2749000000|8460000000|4866000000|4795000000|497000000|274000000|223000000|439000000||439000000|1653000000||23287000000|8284000000|2248000000||696000000|248000000|12319000000|3358000000|9409000000|3000000|9406000000|9657000000|336000000||8055000000||-191000000|3000000|1555800000|NKE
2020-02-29|USD|26220000000|15744000000|2863000000|3182000000|5807000000|4473000000|8188000000|4783000000||498000000|275000000|223000000|319000000||319000000|2282000000||17175000000|8280000000|2221000000||435000000|9000000|6221000000|3180000000|4013000000|4000000|3463000000|4022000000|292000000||9045000000||1128000000|3000000|1556300000|NKE
2019-11-30|USD|26602000000|16369000000|3070000000|3502000000|6199000000|4792000000|5169000000|4668000000||501000000|277000000|224000000|432000000||432000000|1876000000||17251000000|8264000000|2627000000||306000000|300000000|3462000000|3154000000|3762000000|6000000|3462000000|4062000000|194000000||9351000000||1577000000|3000000|1560600000|NKE
2019-08-31|USD|26249000000|16228000000|3446000000|3644000000|5835000000|4656000000|5118000000|4615000000||503000000|279000000|224000000|198000000||198000000|2093000000||17049000000|8070000000|2716000000||256000000|250000000|3463000000|3102000000|3826000000|6000000|3463000000|4076000000|317000000||9200000000||1721000000|3000000|1562400000|NKE
2019-05-31|USD|23717000000|16525000000|4466000000|4663000000|5622000000|4272000000|5181000000|4744000000|4725000000|437000000|283000000|154000000|197000000||197000000|1968000000||14677000000|7866000000|2612000000||15000000|9000000|3464000000||3470000000|6000000|3464000000|3479000000|341000000||9040000000||1643000000|3000000|1570400000|NKE
2019-02-28|USD|22921000000|15796000000|3695000000|3695000000|5415000000|4549000000|5125000000|4688000000||437000000|283000000|154000000|||351000000|1786000000||13960000000|7281000000|2307000000||22000000|16000000|3465000000||3351000000|6000000|3465000000|3367000000|224000000||8961000000||1851000000|3000000|1572800000|NKE
2018-11-30|USD|22677000000|15566000000|3423000000|4041000000|5388000000|4346000000|5026000000|4588000000||438000000|284000000|154000000|||618000000|1791000000||13948000000|7278000000|2574000000||15000000|9000000|3466000000||3177000000|6000000|3466000000|3186000000|312000000||8729000000||1810000000|3000000|1581400000|NKE
2018-08-31|USD|22483000000|15501000000|3282000000|4269000000|5227000000|4330000000|4925000000|4487000000||438000000|284000000|154000000|||987000000|1675000000||13491000000|6708000000|2333000000||19000000|13000000|3467000000||3307000000|6000000|3467000000|3320000000|133000000||8992000000||2494000000|3000000|1594000000|NKE
2018-05-31|USD|22536000000|15134000000|4249000000|5245000000|5261000000|3498000000|4893000000|4454000000|4437000000|439000000|285000000|154000000|996000000||996000000|1130000000||12724000000|6040000000|2279000000||342000000|336000000|3468000000||3474000000|6000000|3468000000|3810000000|207000000||9812000000||3517000000|3000000|1605500000|NKE
2018-02-28|USD|22552000000|15355000000|3662000000|4751000000|5366000000|3792000000|4719000000|4298000000||421000000|282000000|139000000|||1089000000|1446000000||12770000000|5783000000|1961000000||17000000|11000000|3469000000||3333000000|6000000|3469000000|3344000000|539000000||9782000000||1078000000|3000000|1623500000|NKE
2017-11-30|USD|24055000000|16582000000|4304000000|6389000000|5326000000|3613000000|4538000000|4117000000||421000000|282000000|139000000|||2085000000|1254000000||12297000000|6750000000|2141000000||1239000000|1229000000|3472000000||3476000000|10000000|3472000000|4705000000|449000000||11758000000||3301000000|3000000|1627000000|NKE
2017-08-31|USD|23647000000|16192000000|3413000000|5519000000|5211000000|3871000000|4508000000|4086000000||422000000|283000000|139000000|||2106000000|1591000000||11654000000|6056000000|2116000000||342000000|335000000|3472000000||3509000000|7000000|3472000000|3844000000|528000000||11993000000||3759000000|3000000|1639100000|NKE
2017-05-31|USD|23259000000|16061000000|3808000000|6179000000|5055000000|3677000000|4411000000|3989000000|3969000000|422000000|283000000|139000000|||2371000000|1150000000||10852000000|5474000000|2048000000||331000000|325000000|3471000000||3477000000|6000000|3471000000|3802000000|168000000||12407000000||6907000000|3000000|1646700000|NKE
2017-02-28|USD|23152000000|16205000000|4021000000|6160000000|4932000000|3752000000|4215000000|3793000000||422000000|283000000|139000000|||2139000000|1361000000||10430000000|5271000000|1938000000||29000000|23000000|3472000000||3478000000|6000000|3472000000|3501000000|411000000||12722000000||4095000000|3000000|1653100000|NKE
2016-11-30|USD|22652000000|16011000000|4339000000|5943000000|5033000000|3478000000|3988000000|3566000000||422000000|283000000|139000000|||1604000000|1557000000||10329000000|5225000000|2033000000||64000000|20000000|3473000000||3517000000|44000000|3473000000|3537000000|457000000||12323000000||3725000000|3000000|1659100000|NKE
2016-08-31|USD|21156000000|14589000000|2659000000|4787000000|4896000000|3526000000|3995000000|3572000000||423000000|284000000|139000000|||2128000000|1380000000||8991000000|5363000000|2088000000||66000000|22000000|1993000000||2285000000|44000000|1993000000|2307000000|331000000||12165000000||4078000000|3000000|1672000000|NKE
2016-05-31|USD|21379000000|15025000000|3138000000|5457000000|4838000000|3241000000|3932000000|3520000000|3518000000|412000000|281000000|131000000|||2319000000|1489000000||9121000000|5358000000|2191000000||45000000|1000000|2010000000||2037000000|44000000|1993000000|2038000000|267000000||12258000000||4151000000|3000000|1682000000|NKE
2016-02-29|USD|20987000000|15256000000|3044000000|5106000000|4590000000|3368000000|3741000000|3329000000||412000000|281000000|131000000|||2062000000|1782000000||8687000000|4980000000|1714000000||7000000|0|2048000000||2055000000|7000000|2048000000|2055000000|498000000||12300000000||4113000000|3000000|1693800000|NKE
2015-11-30|USD|22583000000|16755000000|3851000000|6116000000|4600000000|3437000000|3647000000|3235000000||412000000|281000000|131000000|||2265000000|2197000000||9178000000|5511000000|1915000000||104000000|99000000|2067000000||2072000000|5000000|2067000000|2171000000|927000000||13405000000||4887000000|3000000|1706500000|NKE
2015-08-31|USD|20766000000|15238000000|3246000000|5408000000|4414000000|3288000000|3524000000|3112000000||412000000|281000000|131000000|||2162000000|1751000000||7872000000|5276000000|1933000000||129000000|23000000|1079000000||1236000000|106000000|1079000000|1259000000|586000000||12894000000||5029000000|3000000|854500000|NKE
2015-05-31|USD|21597000000|15587000000|3852000000|5924000000|4337000000|3358000000|3423000000|3011000000|3341000000|412000000|281000000|131000000|||2072000000|1968000000||8890000000|6332000000|2131000000||181000000|74000000|1079000000||1186000000|107000000|1079000000|1260000000|1130000000||12707000000||4685000000|3000000|857200000|NKE
2015-02-28|USD|20541000000|15207000000|3015000000|5361000000|4246000000|3294000000|3274000000|2862000000||412000000|281000000|131000000|||2346000000|1978000000||8173000000|5586000000|1821000000||169000000|61000000|1082000000||1306000000|108000000|1082000000|1367000000|936000000||12368000000||4737000000|3000000|861400000|NKE
2014-11-30|USD|19167000000|14033000000|2273000000|4713000000|4150000000|3457000000|3339000000|2927000000||412000000|281000000|131000000|||2440000000|1379000000||7467000000|4937000000|2074000000||203000000|93000000|1084000000||1186000000|107000000|1079000000|1279000000|225000000||11700000000||4797000000|3000000|863100000|NKE
2014-08-31|USD|18521000000|13540000000|2303000000|4579000000|4030000000|3587000000|3308000000|2895000000||413000000|282000000|131000000|||2276000000|996000000||7416000000|4813000000|1970000000||152000000|146000000|1195000000||1183000000|6000000|1195000000|1329000000|61000000||11105000000||4808000000|3000000|864900000|NKE
2014-05-31|USD|18594000000|13696000000|2220000000|5142000000|3947000000|3434000000|3247000000|2834000000|3386000000|413000000|282000000|131000000|||2922000000|818000000||7770000000|5027000000|1930000000||174000000|167000000|1199000000||1206000000|7000000|1199000000|1373000000|85000000||10824000000||4871000000|3000000|873800000|NKE
2014-02-28|USD|17803000000|13410000000|1864000000|1864000000|3825000000|3355000000|3253000000|2736000000||517000000|386000000|131000000|||3165000000|882000000||6670000000|3954000000|1480000000||126000000|119000000|1201000000||1201000000|7000000|1201000000|1327000000|111000000||11133000000||5374000000|3000000|882300000|NKE
2013-11-30|USD|17820000000|13607000000|2086000000|5187000000|3695000000|3208000000|3161000000|2645000000||516000000|385000000|131000000|||3101000000|1202000000||6476000000|3851000000|1612000000||187000000|180000000|1201000000||1201000000|7000000|1201000000|1388000000|94000000||11344000000||5685000000|3000000|888000000|NKE
2013-08-31|USD|17674000000|13618000000|2661000000|5578000000|3472000000|3207000000|3071000000|2557000000||514000000|383000000|131000000|||2642000000|1053000000||6392000000|3863000000|1559000000||168000000|111000000|1207000000||1200000000|57000000|1207000000|1311000000|12000000||11282000000||5762000000|3000000|889400000|NKE
2013-05-31|USD|17545000000|13630000000|3337000000|5965000000|3434000000|3117000000|2911000000|2452000000|3048000000|420000000|289000000|131000000|||2628000000|802000000||6464000000|3962000000|1669000000||178000000|98000000|1210000000||1267000000|57000000|1210000000|1365000000|18000000||11081000000||5620000000|3000000|892500000|NKE
2013-02-28|USD|15615000000|11789000000|2557000000|4042000000|3329000000|3232000000|2767000000|2260000000|3110000000|507000000|376000000|131000000|||1485000000|882000000||4948000000|3500000000|1241000000||160000000|103000000|161000000||280000000|57000000|161000000|383000000|62000000||10667000000||5456000000|3000000|893900000|NKE
2012-11-30|USD|15171000000|11435000000|2291000000|3525000000|3318000000|3188000000|2816000000|2258000000|3052000000|505000000|374000000|131000000|||1234000000|1404000000||5157000000|3799000000|1519000000||158000000|100000000|170000000||295000000|58000000|170000000|395000000|198000000||10014000000||5029000000|3000000|897000000|NKE
2012-08-31|USD|15114000000|11136000000|2165000000|3267000000|3411000000|3431000000|3029000000|2291000000|3068000000|738000000|536000000|202000000|||1102000000|1027000000||5067000000|3776000000|1551000000||138000000|129000000|226000000||249000000|9000000|226000000|378000000|2087000000||10047000000||5215000000|3000000|452800000|NKE
2012-05-31|USD|15465000000|11845000000|2254000000|3757000000|3350000000|3280000000|2970000000|2209000000|2848000000|501000000|370000000|131000000|||1440000000|1144000000||5146000000|3882000000|1549000000||157000000|108000000|228000000||277000000|49000000|228000000|385000000|55000000||10319000000||5588000000|3000000|458200000|NKE
2012-02-29|USD|14794000000|10932000000|2021000000|3197000000|3356000000|3296000000|2941000000|2205000000|2967000000|736000000|534000000|202000000|||1176000000|1083000000||4618000000|3410000000|1298000000||140000000|91000000|229000000||330000000|49000000|229000000|421000000|1972000000||10176000000||5447000000|3000000|457500000|NKE
2011-11-30|USD|14565000000|10725000000|1929000000|3365000000|3164000000|3103000000|2910000000|2177000000|2887000000|733000000|532000000|201000000|||1436000000|1093000000||4722000000|3563000000|1411000000||237000000|123000000|234000000||468000000|114000000|234000000|591000000|45000000||9843000000||5290000000|3000000|459200000|NKE
2011-08-31|USD|14803000000|11039000000|1608000000|3700000000|3107000000|3279000000|2906000000|2166000000|2868000000|740000000|536000000|204000000|||2092000000|953000000||4904000000|3760000000|1421000000||280000000|164000000|238000000||478000000|116000000|238000000|642000000|2059000000||9899000000||5653000000|3000000|465000000|NKE
2011-05-31|USD|14998000000|11297000000|1877000000|4460000000|2715000000|3138000000|2757000000|2115000000|2791000000|692000000|487000000|205000000|||2583000000|906000000||5205000000|3958000000|1469000000||387000000|187000000|276000000||476000000|200000000|276000000|663000000|2102000000||9793000000||5801000000|3000000|469200000|NKE
2011-02-28|USD|14478000000|10785000000|2132000000|4465000000|2536000000|2985000000|2723000000|2057000000|2747000000|666000000|472000000|194000000|||2333000000|799000000||4576000000|3342000000|1147000000||337000000|139000000|276000000||276000000|198000000|276000000|415000000|1770000000||9902000000||5954000000|3000000|475300000|NKE
2010-11-30|USD|14464000000|10916000000|1768000000|4789000000|2348000000|2792000000|2664000000|2003000000|2638000000|661000000|469000000|192000000|||3021000000|987000000||4515000000|3248000000|1225000000||260000000|128000000|338000000||338000000|132000000|338000000|598000000|1763000000||9949000000||6043000000|3000000|477900000|NKE
2010-08-31|USD|14051000000|10531000000|2010000000|4688000000|2210000000|2791000000|2637000000|1975000000|2560000000|662000000|470000000|192000000|||2678000000|842000000||4391000000|3142000000|1101000000||241000000|109000000|342000000||342000000|132000000|342000000|583000000|104000000||9660000000||6011000000|3000000|479600000|NKE
2010-05-31|USD|14419000000|10959000000|3079000000|5146000000|2041000000|2649800000|2586500000|1932000000|2458000000|655000000|467000000|188000000|||2067000000|1122700000||4665000000|3364000000|1255000000||146000000|139000000|445800000||453000000|7000000|446000000|592000000|1963700000||9754000000||6095000000|3100000|484600000|NKE
2010-02-28|USD|13576300000|10088000000|2225000000|4038700000|2150300000|2833800000|2621300000|1962600000|2474600000|658700000|468000000|190700000|||1813700000|1065000000||4147400000|2846700000|994700000||116300000|108800000|451900000||451900000|7500000|451900000|568200000|1735700000||9428900000||5919100000|2800000|484400000|NKE
2009-11-30|USD|13358400000|9765600000|2035000000|4009800000|2176300000|2716500000|2692600000|2023900000|2478600000|668700000|472500000|196200000|||1974800000|862800000||4134300000|2798300000|1008700000||110700000|103100000|459600000||459600000|7600000|459600000|570300000|1678900000||9224100000||5879200000|2800000|487200000|NKE
2009-08-31|USD|13190600000|9606900000|2261000000|3630200000|2288400000|2835300000|2646900000|1980800000|2393000000|666100000|471200000|194900000|||1369200000|853400000||4099900000|2852800000|961900000||101800000|94700000|443200000||443200000|7100000|443200000|545000000|1789100000||9090700000||5827700000|2800000|485800000|NKE
