fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|6380988000|5837880000|2664667000|2610975000|2058707000||132665000||||||29300000|29300000||1135576000||2170916000|1150431000|||||1020485000|109367000|911118000|||1020485000|441300000||4210072000|13868724000|15046953000|206000|3011644|NVR
2024-09-30|USD|6488159000|5909295000|2568667000|2510946000|2257397000||122444000|||||48927000|27800000|27800000|-107514000|1105389000||2216911000|1202088000|||||1014823000|103224000|911599000|||1014823000|406319000||4271248000|13308255000|14589521000|206000|3074000|NVR
2024-06-30|USD|6407288000|4808856000|2528946000|2528946000|2244419000||118656000|||34233000|34233000|7347000|27100000|27100000||520738999||2273380000|1260029000||||-369274000|1013351000|101273000|912078000|||1013351000|774612000||4133908000|12961549000|14160198000|206000|3126831|NVR
2024-03-31|USD|6538157000|5038793000|2924793000|2896990000|2117034000||101926000|||||41580000|28100000|28100000||-11537000||2193776000|1185133000||||355331000|1008642999|96089000|912554000|||1008643000|736142000||4344381000|12320826000|13759294000|206000|3186000|NVR
2023-12-31|USD|6601757000|5194594000|3215444000|3215444000|1950150000||66246000|||||7347000|29200000|29200000||372513999||2237032000|1222733000||||334441000|1014299000|101272000|913027000|||1014299000|766084000||4364725000|11849034000|13365025000|206000|3194876|NVR
2023-09-30|USD|6372263000|5333437000|2969994000|2908916000|2003773000||82366000|161878000||48927000|48927000|7347000|28100000|28100000||386870000||2199680000|826935000||||355311000|1372745000|103938000|913496000|||1268807000|386299000||4172583000|11583600000|12954950000|206000|3259000|NVR
2023-06-30|USD|6266775000|5243659000|2758057000|2692582000|2020089000||65522000|158698000||48927000|48927000|7347000|27600000|27600000||504231000||2113512000|727788000||||368763000|1385724000|102998000|913963000|||1282726000|291563000|471761000|4153263000|11116423000|12521793000|206000|3263000|NVR
2023-03-31|USD|6075905000|5066690000|2858593000|2800762000|1865542000||69311000|153187000||48927000|48927000|7347000|26800000|26800000||377079000||2230559000|881445000||||335230000|1349114000|99457000|914427000|||1249657000|459335000|434687000|3845346000|10949267000|12117766000|206000|3239000|NVR
2022-12-31|USD|5660973000|4700191000|2574518000|2522839000|1788275000||54870000|148601000||48927000|48927000|7347000|27200000|27200000||368235000||2154124000|832646000|||||1321478000|92786000|914888000|||1007674000|123430000|406590000|3506849000|10866785000|11773414000|206000|3218933|NVR
2022-09-30|USD|5389534000|4336021000|1821355000|1766937000|2170449000||57469000|59232000||48927000|48927000|7347000|27800000|27800000||370257000||2304695000|1299274000|||||1005421000|90075000|915346000|||1005421000|427072000|466235000|3084839000|10772825000|11318646000|206000|3266000|NVR
