fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|23669000000|7026000000|2748000000|2748000000|2234000000|1070000000|16643000000|3309000000|6036000000|10693000000|735000000|9958000000|341000000|264000000|400000000|574000000|2641000000|13925000000|2992000000|899000000||499000000|499000000|10933000000||9683000000|499000000||-68000000|1542000000|1189000000|9406000000|4021000000|-1582000000|56000000|254458000|NXPI
2024-06-30|USD|23196000000|6880000000|2859000000|2859000000|2148000000|927000000|16316000000|3289000000|5902000000|10737000000|796000000|9941000000|190000000|117000000|400000000|546000000|2290000000|13851000000|3112000000|929000000||499000000|499000000|10739000000||9681000000|499000000||-70000000|1622000000|1003000000|9018000000|3762000000|-2036000000|56000000|255478000|NXPI
2024-03-31|USD|23320000000|6894000000|2908000000|2908000000|2102000000|881000000|16426000000|3304000000|5783000000|10784000000|839000000|9945000000|195000000|120000000|399999999|603000000|2338000000|14170000000|2928000000|954000000||0||11242000000||10178000000|||-72000000|1906000000|1009000000|8829000000|3469000000|-2420999999|56000000|256567000|NXPI
2023-12-31|USD|24353000000|7864000000|3862000000|3862000000|2134000000|894000000|16489000000|3323000000|5660000000|10877000000|922000000|9955000000|168000000|101000000|409000000|565000000|2289000000|15393000000|4111000000|1164000000||1000000000|1055000000|11282000000||11250000000|1000000000||11250000000|1855000000|1054000000|8644000000|3210000000|-2793000000|56000000|257292000|NXPI
2023-09-30|USD|23996000000|7616000000|4042000000|4042000000|2140000000|939000000|16380000000|3197000000|5525000000|10947000000|1010000000|9937000000|169000000|102000000||495000000|2236000000|15198000000|3964000000|959000000||999000000|999000000|11234000000||10173000000|999000000||-78000000|1990000000|1014000000|8488000000|3281000000|-2725000000|56000000|257488000|NXPI
2023-06-30|USD|23795000000|7447000000|3863000000|3863000000|2107000000|1061000000|16348000000|3152000000||11060000000|1110000000|9950000000|149000000|103000000||416000000|2136000000|15318000000|4085000000|967000000||999000000|999000000|11233000000||10171000000|999000000||-80000000|2096000000|1014000000|8172000000|3034000000|-3228000000|56000000|259160000|NXPI
2023-03-31|USD|23732000000|7357000000|3930000000|3930000000|1977000000||16375000000|3123000000|5350000000|1208000000|1208000000|9949000000|143000000|||387000000|2095000000|15484000000|4213000000|1002000000||998000000|998000000|11271000000||10169000000|998000000||11167000000|2186000000|1057000000|7949000000||-3652000000|56000000|259576000|NXPI
2022-12-31|USD|23236000000|6935000000|3845000000|3845000000|1782000000|960000000|16301000000|3105000000|5214000000|11254000000|1311000000|9943000000|98000000|71000000||348000000|1942000000|15496000000|3270000000|1185000000||0|55000000|12226000000||11250000000|||11250000000|2066000000|1015000000|7449000000|2799000000|-3975000000|56000000|259656000|NXPI
2022-09-30|USD|22940000000|6703000000|3759000000|3759000000|1581000000||16237000000|2971000000|5055000000|1417000000|1417000000|9909000000|102000000|||351000000|1940000000|15555000000|3219000000|1534000000||||12336000000||11162000000|||11162000000|1677000000|1123000000|7106000000|2765000000|-4039000000|56000000|262180000|NXPI
2022-06-30|USD|22539000000|6320000000|3545000000|3545000000|1462000000||16219000000|2914000000|5396000000|1527000000|1527000000|9930000000|108000000|||317000000|1848000000|15313000000|2941000000|1462000000||||12372000000||11160000000|||11160000000|1467000000|1159000000|6962000000|2424000000|-4522000000|56000000|262579000|NXPI
