fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-10-31|USD|20374600000|6242700000|2282800000|3391000000||1938000000|14131900000|361000000||4860400000|809600000|4050800000|2130900000|4119700000|1108200000|913700000|380200000|14462800000|7402700000|211600000|11093600000|645800000||7060100000|379600000|645800000|645800000||645800000|1683400000|843800000|5911800000||1700900000|4214900000|327700000|PANW
2024-07-31|USD|19990900000|6849700000|1535200000|2578800000|1|3344500000|9791100000|361100000|559200000|374900000|374900000|3350100000|2131400000|4173200000|1043600000|926400000|352900000|14821200000|7682700000|116300000|11480500000|963900000|1029800000|7138500000|380500000|963900000|963900000||963900000|1061400000|430900000|5169700000||1350200000|3821100000|325100000|PANW
2024-04-30|USD|17930800000|5918800000|1373700000|2890400000||2287700000|12012000000|350300000||3780600000|407900000|3372700000|5023600000|3504400000|1516700000|740700000|321400000|13463000000|7084800000|108900000|10167600000|1162500000|1162500000|6378200000|369800000|1162500000|1162500000||1162500000|798500000|352700000|4467800000||992500000|3530700000|323400000|PANW
2024-01-31|USD|18292000000|6446700000|1782500000|3371000000|1|2341800000|11845300000|352300000||3812800000|440100000|3372700000|5489300000|3619600000|1588500000|733900000|326000000|13934800000|7765500000|178800000|9818400000|1821800000|1821800000|6169300000|362700000|1821800000|1821800000||1821800000|846800000|317800000|4357200000||713700000|3650000000|322700000|PANW
2023-10-31|USD|14808500000|6477600000|2491400000|3893800000|328700000|1858900000|8330900000|352600000||3217300000|290500000|2926800000|4721800000|2988900000|1402400000|396200000|342600000|12638000000|7513400000|131800000|9442800000|1946700000|1946700000|5124600000|275800000|1946700000|1946700000||1946700000|702900000|138000000|2170500000||-1033200000|3296700000|313700000|PANW
2023-07-31|USD|14501100000|6048000000|1135300000|2390000000|339200000|2852000000|5526300000|354500000|528300000|315400000|315400000|2926800000|4454000000|3047900000|1254700000|466800000|321700000|12752700000|7737500000|132300000|9296400000|1991500000|1991500000|5015200000|279200000|1991500000|1991500000||1991500000|939100000|86100000|1748400000||-1227400000|3019000000|308300000|PANW
2023-04-30|USD|14170500000|6413600000|1992900000|3958200000|317300000|1688800000|8147300000|341700000||3267400000|340600000|2926800000|5115000000|2709800000|1965300000|694500000|686100000|12938100000|8641200000|91600000|8089600000|3682100000|3682100000|4296900000|264500000|3682100000|3682100000||3682100000|720800000|89500000|1232400000||-1455100000|2708200000|305600000|PANW
2023-01-31|USD|13163400000|5405800000|1346300000|3346900000|313400000|1449900000|7975700000|344700000||3274000000|361700000|2912300000|5027400000|2820600000|2000600000|467400000|555900000|12434400000|8475100000|128300000|7554000000|3680300000|3680300000|3959300000|274200000|3680300000|3680300000||3680300000|724000000|73600000|729000000||-1562900000|2303000000|302400000|PANW
2022-10-31|USD|12543800000|5733500000|2067200000|3803700000||1391800000|6972400000|353700000||3103100000|355400000|2747700000|4517400000|2094700000|1736500000|691700000|478100000|12035800000|8195100000|125900000|7179600000|3678600000|3678600000|3840700000|283100000|3678600000|3678600000||3678600000|649300000|119300000|508000000||-1647100000|2266200000|302300000|PANW
2022-07-31|USD|12253600000|6414900000|2118500000|3634500000|1|2253800000|3283100000|357800000|469700000|384500000|384500000|2747700000|2826900000|1051900000|1516000000|637900000|312600000|12043600000|8306300000|128000000|6994000000|3676800000|3676800000|3737300000|276100000|3676800000|3676800000|0|3676800000|860300000|108400000|210000000||-1667100000|1932700000|99600000|PANW
2022-04-30|USD|11100000000|5697600000|2419900000|3874600000||1357400000|5579700000|355600000||3143400000|412100000|2731300000|2241200000|714700000|1454700000|582400000|468500000|10762400000|7677200000|108000000|5859400000|3675700000|3675700000|3085200000|275700000|3675700000|3675700000|0|3675700000|740600000|103000000|337600000||-1670400000|2066300000|99600000|PANW
