fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|46250000000|11925000000|2443000000|2443000000|1664000000|6327000000|20453000000|1545000000||12958000000|2450000000|10508000000||||1491000000|3458000000|29622000000|9354000000|826000000|1724000000|125000000|0|18567000000|1076000000|14215000000|125000000||14215000000|1443000000|1431000000|16628000000|22958000000|7745000000|1000000|667000000|PARA
2024-06-30|USD|45890000000|11679000000|2315000000|2315000000|1322000000|6545000000|20617000000|1567000000||13067000000|2558000000|10509000000||||1497000000|3474000000|29393000000|9006000000|826000000|1508000000|126000000|0|18612000000|1127000000|14200000000|126000000||14200000000|1250000000|1404000000|16497000000|22958000000|7779000000|1000000|667000000|PARA
2024-03-31|USD|52027000000|11932000000|2384000000|2384000000|892000000|7096000000|26754000000|1612000000||19080000000|2580000000|16500000000||||1560000000|3622000000|30133000000|9244000000|787000000|1371000000|1000000|0|19109000000|1199000000|14195000000|1000000||14195000000|1438000000|1494000000|21894000000|22958000000|13226000000|1000000|654000000|PARA
2023-12-31|USD|53543000000|12703000000|2460000000|2460000000|1414000000|7115000000|27166000000|1666000000|3504000000|19105000000|2589000000|16516000000|96000000|96000000||1714000000|3793000000|31017000000|9656000000|1100000000|1546000000|1000000|0|19443000000|1256000000|29282000000|1000000||29282000000|1161000000|1542000000|22526000000|22958000000|13829000000|1000000|655000000|PARA
2023-09-30|USD|54640000000|12711000000|1804000000|1804000000|1754000000|6939000000|28169000000|1668000000||19163000000|2675000000|16488000000||||1536000000|3913000000|32776000000|10050000000|953000000|1748000000|38000000|38000000|20759000000|1307000000|15233000000|38000000||15233000000|1196000000|1476000000|21864000000|22958000000|13363000000|1000000|652000000|PARA
2023-06-30|USD|55361000000|12459000000|1714000000|1714000000|1533000000|7186000000|28386000000|1689000000||19199000000|2682000000|16517000000||||1458000000|4016000000|33706000000|10670000000|1210000000|1911000000|180000000|180000000|20918000000|1341000000|15358000000|180000000||15358000000|1343000000|1520000000|21655000000|22958000000|13116000000|1000000|651000000|PARA
2023-03-31|USD|56561000000|12657000000|2109000000|2109000000|1085000000|7448000000|28300000000|1718000000||19199000000|2688000000|16511000000||||1364000000|3848000000|34710000000|11295000000|1235000000|2252000000|240000000|0|21258000000|1398000000|15353000000|240000000||15353000000|1642000000|1603000000|21851000000|22958000000|13463000000|1000000|651000000|PARA
2022-12-31|USD|58393000000|13734000000|2885000000|2885000000|1342000000|7412000000|28845000000|1762000000|3714000000|19193000000|2694000000|16499000000|375000000|375000000||1308000000|3991000000|35357000000|11191000000|1403000000|2033000000|239000000|0|21852000000|1428000000|31650000000|239000000||31650000000|1477000000|1715000000|23036000000|22958000000|14737000000|1000000|649000000|PARA
2022-09-30|USD|57287000000|13524000000|3383000000|3383000000|1492000000|6588000000|42154000000|1700000000||19142000000|2716000000|16426000000||||2061000000|3929000000|34640000000|10326000000|943000000|1662000000|196000000|0|22292000000|1468000000|15334000000|196000000||15334000000|1331000000|1727000000|22647000000|22958000000|14889000000|1000000|649000000|PARA
2022-06-30|USD|56961000000|14182000000|4037000000|4037000000|1347000000|6959000000|41166000000|1705000000||19237000000|2739000000|16498000000||||1839000000|3906000000|34185000000|9636000000|853000000|1854000000|37000000|0|22524000000|1514000000|15319000000|37000000||15319000000|1231000000|1683000000|22776000000|22958000000|14829000000|1000000|649000000|PARA
2022-03-31|USD|58043000000|15354000000|5302000000|5302000000|950000000|7263000000|41080000000|1706000000||19321000000|2760000000|16561000000||||1839000000|3771000000|35379000000|9723000000|977000000|2205000000|15000000|0|23748000000|1579000000|16271000000|15000000||16271000000|1374000000|1753000000|22664000000|22958000000|14599000000|1000000|649000000|PARA
2021-12-31|USD|58620000000|16676000000|6267000000|6267000000|1504000000|6984000000|40869000000|1736000000|3750000000|19356000000|2772000000|16584000000|568000000|568000000||1176000000|3824000000|36218000000|9479000000|800000000|2291000000|11000000|0|24820000000|5000000|17660000000|11000000||17660000000|1182000000|1898000000|22402000000|22958000000|14343000000|1000000|650000000|PARA
2021-09-30|USD|55912000000|14798000000|4823000000|4823000000|1563000000|6560000000|39195000000|1809000000||19372000000|2790000000|16582000000||||1230000000|3622000000|35353000000|8913000000|827000000|2254000000|15000000|0|24599000000|1525000000|17178000000|15000000||17178000000|1138000000|1948000000|20559000000|22958000000|12456000000|1000000|646000000|PARA
2021-06-30|USD|55204000000|15254000000|5375000000|5375000000|1419000000|6824000000|38070000000|1979000000||19406000000|2805000000|16601000000|15000000|||1089000000|3658000000|35106000000|8586000000|602000000|2314000000|17000000|0|24236000000|1472000000|17164000000|17000000||17164000000|1230000000|1960000000|20098000000|22958000000|12007000000|1000000|646000000|PARA
2021-03-31|USD|54773000000|15487000000|5499000000|5499000000|1137000000|7310000000|37367000000|1994000000||19406000000|2815000000|16591000000|20000000|||1027000000|3785000000|35602000000|8701000000|612000000|2180000000|19000000|0|24477000000|1517000000|17159000000|19000000||17159000000|1512000000|2058000000|19171000000|22958000000|11144000000|1000000|622000000|PARA
2020-12-31|USD|52663000000|13779000000|2984000000|2984000000|1757000000|7017000000|37524000000|1975000000||19438000000|2826000000|16612000000|536000000|536000000||769000000|3657000000|37292000000|8296000000|571000000|2098000000|16000000|0|26577000000|10000000|19610000000|16000000||19610000000|1391000000|2158000000|15371000000|22958000000|10375000000|1000000|617000000|PARA
2020-09-30|USD|51425000000|13157000000|3086000000|3118000000|1869000000|6946000000|36123000000|1994000000||19827000000|2832000000|16995000000|32000000||32000000|1256000000|4020000000|36869000000|7763000000|436000000|1589000000|18000000|0|26825000000|1769000000|19103000000|18000000||19103000000|1609000000|2226000000|14556000000|22958000000|9704000000|1000000|616000000|PARA
