fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|3492530000|1977905000|325757000|325757000|1331000|30917000|717136000|509398000|537982000|99072000|47183000|51889000|1765408000|||1619900000|30708000|2027878000|1659683000|35044000|284512000||40248000|368195000|80784000||||80784000|1555506000|53936000|1464652000|1029165000|1795476000|629000|55885000|PAYC
2024-06-30|USD|4312744000|2846321000|346456000|346456000|1415000|20034000|738467000|531884000|501813000|100048000|48159000|51889000|2649615000|||2478416000|106535000|2886213000|2526883000|14997000|284720000||10281000|359330000||||||2470173000|112189000|1426531000|984598000|1743608000|629000|56151000|PAYC
2024-03-31|USD|4733264000|3296326000|371325000|371325000|1807000|19997000|724003000|520182000|468352000|101025000|49136000|51889000|3099316000|||2903197000|102796000|3295201000|2942312000|20969000|274078000||17282000|352889000||||||2876457000|110000000|1438063000|894078000|1697191000|627000|56557000|PAYC
2023-12-31|USD|4197539000|2813426000|294025000|294025000|1383000|34833000|777603000|498197000|437291000|102001000|50112000|51889000|2621391000|||2483185000|29881000|2894503000|2534643000|13875000|260938000||169880000|359860000|75900000||||75949000|2497956000|51740000|1303036000|891026000|1469981000|627000|56528000|PAYC
2023-09-30|USD|3856101000|2562966000|484028000|484028000|836000|26318000|647524000|468282000|408947000|102977000|51088000|51889000|2383374000|||2062554000|76265000|2434792000|2069910000|6889000|256636000||138648000|364882000||29000000||29000000|29000000|1901643000|84829000|1421309000|675519000|1410659000|627000|57700000|PAYC
2023-06-30|USD|3951341000|2708194000|536545000|536545000|874000|18131000|619396000|444992000|381798000|103953000|52064000|51889000|2539037000|||2154582000|70451000|2544656000|2186727000|8485000|248466000||150745000|357929000||29000000||29000000|29000000|2006154000|83083000|1406685000|598972000|1358059000|626000|57949000|PAYC
2023-03-31|USD|4241622000|3054691000|505590000|505590000|887000|17802000|584726000|421017000|355512000|104929000|53040000|51889000|2893368000|||2530412000|58780000|2907151000|2565098000|10036000|241604000|||342053000||29000000||29000000|29000000|2534557000|73095000|1334471000|588531000|1316264000|625000|57872000|PAYC
2022-12-31|USD|3902513000|2764172000|400730000|400730000|1607000|28426000|610143000|402448000|331340000|105906000|54017000|51889000|2603705000|||2338992000|62013000|2719906000|2377037000|16054000|234832000||14986000|342869000||29000000|0|29000000|29000000|2326172000|75245000|1182607000|587905000|1196968000|625000|57867000|PAYC
2022-09-30|USD|3314570000|2228362000|317163000|317163000|1471000|30064000|549266000|383860000|307400000|106882000|54993000|51889000|2066278000|||1879664000|58524000|2238190000|1897755000|10211000|228022000|||340435000||29000000||29000000|29000000|1867998000|77602000|1076380000|587751000|1117017000|625000|57867000|PAYC
2022-06-30|USD|4891703000|3847992000|279039000|279039000|1647000|20298000|531754000|374940000|284816000|107858000|55969000|51889000|3702220000|||3547008000|48956000|3897564000|3568472000|13475000|217760000|||329092000||29000000||29000000|29000000|3537077000|73850000|994139000|587527000|1064864000|625000|57864000|PAYC
2022-03-31|USD|5444574000|4434296000|360594000|360594000|732000|17945000|516748000|362505000|263278000|108888000|56999000|51889000|4304957000|||4055025000|45355000|4435554000|4112531000|12192000|209632000|1775000|1775000|323023000||28720000|1775000|26945000|28720000|4081429000|73628000|1009020000|488300000|1007509000|623000|58015000|PAYC
2021-12-31|USD|3215145000|2252038000|277978000|277978000|1131000|25903000|531096000|348953000|242652000|109917000|58028000|51889000|2124551000|||1947026000|42385000|2321431000|1990410000|5772000|202852000|1775000|1775000|331021000||29155000|1775000|27380000|29155000|1966586000|72988000|893714000|488082000|915579000|623000|58012000|PAYC
2021-09-30|USD|4218038000|3313182000|230926000|230926000|866000|23215000|474095000|329296000|224713000|110946000|59057000|51889000||||3058175000|33853000|3392697000|3086273000|9441000|195754000|1775000|1775000|306424000||29590000|1775000|27815000|29590000|3058882000|71679000|825341000|483652000|866892000|622000|57997000|PAYC
2021-06-30|USD|3233087000|2356522000|202362000|202362000|882000|27902000|465865000|320997000|208424000|111976000|60087000|51889000||||2125376000|32892000|2440831000|2145208000|9220000|184916000|1775000|1775000|295623000||30025000|1775000|28250000|30025000|2119267000|70778000|792256000|454857000|836513000|621000|57918000|PAYC
2021-03-31|USD|3406773000|2624207000|215093000|215093000|1088000|19792000|387699000|301579000|192786000|51889000||51889000||||2388234000|34231000|2661297000|2425574000|12133000|177986000|1775000|1775000|235723000||30459000|1775000|28684000|30459000|2397475000|16901000|745476000|422879000|784235000|618000|57741000|PAYC
2020-12-31|USD|2607912000|1864605000|151710000|151710000|1151000|19577000|372280000|285218000|178111000|52208000|319000|51889000||||1692167000|34524000|1952269000|1718030000|6787000|173652000|1775000|1775000|234239000||30894000|1775000|29119000|30894000|1695901000|19263000|655643000|422502000|719619000|618000|57739000|PAYC
2020-09-30|USD|2485199000|1778316000|156398000|156398000|924000|21635000|364820000|275624000|163865000|52262000|373000|51889000||||1599359000|36934000|1852800000|1627801000|9237000|170774000|1775000|1775000|224999000||31329000|1775000|29554000|31329000|1602902000|21524000|632399000|385790000|695252000|616000|57605000|PAYC
2020-06-30|USD|1921500000|1240058000|113518000|113518000|1376000|13619000|353488000|266831000|150135000|52315000|426000|51889000||||1111545000|34342000|1335647000|1117251000|3667000|161774000|1775000|1775000|218396000||31764000|1775000|29989000|31764000|1099536000|21257000|585853000|382941000|667770000|616000|57588000|PAYC
2020-03-31|USD|2309725000|1651561000|181827000|181827000|930000|8059000|341875000|254423000|137114000|52368000|479000|51889000||||1460745000|35084000|1709937000|1497915000|5694000|156910000|1775000|1775000|212022000||32198000|1775000|30423000|32198000|1478786000|22195000|599788000|315820000|639181000|614000|57622000|PAYC
2019-12-31|USD|2486917000|1871100000|133667000|133667000|1158000|13318000|351326000|238458000|124950000|52432000|532000|51889000||||1722957000|33336000|1960289000|1753522000|5051000|152488000|12075000|1775000|206767000||32633000|1775000|30858000|32633000|1735591000|19553000|526628000|307652000|576166000|613000|57660000|PAYC
2019-09-30|USD|1592027000|1012975000|108127000|108127000|700000|12121000|332155000|224035000|113437000|52475000|586000|51889000||||892027000|30345000|1117129000|918478000|4693000|146730000|11375000|1775000|198651000||33068000|1775000|31293000|33068000|901376000|18706000|474898000|307353000|530786000|612000|57657000|PAYC
2019-06-30|USD|1826192000|1287986000|94814000|94814000|767000|13465000|305115000|196371000|102521000|52539000|639000|51900000||||1178940000|30705000|1391430000|1201278000|3622000|140008000|11075000|1775000|190152000||33502000|1775000|31727000|33502000|1185799000|18861000|434762000|303553000|491634000|612000|57629000|PAYC
2019-03-31|USD|2062828000|1549484000|91307000|91307000|910000|3835000|266901000|187511000|92247000|52581000|692000|51889000||||1453432000|26809000|1664275000|1483710000|4081000|67511000|1775000|1775000|180565000||33954000|1775000|32179000|33954000|1468182000|16619000|398553000|284793000|442872000|609000|57447346|PAYC
2018-12-31|USD|1521926000|1064622000|45718000|45718000|797000|7376000|231845000|176962000|82969000|52634000|745000|51889000||||1010731000|2994000|1187173000|1028682000|6288000|129302000|1775000|1775000|158491000||34389000|1775000|32614000|34389000|1011639000||334753000|265124000|395590000|607000|57276992|PAYC
2018-09-30|USD|1468186000|1037534000|85048000|85048000|574000|8669000|223330000|168397000|74275000|52687000|798000|51889000|776000|679000||943243000||1107809000|958149000|6173000|60814000|1775000|1775000|149660000||34824000|1775000|33049000|34824000|941792000||360377000|202660000|364176000|606000|57730356|PAYC
2018-06-30|USD|1418965000|1002032000|54630000|54630000|477000|8016000|220155000|165370000|66200000|52741000|852000|51889000|492000|435000||938909000||1089227000|947056000|4995000|57189000|1775000|1775000|142171000||35261000|1775000|33486000|35261000|932419000||329738000|199563000|335407000|606000|57701124|PAYC
2018-03-31|USD|1608130000|1205019000|68121000|68121000|420000|5384000|214531000|159561000|59540000|52794000|905000|51889000|168000|155000||1131094000||1275097000|1141342000|3421000|53777000|1331000|1331000|133755000||35266000|1331000|33935000|35266000|1129232000||333033000|156558000|299685000|604000|57916718|PAYC
2017-12-31|USD|1550138000|1176265000|46077000|46077000|979000|8623000|205302000|147705000|53525000|52847000|958000|51889000||||1094183000||1268891000|1140152000|6490000|51624000|888000|888000|128739000||35302000|888000|34414000|35302000|1125792000||281247000|139688000|258525000|601000|57788573|PAYC
2017-09-30|USD|1069936000|876490000|66610000|66610000|750000|10691000|188006000|133765000|48376000|52900000|1011000|51889000||||798439000||912671000|837612000|2505000|48367000|1152000|1152000|75059000||34370000|1152000|33218000|34370000|827429000||157265000|97454000|124350000|599000|58131606|PAYC
2017-06-30|USD|1045943000|866739000|68117000|68117000|520000|5350000|171237000|116957000|43706000|52954000|1065000|51889000||||792752000||900895000|828452000|3439000|45004000|1139000|1139000|72443000||34618000|1139000|33479000|34618000|817834000||145048000|80117000|110283000|595000|57938217|PAYC
