fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|17363763000|1613327000|1613327000|1613327000|12665813000||14620053000|253100000|286800000|115233000|46303000|68930000|6473896000|215416000|629582000|3343999999||5241799000|112639000||512580000|112639000|112639000|443566000|109021000|31100000|||143739000|1419249005|633948000|12121964000||8694551000|2029000|202912881|PHM
2024-09-30|USD|16955093000|1397664000|1397664000|1397664000|12666846000||14174602000|||117732000|48802000|68930000|6234704000|213022000|556664000|82386000||5390880000|3290136000||597820000||21043000|2100744000||1617089000|524093000||1617089000|1966610000||11564213000||8149776000|2053999|206774000|PHM
2024-06-30|USD|16544069000|1392902000|1392902000|1392902000|12323860000||13780636000|||120230000|51300000|68930000|6186324000|210246000|569387000|1576430999||5321246000|3218477000||654400000||554936000|2102769000||1643308000|524042000||1643308000|322086000||11222823000||7817417000|2079000|209547000|PHM
2024-03-31|USD|16496230000|1719562000|1719562000|1719562000|12132050000||13717259000|||122728000|53798000|68930000|6077746000|204117000|570839000|617366000||5734277000|3243088000||698775000||1956854|2491189000||1949161000|||1949161000|1632462000||10761953000||7367647000|2107000|211837000|PHM
2023-12-31|USD|16087050000|1806583000|1806583000|1806583000|11795370000||13589547000|221500000|264400000|125268000|56338000|68930000|5976966000|166913000|516064000|1015669000||5703793000|117212000||675091000|117212000|117212000|302155000|91554000|73500000|||190712000|1690204000|920100000|10383257000||7012724000|2126000|212557522|PHM
2023-09-30|USD|15717263000|1848451000|1848451000|1848451000|11585447000||13043421000|69900000||127890000|58960000|68930000|5701387000|162287000|414360000|86226000||5704762000|2966625000||769893000||1981315|2738137000||1972850000|||1972850000|1627189685||10012501000||6649281000|2161000|218288000|PHM
2023-06-30|USD|15225916000|1728713000|1728713000|1728713000|11335048000||12862545000|73000000||130513000|61583000|68930000|5504479000|151295000|432481000|83391000||5520891000|2876678000||797249000||2033193|2644213000||2024211000|||2024211000|1533976807|1112832000|9705025000||6348508000|2199000|222160000|PHM
2023-03-31|USD|14831042000|1278025000|1278025000|1278025000|11431877000||12977886000|72900000||133135000|64205000|68930000|5505005000|144664000|420638000|96865000||5567233000|2960545000||796384000||2041637|2606688000||2032296000|||2032296000|1673362363|1120831000|9263809000||5916569000|2235000|225127000|PHM
2022-12-31|USD|14796515000|1053104000|1053104000|1053104000|11326017000||13366824000|200300000|242300000|204735000|66875000|68930000|5296971000|146759000|677207000|785982000||5882417000|87578000||783556000|87578000|87578000|215446000|90083000|77300000|||164878000|1075729000|1370267000|8914098000||5581702000|2258000|225840443|PHM
2022-09-30|USD|14211844000|231301000|231301000|231301000|11773077000||13424321000|69300000||138571000|138571000||4882507000|158085000|3183000|97094000||6047841000|3166343000||979528000||2045167|2881498000||2354106000|||2354106000|1585412833|1317718000|8164003000||4835931000|2282000|230967000|PHM
2022-06-30|USD|13700336000|662780000|662780000|662780000|10762216000||12583699000|70800000||141337000|141337000||4213906000|150496000|553789000|80739000||5955120000|2666438000||1027938000||442816000|2640773000||2462507000|||2462507000|3651000||7745216000||4423740000|2326000|236328000|PHM
2022-03-31|USD|13164240000|1145007000|1145007000|1145007000|9869889000||11546468000|69000000||144102000|144102000||4281239000|106058000|510275000|-420050000||5750976000|3153204000||998936000||2030108|2597772000||2415466000|||2415466000|1523417892|998936000|7413264000||4100976000|2396000|245796000|PHM
2021-12-31|USD|13352631000|1779088000|1779088000|1779088000|9047569000||11340206000|149200000|228500000|146923000|146923000|68900000|4198893000|98155000|947139000|-298781000||5863116000|87462000||844785000|87462000|87462000|165519000|92663000|63900000|||151362000|1103221000|844785000|7489515000||4196276000|2493000|249325873|PHM
2021-09-30|USD|12571851000|1568324000|1568324000|1568324000|8917440000||10554650000|78000000||149854000|149854000||3932580000|64284000|601408000|-526496000||5430099000|2771767000||823545000||2059923|2658332000||2524925000|||2524925000|1455445077|823545000|7141752000||3853982000|2550000|258147000|PHM
2021-06-30|USD|12082020000|1663270000|1663270000|1663270000|8378951000||9891588000|80400000||153464000|153464000||3869617000|44800000|581150000|-484724000||5123552000|2609072000||730995000||2046334|2514480000||2387099000|||2387099000|1434204666|730995000|6958468000||3675184000|2600000|262099000|PHM
2021-03-31|USD|11445741000|1579586000|1579586000|1579586000|7975211000||9355157000|69000000||158432000|158432000||3985791000|39558000|495049000|-398785000||4760467000|2346827000||589634000||2031937|110884000||2290534000|||2290534000|1350597063|589634000|6685274000||3408604000|2636000|265407000|PHM
2020-12-31|USD|12205498000|2582205000|2582205000|2582205000|7721798000||9324827000|131700000|228800000|163425000|163425000|68900000|4189728000|35562000|564979000|-66651000||5635509000|84505000||449500000|84505000|84505000|103548000|91365000|3150373000|11969000||3234878000|1395074000|449474000|6569989000||3306057000|2665000|266464063|PHM
