fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|5768097000|5351962000|768710000|4564659000||668110000|435622000|40345000|120088000|19487000|19487000||7583598000||3795949000|119193000|164220000|1176735000|943456000|27021000|859533000||95274000|229598000|254915000||||254915000|552601000|14495000|4498143000||-5266432000|2270000|2269809000|PLTR
2024-06-30|USD|5191880000|4773510000|512659000|3998459000||659339000|439844000|43483000|111888000|21474000|21474000||6962967000||3485800000|115712000|161434000|1054074000|806919000|67345000|811190000||88250000|245628000|258459000||||258459000|332454000|15645000|4050524000||-5409957000|2238000|2237939000|PLTR
2024-03-31|USD|4807079000|4436064000|520388000|3867900000||487000000|394508000|46906000|107716000|23493000|23493000||6686311000||3347512000|81178000|150402000|945907000|750553000|35634000|735117000||-400773000|193703000|217069000||||217069000|172020000|9968000|3775227000||-5544083000|2227000|2226963000|PLTR
2023-12-31|USD|4522425000|4138618000|831047000|3674179000||364784000|409709000|47758000|102158000|25902000|25902000||5678072000||2843132000|99655000|153186000|961460000|746018000|12122000|761248000||108352000|213965000|229392000||||229392000|331386000|10702000|3475561000||-5649613000|2200000|2200128000|PLTR
2023-09-30|USD|4193417000|3809397000|1040310000|3283574000|1|430300000|412332000|50133000|95548000|28312000|28312000||4618408000||2243264000|95554000|143696000|921520000|688925000|9475000|747987000||52204000|230361000|236271000||||236271000|174753000|11414000|3190015000||-5743004000|2174000|2175241000|PLTR
2023-06-30|USD|3980264000|3576914000|1055923000|3103252000||375756000|434071000|54097000|90431000|30721000|30721000||4078144000||2047329000|97906000|149592000|945126000|685384000|4613000|808543000||51855000|256643000|245989000||||245989000|184617000|12101000|2955474000||-5814509000|2149000|2149980000|PLTR
2023-03-31|USD|3683138000|3256147000|1264738000|2904535000|11946000|254000000|460121000|63115000|85527000|33130000|33130000||3462313000||1639797000|85625000|141762000|879945000|601413000|4530000|711851000||53066000|274370000|259488000||||259488000|174525000|13548000|2723733000||-5842636000|2117000|2117730000|PLTR
2022-12-31|USD|3461239000|3041577000|2598540000|2633675000|16244000|258346000|493139000|69170000|82412000|73477000|35539000|37938000|35135000||35135000|133312000|150252000|818802000|587941000|44788000|532515000||45099000|226925000|249404000||||249404000|172715000|12655000|2565326000||-5859438000|2099000|2099075000|PLTR
2022-09-30|USD|3318835000|2946610000|2411290000|2468632000||343300000|372225000|57822000|74677000||||57342000||57342000|134714000|94142000|932220000|688350000|59507000|681954000||40233000|238337000|245136000||||245136000|164697000|2051000|2386615000||-5890316000|2080000|2079664000|PLTR
2022-06-30|USD|3282338000|2902439000|2358393000|2457603000|1|265826000|379899000|47644000|71385000||||99210000||99210000|150885000|92198000|933514000|665742000|56798000|683584000||40909000|252360000|256968000||||256968000|187568000|2158000|2348824000||-5766441000|2063000|2062741000|PLTR
2022-03-31|USD|3319179000|2927374000|2269411000|2521974000||256554000|391805000|41866000|69745000||||252563000||252563000|148846000|95829000|954433000|669104000|27454000|758665000||40045000|263053000|267662000||||267662000|150176000|2192000|2364746000||-5587112000|2046000|2045876000|PLTR
2021-12-31|USD|3247450000|2863250000|2290674000|2524827000|36628000|190923000|384200000|31304000|69930000|5705000|3836000|1869000|234153000||234153000|110872000|96386000|956420000|660061000|74907000|731333000||39927000|262660000|260073000|||0|260073000|155806000|2297000|2291030000||-5485733000|2027000|2027474000|PLTR
2021-09-30|USD|3224327000|2811490000|2335068000|2483145000|41316000|174405000|412837000|28778000|92214000||||148077000||148077000|112624000|116422000|976271000|681509000|17654000|745123000||43581000|252028000|263227000||||263227000|179467000|5659000|2248056000||-5329545000|1991000|1991118000|PLTR
2021-06-30|USD|3075668000|2662552000|2341156000|2341156000|36750000|242998000|413116000|24824000|89943000|||||||41648000|117135000|1006705000|682586000|30914000|790529000||33162000|261387000|249792000||||249792000|166252000|4239000|2068963000||-5227408000|1937000|1936578000|PLTR
2021-03-31|USD|3014185000|2589698000|2339437000|2339437000|37106000|151400000|424487000|27378000|91570000|||||||61755000|111845000|1208242000|667626000|17234000|783896000||32110000|469848000|254539000|198185000||198185000|198185000|181603000|4236000|1805943000||-5088828000|1860000|1860607000|PLTR
2020-12-31|USD|2690504000|2257429000|2011323000|2011323000|37285000|156932000|433075000|29541000|88399000|||||||51889000|106921000|1167954000|603823000|16358000|771923000||29079000|482618000|258879000|397977000||197977000|397977000|158546000|4316000|1522550000|0|-4965354000|1792000|1792139544|PLTR
2020-09-30|USD|2603712000|2394424000|1800190000|1800190000|43800000|162269000|209288000|29369000|92964000|||||||388165000|93576000|1351959000|942187000|22221000|71000000|||307541000||197753000||197753000|197753000|466999000|42724000|1251753000||-4817011000|1727000|1726685755|PLTR
