fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|21858000000|7913000000|1251000000|1322000000|2263000000|3653000000|13945000000|3611000000|4854000000|8283000000|2203000000|6080000000||300000000|71000000|438000000|580000000|13886000000|4996000000|||339000000|3000000|8890000000|792000000|6466000000|336000000|6138000000|6469000000|119000000|638000000|7788000000|14091000000|22432000000|969000000|233300000|PPG
2024-06-30|USD|21729000000|7784000000|1131000000|1192000000|2299000000|3845000000|13945000000|3636000000|4996000000|8313000000|2266000000|6047000000||295000000|61000000|448000000|570000000|13784000000|5225000000|||639000000|15000000|8559000000|798000000|6381000000|624000000|5765000000|6396000000|367000000|658000000|7767000000|13897000000|22123000000|969000000|234500000|PPG
2024-03-31|USD|21867000000|7671000000|1181000000|1235000000|2331000000|3581000000|14196000000|3633000000|4995000000|8539000000|2399000000|6140000000||275000000|54000000|524000000|601000000|13741000000|4943000000|||311000000|9000000|8798000000|792000000|6234000000|302000000|5940000000|6243000000|137000000|648000000|7941000000|13746000000|21747000000|969000000|235600000|PPG
2023-12-31|USD|21647000000|7431000000|1514000000|1589000000|2127000000|3279000000|14230000000|3644000000|4963000000|8624000000|2424000000|6200000000|141000000|259000000|75000000|436000000|584000000|13624000000|5054000000|2612000000||306000000|4000000|8872000000|6000000|6042000000|302000000|5748000000|6046000000|663000000|654000000|7832000000|13600000000|21500000000|969000000|235210854|PPG
2023-09-30|USD|21501000000|7552000000|1218000000|1282000000|2217000000|3612000000|13949000000|3406000000|4815000000|8597000000|2416000000|6181000000||264000000|64000000|441000000|628000000|13566000000|5100000000|||606000000|4000000|8466000000|811000000|6189000000|602000000|5596000000|6193000000|4305000000|652000000|7751000000|13502000000|21563000000|969000000|236200000|PPG
2023-06-30|USD|22216000000|8068000000|1228000000|1296000000|2506000000|3821000000|14148000000|3418000000|4841000000|8787000000|2493000000|6294000000||262000000|68000000|445000000|602000000|14424000000|5416000000|||809000000|7000000|9008000000|188000000|6892000000|802000000|6099000000|6899000000|4419000000|657000000|7614000000|13512000000|21290000000|969000000|236000000|PPG
2023-03-31|USD|22099000000|8193000000|1426000000|1482000000|2599000000|3595000000|13906000000|3355000000|4756000000|8605000000|2442000000|6163000000||255000000|56000000|517000000|603000000|14846000000|4868000000|||209000000|206000000|9978000000|185000000|7075000000|3000000|7082000000|7281000000|312000000|645000000|7142000000|13515000000|20946000000|969000000|235800000|PPG
2022-12-31|USD|20744000000|7173000000|1099000000|1154000000|2272000000|3303000000|13586000000|3328000000|4649000000|8492000000|2414000000|6078000000|134000000|244000000|55000000|444000000|583000000|14035000000|4721000000|2538000000||313000000|10000000|9617000000|7000000|6796000000|303000000|6503000000|6806000000|1310000000|632000000|6592000000|13525000000|20828000000|969000000|235073926|PPG
2022-09-30|USD|20868000000|7490000000|1029000000|1089000000|2411000000|3541000000|13378000000|3140000000|4435000000|8236000000|2352000000|5884000000||253000000|60000000|449000000|752000000|14724000000|4926000000|||314000000|13000000|9798000000|178000000|6770000000|301000000|6478000000|6783000000|4434000000|692000000|6034000000|13527000000|20736000000|969000000|235500000|PPG
2022-06-30|USD|21572000000|7756000000|931000000|992000000|2481000000|3818000000|13816000000|3214000000|4503000000|8568000000|2449000000|6119000000||250000000|61000000|465000000|740000000|15281000000|5165000000|||325000000|21000000|10116000000|824000000|7059000000|304000000|6766000000|7080000000|155000000|671000000|6182000000|13528000000|20552000000|969000000|236400000|PPG
