fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|12426579000|51086000|110009000|16734000|||740816000|7888000||409268000|242529000|166739000|51691000|439104000|93275000|4822000||5482382000|419055000||||32776000|372627000|617734000|4395007000|30000000||4395007000|-2776000|80586000|6767466000|27638000|-1935358000|1815000|181502569|REG
2024-06-30|USD|12384180000|54341000|73814000|79923000|-16293000||753427000|6711000||423701000|256639000|167062000|50656000|428747000|16293000|32119000||5421010000|357232000||||58160000|380505000|623823000|4365390000|||4365390000|17200000|74565000|6795728000|27234000|-1911741000|1815000|181493494|REG
2024-03-31|USD|12650903000|56937000|224700000|230101000|-16711000||766364000|6424000||433893000|266831000|167062000|140587000|509296000|16711000|38973000||5472884000|374641000||||391569000|389908000|635143000|4417181000|30000000||4417181000|-328741000|75919000|7019711000|26321000|-1889037000|1848000|184774486|REG
2023-12-31|USD|12426913000|40635000|84971000|84971000|322777000||1155706000|6662000||450437000|283375000|167062000|51992000|370605000|14213000|25261000||5234978000|510612000||||395978000|398302000|246063000|4153949000|152000000||4153949000|-41954000|476354000|7032687000|25488000|-1871603000|1846000|184581070|REG
2023-09-30|USD|12381414000|54476000|74360000|81070000|-21327999||769101000|4871000||462409000|295347000|167062000|48304000|382300000|21328000|-280509000||5149887000|437102000||||77000000|396423000|242394000|4069093000|77000000||4069093000|4154000|478298000|7060914000|25081000|-1834298000|1846000|178231000|REG
2023-06-30|USD|10827945000|49287000|39849000|43108000|-5915000||654580000|4953000||345911000|178849000|167062000|49616000|342439000|5915000|-249161000||4684159000|317894000||||35082000|336636000|243462000|3709074000|||3709074000|35082000|413729000|6040213000|24676000|-1803406000|1710000|171275000|REG
2023-03-31|USD|10805680000|41363000|65188000|68143000|-4907000||634444000|5044000||355698000|188636000|167062000|53967000|9748127000|4907000|-249722000||4666245000|319297000||||30000000|346939000|212582000|3741784000|30000000||3741784000|38608000|559521000|6057321000|25699000|-1779043000|1710000|171494000|REG
2022-12-31|USD|10860220000|28615000|66466000|68776000|-6575000||996505000|5808000||364807000|197745000|167062000|54581000|350377000|6575001|-257639000||4682181000|317259000||||4294680000|354204000|213722000|3726754000|||3726754000|-4364922000|424446000|6096985000|24461000|-1764977000|1711000|171586000|REG
2022-09-30|USD|10898837000|37023000|151232000|151232000|-7146000||986828000|5732000||371192000|204097000|167095000|52977000|332248000|7146000|6106000||4700097000|328285000||||2738000|350531000|215100000|3729404000|||3729404000|2738000|565631000|6115883000|24061000|-1749013000|1711000|171525000|REG
2022-06-30|USD|10901815000|29967000|118062000|118062000|-3949999||996500000|6101000||381359000|214264000|167095000|55185000|330887000|3950000|5482000||4695680000|322409000||||4309761000|357581000|214800000|3737380000|||3737380000|-4373271000|572381000|6125033000|23882000|-1729645000|1711000|172424000|REG
