fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|7080900000|3900300000|1940200000|2143200000|998600000|457400000|2891900000|825200000|2562100000|942200000|66000000|876200000|261400000|1500000|203000000|323300000|90700000|4541700000|2221800000|489500000|22600000|418600000|0|2421200000|239100000|1142100000|399500000|742600000|1142100000|996100000|110600000|2539200000|7657600000|7511800000|1300000|62500000|RL
2024-09-30|USD|6800000000|3604600000|1355000000|1689700000|1127900000|542100000|2926100000|832100000|2576600000|969900000|69300000|900600000|349200000|7800000|334700000|269100000|98400000|4357700000|2092400000|495700000|15800000|419300000|0|2376500000|246000000|1141500000|399300000|742200000|1141500000|895700000|124300000|2442300000|7582500000|7265400000|1300000|62600000|RL
2024-06-30|USD|6641000000|3447900000|1586900000|1760500000|1039100000|394700000|2970300000|826000000|2486100000|955100000|72500000|882600000|215400000|7900000|173600000|161300000|126100000|4274000000|1573600000|477800000|18400000|19100000|0|2798700000|249900000|1141100000||1141100000|2682200000|801500000|107800000|2367000000|7453000000|7168700000|1300000|63200000|RL
2024-03-31|USD|6602600000|3359800000|1662200000|1783200000|902200000|473700000|3215200000|850400000|2452400000|963800000|75700000|888100000|36400000|7500000|121000000|110600000|125700000|4152300000|1467200000|332200000|17400000|19200000|0|2791700000|256100000|1140500000|0|1140500000|1140500000|809700000|113600000|2450300000|7250300000|7051600000|1300000|64300000|RL
2023-12-31|USD|7004500000|3639400000|1803600000|1917400000|1055000000|432700000|3095300000|874300000|2459800000|978900000|79000000|899900000|136800000|10600000|113800000|139500000|130100000|4432600000|1678200000|411800000|23400000|18500000|0|2862100000|263500000|1140000000||1140000000|2756100000|905100000|121000000|2571900000|7128100000|7008400000|1300000|65000000|RL
2023-09-30|USD|6723100000|3394500000|1381800000|1466900000|1195000000|488300000|3119700000|875600000|2376100000|965200000|82200000|883000000|55000000|9700000|85100000|59900000|136900000|4353900000|1610400000|460100000|15100000|18600000|0|2843000000|266900000|1139500000||1139500000|2774900000|823100000|115200000|2369200000|7024000000|6779700000|1300000|65600000|RL
2023-06-30|USD|6868400000|3473100000|1607200000|1680300000|1188000000|378800000|3180400000|930000000|2365700000|978000000|85500000|892500000|34100000|10600000|73100000|16700000|122700000|4427400000|1593700000|448400000|18200000|19500000|0|2934100000|307300000|1139000000||1139000000|2839500000|809000000|113200000|2441000000|6854500000|6681300000|1300000|65900000|RL
2023-03-31|USD|6789500000|3324100000|1529300000|1565700000|1071300000|478400000|3266000000|955500000|2334500000|987800000|88900000|898900000|40000000|10600000|36400000|188700000|133000000|4359000000|1493500000|371600000|14100000|20300000|0|2959200000|315300000|1138500000|0|1138500000|1138500000|795500000|100900000|2430500000|6797300000|6598200000|1300000|66200000|RL
2022-12-31|USD|7039900000|3631300000|1566100000|1697500000|1238000000|462100000|3201100000|947500000|2324000000|982700000|92300000|890400000|53900000|10500000|131400000|220900000|135000000|4572100000|1749600000|468000000|22000000|19900000|0|2920200000|320900000|1138000000|0|1138000000|1138000000|898500000|111500000|2467800000|6754500000|6615100000|1300000|66500000|RL
2022-09-30|USD|6733600000|3440600000|1107100000|1416700000|1261000000||3293000000|899100000|2237200000|961100000|95600000|865500000||12000000|309600000|13700000|173100000|4478000000|1709600000|498000000|17300000||263800000|2768400000|323800000|1137500000|0|1137500000|1137500000|877100000|110200000|2255600000|6726000000|6448100000|1300000|68000000|RL
2022-06-30|USD|6951100000|3577500000|1456800000|1776900000|1178000000||3373600000|931400000|2244000000|985500000|99000000|886500000||12000000|320100000|271999999|139300000|4587000000|1745400000|562100000|19600000||265800000|2841600000|331900000|1137000000|0|1137000000|1137000000|886000000|111400000|2364100000|6543400000|6347300000|1300000|70100000|RL
2022-03-31|USD|7724700000|4217300000|1863800000|2598400000|977300000|446800000|3239100000|969500000|2249100000|1011600000|102900000|908700000|32200000|12000000|734600000|12300000|111200000|5188700000|2255700000|448700000|16600000|519600000|0|3052400000|341600000|1636300000|499800000|1136500000|1636300000|991400000|131900000|2536000000|6308700000|6274900000|1300000|70900000|RL
2021-12-31|USD|8135600000|4567300000|2276800000|2987000000|929100000|459300000|3263700000|965400000|2306500000|1027600000|107600000|920000000|25600000||710200000|18400000|104100000|5412700000|2429600000|472800000|15400000|519400000|0|3469800000|350500000|1635400000|499400000|1136000000|1635400000|1073600000|498400000|2722900000|6156500000|6298600000|1300000|73200000|RL
