fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|2819695000|442623000|89630000|89630000|39531000|236382000|2242074000|124839000|382266000|1541402000|341402000|1200000000||||77080000|45153000|1489102000|645162000|49625000|447723000||121319000|902592000|417218000|395310000||395310000|395310000|115658000||1330593000||734650000|484372000|484372303|ROL
2024-09-30|USD|2816198000|486502000|95282000|95282000|39283000|265741000|2324342000|129168000|378768000|1675843000|540721000|1135122000|||8700000|86196000|45179000|1498421000|622068000|58217000|480169000||227454000|914553000|394282000|445176000||445176000|445176000|89882000||1317777000||709119000|484306000|484305525|ROL
2024-06-30|USD|2766502000|474292000|106697000|106697000|37925000|245142000|2287774000|129115000|372839000|1662194000|545979000|1116215000|||9100000|84528000|44385000|1530444000|609950000|54075000|467789000||211810000|957694000|373544000|502043000||502043000|502043000|96428000||1236058000||645026000|484314000|484313840|ROL
2024-03-31|USD|2658619000|424353000|112971000|112971000|35698000|212971000|2229924000|127116000|366779000|1644531000|549390000|1095141000|||9400000|62713000|41940000|1491123000|591936000|40038000|445888000||194788000|936087000|344008000|510909000||510909000|510909000|137451000||1167496000||588207000|484230000|484230396|ROL
2023-12-31|USD|2595460000|406639000|103825000|103825000|33383000|215239000|1998968000|126661000|360421000|1616044000|545734000|1100000000|||1000000|54192000|46817000|1439893000|576689000|49200000|420139000||184406000|919762000|325572000|490776000|0|490776000|490776000|101744000||1155567000||566402000|484080000|484080014|ROL
2023-09-30|USD|2639957000|476790000|142247000|142247000|33223000|236644000|2159350000|124381000|353394000|1613864000|559899000|1053965000|||900000|64676000|49223000|1537114000|581696000|44421000|440542000||88668000|992318000|306529000|596642000|0|596642000|596642000|119359000||1102843000||530142000|484038000|484037858|ROL
2023-06-30|USD|2599330000|463983000|154747000|154747000|32685000|214062000|2131425000|123470000|346886000|1609671000|563674000|1045997000||72646000|800000|62489000|46962000|1257105000|575701000|74398000|436527000||86918000|716404000|287119000|337509000|0|337509000|337509000|95368000|343895000|1342225000||757450000|492821000|492820761|ROL
2023-03-31|USD|2138886000|367866000|112503000|112503000|30859000|189025000|1767479000|124117000|339885000|1268049000|415249000|852800000||62962000|9600000|35479000|41352000|851134000|467356000|39073000|396318000||83981000|414378000|278841000|62432000|0|62432000|62432000|68161000|321346000|1287752000||711250000|492787000|492787005|ROL
2022-12-31|USD|2122028000|348619000|95346000|95346000|29745000|189377000|1620683000|128046000|333298000|1265452000|418748000|846700000||63523000|500000|34151000|39033000|854831000|493784000|42796000|375986000|15000000|99543000|390947000|281431000|54898000|15000000|39898000|54898000|54568000|321149000|1267197000||687069000|492448000|492447997|ROL
2022-09-30|USD|2112483000|398956000|121876000|121876000|28572000|202527000|1710406000|130362000|330173000|1215530000|443205000|772325000||58634000|10600000|45981000|38636000|915932000|509769000|42874000|392731000|15000000|97611000|435663000|274176000|124878000|15000000|109878000|124878000|66300000|296285000|1229683000||633650000|492472000|492472436|ROL
