fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|466055000000|34850000000|34850000000|34850000000|||19824000000|3340000000||19824000000|7873000000|11951000000|241191000000|231352000000|90018000000|||418840000000|31155000000|||18686000000|18686000000|22442000000|55000000|34216000000|33193000000|22387000000|52902000000|-122357000000||47215000000|11230000000|36303000000|21000000|1829000000|SCHW
2024-06-30|USD|449675000000|25350000000|25350000000|25350000000|||19954000000|3436000000||19954000000|8003000000|11951000000|248150000000|236918000000|14339000000|-112525000000||405722000000|24367000000|||18992000000|18992000000|22449000000|61000000|34223000000|34396000000|22388000000|53215000000|-89974000000||43953000000|11251000000|35458000000|21000000|1828000000|SCHW
2024-03-31|USD|468784000000|31752000000|31752000000|31752000000|||20082000000|3584000000||20082000000|8131000000|11951000000|259327000000|249024000000|17620000000|-120541000000||426372000000|21881000000|||16105000000|16105000000|22865000000|75000000|34639000000|32405000000|22790000000|50744000000|-72938000000||42412000000|11283000000|34701000000|21000000|1825000000|SCHW
2023-12-31|USD|493178000000|43337000000|43337000000|43337000000|||20925000000|3606000000||20211000000|8260000000|11951000000|271816000000|266719000000|24240000000|-141145000000||452220000000|16853000000|||11456000000|11456000000|26128000000|85000000|52288000000|32953000000|26043000000|63744000000|-95256000000||40958000000|11354000000|33901000000|21000000|1821000000|SCHW
2023-09-30|USD|475204000000|33251000000|33251000000|33251000000|48817000000||24071000000|3730000000||20341000000|8390000000|11951000000|273616000000|265605000000|108499000000|-117879000000||437420000000|20028000000|||14150000000|14150000000|24803000000|45000000|38265000000|39350000000|24758000000|52415000000|-112071000000||37784000000|11398000000|33429000000|21000000|1821000000|SCHW
2023-06-30|USD|511505000000|47651000000|47651000000|47651000000|132491000000||24161000000|3686000000||20475000000|8524000000|11951000000|293446000000|292097000000|125769000000|-132491000000||474358000000|20274000000|||15662000000|15662000000|22482000000|52000000|34944000000|48831000000|22430000000|50606000000|-125795000000|41000000000|37147000000|11420000000|32865000000|21000000|1820000000|SCHW
2023-03-31|USD|535552000000|49162000000|49162000000|49162000000|138466000000||24326000000|3716000000||20610000000|8659000000|11951000000|312343000000|311245000000|141334000000|-138466000000||499205000000|18338000000|||14172000000|14172000000|20016000000|60000000|32478000000|52671000000|19956000000|46650000000|-133153000000|45600000000|36347000000|11455000000|32144000000|21000000|1834000000|SCHW
2022-12-31|USD|551772000000|40195000000|40195000000|40195000000|142680000000||21700000000|3714000000||20740000000|8789000000|11951000000|323780000000|324507000000|147871000000|-142680000000||515164000000|21250000000|||17050000000|17050000000|20828000000|68000000|41621000000|17050000000|20760000000|58671000000|-114488000000||36608000000|8639000000|31066000000|21000000|1864000000|SCHW
2022-09-30|USD|577563000000|46486000000|46486000000|46486000000|||24561000000|3687000000||20874000000|8923000000|11951000000|429698000000|332840000000|236517000000|-46486000000||540522000000|5584000000|||500000000|500000000|20844000000|76000000|30688000000|500000000|20768000000|31188000000|-110012000000||37041000000|6751000000|29651000000|21000000|1887000000|SCHW
2022-06-30|USD|637557000000|64550000000|64550000000|64550000000|||24696000000|3670000000||21026000000|9075000000|11951000000|466389000000|365394000000|265277000000|-64550000000||593044000000|7183000000|||1350000000|1350000000|21112000000|84000000|30956000000|1350000000|21028000000|32306000000|-114880000000||44513000000|5272000000|28174000000|21000000|1896000000|SCHW
2022-03-31|USD|680950000000|91126000000|91126000000|91126000000|||24678000000|3499000000||21179000000|9227000000|11952000000|483191000000|377335000000|272049000000|-91126000000||632852000000|11455000000|||4234000000|4234000000|21873000000|91000000|31717000000|4234000000|21782000000|35951000000|-125307000000||48098000000|5293000000|26895000000|21000000|1894000000|SCHW
2021-12-31|USD|667270000000|62975000000|62975000000|62975000000|-4727000000||22266000000|3442000000||21331000000|9379000000|11952000000|392162000000|393164000000|390054000000|-62975000000||611009000000|12013000000|||4855000000|4855000000|18914000000|94000000|18914000000|4855000000|18820000000|23769000000|-125671000000||56261000000|5338000000|25992000000|21000000|1893000000|SCHW
2021-09-30|USD|607548000000|34323000000|34323000000|34323000000|||24648000000|3164000000||21484000000|9532000000|11952000000|377868000000|376968000000|376968000000|-291912000000||550106000000|12253000000|||3000000000|3000000000|19530000000||19530000000|3000000000|19429000000|22530000000|395300000000||57442000000|5421000000|24880000000|21000000|1888000000|SCHW
2021-06-30|USD|574532000000|30337000000|30337000000|30337000000|||24774000000|3136000000||21638000000|9686000000|11952000000|360712000000|359622000000|359622000000|-282068000000||517082000000|13948000000|||3500000000|3500000000|18708000000||18708000000|3500000000|18601000000|22208000000|-105012000000||57450000000|5450000000|23809000000|20000000|1886000000|SCHW
2021-03-31|USD|563457000000|48182000000|48182000000|48182000000|||24844000000|3054000000||21790000000|9838000000|11952000000|368194000000|342006000000|342006000000|-349765000000||507863000000|10627000000|||2500000000|2500000000|17698000000||17698000000|2500000000|17584000000|20198000000|-101339000000||55594000000|5502000000|23029000000|20000000|1882000000|SCHW
2020-12-31|USD|549009000000|40348000000|40348000000|40348000000|||25763000000|2883000000|2667000000|21943000000|9991000000|11952000000|363135000000|337400000000|337400000000|-261555000000||492949000000|7549000000|||0|0|13632000000||13632000000||13626000000|13632000000|-104201000000||56060000000|5578000000|21975000000|20000000|1848000000|SCHW
2020-09-30|USD|419355000000|27465000000|27465000000|27465000000|||5341000000|2346000000||2995000000|1258000000|1737000000|326590000000|303758000000|303758000000|-246408000000||388024000000|1432000000|||||7836000000|7000000|23605000000||7829000000|23605000000|-52006000000||31331000000|5691000000|21261000000|15000000|1289000000|SCHW
2020-06-30|USD|400484000000|33574000000|33574000000|33574000000|||5325000000|2314000000||3011000000|1278000000|1733000000|302680000000|281216000000|281216000000|58948000000||369669000000|1653000000|||||8526000000||24988000000||8526000000|24988000000|311008000000||30815000000|5710000000|20876000000|15000000|1288000000|SCHW
2020-03-31|USD|370779000000|68458000000|68458000000|68458000000|||3518000000|2291000000||1227000000||1227000000|240860000000|240753000000|221232000000|58570000000||344509000000|1335000000||||277477000000|8522000000||24984000000||8522000000|24984000000|286736000000||26270000000|5734000000|20487000000|15000000|1287000000|SCHW
2019-12-31|USD|294000000000|29345000000|29345000000|29345000000|||4060000000|2128000000|2236000000|1355000000|128000000|1227000000|197496000000|214340000000|61422000000|-22358000000||272260000000|1251000000||||220094000000|7430000000||7430000000||7430000000|7430000000|225630000000||21745000000|5767000000|19960000000|15000000|1284000000|SCHW
2019-09-30|USD|278987000000|20252000000|20252000000|20252000000|||3840000000|2017000000||1227000000||1227000000|197554000000|214069000000|56483000000|-22386000000||257633000000|1471000000||||209327000000|7427000000||14908000000||7427000000|14908000000|214606000000||21354000000|5612000000|19374000000|15000000|1300000000|SCHW
2019-06-30|USD|276321000000|24199000000|24199000000|24199000000|||3737000000|1909000000||1227000000||1227000000|193052000000|210151000000|54648000000|-21891000000||255001000000|1554000000||||208375000000|7424000000||14905000000||7424000000|14905000000|216577000000||21320000000|4866000000|18680000000|15000000|1328000000|SCHW
2019-03-31|USD|282815000000|32558000000|32558000000|32558000000|||3040000000|1813000000||1227000000||1227000000|192712000000|209456000000|60005000000|-21145000000||261190000000|1443000000|||||6829000000||13710000000||6829000000|13710000000|223058000000||21625000000|3677000000|18017000000|15000000|1333000000|SCHW
2018-12-31|USD|296482000000|27938000000|27938000000|27938000000|||3147000000|1769000000|2163000000|1379000000|152000000|1227000000|227746000000|227735000000|66578000000|-22790000000||275812000000|1184000000|||0|0|6878000000||13759000000||6878000000|13759000000|234429000000||20670000000|3714000000|17329000000|15000000|1343000000|SCHW
2018-09-30|USD|272102000000|21830000000|21830000000|21830000000|197010000000||2910000000|1683000000||1227000000|1227000000|1227000000|213446000000|213574000000|57558000000|-23209000000||251268000000|1062000000|||0|0|5790000000||11571000000|5800000000|5790000000|11571000000|216160000000||20834000000|2769000000|16615000000|15000000|1351000000|SCHW
2018-06-30|USD|261882000000|13250000000|13250000000|13250000000|192839000000||2919000000|1599000000||1320000000|93000000|1227000000|209393000000|209408000000|55522000000|-23376000000||241785000000|946000000|||0|0|5789000000||11570000000|6735000000|5789000000|11570000000|202387000000||20097000000|2783000000|15903000000|15000000|1350000000|SCHW
2018-03-31|USD|248320000000|14145000000|14145000000|14145000000|178010000000||2868000000|1540000000||1328000000|101000000|1227000000|194167000000|194399000000|51827000000|-22047000000||228990000000|800000000|||0|0|4128000000||8234000000|4928000000|4128000000|8234000000|192711000000||19330000000|2837000000|15222000000|15000000|1347000000|SCHW
2017-12-31|USD|243274000000|14217000000|14217000000|14217000000|171460000000||2806000000|1471000000|2080000000|1335000000|108000000|1227000000|188023000000|187938000000|49995000000|-21638000000||224749000000|15966000000|||15000000000|15000000000|4753000000||4753000000|20719000000|4753000000|19753000000|172527000000||18525000000|2892000000|14408000000|15000000|1343000000|SCHW
2017-09-30|USD|230714000000|12253000000|12253000000|12253000000|162865000000||2734000000|1392000000||1342000000|115000000|1227000000|179040000000|179097000000|48062000000|-19126000000||212687000000|6324000000|||5000000000|5000000000|3268000000||6473000000|9592000000|3268000000|11473000000|167575000000||18027000000|2993000000|13963000000|15000000|1339000000|SCHW
2017-06-30|USD|220601000000|9575000000|9575000000|9575000000|153704000000||2687000000|1335000000||1352000000|125000000|1227000000|169671000000|169521000000|45634000000|-18903000000||203112000000|1984000000|||300000000|300000000|3518000000||6972000000|5502000000|3518000000|7272000000|164385000000||17489000000|3028000000|13495000000|15000000|1338000000|SCHW
2017-03-31|USD|227061000000|9475000000|9475000000|9475000000|159123000000||2667000000|1305000000||1362000000|135000000|1227000000|174574000000|174671000000|50588000000|-17450000000||210079000000|2469000000|||600000000|600000000|3518000000||6970000000|600000000|3518000000|7570000000|169117000000||16982000000|3053000000|13069000000|15000000|1336000000|SCHW
2016-12-31|USD|223383000000|10828000000|10828000000|10828000000|153017000000||2670000000|1299000000|1935000000|1371000000|144000000|1227000000|178654000000|168420000000|77365000000|-18208000000||206962000000|1996000000|||0|0|2876000000||5684000000|250000000|2876000000|5684000000|165853000000||16421000000|3130000000|12649000000|15000000|1329000000|SCHW
2016-09-30|USD|209337000000|10431000000|10431000000|10431000000|142705000000||2647000000|1266000000||1381000000|154000000|1227000000|167420000000|157563000000|75791000000|-17327000000||193867000000|5372000000|||3001000000|3001000000|2876000000||5682000000|3001000000|3024000000|8683000000|151602000000||15470000000|3283000000|12261000000|15000000|1324000000|SCHW
2016-06-30|USD|198052000000|12976000000|12976000000|12976000000|130060000000||2632000000|1242000000||1390000000|163000000|1227000000|152792000000|144730000000|74228000000|-17830000000||183062000000|7461000000|||5000000000|5000000000|2876000000||5680000000|5000000000|3033000000|10680000000|139187000000||14990000000|3302000000|11882000000|15000000|1322000000|SCHW
2016-03-31|USD|190998000000|10457000000|10457000000|10457000000|125055000000||2558000000|1159000000||1399000000|172000000|1227000000|148773000000|139472000000|71516000000|-17066000000||176485000000|3011000000|||800000000|800000000|2877000000||5693000000|800000000|3008000000|6493000000|137752000000||14513000000|3324000000|11567000000|15000000|1321000000|SCHW
2015-12-31|USD|183705000000|11978000000|11978000000|11978000000|116186000000||2553000000|1145000000|1787000000|1408000000|181000000|1227000000|138682000000|130520000000|65646000000|-18136000000||170303000000|2233000000||||5110000000|2890000000||5705000000|5110000000|2967000000|5705000000|131728000000||13402000000|3343000000|11253000000|15000000|1319000000|SCHW
2015-09-30|USD|170402000000|10366000000|10366000000|10366000000|107358000000||2624000000|1126000000||1419000000|192000000|1227000000|129319000000|121610000000|66354000000|-17672000000||157206000000|2088000000|||||2956000000||5709000000||2993000000|5709000000|120643000000||13196000000|3407000000|10952000000|15000000|1316000000|SCHW
2015-06-30|USD|163627000000|9017000000|9017000000|9017000000|101773000000||2578000000|1091000000||1431000000|204000000|1227000000|124700000000|115787000000|63415000000|-17535000000||151204000000|1894000000|||||2940000000||5709000000|||5709000000|114391000000||12423000000|3428000000|10664000000|15000000|1314000000|SCHW
