fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|23968300000|5974300000|238200000|238200000|2267400000|2973400000|18219100000|3344700000|3227800000|11313900000|3656900000|7657000000||||495300000|1445400000|19812200000|7218100000|2537700000|367200000|1964400000|915500000|12807900000|1959300000|9224200000|1048900000|8175300000|10139700000|1312700000|2157400000|4156100000|6677500000|6946000000|92400000|251900000|SHW
2024-06-30|USD|23734000000|6050600000|200000000|200000000|2289100000|3048100000|17907100000|3136600000|3157700000|11299700000|3692800000|7606900000||||513400000|1356300000|19982200000|7466600000|2493900000|310300000|2208000000|1358300000|12741700000|1960700000|8980500000|849700000|8130800000|10338800000|1251200000|2106700000|3751800000|6227700000|6322300000|92100000|252300000|SHW
2024-03-31|USD|23428100000|5842400000|179900000|179900000|2378000000|2809100000|17812000000|3008800000|3126800000|11398900000|3777500000|7621400000||||475400000|1299100000|19924400000|7483500000|2453900000|258700000|2605400000|1256300000|12670400000|1949100000|9478600000|1349100000|8129500000|10734900000|1170000000|2016800000|3503700000|5793100000|5611000000|92000000|253500000|SHW
2023-12-31|USD|22954400000|5512900000|276800000|276800000|2329800000|2467900000|17593200000|2836800000|3040200000|11506500000|3880500000|7626000000||||438400000|1210800000|19238600000|6626900000|2315000000|369500000|1473000000|374200000|12846300000|1958800000|9476700000|1098800000|8377900000|9850900000|1329500000|1908000000|3715800000|5233600000|5288300000|91800000|254500000|SHW
2023-09-30|USD|23004500000|6198800000|503400000|503400000|2244300000|2940900000|16958000000|2580600000|2982300000|11236300000|3824000000|7412300000||||510200000|1114100000|19224500000|6623200000|2424800000|333600000|1436800000|338600000|12869700000|1944000000|9597400000|1098200000|8499200000|9936000000|1172400000|1811500000|3780000000|4746600000|5087400000|91700000|256000000|SHW
2023-06-30|USD|23166100000|6350600000|209400000|209400000|2439000000|3117800000|16956900000|2442500000|2942600000|11380900000|3934400000|7446500000||||584400000|1122900000|19535000000|6339100000|2489700000|275800000|1305700000|806200000|13445200000|1939300000|9595200000|499500000|9095700000|10401400000|1099100000|1746800000|3631100000|4335100000|4481500000|91400000|257100000|SHW
2023-03-31|USD|23129900000|6292800000|151400000|151400000|2707800000|2909200000|16978700000|2362000000|3059700000|11548900000|4103500000|7445400000||||524400000|1072000000|19963100000|6306000000|2513600000|236900000|1481900000|1481300000|13913000000|1925100000|9593700000|600000|9593100000|11075000000|1037200000|1689900000|3166800000|4100800000|3844100000|91300000|257900000|SHW
2022-12-31|USD|22594000000|5907700000|198800000|198800000|2626500000|2563600000|16804000000|2207000000|2981600000|11585200000|4002000000|7583200000||||518800000|1027300000|19491900000|5960700000|2436500000|300000000|978700000|978100000|13778500000|1938200000|9591600000|600000|9591000000|10569700000|1138300000|1606400000|3102100000|3775600000|3523200000|91200000|258900000|SHW
2022-09-30|USD|22245800000|6117200000|130500000|130500000|2547800000|2897600000|16239700000|2041200000|2913100000|11276500000|3958300000|7318200000||||541300000|957900000|19648000000|6096000000|2808400000|307700000|945800000|945200000|13827100000|1910500000|9589500000|600000|9588900000|10534700000|1067800000|1522400000|2597800000|3643000000|3292600000|91100000|259100000|SHW
2022-06-30|USD|22052800000|6259500000|312600000|312600000|2411600000|2982500000|15903700000|1961900000|2885900000|11061200000|3955100000|7106100000||||552800000|927800000|19828200000|7198200000|2992900000|259900000|2012600000|2012000000|12906400000|1901200000|8594200000|600000|8593600000|10606200000|1001400000|1541800000|2224600000|3595400000|2763300000|91000000|259200000|SHW
2022-03-31|USD|21730400000|6086400000|401100000|401100000|2328600000|2783600000|15762000000|1907300000|2871300000|11062800000|4004000000|7058800000||||573100000|836000000|19496100000|6953100000|2860800000|218500000|2000400000|1739700000|12822900000|1897200000|8853000000|260700000|8592300000|10592700000|925400000|1450900000|2234300000|3298900000|2341500000|91000000|260100000|SHW
2021-12-31|USD|20667000000|5053700000|165700000|165700000|1927200000|2352400000|15744200000|1867300000|2797200000|11136100000|4001500000|7134600000||||608400000|789000000|18229500000|5719500000|2403000000|269000000|1024100000|763500000|12796600000|1880400000|8851500000|260600000|8590900000|9615000000|1005800000|1420800000|2437200000|2869900000|2121700000|90800000|261100000|SHW
2021-09-30|USD|20736600000|5378400000|313300000|313300000|1816000000|2598000000|15500700000|1827200000|2755800000|11065100000|4068800000|6996300000||||651100000|691500000|18046300000|6478500000|2675400000|280100000|1371500000|709400000|11850100000|1832700000|8267000000|662100000|7604900000|8976400000|1159400000|1455700000|2690300000|2263400000|1961800000|90500000|262200000|SHW
2021-06-30|USD|20519600000|5185700000|219600000|219600000|1804100000|2590600000|15477300000|1806300000|2726800000|11183300000|4165800000|7017500000||||571400000|580100000|17679200000|6190400000|2502800000|236800000|1449200000|762100000|11781300000|1822500000|8290900000|687100000|7603800000|9053000000|1023500000|1379000000|2840400000|1761900000|1604800000|90600000|263300000|SHW
